"";"";"";"";"*a_0597";""
"43";"*postDate_17-6-2024";"0.022905974355385";"0.0178473352606621";"0.956446223839854";"45"
"44";"*commentDate_23-11-2025";"0.0224800428667161";"0.0174907360702474";"0.945966196542311";"46"
"45";"*commentDate_14-6-2025";"-11.4149021236912";"-0.158975693174939";"0.94586660600546";"47"
"46";"*postLikes_9500";"-3.65786771695496";"-0.0426183084960731";"0.939424749772521";"48"
"47";"*a_0530";"0.0376582767803985";"0.0328223954582524";"0.936703275705187";"49"
"48";"*postLikes_823";"0.0376582767803985";"0.0328223954582524";"0.936703275705187";"50"
"49";"*postDate_26-11-2023";"0.0376582767803985";"0.0328223954582524";"0.936703275705187";"51"
"50";"*postComments_324";"0.0548589427740424";"-2.2079056776676";"0.933253139217471";"53"
"51";"*postDate_2-3-2025";"0.0548589427740424";"-2.2079056776676";"0.933253139217471";"54"
"52";"*a_0850";"0.104031578420634";"0.110853981653181";"0.932970882620564";"55"
"53";"*postDate_11-5-2025";"0.104031578420634";"0.110853981653181";"0.932970882620564";"56"
"54";"*commentDate_17-5-2024";"0.117466654014008";"0.161653419144469";"0.932794722474977";"57"
"55";"*a_0803";"0.0348871648032003";"0.0431813657873938";"0.921416878980892";"58"
"56";"*postDate_21-2-2025";"0.0348871648032003";"0.0431813657873938";"0.921416878980892";"59"
"57";"*commentLikes_53";"0.0348871648032003";"0.0431813657873938";"0.921416878980892";"60"
"58";"*commentDate_1-1-2026";"-8.55704734226205";"-0.116107183030094";"0.90917525022748";"61"
"59";"*commentDate_25-6-2021";"0.0312131322476305";"0.0370447621108035";"0.896944631483167";"62"
"60";"*a_0814";"0.0312131322476305";"0.0370447621108035";"0.896944631483167";"63"
"61";"*postDate_10-3-2025";"0.0312131322476305";"0.0370447621108035";"0.896944631483167";"64"
"62";"*commentDate_10-3-2025";"0.0252357319482231";"0.0206333379356701";"0.890823566878981";"65"
"63";"*commentDate_17-10-2025";"0.0252357319482231";"0.0206333379356701";"0.890823566878981";"66"
"64";"*commentDate_18-5-2024";"0.104253499552709";"0.144331153015517";"0.890064877161056";"67"
"65";"*commentDate_13-2-2023";"0.0664257290572262";"0.0685351635929397";"0.887279845313922";"68"
"66";"*a_0412";"0.0664257290572262";"0.0685351635929397";"0.887279845313922";"69"
"67";"*postLikes_999";"0.0664257290572262";"0.0685351635929397";"0.887279845313922";"70"
"68";"*postDate_30-4-2023";"0.0664257290572262";"0.0685351635929397";"0.887279845313922";"71"
"69";"*commentDate_24-7-2023";"0.0664257290572262";"0.0685351635929397";"0.887279845313922";"72"
"70";"*a_0984";"0.0664257290572262";"0.0685351635929397";"0.887279845313922";"73"
"71";"*postLikes_350";"0.0664257290572262";"0.0685351635929397";"0.887279845313922";"74"
"72";"*postDate_8-12-2025";"0.0664257290572262";"0.0685351635929397";"0.887279845313922";"75"
"73";"*commentDate_30-9-2025";"0.0653475989995308";"0.067377940427289";"0.88363152866242";"76"
"74";"*commentDate_17-7-2025";"0.0368582229966047";"0.0388505853454127";"0.883346769790719";"77"
"75";"*a_0608";"0.0285977304568068";"0.0241120891494767";"0.877715150136488";"78"
"76";"*postDate_5-4-2024";"0.0285977304568068";"0.0241120891494767";"0.877715150136488";"79"
"77";"*postLikes_15000";"0.0387507901518112";"-1.27507321743023";"0.87664017288444";"80"
"78";"*a_0001";"0.0270142378984078";"0.0300315007661289";"0.86897720655141";"81"
"79";"*postLikes_602";"0.0270142378984078";"0.0300315007661289";"0.86897720655141";"82"
"80";"*postDate_25-6-2021";"0.0270142378984078";"0.0300315007661289";"0.86897720655141";"83"
"81";"*a_0978";"0.0419715095191231";"0.045024865240369";"0.867884212920837";"84"
"82";"*postDate_28-11-2025";"0.0419715095191231";"0.045024865240369";"0.867884212920837";"85"
"83";"*commentDate_18-3-2024";"0.0935629179212246";"0.128267491827613";"0.860817788898999";"87"
"84";"*a_0294";"0.0967386970543605";"0.102657678799119";"0.860662647861693";"88"
"85";"*postLikes_5900";"0.0967386970543605";"0.102657678799119";"0.860662647861693";"89"
"86";"*postDate_10-10-2022";"0.0967386970543605";"0.102657678799119";"0.860662647861693";"90"
"87";"*commentDate_11-3-2025";"0.0257020834142758";"0.0278398565959181";"0.860237761601456";"91"
"88";"*commentDate_2-4-2024";"0.105820222722841";"0.146685310258572";"0.859043676069154";"92"
"89";"*commentDate_4-3-2025";"0.0617627452701985";"-2.89470332276271";"0.85786110100091";"93"
"90";"*commentDate_1-5-2023";"0.103270616732607";"0.109962445793225";"0.85786110100091";"94"
"91";"*commentDate_4-8-2021";"0.0497894867132679";"0.0498562248634405";"0.85786110100091";"95"
"92";"*a_0030";"0.0497894867132679";"0.0498562248634405";"0.85786110100091";"96"
"93";"*postLikes_302";"0.0497894867132679";"0.0498562248634405";"0.85786110100091";"97"
"94";"*commentDate_22-11-2025";"0.0497894867132679";"0.0498562248634405";"0.85786110100091";"98"
"95";"*a_0974";"0.0497894867132679";"0.0498562248634405";"0.85786110100091";"99"
"96";"*postDate_21-11-2025";"0.0497894867132679";"0.0498562248634405";"0.85786110100091";"100"
"97";"*commentDate_17-8-2024";"0.11177377076934";"0.155631107782181";"0.856495359417652";"101"
"98";"*commentDate_22-10-2022";"0.12347926206403";"0.132710789264011";"0.854565605095541";"102"
"99";"*postLikes_6200";"0.0214816823479812";"0.0185412469391864";"0.851648953594177";"103"
"100";"*commentDate_24-9-2025";"-4.01810151293342";"-0.0480219022118099";"0.850901774340309";"104"
"101";"*commentDate_30-3-2024";"0.0915810575452334";"0.121913801155058";"0.84610991810737";"105"
"102";"*commentDate_15-8-2024";"0.095897642645342";"0.131775647719224";"0.845781619654231";"106"
"103";"*postComments_32";"0.0484602859663848";"0.0513904726054767";"0.8451635577798";"107"
"104";"*commentDate_19-8-2024";"0.0760524824903443";"0.101956322640529";"0.844620564149227";"108"
"105";"*commentDate_18-8-2021";"0.0623579706133565";"0.0640179653442576";"0.844579026387625";"109"
"106";"*commentDate_21-2-2025";"0.0340216940291133";"0.0399208950411677";"0.843553093721565";"110"
"107";"*a_0190";"0.0414713655412887";"0.040516755498691";"0.843152229299363";"111"
"108";"*postLikes_407";"0.0414713655412887";"0.040516755498691";"0.843152229299363";"112"
"109";"*postDate_13-4-2022";"0.0414713655412887";"0.040516755498691";"0.843152229299363";"113"
"110";"*commentDate_28-3-2024";"0.0998666746763415";"0.137739512734964";"0.842394040036397";"114"
"111";"*commentDate_4-4-2024";"0.0834944175484684";"0.11313856954504";"0.842115787079163";"115"
"112";"*commentDate_26-12-2024";"0.0205410312205229";"0.0162529584188551";"0.841416151046406";"116"
"113";"*postComments_55";"0.0230220096422888";"0.0187519006517685";"0.841416151046406";"117"
"114";"*postComments_76";"0.0321813143292108";"0.0325146660727049";"0.841416151046406";"118"
"115";"*commentDate_16-8-2023";"0.17696039208337";"0.192817010193796";"0.841413648771611";"119"
"116";"*commentDate_8-11-2023";"0.17696039208337";"0.192817010193796";"0.841413648771611";"120"
"117";"*commentDate_11-5-2025";"0.0593019060408228";"0.0605833241482699";"0.841353093721565";"121"
"118";"*commentDate_26-3-2024";"0.105820222722841";"0.146685310258572";"0.839344767970883";"122"
"119";"*commentLikes_0";"-0.00204417413041063";"0.0121398393174484";"0.83895991810737";"123"
"120";"*commentDate_2-3-2025";"0.0493739933805234";"-1.94962991102701";"0.838826296633303";"124"
"121";"*commentDate_30-11-2025";"0.022557366241079";"0.0183052182769595";"0.838391401273885";"125"
"122";"*postReposts_3";"0.0324630747350502";"-0.610164604482426";"0.836665832575068";"126"
"123";"*a_0843";"0.0372193749360633";"0.0357652716353266";"0.836311510464058";"127"
"124";"*postComments_460";"0.0372193749360633";"0.0357652716353266";"0.836311510464058";"128"
"125";"*postDate_30-4-2025";"0.0372193749360633";"0.0357652716353266";"0.836311510464058";"129"
"126";"*postLikes_1800";"0.0394374863193539";"0.0382581563743499";"0.835821064604186";"130"
"127";"*commentDate_18-1-2025";"0.0221546752933638";"0.017918093552125";"0.835770018198362";"131"
"128";"*commentDate_16-4-2022";"0.0364804928381012";"0.0349130738798413";"0.83432720655141";"132"
"129";"*commentDate_20-5-2024";"0.095897642645342";"0.131775647719224";"0.834324203821656";"133"
"130";"*commentDate_28-5-2024";"0.0366861908303613";"0.0399438532269165";"0.833476433121019";"134"
"131";"*a_0468";"0.0806943580485587";"0.0846258125201837";"0.831955050045496";"135"
"132";"*postDate_12-8-2023";"0.0806943580485587";"0.0846258125201837";"0.831955050045496";"136"
"133";"*commentDate_21-5-2025";"0.0214157120994443";"0.020680485639896";"0.831689308462238";"137"
"134";"*commentDate_27-3-2024";"0.0879595785833429";"0.119847917687746";"0.8303135577798";"138"
"135";"*commentDate_16-8-2024";"0.0879595785833429";"0.119847917687746";"0.8303135577798";"139"
"136";"*postComments_53";"0.0444426360301904";"0.0459807631644532";"0.829839126478617";"140"
"137";"*postLikes_8500";"0.0357309483458188";"0.0347102001823464";"0.829771064604186";"141"
"138";"*a_0459";"0.0331532443693095";"0.0311772861339414";"0.828444358507734";"142"
"139";"*postDate_23-7-2023";"0.0331532443693095";"0.0311772861339414";"0.828444358507734";"143"
"140";"*commentDate_7-6-2025";"0.0331532443693095";"0.0311772861339414";"0.828444358507734";"144"
"141";"*commentDate_8-12-2025";"0.0331532443693095";"0.0311772861339414";"0.828444358507734";"145"
"142";"*commentDate_26-4-2024";"0.135587962955337";"0.191414297876615";"0.827206733393995";"146"
"143";"*commentDate_13-4-2024";"0.135587962955337";"0.191414297876615";"0.827206733393995";"147"
"144";"*commentDate_18-8-2024";"0.0814647988962527";"0.110088865843809";"0.827037079162875";"148"
"145";"*commentDate_14-8-2024";"0.0814647988962527";"0.110088865843809";"0.827037079162875";"149"
"146";"*commentDate_1-4-2024";"0.0960505616287999";"0.126481471551933";"0.827037079162875";"150"
"147";"*a_0039";"0.0456885274904455";"0.0452835588206884";"0.826996542311192";"151"
"148";"*postDate_18-8-2021";"0.0456885274904455";"0.0452835588206884";"0.826996542311192";"152"
"149";"*commentDate_22-9-2025";"-2.1268740840465";"-0.0196530352041917";"0.826623202911738";"153"
"150";"*a_0871";"-2.1268740840465";"-0.0196530352041917";"0.826623202911738";"154"
"151";"*postLikes_46900";"-2.1268740840465";"-0.0196530352041917";"0.826623202911738";"155"
"152";"*postComments_110";"-2.1268740840465";"-0.0196530352041917";"0.826623202911738";"156"
"153";"*postReposts_394";"-2.1268740840465";"-0.0196530352041917";"0.826623202911738";"157"
"154";"*postDate_13-6-2025";"-2.06192283901402";"-0.0186787508827179";"0.825789444949955";"158"
"155";"*postReposts_34";"0.0178145721939656";"0.0144155273413142";"0.824428707916288";"159"
"156";"*a_0983";"0.0307766383201726";"0.0285088663154416";"0.824243039126479";"160"
"157";"*postDate_7-12-2025";"0.0307766383201726";"0.0285088663154416";"0.824243039126479";"161"
"158";"*commentDate_4-4-2025";"0.0203608701626325";"0.0161936288687714";"0.824093903548681";"162"
"159";"*postComments_1100";"0.0183628017606523";"0.0149801901805999";"0.823717060964513";"163"
"160";"*commentDate_21-5-2024";"0.0826675358753435";"0.111896097666761";"0.82303143767061";"164"
"161";"*commentDate_3-4-2024";"0.0826675358753435";"0.111896097666761";"0.82303143767061";"165"
"162";"*commentDate_12-8-2024";"0.095897642645342";"0.131775647719224";"0.822875295723385";"166"
"163";"*commentDate_3-10-2025";"0.0623579706133565";"0.0640179653442576";"0.822271747042766";"167"
"164";"*postReposts_0";"0.0223312359569369";"0.0203202791543712";"0.822087079162875";"168"
"165";"*postDate_4-8-2021";"0.02899418378332";"0.0265075514515666";"0.821092174704277";"169"
"166";"*commentDate_21-4-2024";"0.02899418378332";"0.0265075514515666";"0.821092174704277";"170"
"167";"*commentDate_19-3-2024";"0.0760524824903443";"0.101956322640529";"0.820254413102821";"171"
"168";"*commentDate_19-5-2024";"0.0760524824903443";"0.101956322640529";"0.820254413102821";"172"
"169";"*commentDate_12-9-2021";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"173"
"170";"*commentDate_19-3-2022";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"174"
"171";"*commentDate_27-10-2022";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"175"
"172";"*a_0380";"0.156274177519354";"0.192115654035206";"0.820211874431301";"176"
"173";"*postLikes_710";"0.156274177519354";"0.192115654035206";"0.820211874431301";"177"
"174";"*postDate_8-3-2023";"0.156274177519354";"0.192115654035206";"0.820211874431301";"178"
"175";"*commentDate_8-3-2023";"0.156274177519354";"0.192115654035206";"0.820211874431301";"179"
"176";"*a_0413";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"180"
"177";"*postLikes_731";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"181"
"178";"*postDate_1-5-2023";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"182"
"179";"*a_0438";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"183"
"180";"*postDate_14-6-2023";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"184"
"181";"*commentDate_14-6-2023";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"185"
"182";"*a_0506";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"186"
"183";"*postLikes_249";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"187"
"184";"*postDate_16-10-2023";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"188"
"185";"*a_0606";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"189"
"186";"*postDate_1-4-2024";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"190"
"187";"*commentDate_18-1-2026";"0.0967386970543605";"0.102657678799119";"0.820211874431301";"191"
"188";"*commentDate_18-4-2024";"0.105820222722841";"0.146685310258572";"0.819663375796178";"192"
"189";"*commentDate_4-11-2025";"0.0184544975637672";"0.0143061230780485";"0.81946169244768";"193"
"190";"*postComments_28";"0.0196490427298027";"0.0155093174864883";"0.81946169244768";"194"
"191";"*commentDate_1-8-2025";"0.0566278495398559";"0.0575780131017807";"0.819247998180164";"195"
"192";"*a_0813";"0.0566278495398559";"0.0575780131017807";"0.819247998180164";"196"
"193";"*postComments_127";"0.0566278495398559";"0.0575780131017807";"0.819247998180164";"197"
"194";"*postDate_8-3-2025";"0.0566278495398559";"0.0575780131017807";"0.819247998180164";"198"
"195";"*commentDate_29-3-2024";"0.0641453863973457";"0.0840647275933116";"0.81833516833485";"199"
"196";"*a_0390";"0.135587962955337";"0.191414297876615";"0.818135987261147";"200"
"197";"*postLikes_851";"0.135587962955337";"0.191414297876615";"0.818135987261147";"201"
"198";"*postDate_26-3-2023";"0.135587962955337";"0.191414297876615";"0.818135987261147";"202"
"199";"*commentDate_9-5-2024";"0.135587962955337";"0.191414297876615";"0.818135987261147";"203"
"200";"*commentDate_3-5-2024";"0.135587962955337";"0.191414297876615";"0.818135987261147";"204"
"201";"*commentDate_1-5-2024";"0.135587962955337";"0.191414297876615";"0.818135987261147";"205"
"202";"*commentDate_8-7-2024";"0.135587962955337";"0.191414297876615";"0.818135987261147";"206"
"203";"*commentDate_27-12-2024";"0.0224267723862898";"0.0203509644271851";"0.818055914467698";"207"
"204";"*a_0036";"-1.44281309912995";"-0.00939195564824467";"0.8178432211101";"208"
"205";"*postLikes_41500";"-1.44281309912995";"-0.00939195564824467";"0.8178432211101";"209"
"206";"*commentDate_7-12-2025";"0.0264987474317262";"0.0237057106421418";"0.816681665150137";"210"
"207";"*postReposts_2";"0.0304686011608311";"0.0281782311252557";"0.816599590536852";"211"
"208";"*commentDate_28-1-2025";"0.0259999243382864";"0.0241322778752051";"0.816277297543221";"212"
"209";"*postDate_13-8-2021";"-1.30249289709579";"-0.00728711881625553";"0.816042584167425";"213"
"210";"*postLikes_2700";"0.0226877917208111";"0.0203835638495155";"0.815756323930846";"214"
"211";"*commentDate_30-4-2025";"0.0348533894605533";"0.0331061945803684";"0.815612192902639";"215"
"212";"*commentDate_20-8-2024";"0.0879595785833429";"0.119847917687746";"0.815148271155596";"216"
"213";"*commentDate_9-4-2024";"0.0879595785833429";"0.119847917687746";"0.815148271155596";"217"
"214";"*commentDate_9-6-2025";"0.0486056800369549";"0.048562079962313";"0.815018152866242";"218"
"215";"*a_0948";"0.0471352491216334";"0.0585053060972868";"0.81488202911738";"219"
"216";"*postLikes_33200";"0.0471352491216334";"0.0585053060972868";"0.81488202911738";"220"
"217";"*postComments_266";"0.0471352491216334";"0.0585053060972868";"0.81488202911738";"221"
"218";"*postReposts_591";"0.0471352491216334";"0.0585053060972868";"0.81488202911738";"222"
"219";"*postDate_12-10-2025";"0.0471352491216334";"0.0585053060972868";"0.81488202911738";"223"
"220";"*commentDate_8-4-2024";"0.0562073223353466";"0.0721369975618334";"0.814378571428572";"224"
"221";"*a_0885";"0.0258332445200008";"0.0232124153956083";"0.81421542311192";"225"
"222";"*postLikes_40100";"0.0258332445200008";"0.0232124153956083";"0.81421542311192";"226"
"223";"*postReposts_139";"0.0258332445200008";"0.0232124153956083";"0.81421542311192";"227"
"224";"*postDate_4-7-2025";"0.0258332445200008";"0.0232124153956083";"0.81421542311192";"228"
"225";"*a_0767";"0.0202163933377139";"0.0160147294423506";"0.813953685168335";"229"
"226";"*postLikes_59400";"0.0202163933377139";"0.0160147294423506";"0.813953685168335";"230"
"227";"*postDate_23-12-2024";"0.0202163933377139";"0.0160147294423506";"0.813953685168335";"231"
"228";"*postReposts_12";"0.0248351231973304";"0.0218378167691919";"0.813742493175614";"232"
"229";"*a_0818";"0.0170262747501663";"0.0130701516512637";"0.813536806187443";"233"
"230";"*postLikes_140600";"0.0170262747501663";"0.0130701516512637";"0.813536806187443";"234"
"231";"*postDate_17-3-2025";"0.0170262747501663";"0.0130701516512637";"0.813536806187443";"235"
"232";"*a_0174";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"236"
"233";"*postDate_18-3-2022";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"237"
"234";"*commentDate_13-5-2022";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"238"
"235";"*a_0405";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"239"
"236";"*postDate_19-4-2023";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"240"
"237";"*commentDate_30-7-2024";"0.109688452354686";"0.132243218491618";"0.813148453139217";"241"
"238";"*commentDate_11-2-2024";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"242"
"239";"*a_0543";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"243"
"240";"*postLikes_625";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"244"
"241";"*postDate_15-12-2023";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"245"
"242";"*commentDate_15-12-2023";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"246"
"243";"*commentDate_12-7-2024";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"247"
"244";"*commentLikes_36";"0.0699981320446907";"0.0726045683342268";"0.813148453139217";"248"
"245";"*postComments_3";"0.0333545724094848";"0.0348821614697629";"0.812611965423112";"249"
"246";"*commentDate_16-2-2025";"0.0241952677225628";"0.0211193960488265";"0.812611965423112";"250"
"247";"*postComments_121";"0.0313764844643848";"0.029925916185393";"0.812501364877161";"251"
"248";"*postLikes_1500";"0.0252725386251007";"0.024137930718409";"0.812255141037307";"252"
"249";"*commentDate_27-10-2025";"0.043257567035021";"0.0425514578693345";"0.812202092811647";"253"
"250";"*commentDate_21-8-2024";"0.0760524824903443";"0.101956322640529";"0.812147042766151";"254"
"251";"*commentDate_13-8-2024";"0.0760524824903443";"0.101956322640529";"0.812147042766151";"255"
"252";"*commentDate_24-4-2024";"0.0760524824903443";"0.101956322640529";"0.812147042766151";"256"
"253";"*postComments_26";"0.022672897845599";"0.0204733667813149";"0.811949363057325";"257"
"254";"*postComments_5";"0.0321518888106181";"0.0332833176079543";"0.811643585077343";"258"
"255";"*commentDate_2-11-2025";"0.0177059197421065";"0.0136076642950643";"0.811589035486806";"259"
"256";"*a_0728";"0.0210353080544764";"0.0183771189266948";"0.811557006369427";"260"
"257";"*postLikes_560400";"0.0210353080544764";"0.0183771189266948";"0.811557006369427";"261"
"258";"*postComments_2900";"0.0210353080544764";"0.0183771189266948";"0.811557006369427";"262"
"259";"*postReposts_86";"0.0210353080544764";"0.0183771189266948";"0.811557006369427";"263"
"260";"*postDate_20-10-2024";"0.0210353080544764";"0.0183771189266948";"0.811557006369427";"264"
"261";"*commentDate_26-3-2023";"0.095897642645342";"0.131775647719224";"0.811433393994541";"265"
"262";"*commentDate_13-5-2024";"0.095897642645342";"0.131775647719224";"0.811433393994541";"266"
"263";"*commentDate_2-5-2024";"0.095897642645342";"0.131775647719224";"0.811433393994541";"267"
"264";"*a_0778";"0.095897642645342";"0.131775647719224";"0.811433393994541";"268"
"265";"*postDate_10-1-2025";"0.095897642645342";"0.131775647719224";"0.811433393994541";"269"
"266";"*commentDate_17-11-2025";"0.0231714989629346";"0.019969922896242";"0.81080432211101";"270"
"267";"*postLikes_3100";"0.0247915301709885";"0.0215173987879923";"0.810313876251137";"271"
"268";"*a_0931";"0.017544177264516";"0.0137486024805963";"0.810096178343949";"272"
"269";"*postLikes_195100";"0.017544177264516";"0.0137486024805963";"0.810096178343949";"273"
"270";"*postComments_880";"0.017544177264516";"0.0137486024805963";"0.810096178343949";"274"
"271";"*postDate_17-9-2025";"0.017544177264516";"0.0137486024805963";"0.810096178343949";"275"
"272";"*commentDate_10-6-2024";"0.0402252398410859";"0.0419551127568499";"0.810070154686078";"276"
"273";"*commentDate_11-2-2025";"0.0227555929043356";"0.0195029494280045";"0.810070154686078";"277"
"274";"*commentDate_7-4-2024";"0.0515378728871118";"0.0651206857786109";"0.81005313921747";"278"
"275";"*a_0162";"0.0675474138524881";"0.0891766118925165";"0.810011601455869";"279"
"276";"*postDate_25-2-2022";"0.0675474138524881";"0.0891766118925165";"0.810011601455869";"280"
"277";"*commentDate_6-4-2024";"0.0675474138524881";"0.0891766118925165";"0.810011601455869";"281"
"278";"*commentDate_31-3-2024";"0.0675474138524881";"0.0891766118925165";"0.810011601455869";"282"
"279";"*postComments_30";"0.0243613354053379";"0.0232087182220719";"0.809948544131028";"283"
"280";"*commentDate_2-4-2025";"0.0258083560818547";"0.024410785018845";"0.809666787989081";"284"
"281";"*commentDate_17-10-2021";"0.0566278495398559";"0.0575780131017807";"0.80961974522293";"285"
"282";"*commentDate_13-11-2022";"0.0566278495398559";"0.0575780131017807";"0.80961974522293";"286"
"283";"*postLikes_777";"0.0566278495398559";"0.0575780131017807";"0.80961974522293";"287"
"284";"*commentDate_14-11-2024";"0.0566278495398559";"0.0575780131017807";"0.80961974522293";"288"
"285";"*postLikes_5100";"0.0358847804480622";"0.0357200228509015";"0.809496132848044";"289"
"286";"*a_0100";"0.135587962955337";"0.191414297876615";"0.809066742493176";"290"
"287";"*postDate_19-11-2021";"0.135587962955337";"0.191414297876615";"0.809066742493176";"291"
"288";"*commentDate_15-8-2022";"0.135587962955337";"0.191414297876615";"0.809066742493176";"292"
"289";"*a_0296";"0.135587962955337";"0.191414297876615";"0.809066742493176";"293"
"290";"*postLikes_397";"0.135587962955337";"0.191414297876615";"0.809066742493176";"294"
"291";"*postDate_14-10-2022";"0.135587962955337";"0.191414297876615";"0.809066742493176";"295"
"292";"*commentDate_24-10-2022";"0.135587962955337";"0.191414297876615";"0.809066742493176";"296"
"293";"*a_0406";"0.135587962955337";"0.191414297876615";"0.809066742493176";"297"
"294";"*postDate_21-4-2023";"0.135587962955337";"0.191414297876615";"0.809066742493176";"298"
"295";"*commentDate_21-4-2023";"0.135587962955337";"0.191414297876615";"0.809066742493176";"299"
"296";"*a_0587";"0.135587962955337";"0.191414297876615";"0.809066742493176";"300"
"297";"*postLikes_929";"0.135587962955337";"0.191414297876615";"0.809066742493176";"301"
"298";"*postDate_29-2-2024";"0.135587962955337";"0.191414297876615";"0.809066742493176";"302"
