"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"emji_visage_riant_aux_larmes";-3,037;-1,837;-84,509;-266,393;-2,025;-4,577;-4,577;0,099;-25,375;394,826
"emji_se_rouler_par_terre_de_rire";2,744;-0,421;-5,086;-24,563;-0,168;-0,673;-0,673;-0,758;-2,108;33,812
"emji_visage_souriant_avec_une_goutte_de_sueur";-0,179;-0,298;-4,376;-7,181;-0,119;-0,478;-0,478;-0,537;-1,496;14,55
"suisse";-0,192;-0,32;-6,803;-26,743;-0,128;-0,513;-0,513;-0,577;-0,18;36,471
"aimer";-0,108;-0,18;-3,832;2163,597;-0,072;-0,289;-0,289;-0,325;-0,904;-1521,448
"accent";-0,11;-0,183;-3,896;-11,839;-0,073;-0,294;-0,294;-0,33;-0,919;18,428
"emji_visage_qui_pleure_à_chaudes_larmes";-0,069;-0,115;-0,058;-0,58;-0,046;-0,184;-0,184;-0,208;-0,578;1,299
"aller";-0,07;-0,116;-2,473;-2,055;-0,047;-0,186;-0,186;-0,21;-0,584;5,231
"emji_visage_faisant_un_clin_d_oeil";-0,069;-0,115;-2,435;-7,225;-0,046;-0,184;-0,184;-0,206;0,354;9,52
"hiver";-0,063;-0,106;-2,246;2987,586;-0,042;-0,169;-0,169;-0,19;-0,53;-2149,968
"français";-0,059;-0,098;-2,082;-9,512;-0,039;-0,157;-0,157;-0,177;-0,491;13,185
"voir";-0,059;-0,098;-0,53;-1,795;-0,039;-0,157;-0,157;-0,177;-0,491;3,303
"parler";-0,056;-0,093;-1,97;-8,996;-0,037;-0,148;-0,148;-0,167;-0,465;12,47
"emji_visage_souriant_aux_yeux_rieurs";-0,049;-0,081;-1,719;-4,15;-0,032;-0,13;-0,13;-0,146;-0,406;6,95
"emji_visage_qui_hurle_de_peur";-0,029;-0,049;25,02;-4,738;-0,02;-0,078;-0,078;-0,088;-0,245;0
"époque";-0,047;-0,079;0,089;-2,551;-0,031;-0,126;-0,126;5,412;-0,394;1,521
"petit";-0,041;-0,069;0,242;-0,851;-0,027;-0,11;-0,11;-0,124;-0,344;0,78
"penser";-0,042;-0,07;-1,495;-4,857;-0,028;-0,113;-0,113;-0,127;-0,353;7,409
"rire";-0,04;-0,066;-1,408;-6,432;-0,027;-0,106;-0,106;-0,119;-0,332;8,916
"genève";-0,039;-0,065;-1,383;-4,362;-0,026;7,939;-0,104;-0,117;-0,326;4,94
"mdr";-0,04;-0,066;-1,408;-6,432;-0,027;-0,106;-0,106;-0,119;-0,332;8,916
"adorer";-0,04;-0,067;-1,433;13,775;-0,027;-0,108;-0,108;-0,121;-0,338;-5,861
"france";-0,038;-0,063;-1,334;-1,368;-0,025;-0,101;-0,101;-0,113;1,56;1,976
"emji_visage_souriant_avec_yeux_plissés";-0,029;-0,048;-1,025;-2,793;-0,019;-0,077;-0,077;-0,087;-0,242;4,498
"mot";-0,034;-0,056;-1,198;-5,471;-0,023;-0,09;-0,09;-0,102;-0,283;7,583
"venir";-0,035;-0,058;-0,036;-1,054;-0,023;-0,093;-0,093;-0,105;-0,291;1,533
"froid";-0,033;-0,055;-1,161;1240,739;-0,022;-0,087;-0,087;-0,098;-0,274;-888,456
"beau";-0,032;-0,053;-1,136;0,999;-0,021;-0,086;-0,086;-0,096;-0,268;-0,025
"vrai";-0,031;-0,052;-1,111;-0,694;-0,021;-0,084;-0,084;-0,094;-0,262;2,023
"lac";-0,026;-0,044;-0,927;-4,232;-0,017;-0,07;-0,07;-0,079;-0,219;5,866
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";-0,023;-0,039;-0,828;3,543;-0,016;-0,062;-0,062;-0,07;-0,195;-1,054
"emji_visage_avec_bouche_ouverte";-0,022;-0,036;2,109;-3,503;-0,014;-0,058;-0,058;-0,065;-0,181;1,487
"tellement";-0,03;-0,05;-1,062;-0,564;-0,02;-0,08;-0,08;-0,09;-0,251;1,782
"année";-0,03;-0,049;-1,05;1,481;-0,02;-0,079;-0,079;-0,089;-0,248;-0,14
"appeler";-0,029;-0,048;-1,013;-4,625;-0,019;-0,076;-0,076;-0,086;2,504;4,422
"pareil";-0,029;-0,049;-1,037;-0,048;-0,02;-0,078;-0,078;-0,088;-0,245;0,75
"chaud";-0,028;-0,047;-1;855,85;-0,019;-0,075;-0,075;-0,085;-0,236;-609,386
"souvenir";-0,027;-0,045;0,005;-2,476;-0,018;-0,072;-0,072;-0,081;-0,224;2,461
"vaudois";-0,028;-0,046;-0,976;-2,581;-0,018;-0,074;-0,074;-0,083;-0,23;4,196
"utiliser";-0,026;-0,044;-0,927;-4,232;-0,017;-0,07;-0,07;-0,079;-0,219;5,866
"emji_visage_nauséeux";-0,019;-0,032;2122,744;-3,111;-0,013;-0,051;-0,051;-0,058;-0,161;-315,009
"entendre";-0,026;-0,043;-0,914;-2,318;-0,017;-0,069;-0,069;-0,078;-0,216;3,82
