"";"";"";"";"pépé";""
"47";"crâne";"0.0252357319482228";"0.0206333379356701";"0.845398287676764";"53"
"48";"haïr";"0.135587962955338";"0.191414297876616";"0.845367262878078";"54"
"49";"dimanche";"0.11574280280034";"0.16159497279792";"0.836982811033274";"55"
"50";"deteste";"0.135587962955338";"0.191414297876615";"0.836284002462878";"56"
"51";"camp";"0.0270142378984079";"0.0300315007661289";"0.834476307539458";"57"
"52";"bienvenue";"0.101567688403913";"0.140295454884566";"0.831001530086663";"58"
"53";"visiblement";"0.0259131241387052";"0.0215312576505801";"0.830107065124555";"59"
"54";"rôti";"0.0497894867132672";"0.0498562248634404";"0.828918865374892";"60"
"55";"leclerc";"0.0497894867132672";"0.0498562248634404";"0.828918865374892";"61"
"56";"emji_tête_de_cochon";"0.123479262064031";"0.132710789264011";"0.827271298444689";"62"
"57";"thé";"0.135587962955338";"0.191414297876615";"0.827204745247508";"63"
"58";"emji_visage_anxieux_avec_goutte_de_sueur";"0.118577825679626";"0.165854876380591";"0.822892298230199";"64"
"59";"déprimer";"0.118577825679626";"0.165854876380591";"0.822892298230199";"65"
"60";"emji_soleil_avec_visage";"0.135587962955338";"0.191414297876615";"0.82266661783976";"66"
"61";"emji_visage_boudeur";"0.0915671434133569";"0.102482339759471";"0.822373133252193";"67"
"62";"cervelas";"0.0414713655412882";"0.0405167554986909";"0.821565237486418";"68"
"63";"carrefour";"0.0414713655412882";"0.0405167554986909";"0.821565237486418";"69"
"64";"bellerive";"0.0414713655412882";"0.0405167554986909";"0.821565237486418";"70"
"65";"vivement";"0.0998666746763421";"0.137739512734964";"0.821186184502476";"71"
"66";"moustique";"0.105820222722841";"0.146685310258572";"0.819661715967058";"72"
"67";"emji_plage_avec_parasol";"0.11574280280034";"0.16159497279792";"0.818474517017352";"73"
"68";"rouler";"0.031328664490073";"0.0357020415585946";"0.818343912622885";"74"
"69";"emji_soleil";"0.135587962955338";"0.191414297876615";"0.818129491231969";"75"
"70";"emji_flocon";"0.135587962955338";"0.191414297876615";"0.818129491231969";"76"
"71";"désert";"0.135587962955338";"0.191414297876615";"0.818129491231969";"77"
"72";"club";"0.135587962955338";"0.191414297876615";"0.818129491231969";"78"
"73";"charme";"0.135587962955338";"0.191414297876615";"0.818129491231969";"79"
"74";"jaime";"0.0909363526065931";"0.124320816449551";"0.813244586638911";"80"
"75";"rester";"-2.05470641713947";"-0.00783535994501037";"0.812884799054153";"81"
"76";"moix";"0.0611686123740963";"0.0795918288315073";"0.812637601464625";"82"
"77";"préférer";"0.0593825479601465";"0.0769080895744247";"0.811969817692915";"83"
"78";"ski";"0.0320981306739197";"0.0365265461282499";"0.811757147701925";"84"
"79";"vent";"0.0958976426453425";"0.131775647719224";"0.811427884515873";"85"
"80";"cousin";"0.0197695058338199";"0.0156251240281054";"0.810113083571573";"86"
"81";"collant";"0.105820222722841";"0.146685310258572";"0.8098221009839";"87"
"82";"barbecue";"0.105820222722841";"0.146685310258572";"0.8098221009839";"88"
"83";"alsacien";"0.0276078302546565";"0.0249509732241083";"0.809311442805533";"89"
"84";"suisse";"0.0171558666301219";"0.013386637637564";"0.80911653701379";"90"
"85";"geler";"0.0706401660844362";"0.0938237794372483";"0.808984181219397";"91"
"86";"emji_se_rouler_par_terre_de_rire";"0.0200428056157863";"-0.0914431142155328";"0.808451255241974";"92"
"87";"noël";"0.0760524824903447";"0.101956322640529";"0.808090466857258";"93"
"88";"température";"0.0879595785833434";"0.119847917687746";"0.807564796679528";"94"
"89";"lacs";"0.0879595785833434";"0.119847917687746";"0.807564796679528";"95"
"90";"fuck";"0.0879595785833434";"0.119847917687746";"0.807564796679528";"96"
"91";"degré";"0.0590423452146322";"0.0763969011445042";"0.806566999121798";"97"
"92";"rhumatisses";"0.0699981320446911";"0.0726045683342266";"0.806564997521883";"98"
"93";"perclus";"0.0699981320446911";"0.0726045683342266";"0.806564997521883";"99"
"94";"nourriture";"0.0699981320446911";"0.0726045683342266";"0.806564997521883";"100"
"95";"moderne";"0.0699981320446911";"0.0726045683342266";"0.806564997521883";"101"
"96";"bourgeois";"0.109688452354687";"0.132243218491618";"0.806564997521883";"102"
"97";"betharram";"0.0699981320446911";"0.0726045683342266";"0.806564997521883";"103"
"98";"emji_visage_qui_hurle_de_peur";"0.0278424177941526";"0.0252267236013378";"0.806251496935164";"104"
"99";"emji_visage_rouge_et_chaud";"0.064145386397346";"0.0840647275933116";"0.806099125141619";"105"
"100";"chaux";"0.0760524824903447";"0.101956322640529";"0.806064347343092";"106"
"101";"pays";"0.0453826895235298";"0.0558719111552722";"0.806033072344417";"107"
"102";"meilleur";"0.0426545300343727";"0.0517725804349194";"0.805802888354169";"108"
"103";"studio";"0.0958976426453425";"0.131775647719224";"0.805707562158207";"109"
"104";"mètre";"0.0958976426453425";"0.131775647719224";"0.805707562158207";"110"
"105";"lieu";"0.0958976426453425";"0.131775647719224";"0.805707562158207";"111"
"106";"habit";"0.0958976426453425";"0.131775647719224";"0.805707562158207";"112"
"107";"ete";"0.0958976426453425";"0.131775647719224";"0.805707562158207";"113"
"108";"enfer";"0.0958976426453425";"0.131775647719224";"0.805707562158207";"114"
"109";"ch";"0.0231714989629344";"0.0199699228962419";"0.80539306077153";"115"
"110";"emji_visage_qui_pleure";"0.0468748111847396";"0.0550243040749841";"0.805384303771901";"116"
"111";"pitié";"0.0566278495398561";"0.0575780131017805";"0.804800837396619";"117"
"112";"internet";"0.0863955897723528";"0.102307000719824";"0.804800837396619";"118"
"113";"cliché";"0.0566278495398561";"0.0575780131017805";"0.804800837396619";"119"
"114";"adulte";"0.0566278495398561";"0.0575780131017805";"0.804800837396619";"120"
"115";"frais";"0.0562073223353468";"0.0721369975618334";"0.804780571197478";"121"
"116";"bande";"0.0293927911426297";"0.0296153816896875";"0.804702258600795";"122"
"117";"accent";"0.0176655965037754";"0.0142242247401867";"0.804602178605035";"123"
"118";"gâteau";"0.0611686123740963";"0.0795918288315073";"0.804199106422111";"124"
"119";"dormir";"0.0611686123740963";"0.0795918288315073";"0.804199106422111";"125"
"120";"sacré";"0.0217705522392326";"0.0183969596348104";"0.804157072823891";"126"
"121";"dur";"0.0760524824903447";"0.101956322640529";"0.804039228628884";"127"
"122";"bise";"0.0760524824903447";"0.101956322640529";"0.804039228628884";"128"
"123";"manger";"0.0192897090826775";"0.0156115038593588";"0.803974677031618";"129"
"124";"quasiment";"0.0486056800369551";"0.0485620799623129";"0.803743492241412";"130"
"125";"odeur";"0.0724198722229525";"0.0843452700567475";"0.803743492241412";"131"
"126";"humain";"0.0486056800369551";"0.0485620799623129";"0.803743492241412";"132"
"127";"discours";"0.0486056800369551";"0.0485620799623129";"0.803743492241412";"133"
"128";"crado";"0.0486056800369551";"0.0485620799623129";"0.803743492241412";"134"
"129";"emji_visage_souriant_avec_une_goutte_de_sueur";"0.0199682462317107";"0.0175614302709629";"0.803631903046139";"135"
"130";"meme";"0.0210541590282488";"0.0175926034215784";"0.803525568050644";"136"
"131";"manquer";"0.0411523732522451";"0.0495154406055816";"0.803500297851715";"137"
"132";"accord";"0.0482692582733477";"0.0602092675303552";"0.803475528052764";"138"
"133";"adorer";"0.031782509836888";"0.0354362897726697";"0.803437998054354";"139"
"134";"mère";"0.0260338896337744";"0.0251500683978844";"0.803351929258";"140"
"135";"français";"0.0165170020253512";"0.0124983474044423";"0.803290380060608";"141"
"136";"parler";"0.0165170020253512";"0.0124983474044423";"0.803111487068186";"142"
"137";"sombre";"0.064145386397346";"0.0840647275933116";"0.803043432671069";"143"
"138";"hâte";"0.064145386397346";"0.0840647275933116";"0.803043432671069";"144"
"139";"changement";"0.064145386397346";"0.0840647275933116";"0.803043432671069";"145"
"140";"adoooore";"0.064145386397346";"0.0840647275933116";"0.803043432671069";"146"
"141";"terre";"0.063102727190019";"0.07237078294803";"0.803039429471239";"147"
"142";"technique";"0.063102727190019";"0.07237078294803";"0.803039429471239";"148"
"143";"souci";"0.0432575670350211";"0.0425514578693345";"0.803039429471239";"149"
"144";"refuser";"0.0432575670350211";"0.0425514578693345";"0.803039429471239";"150"
"145";"costume";"0.063102727190019";"0.07237078294803";"0.803039429471239";"151"
"146";"afrique";"0.0489909004608022";"0.0612936066241259";"0.802691901685961";"152"
"147";"coeur";"0.0518907372352383";"0.0622751509976671";"0.802619343689035";"153"
"148";"emji_visage_qui_regarde_entre_ses_doigts";"0.0298872845301862";"0.0275249026368884";"0.802592572290169";"154"
"149";"truc";"0.0240648784044455";"0.0225324709509653";"0.802562047891462";"155"
"150";"permettre";"0.039437486319354";"0.0382581563743499";"0.802537528292501";"156"
"151";"soir";"0.0562073223353468";"0.0721369975618334";"0.802384405898988";"157"
"152";"sec";"0.0562073223353468";"0.0721369975618334";"0.802384405898988";"158"
"153";"emji_v_de_la_victoire";"0.0562073223353468";"0.0721369975618334";"0.802384405898988";"159"
"154";"aigri";"0.0562073223353468";"0.0721369975618334";"0.802384405898988";"160"
"155";"emji_visage_faisant_un_clin_d_oeil";"0.0182325318523751";"0.0148836546801851";"0.802373397099454";"161"
"156";"tt";"0.0462847422578479";"0.0572273350224856";"0.802361387499963";"162"
"157";"rire";"0.0165170020253512";"0.0124983474044423";"0.802222276305856";"163"
"158";"mdr";"0.0165170020253512";"0.0124983474044423";"0.802222276305856";"164"
"159";"pauvre";"0.0279772441723526";"0.0253782518893961";"0.802099428111061";"165"
"160";"vie";"0.0348356113991953";"0.0400238782463151";"0.802029372114028";"166"
"161";"genève";"0.0180336687551495";"0.0145136207996595";"0.801977830916212";"167"
"162";"ressembler";"0.0259047624676768";"0.0255512788855907";"0.801974828516339";"168"
"163";"disparaître";"0.050537276576776";"0.0636171903964918";"0.801917532718766";"169"
"164";"mot";"0.0165170020253512";"0.0124983474044423";"0.801888759719985";"170"
"165";"bergamote";"0.0343440453651311";"0.0325337543810371";"0.801870495120759";"171"
"166";"penser";"0.0174929935083838";"0.0139648715886405";"0.80184522492183";"172"
"167";"emji_visage_souriant_aux_yeux_rieurs";"0.0182180157529224";"0.0150542895540448";"0.801730383126695";"173"
"168";"franchement";"0.0325613410311531";"0.0305302136833776";"0.801637809130616";"174"
"169";"emji_visage_soulagé";"0.0462847422578479";"0.0572273350224856";"0.801570755533457";"175"
"170";"seulement";"0.0388428071997237";"0.0460450881179748";"0.801469924937729";"176"
"171";"grave";"0.0388428071997237";"0.0460450881179748";"0.801469924937729";"177"
"172";"lac";"0.0165170020253512";"0.0124983474044423";"0.801459166338184";"178"
"173";"utiliser";"0.0165170020253512";"0.0124983474044423";"0.801459166338184";"179"
"174";"heure";"0.0355683557741491";"0.04112489947999";"0.801458665938206";"180"
"175";"drôle";"0.0165170020253512";"0.0124983474044423";"0.801381354141481";"181"
"176";"époque";"0.0220433278637144";"0.0199992095406705";"0.801345575542997";"182"
"177";"canton";"0.0165170020253512";"0.0124983474044423";"0.801323057543951";"183"
"178";"grand";"0.0165170020253512";"0.0124983474044423";"0.801323057543951";"184"
"179";"normal";"0.0429772155653483";"0.0522574475093697";"0.801304042344756";"185"
"180";"aller";"0.0200891308532508";"0.0178658259186075";"0.801300289344915";"186"
"181";"vieux";"0.0165170020253512";"0.0124983474044423";"0.801245245347247";"187"
"182";"franc";"0.0165170020253512";"0.0124983474044423";"0.8012062141489";"188"
"183";"emji_vague";"0.0562073223353468";"0.0721369975618334";"0.801187449149695";"189"
"184";"stresser";"0.0562073223353468";"0.0721369975618334";"0.801187449149695";"190"
"185";"gérer";"0.0562073223353468";"0.0721369975618334";"0.801187449149695";"191"
"186";"emji_visage_déconcerté";"0.0562073223353468";"0.0721369975618334";"0.801187449149695";"192"
"187";"évidement";"0.0562073223353468";"0.0721369975618334";"0.801187449149695";"193"
"188";"âme";"0.0562073223353468";"0.0721369975618334";"0.801187449149695";"194"
"189";"trolley";"0.0562073223353468";"0.0721369975618334";"0.801187449149695";"195"
"190";"sueur";"0.0562073223353468";"0.0721369975618334";"0.801187449149695";"196"
"191";"semaine";"0.0562073223353468";"0.0721369975618334";"0.801187449149695";"197"
"192";"prendre";"0.0165170020253512";"0.0124983474044423";"0.801128652152186";"198"
"193";"chose";"0.0165170020253512";"0.0124983474044423";"0.801128652152186";"199"
"194";"emji_visage_souriant_avec_yeux_plissés";"0.0179345134649939";"0.0146282991957777";"0.801116892752684";"200"
"195";"appeler";"0.0177196219538301";"0.013848632131876";"0.80109787755349";"201"
"196";"vidéo";"0.0165170020253512";"0.0124983474044423";"0.801051090155472";"202"
"197";"emji_visage_de_geek";"0.0279772441723526";"0.0253782518893961";"0.801043834355779";"203"
"198";"vaudois";"0.018005389036976";"0.0147347967853445";"0.801041332355885";"204"
"199";"excellent";"0.0165170020253512";"0.0124983474044423";"0.801012309157115";"205"
"200";"emji_yeux";"0.0165170020253512";"0.0124983474044423";"0.800954262759574";"206"
"201";"entendre";"0.018104614837751";"0.014883893410738";"0.800947257159871";"207"
"202";"allemand";"0.0165170020253512";"0.0124983474044423";"0.800934747160401";"208"
"203";"schneck";"0.0165170020253512";"0.0124983474044423";"0.800915481761217";"209"
"204";"père";"0.0165170020253512";"0.0124983474044423";"0.800915481761217";"210"
"205";"changer";"0.0165170020253512";"0.0124983474044423";"0.800915481761217";"211"
"206";"premier";"0.0165170020253512";"0.0124983474044423";"0.800896216362033";"212"
"207";"connaître";"0.018170765371601";"0.0149832911610003";"0.800891212362245";"213"
"208";"fondue";"0.0165170020253512";"0.0124983474044423";"0.80087670076286";"214"
"209";"emji_visage_aux_yeux_en_spirales";"0.0265447139039774";"0.0237682638287769";"0.800860437763549";"215"
"210";"fast_food";"0.0265447139039774";"0.0237682638287769";"0.800860437763549";"216"
"211";"belge";"0.0165170020253512";"0.0124983474044423";"0.800857435363676";"217"
"212";"commentaire";"0.0165170020253512";"0.0124983474044423";"0.800838169964492";"218"
"213";"vaud";"0.0165170020253512";"0.0124983474044423";"0.800818654365319";"219"
"214";"voir";"0.0209891806922621";"0.0188586930562188";"0.800817903765351";"220"
"215";"plutôt";"0.0165170020253512";"0.0124983474044423";"0.800799388966135";"221"
"216";"sonner";"0.0259548484993523";"0.0231053275685219";"0.800785377766729";"222"
"217";"porte";"0.0329590226717045";"0.0336297952433556";"0.800785377766729";"223"
"218";"emji_chat_qui_pleure_de_joie";"0.0462847422578479";"0.0572273350224856";"0.80078062396693";"224"
"219";"total";"0.0462847422578479";"0.0572273350224856";"0.80078062396693";"225"
"220";"tenir";"0.0462847422578479";"0.0572273350224856";"0.80078062396693";"226"
"221";"stop";"0.0462847422578479";"0.0572273350224856";"0.80078062396693";"227"
"222";"short";"0.0462847422578479";"0.0572273350224856";"0.80078062396693";"228"
"223";"rêver";"0.0462847422578479";"0.0572273350224856";"0.80078062396693";"229"
"224";"mettre";"0.0165170020253512";"0.0124983474044423";"0.800780123566951";"230"
"225";"hahaha";"0.0165170020253512";"0.0124983474044423";"0.800780123566951";"231"
"226";"québécois";"0.0165170020253512";"0.0124983474044423";"0.800780123566951";"232"
"227";"italien";"0.0165170020253512";"0.0124983474044423";"0.800780123566951";"233"
"228";"blanc";"0.0165170020253512";"0.0124983474044423";"0.800780123566951";"234"
"229";"valoir";"0.0183488629627356";"0.0152509004886296";"0.800761108367757";"235"
"230";"fin";"0.0165170020253512";"0.0124983474044423";"0.800741592768583";"236"
"231";"benett";"0.0165170020253512";"0.0124983474044423";"0.800741592768583";"237"
"232";"mec";"0.0165170020253512";"0.0124983474044423";"0.80072207716941";"238"
"233";"chaussette";"0.0165170020253512";"0.0124983474044423";"0.80072207716941";"239"
"234";"enfant";"0.0165170020253512";"0.0124983474044423";"0.80072207716941";"240"
"235";"pire";"0.0254305236952412";"0.0225160508927397";"0.800719074769537";"241"
"236";"blague";"0.0165170020253512";"0.0124983474044423";"0.800702811770226";"242"
"237";"emji_singe_ne_rien_voir";"0.0165170020253512";"0.0124983474044423";"0.800683546371043";"243"
"238";"jean";"0.0165170020253512";"0.0124983474044423";"0.800664280971859";"244"
"239";"genevois";"0.0165170020253512";"0.0124983474044423";"0.800664280971859";"245"
"240";"gars";"0.0165170020253512";"0.0124983474044423";"0.800664280971859";"246"
"241";"emji_visage_avec_une_main_sur_la_bouche";"0.0165170020253512";"0.0124983474044423";"0.800645015572675";"247"
"242";"gros";"0.0165170020253512";"0.0124983474044423";"0.800645015572675";"248"
"243";"rts";"0.0165170020253512";"0.0124983474044423";"0.800645015572675";"249"
"244";"pull";"0.0165170020253512";"0.0124983474044423";"0.800645015572675";"250"
"245";"ca";"0.0165170020253512";"0.0124983474044423";"0.800645015572675";"251"
"246";"archive";"0.0165170020253512";"0.0124983474044423";"0.800645015572675";"252"
"247";"voix";"0.0165170020253512";"0.0124983474044423";"0.800625750173491";"253"
"248";"inventer";"0.0245391715282522";"0.02151428054391";"0.800607235374275";"254"
"249";"souvenir";"0.0201005193457102";"0.0171039193693337";"0.800607235374275";"255"
"250";"emji_visage_en_pleine_réflexion";"0.0165170020253512";"0.0124983474044423";"0.800606484774307";"256"
"251";"monde";"0.0165170020253512";"0.0124983474044423";"0.800606484774307";"257"
"252";"foutre";"0.0165170020253512";"0.0124983474044423";"0.800586969175134";"258"
"253";"regarder";"0.0165170020253512";"0.0124983474044423";"0.800586969175134";"259"
"254";"part";"0.0165170020253512";"0.0124983474044423";"0.800586969175134";"260"
"255";"cas";"0.0165170020253512";"0.0124983474044423";"0.800586969175134";"261"
"256";"emji_miam";"0.0165170020253512";"0.0124983474044423";"0.80056770377595";"262"
"257";"euro";"0.0165170020253512";"0.0124983474044423";"0.80056770377595";"263"
"258";"romand";"0.0165170020253512";"0.0124983474044423";"0.80056770377595";"264"
"259";"huitante";"0.0165170020253512";"0.0124983474044423";"0.800548438376766";"265"
"260";"tête";"0.0165170020253512";"0.0124983474044423";"0.800548438376766";"266"
"261";"fribourg";"0.0165170020253512";"0.0124983474044423";"0.800548438376766";"267"
"262";"ps";"0.0165170020253512";"0.0124983474044423";"0.800548438376766";"268"
"263";"vraiment";"0.0196024518341592";"0.0159660139965453";"0.800524419177784";"269"
"264";"emji_visage_avec_bouche_ouverte";"0.021610442979574";"0.0182227493977551";"0.800519164978006";"270"
"265";"france";"0.0207099408955687";"0.018450838081447";"0.800485888379416";"271"
"266";"rose";"0.036362162180349";"0.0423176724831379";"0.800387809983571";"272"
"267";"éviter";"0.036362162180349";"0.0423176724831379";"0.800387809983571";"273"
"268";"tricot";"0.036362162180349";"0.0423176724831379";"0.800387809983571";"274"
"269";"tourner";"0.036362162180349";"0.0423176724831379";"0.800387809983571";"275"
"270";"sauver";"0.036362162180349";"0.0423176724831379";"0.800387809983571";"276"
"271";"près_de";"0.036362162180349";"0.0423176724831379";"0.800387809983571";"277"
"272";"paraître";"0.036362162180349";"0.0423176724831379";"0.800387809983571";"278"
"273";"rappeler";"0.020163442708488";"0.0165964988314731";"0.800383306383762";"279"
"274";"venir";"0.0216423116575094";"0.0195980158619262";"0.800375049784112";"280"
"275";"putain";"0.02649965741778";"0.0253281550209254";"0.800328012186104";"281"
"276";"film";"0.0261554279214893";"0.0248857478617363";"0.800304993787079";"282"
"277";"jurer";"0.0218922780058898";"0.0194067053517794";"0.800202411791425";"283"
"278";"petit";"0.0232159148306956";"0.0215428946940843";"0.800186649192093";"284"
"279";"fille";"0.0242812895527958";"0.0224770866617069";"0.80018364679222";"285"
"280";"emji_visage_avec_des_symboles_dans_la_bouche";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"286"
"281";"mentir";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"287"
"282";"lapin";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"288"
"283";"electro";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"289"
"284";"directement";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"290"
"285";"é";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"291"
"286";"prix";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"292"
"287";"poubelle";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"293"
"288";"palmarès";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"294"
"289";"nain";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"295"
"290";"etre";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"296"
"291";"espagnol";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"297"
"292";"bob";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"298"
"293";"bientôt";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"299"
"294";"émission";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"300"
"295";"z";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"301"
"296";"wsh";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"302"
"297";"verre";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"303"
"298";"vacherin";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"304"
"299";"tuto";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"305"
"300";"travail";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"306"
"301";"tour";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"307"
"302";"totalement";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"308"
"303";"tj";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"309"
"304";"terrible";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"310"
"305";"tcheu";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"311"
"306";"t_shirt";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"312"
"307";"sushi";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"313"
"308";"sortie";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"314"
"309";"snowboard";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"315"
"310";"salutation";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"316"
"311";"restaurant";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"317"
"312";"remonter";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"318"
"313";"remarquer";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"319"
"314";"ref";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"320"
"315";"recruter";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"321"
"316";"recevoir";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"322"
"317";"quebec";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"323"
"318";"quart";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"324"
"319";"pépite";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"325"
"320";"pâtisserie";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"326"
"321";"préparer";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"327"
"322";"porchet";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"328"
"323";"plateau";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"329"
"324";"plan";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"330"
"325";"plaire";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"331"
"326";"piger";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"332"
"327";"peine";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"333"
"328";"ortie";"0.0165170020253512";"0.0124983474044423";"0.800106334995495";"334"
"329";"emji_visage_qui_fond";"0.0165170020253512";"0.0124983474044423";"0.800087319796301";"335"
"330";"emji_homme_avec_la_paume_sur_le_visage_peau_claire";"0.0165170020253512";"0.0124983474044423";"0.800087319796301";"336"
"331";"écouteur";"0.0165170020253512";"0.0124983474044423";"0.800087319796301";"337"
"332";"vêtement";"0.0165170020253512";"0.0124983474044423";"0.800087319796301";"338"
"333";"st";"0.0165170020253512";"0.0124983474044423";"0.800087319796301";"339"
"334";"roman";"0.0165170020253512";"0.0124983474044423";"0.800087319796301";"340"
"335";"rive";"0.0165170020253512";"0.0124983474044423";"0.800087319796301";"341"
