"";"";"";"";"pépé";""
"1";"pépé";"0.0613561844858339";"0.0543354415650421";"2.21369249011085";"4"
"2";"tiroir";"0.0869879178755065";"0.0802451742504758";"1.94515109008724";"6"
"3";"relou";"0.0612398083355902";"0.0499412623979807";"1.89974554661078";"7"
"4";"patineur";"0.0899976531367483";"0.135230420936248";"1.77721685720154";"8"
"5";"genial";"0.0899976531367483";"0.135230420936248";"1.77721685720154";"9"
"6";"horreur";"0.1568348804587";"0.172703674755135";"1.57735185146855";"10"
"7";"hiver";"0.12904560246468";"0.181583751147375";"1.5474854787338";"11"
"8";"dealer";"0.071627490358899";"0.104547402553297";"1.34930531972943";"12"
"9";"aimer";"0.0920064347718135";"0.125928721233206";"1.34132343966757";"13"
"10";"emji_visage_nauséeux";"0.125389302421865";"0.134857440011503";"1.33110201950059";"14"
"11";"épouser";"0.067256061437463";"0.0612760627335864";"1.29422379206288";"15"
"12";"louis";"0.035199994717219";"0.0299304699713589";"1.28979074865068";"16"
"13";"aiguisé";"0.0728937347054754";"0.0666958088812691";"1.16611739428994";"17"
"14";"froid";"0.118040663449866";"0.1650477367544";"1.11042437784929";"18"
"15";"couteau";"0.048228914157921";"0.0429844194851574";"1.10842928313381";"19"
"16";"vendredi";"-17.1306116865494";"-0.244712713464629";"1.01931680390894";"20"
"17";"chaud";"0.107998350056927";"0.149958163011112";"1.01412515412888";"21"
"18";"neige";"0.111773770769341";"0.155631107782181";"0.956136552785488";"22"
"19";"emji_visage_fatigué";"0.176960392083371";"0.192817010193795";"0.945022669256312";"24"
"20";"saison";"0.123375556706109";"0.173063943982034";"0.9411918572186";"25"
"21";"emji_visage_qui_vomit";"0.089116061535035";"0.0953095515963834";"0.939306850498455";"26"
"22";"détester";"0.122397906395293";"0.170148177875575";"0.937946513156084";"27"
"23";"juvénile";"0.176960392083371";"0.192817010193795";"0.92428984713463";"28"
"24";"chaleur";"0.119497292559394";"0.167236466731727";"0.923795952355553";"29"
"25";"mélanger";"-17.1306116865494";"-0.244712713464629";"0.909604358756761";"30"
"26";"emji_visage_effrayé";"0.154039907789368";"0.167057201223888";"0.906116320704527";"31"
"27";"emji_visage_riant_aux_larmes";"0.00298359821275628";"0.0151460316041089";"0.898776954215449";"33"
"28";"oeuf";"0.0339544618710945";"0.0287683284668978";"0.891272956133346";"34"
"29";"mobylette";"0.0339544618710945";"0.0287683284668978";"0.891272956133346";"35"
"30";"iphone";"0.0339544618710945";"0.0287683284668978";"0.891272956133346";"36"
"31";"entraîner";"0.0339544618710945";"0.0287683284668978";"0.891272956133346";"37"
"32";"udc";"0.0447053683654133";"0.0395970781428557";"0.891272956133346";"38"
"33";"signe";"0.0447053683654133";"0.0395970781428557";"0.891272956133346";"39"
"34";"gorge";"0.0447053683654133";"0.0395970781428557";"0.891272956133346";"40"
"35";"automne";"0.135587962955338";"0.191414297876615";"0.886293976344273";"41"
"36";"printemps";"0.135587962955338";"0.191414297876616";"0.881742588337087";"42"
"37";"patin";"0.0410105523958169";"0.0534090385817109";"0.881084312164974";"43"
"38";"haaaa";"0.0410105523958169";"0.0534090385817109";"0.881084312164974";"44"
"39";"poitrine";"0.124690132153162";"0.138581140125271";"0.873406925490216";"45"
"40";"plage";"0.106846696523962";"0.148227689141953";"0.873243795097127";"46"
"41";"pluie";"0.118577825679626";"0.165854876380591";"0.868803996285213";"47"
"42";"co";"0.0295950969096586";"0.0247008332012839";"0.868335621905055";"48"
"43";"soleil";"0.103530396551111";"0.143244618903338";"0.860567913034123";"49"
"44";"abuser";"0.121579614610634";"0.170365362526948";"0.859214080891476";"50"
"45";"emji_femme_avec_la_paume_sur_le_visage_peau_claire";"0.0997271021236669";"0.109485111035849";"0.85579810043619";"51"
"46";"insupportable";"0.166617284801363";"0.1924663321145";"0.84621794284204";"52"
