emji_visage_riant_aux_larmes;2341;334;1211;94;2807
aller;320;404;1301;71;2448
voir;481;294;819;49;2567
suisse;378;347;2029;15;1203
parler;263;299;494;27;1603
emji_coeur_rouge;1804;24;38;7;95
gens;169;171;527;29;1495
monde;174;200;578;22;1266
femme;252;80;140;9;1594
enfant;281;226;260;13;1284
emji_applaudissements;979;45;79;2;149
emji_visage_souriant_avec_yeux_en_forme_de_coeur;1523;2;23;1;36
prendre;105;127;584;40;918
beau;1350;26;138;6;317
époque;962;37;204;7;631
pays;70;393;664;7;608
penser;179;90;309;26;1208
vie;338;56;361;13;1007
homme;240;66;73;19;1268
comprendre;180;106;263;21;1198
emji_se_rouler_par_terre_de_rire;350;50;196;16;463
temps;250;73;339;21;1014
aimer;806;50;144;21;524
chose;119;100;263;21;1168
passer;176;148;434;6;893
mettre;96;135;557;23;809
année;381;63;548;22;577
petit;453;80;334;46;620
vrai;293;102;294;11;824
grand;332;67;501;17;554
vraiment;219;81;267;20;872
emji_visage_qui_pleure;396;76;186;20;402
jour;141;76;319;32;756
trouver;162;70;307;17;763
venir;118;112;326;32;746
donner;113;95;255;45;767
vivre;167;75;287;18;707
rester;88;93;389;18;655
payer;15;55;975;3;141
tellement;677;36;131;8;350
problème;18;68;379;12;695
français;134;34;268;0;652
connaître;187;71;160;9;746
changer;124;48;207;10;737
souvenir;894;14;63;1;99
france;67;47;596;11;323
fois;99;95;269;6;569
commentaire;77;44;54;11;918
emji_visage_souriant_avec_une_goutte_de_sueur;369;36;155;17;402
arrêter;38;205;301;23;503
seul;83;123;270;28;577
demander;56;119;258;7;609
droit;25;289;201;8;435
question;43;55;163;11;729
devenir;109;39;320;21;477
travail;59;38;423;4;405
cas;48;68;251;7;555
jeune;191;17;104;6;587
raison;159;67;156;16;533
sentir;98;44;142;13;607
emji_visage_faisant_un_clin_d_oeil;250;30;159;9;406
emji_feu;534;25;39;0;62
police;21;218;137;0;413
exister;84;72;173;5;478
humain;63;84;109;40;507
accord;66;184;205;8;338
arriver;76;50;187;4;486
utiliser;41;97;222;8;349
laisser;31;75;174;27;490
besoin;43;52;242;23;403
état;16;264;257;7;201
animal;107;12;75;208;304
regarder;110;37;131;9;453
guerre;21;467;72;1;129
coup;63;65;179;10;419
emji_mains_en_prière;491;11;20;2;64
travailler;49;12;356;0;267
argent;15;42;543;1;104
ca;76;45;102;14;445
partir;36;58;260;5;345
moment;126;68;107;4;417
etc;40;52;301;6;247
riche;19;8;540;0;89
place;29;59;306;6;280
vidéo;158;38;46;8;447
