"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"regarder";-6,119;-15,885;-8,272;-0,845;-2,023;57,102;43,789;-31,63
"guerre";-9,102;2848,84;-53,193;-10,758;-24,172;-36,674;-55,474;-162,875
"coup";-3,289;-0,15;1,593;-0,006;1,917;92,796;-1,632;-93,785
"emji_mains_en_prière";-5,863;-38,319;-120,306;-7,152;-22,06;-83,201;-61,362;1175,452
"travailler";-3,955;-46,037;355,88;-10,684;-17,747;12,362;-16,573;-103,698
"argent";-7,396;-9,099;1239,813;-11,073;-28,581;-63,263;-61,389;-182,264
"ca";0,134;-6,048;-22,34;1,068;24,246;192,451;-10,538;-61,175
"partir";-5,662;-0,814;93,044;-3,6;-0,016;0,01;24,148;-134,677
"moment";-5,903;0,031;-22,41;-3,876;-0,39;180,047;-15,923;-15,431
"etc";-2,284;-0,991;230,865;-2,748;-9,437;-1,488;0,001;-108,63
"riche";-8,649;-50,478;1393,154;-12,097;-23,991;-90,291;-41,227;-156,993
"place";0,497;-0,371;216,976;-3,4;-11,521;2,785;-2,871;-145,297
"vidéo";-7,251;-11,788;-99,131;-0,513;-2,455;-17,288;517,726;-0,293
"plutôt";-1,086;-5,535;5,384;-0,037;-15,978;114,78;9,865;-128,837
"premier";-3,861;-0,035;4,83;-7,102;-3,114;-14,701;126,464;-25,717
"mot";-3,547;0,176;-104,122;-10,038;254,04;4,441;44,206;-22,743
"rendre";-5,359;23,382;11,149;2,798;-16,089;56,046;-1,767;-113,582
"appeler";-0,28;0,182;-52,191;-1,295;960,822;-3,757;-12,453;-19,342
"école";-0,606;-35,961;-45,398;-4,949;-22,889;381,794;-16,055;-3,836
"niveau";-6,425;-40,792;35,132;-4,9;-6,965;-0,106;222,071;-109,329
"meilleur";-1,467;-34,811;2,587;-0,286;-12,375;-4,66;-12,985;97,348
"jouer";-8,556;-29,358;-24,459;-3,901;-15,863;-10,251;-22,504;362,901
"part";-0,78;-0,075;15,569;-0,071;-3,966;59,138;0,398;-108,36
"magnifique";-8,689;-58,79;-124,515;-5,325;-29,553;-128,056;-94,949;1569,514
"genre";-6,556;-5,54;-33,613;-3,81;0,01;220,417;25,944;-106,404
"adorer";-2,263;-49,061;-126,17;-3,795;-24,947;-127,373;-60,252;1359,151
"politique";-8,09;19,488;34,116;-11,315;-20,037;-11,478;213,599;-170,358
"palestinien";-8,01;5304,387;-158,049;-11,203;-32,561;-144,138;-80,205;-178,594
"israël";-7,798;5206,743;-141,374;-10,906;-31,642;-158,586;-73,469;-178,742
"sûr";-4,608;-1,291;-6,299;-3,482;-1,68;98,45;26,903;-80,238
"continuer";-4,546;135,93;23,157;-0,104;-2,053;0,111;-11,525;-77,19
