"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,364014136491554;23,1340396950274;23,1340396950274
"facteur 2";0,274801092026512;17,4643200191367;40,5983597141641
"facteur 3";0,257393556496597;16,3580261212595;56,9563858354236
"facteur 4";0,20893366847056;13,2782749225394;70,2346607579631
"facteur 5";0,183609653797765;11,6688683035426;81,9035290615057
"facteur 6";0,150174962734391;9,54400722615145;91,4475362876571
"facteur 7";0,134573024606377;8,55246371234286;100
