"";"";"";"";"carnivore";""
"74";"restau";"-0.0913566306453524";"0.885162269513066";"0.859759521453587";"288"
"75";"chou";"-2.75832100896748";"-0.886465650883777";"0.858602740475228";"290"
"76";"joyeux";"-2.87433864989798";"-0.831909360511351";"0.857967547688575";"292"
"77";"temps";"-0.124258347773548";"0.220581010376676";"0.857768082551433";"293"
"78";"volaille";"-0.408481248279043";"0.799943009607173";"0.857726028408317";"294"
"79";"jvais";"0.145753677935827";"1.18117998680888";"0.857726028408317";"295"
"80";"patte";"-0.383016016970407";"0.64048209567485";"0.856838218720306";"298"
"81";"nourrissage";"-0.167275010784682";"1.03615905435623";"0.856459439389599";"300"
"82";"parent";"-0.0573700266218314";"0.346942224343063";"0.856309621504747";"301"
"83";"fondue";"-2.98852351835893";"-0.776492520220454";"0.855229355703447";"302"
"84";"emji_visage_en_colère";"-0.0697714249537689";"0.273375729374474";"0.854727334369996";"303"
"85";"avis";"0.264618647666251";"-0.00616465941007874";"0.854505089905333";"304"
"86";"chanson";"-2.78758354694751";"-0.886611488111585";"0.853329910239361";"306"
"87";"emji_visage_souriant";"-2.31025976577762";"-0.660660570246333";"0.8530869307458";"307"
"88";"empoisonner";"0.534473563817401";"0.923698506928258";"0.853025893829749";"308"
"89";"emji_chat_souriant_aux_yeux_en_coeurs";"-3.41783069642535";"-1.01302119387183";"0.852941201458196";"309"
"90";"adulte";"0.0112260091383891";"0.191888012938581";"0.852490579632998";"311"
"91";"poser";"0.230080882502907";"0.307685869866265";"0.852331416383009";"312"
"92";"réponse";"-0.0692755902862136";"-0.0132846879696733";"0.852045798661011";"313"
"93";"végane";"-0.263645132498146";"0.932586535903569";"0.850990648528517";"316"
"94";"quarantaine";"-0.121623985387164";"0.186888826428513";"0.850990648528517";"317"
"95";"omnivore";"0.229008135248405";"1.27146384897175";"0.850990648528517";"318"
"96";"monde";"0.268454406941533";"0.18029506387825";"0.849959153851525";"320"
"97";"faim";"0.0970308912543558";"0.392536751155929";"0.849672367958885";"321"
"98";"vraiment";"-0.122139489815836";"0.126672160001811";"0.849594100525863";"322"
"99";"blaireau";"-0.0299117267128802";"0.78591013660899";"0.848772000436471";"324"
"100";"mec";"-0.0756237154544631";"0.0844263558242193";"0.848084532013584";"326"
"101";"langue";"0.103950222889649";"0.301158859130985";"0.847856154653049";"327"
"102";"domestique";"0.221102231939302";"0.67309626253842";"0.847262139881532";"329"
"103";"emji_notes_de_musique";"-3.32942887173339";"-0.955730049925353";"0.845984453241713";"331"
"104";"emji_trèfle_à_quatre_feuilles";"-2.99725537095414";"-0.860561852906368";"0.845928381050892";"332"
"105";"racisme";"0.310458255075485";"0.0531167584587601";"0.845685693599991";"333"
"106";"spa";"-0.591164180845325";"0.733711775179322";"0.845603045527061";"334"
"107";"sanglier";"-0.659436871229031";"0.562455813565891";"0.845603045527061";"335"
"108";"cuit";"0.090793629947349";"0.829923053861755";"0.845603045527061";"336"
"109";"donner";"0.149117382795778";"0.159355216311702";"0.845271869150021";"337"
"110";"sage";"-3.07744335340038";"-0.848458000102091";"0.845258727230297";"338"
"111";"viande";"0.35792322408453";"1.20653292263019";"0.844983623044077";"339"
"112";"emji_rose";"-3.53883561596993";"-1.0561610713389";"0.844685155445016";"340"
"113";"fête";"-2.13013643808613";"-0.474652350734601";"0.843830346577645";"342"
"114";"emji_mains_qui_forment_un_coeur";"-2.88765989357234";"-0.887414755356118";"0.84372813164646";"343"
"115";"mamie";"-2.86463536646947";"-0.812977953759375";"0.843301749362086";"345"
"116";"emji_visage_avec_lunettes_de_soleil";"-2.57822583246418";"-0.660745068352441";"0.84202523089291";"348"
"117";"emji_renard";"-2.96944073053681";"-0.782313275152";"0.841939078308054";"349"
"118";"élève";"-0.0991698693607825";"0.241598487546151";"0.840670444990712";"351"
"119";"vie";"-0.304048442286989";"0.222640408600913";"0.84060356722145";"352"
"120";"récré";"-3.25572976646941";"-0.955230037264991";"0.840041677142591";"354"
"121";"extraordinaire";"-2.82875483148755";"-0.800453169722503";"0.839127291572472";"358"
"122";"pépite";"-3.19150668024013";"-0.932333645276002";"0.838785601659652";"360"
"123";"purée";"-2.50660254813823";"-0.763297542891329";"0.83784201182348";"364"
"124";"français";"-0.0202313084459561";"0.382100179749764";"0.837504994593228";"365"
"125";"problème";"0.485371514598703";"0.5321434796944";"0.837502658251944";"366"
"126";"chaise";"-2.79467342151315";"-0.830278641590922";"0.837253837905173";"368"
"127";"julien";"-3.10939780228237";"-0.875854093097972";"0.836665956029526";"370"
"128";"emji_coeur_blanc";"-2.942046281374";"-1.01454366289603";"0.836201024113963";"371"
"129";"trouver";"0.00967973840459883";"0.25997094544396";"0.835067898591107";"374"
"130";"idée";"-0.0432064511027791";"0.285824516736291";"0.83441927184207";"375"
"131";"éducation";"0.091374695844548";"0.280858414758257";"0.834387439192072";"376"
"132";"argument";"0.374610753705675";"0.169608981198272";"0.834338083982442";"377"
"133";"expression";"0.0539210329610366";"0.0164171791246476";"0.834274418682447";"378"
"134";"mauvais";"0.225351772481772";"0.348406441406261";"0.833303376836185";"379"
"135";"importer";"0.354333541240775";"0.243635096415852";"0.833184223430689";"380"
"136";"emji_visage_roulant_des_yeux";"0.105131111110054";"0.15262882417739";"0.832910579457772";"381"
"137";"heureusement";"-0.0345190276550962";"0.136132813492428";"0.832694759931641";"382"
"138";"laisser";"0.387133156353866";"0.158224733941862";"0.832635183228893";"383"
"139";"cas";"0.343634824001027";"0.314579079706205";"0.831259954340458";"385"
"140";"malheureusement";"0.174971972659082";"0.084809006567386";"0.830203051952";"387"
"141";"arriver";"0.136488539176619";"0.24592611911239";"0.829557345629568";"389"
"142";"réfléchir";"0.241656367972368";"0.417169680517858";"0.829434103626825";"390"
"143";"regarder";"-0.130996543764648";"0.144797496911484";"0.829415996981872";"391"
"144";"demander";"0.399896496840634";"0.0689604386452052";"0.828576082290188";"395"
"145";"exactement";"-0.0196898923267728";"0.0249513406885638";"0.828574037991564";"396"
