"";"";"";"";"carnivore";""
"1";"carnivore";"0.0295728106494319";"0.723516506424159";"1.06921865048149";"57"
"2";"prisonnier";"1.94071936133715";"-4.45511726515825";"1.04621707849549";"65"
"3";"soudan";"2.02709244412528";"-4.27453568608854";"1.0317688519511";"71"
"4";"errant";"-0.291318616512199";"0.794088393337197";"1.00318108795449";"86"
"5";"casseur";"1.89467844095249";"-4.05389695886888";"0.981194948299157";"94"
"6";"emji_visage_souriant_avec_yeux_rieurs";"-2.48426752702275";"-0.70140299774244";"0.968037550314304";"105"
"7";"congo";"1.97803882555387";"-4.22779592506206";"0.961022101523056";"111"
"8";"humanitaire";"1.77510783744122";"-3.55681654312007";"0.953999935750615";"121"
"9";"colon";"1.95100889405834";"-4.32973705466918";"0.944073989804525";"133"
"10";"liban";"1.92536269746506";"-4.48936895558475";"0.935823492601896";"139"
"11";"fortune";"0.747779234728018";"1.62796869107832";"0.934023925727711";"143"
"12";"pigeon";"-0.0208700534820203";"0.540245123059869";"0.926435489236502";"154"
"13";"emji_pouce_vers_le_haut";"-2.55622716238603";"-0.701572903218791";"0.922925428499594";"158"
"14";"emji_visage_retenant_ses_larmes";"-3.14029677337196";"-0.854285299605828";"0.921450321021257";"161"
"15";"pacifique";"1.63072626412743";"-3.14924881539534";"0.920219361207124";"162"
"16";"massacrer";"1.83086662255269";"-3.98289640362856";"0.916241448128046";"167"
"17";"assassiner";"1.96412512787658";"-4.11933938935961";"0.915865881266605";"169"
"18";"bombardement";"2.0841015164826";"-4.4903301040398";"0.913295613811282";"173"
"19";"terrorisme";"1.84957535662318";"-4.09432793191727";"0.913219974762204";"174"
"20";"colonisation";"1.82826084520597";"-3.56838596588347";"0.910030868909218";"182"
"21";"sanction";"1.6597855260576";"-3.00716893947735";"0.909152404586344";"183"
"22";"stériliser";"-0.42486347741173";"0.73024624491846";"0.905434409475138";"189"
"23";"chasse";"0.159112455955257";"1.07245617726099";"0.901190445532318";"194"
"24";"emji_poignée_de_main";"-0.293833848922941";"0.450947288681157";"0.899559095230598";"195"
"25";"marché";"0.655602937278547";"1.49156691107384";"0.898746632549004";"197"
"26";"dépendant";"0.207297329195935";"0.984488302003184";"0.898281116548119";"198"
"27";"route";"0.568166395568155";"1.32490757201731";"0.896589021373009";"199"
"28";"poussin";"-0.195147882890231";"0.697238281862185";"0.895717566073988";"200"
"29";"produire";"0.774104838720639";"1.34012367256931";"0.894961467625876";"201"
"30";"augmentation";"0.823179908100925";"1.75031405625108";"0.894054383122271";"206"
"31";"pauvre";"0.0113740147543108";"0.409105971596685";"0.893722330617248";"207"
"32";"équipe";"0.115500614608307";"1.15099648405025";"0.892249559480196";"210"
"33";"domestiquer";"0.014875249808019";"0.980919838704917";"0.891009546343586";"212"
"34";"emji_étincelles";"-2.78417561275019";"-0.877284347070114";"0.884056594681691";"224"
"35";"biologiste";"0.098304690348746";"1.27555297733585";"0.883826173022533";"225"
"36";"biche";"0.0129638273691131";"1.06148302531906";"0.883826173022533";"226"
"37";"apprendre";"-0.0973758825254804";"0.124442376259032";"0.883428410918891";"227"
"38";"énergie";"0.409619693309517";"1.3540045019441";"0.8808867636443";"231"
"39";"réduire";"0.804428879830555";"1.4035997240547";"0.880724387925045";"233"
"40";"nourriture";"0.568334454295211";"0.868516819987048";"0.877801332935801";"236"
"41";"céréale";"0.0460862755538276";"0.57572661412593";"0.877509582317932";"237"
"42";"bonheur";"-2.36524588882484";"-0.501530233959734";"0.877473076985366";"238"
"43";"client";"0.531015744998466";"1.4540037398686";"0.877227761150521";"239"
"44";"accident";"0.820135687257455";"1.59170268612991";"0.876490061390022";"242"
"45";"emji_coeur_cartes";"-3.26747867104615";"-0.911752581530261";"0.875892834149239";"243"
"46";"vendre";"0.574483552989367";"0.792191372457516";"0.875403662692851";"246"
"47";"ravaler";"-0.167275010784682";"1.03615905435623";"0.875283925202034";"247"
"48";"iberia";"-0.167275010784682";"1.03615905435623";"0.875283925202034";"248"
"49";"gamelle";"-0.207919943678393";"0.89556433849875";"0.87516593996718";"249"
"50";"raciste";"0.263314989277456";"0.130823295035373";"0.874584483030065";"252"
"51";"offrir";"0.177163060736248";"0.958829814405717";"0.87318180213154";"254"
"52";"simplicité";"-2.98131560277747";"-0.780745967682598";"0.871565053962846";"255"
"53";"genre";"0.186390986868333";"0.0963234243793697";"0.871244391121585";"256"
"54";"maltraitance";"0.0684549117389819";"0.404777383957546";"0.870614455102822";"257"
"55";"emji_mains_en_prière_peau_claire";"-2.65437307654986";"-0.797154562245565";"0.869859816868013";"258"
"56";"employé";"0.662727889816658";"1.42812521985372";"0.869576827529959";"259"
"57";"milliardaire";"0.856330893238908";"1.54183373107256";"0.869150445245585";"261"
"58";"euro";"0.577823322246867";"1.54072253671472";"0.869150445245585";"262"
"59";"chômage";"0.859577461082171";"1.90477061037165";"0.868430268044719";"264"
"60";"changer";"0.00495424896531859";"0.242348701969681";"0.8684089489305";"265"
"61";"georges";"-2.75622106438306";"-0.777148482541058";"0.868269936624088";"266"
"62";"aller";"0.312034855384248";"0.244690435598976";"0.867573414878724";"267"
"63";"gratuit";"0.73589157365493";"1.48651298956038";"0.867509457536068";"268"
"64";"rassasier";"-0.594699111425911";"0.629401332940379";"0.866387429634312";"272"
"65";"emji_visage_en_colère_avec_des_cornes";"0.0387122328196552";"1.06510073545661";"0.866387429634312";"273"
"66";"cash";"0.699524941986774";"1.79861369850183";"0.866318215523767";"276"
"67";"cuire";"-0.159852405664641";"0.779830647391369";"0.866238487877442";"277"
"68";"patron";"0.502446751632499";"1.4642318452171";"0.865727413221515";"278"
"69";"etc";"0.452479184436684";"0.600963786405448";"0.86506330821147";"279"
"70";"carence";"0.195326468232804";"0.997292344488404";"0.864358609271611";"280"
"71";"sentir";"0.00289204265993202";"0.172763226289415";"0.863344345111591";"283"
"72";"sagesse";"-3.03936380303759";"-0.863252685123089";"0.863152181040962";"284"
"73";"connaître";"-0.176788325702616";"0.00480123467049209";"0.859993155582011";"287"
