"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"classe 1";-2,13394166481645;-0,549839516614806;-0,616846867964173;-0,0676891561327006;-0,932117809895309;-0,240173016193942;-0,269442206920404;-0,0295670069188614;0,910944797094906;0,0450781569278693;0,0435200180674814;0,000457027909628358;0,729630670723233;0,0484406423883597;0,0609667049610099;0,000734135449246834;0,160227846478117;1,34821348500617;0,291242888079864
"classe 2";1,31047478168665;-2,45596295329161;-0,694242424269321;-0,263705300405833;0,454855689790235;-0,852445799667312;-0,240966191174043;-0,0915300759645732;0,263257922702074;0,689183730159545;0,042242905168849;0,00531544196956354;0,184648526270918;0,648533079324352;0,0518215988978746;0,00747698015627834;0,107519815350585;1,54013963146532;0,25504023668181
"classe 3";0,539717424199474;1,03794220303937;-1,15431300565202;-0,153536789744446;0,326973528653922;0,628809835387448;-0,699310008730906;-0,0930162037947892;0,155950338834391;0,429899624335995;0,407857063297416;0,00629297353226781;0,078207720412658;0,28924315560152;0,357737054684282;0,00632909567661844;0,268482973624947;0,824129445083679;0,182350774262708
"classe 4";-0,100867955941522;0,539426427506069;2,36170831394841;-7,95052028377534;-0,0121351989089376;0,0648971909207594;0,284131862167117;-0,956509370816346;0,00029123788155046;0,00620830638468666;0,091285396349306;0,90221505938445;0,000145161983858365;0,00415155593618505;0,0795790905507268;0,901856738392836;0,0142674531363953;3,56411281165209;0,18123803236076
"classe 5";0,12802851183111;0,146380321937586;1,00043776605173;0,4312660690268;0,115689664365973;0,132272804491252;0,904019797763854;0,389702465994133;0,0235049642590892;0,022902288204726;0,820604173391892;0,132988574144274;0,0073679206093328;0,0096315667495837;0,449895550906107;0,0836030503250206;0,449501911409955;0,503557482140169;0,113980261626282
