"";"";"";"";"terroriste";""
"1";"terroriste";"2.04880425435214";"3.84839236885271";"1.05513957782829";"35"
"2";"croquette";"-0.101992758645331";"-0.587425958243269";"0.947273190709342";"63"
"3";"emji_mains_en_prière";"-2.83468681070963";"0.890622731010592";"0.94219837141699";"66"
"4";"emji_visage_souriant_avec_coeurs";"-3.21083106668427";"0.953943782771008";"0.939686045392741";"69"
"5";"langue";"-0.0641744732150487";"-0.289097874284161";"0.926973913539937";"72"
"6";"massacre";"1.83801372829287";"3.51717257980396";"0.904153020115939";"88"
"7";"cessez_le_feu";"2.10505237647558";"3.94616833163065";"0.894680948997593";"102"
"8";"emji_crâne";"-0.0521382713528513";"-0.351268108112112";"0.894456744771979";"103"
"9";"carnivore";"0.0387007211092489";"-0.356591159544354";"0.891019978893723";"109"
"10";"allemand";"-0.103039038399545";"-0.085800202635415";"0.888507033520784";"111"
"11";"rat";"0.218224259618795";"-0.0799235399362006";"0.883932152490629";"125"
"12";"genève";"0.227273447706742";"-0.8307351064228";"0.880879754409101";"128"
"13";"maltraitance";"-0.00462477153772207";"-0.32809338378615";"0.879866004474062";"129"
"14";"emji_visage_roulant_des_yeux";"-0.00586061458122091";"-0.15818780917975";"0.876312677172435";"132"
"15";"touchant";"-3.1711627961957";"0.975669041500733";"0.874789079396167";"135"
"16";"emji_visage_qui_hurle_de_peur";"-0.418048958672152";"-0.256374481198018";"0.873843333947239";"138"
"17";"penser";"0.0787794133586341";"-0.142171909368603";"0.872277992069296";"141"
"18";"bombarder";"1.91884446078582";"3.44803763013233";"0.870712897930829";"145"
"19";"emji_visage_souriant_avec_yeux_rieurs";"-2.46492453504327";"0.682625453592105";"0.870119933495464";"148"
"20";"voisin";"-0.00815428007730137";"-0.116185215712372";"0.869816328767851";"149"
"21";"errant";"-0.284849068877381";"-0.408991376374372";"0.868705836567507";"152"
"22";"innocent";"1.49014271491675";"3.06026581728869";"0.867536753981131";"156"
"23";"génial";"-2.91108722293255";"0.745857779646038";"0.867290996421122";"160"
"24";"gagner";"0.609382606353387";"-1.06466110011878";"0.866959025523528";"162"
"25";"baisser";"0.735630111380272";"-1.40750452433158";"0.864889781551776";"164"
"26";"octobre";"1.52630963817057";"2.91973936595491";"0.864213205043323";"166"
"27";"humanitaire";"1.7633062848964";"2.98213047079169";"0.864126124617573";"167"
"28";"système";"0.707289390774826";"-1.08061388496199";"0.863991106603254";"169"
"29";"merveilleux";"-3.25602431113794";"0.985463253628119";"0.863483364547569";"172"
"30";"relire";"0.0183268693855948";"0.00418569947631136";"0.860050562500926";"181"
"31";"emji_visage_riant_aux_larmes";"-0.890196201384385";"0.0794959726449991";"0.858458340889857";"186"
"32";"fortune";"0.75046206039831";"-1.2930577275796";"0.858008941480726";"188"
"33";"livre";"-0.0332941649935445";"-0.0484928544156968";"0.857373613594997";"190"
"34";"liban";"1.92941170666463";"3.9068046914944";"0.85735503313431";"191"
"35";"soutien";"1.16481525909335";"2.03943592628673";"0.856583076927668";"193"
"36";"pigeon";"-0.0428100138526214";"-0.466198120497473";"0.856304617756851";"194"
"37";"prime";"0.791612623338957";"-1.24198735161129";"0.856223111469307";"195"
"38";"ukraine";"1.60488153617727";"2.51759698980064";"0.855902536587602";"201"
"39";"emji_visage_en_pleine_réflexion";"0.0124336078741584";"-0.0920987420406337";"0.855862031183306";"202"
"40";"milliard";"0.882455503107029";"-1.12137591727808";"0.85547989304186";"204"
"41";"drone";"1.73987408329453";"2.80702562314261";"0.853440873286157";"209"
"42";"moyenne";"0.759846992251487";"-1.34627608152851";"0.852649221791187";"212"
"43";"emji_pouce_vers_le_haut";"-2.54599407908404";"0.757142610169892";"0.852152628011914";"214"
"44";"poulailler";"-0.493736856239453";"-0.399874885923884";"0.851447437594004";"216"
"45";"emji_visage_retenant_ses_larmes";"-3.12796517144362";"0.908849194688835";"0.851215925053854";"217"
"46";"transport";"0.790811628266719";"-1.49982834101561";"0.851135285854476";"218"
