"";"";"";"";"pour";""
"1";"pour";"0.166925736920626";"-0.143512232120826";"2.18201380614833";"8"
"2";"avoir";"-0.0377874122353314";"0.00158219885162052";"1.90311588726988";"11"
"3";"user_utilisateurice";"-0.0625513008881066";"0.117790839435647";"1.73376664920422";"16"
"4";"se";"0.302407333753243";"-0.270762339167903";"1.57876579153551";"20"
"5";"qu";"0.158602808462249";"-0.0168115547802477";"1.54867172613942";"24"
"6";"faire";"0.0982942959442029";"-0.0570806875404829";"1.48860394713052";"30"
"7";"du";"0.146275902453571";"-0.0597790152407701";"1.4798080676492";"31"
"8";"qui";"0.321032375577439";"-0.024482270418236";"1.47830673014961";"32"
"9";"le";"0.0634319575755744";"-0.0543167376319617";"1.41961585713557";"33"
"10";"tout";"0.0289931253347926";"-0.0393827432935097";"1.4128108817298";"34"
"11";"à";"0.0333687108142034";"-0.0649459043442158";"1.41129934492654";"35"
"12";"si";"0.135142218211107";"-0.131385913226247";"1.38523604433915";"39"
"13";"on";"0.0222321465219902";"-0.156168980176286";"1.37852490252711";"40"
"14";"tu";"0.116876082589928";"-0.0612870288921191";"1.37017779240708";"41"
"15";"vous";"0.115889024589806";"0.112500166997003";"1.36250383632899";"42"
"16";"une";"0.00587107252117343";"-0.0680358066161948";"1.309132920107";"45"
"17";"dire";"-0.0802791101670228";"0.0217540598795334";"1.28391412186313";"46"
"18";"sur";"0.256330023097075";"-0.171352795135251";"1.25074190662074";"47"
"19";"après";"0.158549502092636";"-0.532319233899697";"1.24892847042897";"48"
"20";"même";"0.0713164756254882";"-0.064720814107476";"1.22496418653599";"51"
"21";"pouvoir";"0.240191147731519";"-0.139181405834847";"1.22258978864261";"52"
"22";"moins";"0.221950252164222";"-0.386548962962367";"1.22033166281102";"53"
"23";"s";"0.185994930093869";"0.031348160241084";"1.21534216345775";"54"
"24";"dans";"0.103390188881541";"-0.205955945907175";"1.20879625036509";"55"
"25";"un";"0.0623171876511641";"-0.0479568017869889";"1.20678086796074";"56"
"26";"rien";"0.237245413591116";"0.0336074028214225";"1.19691202173379";"57"
"27";"juste";"0.146454287937444";"-0.178356698354832";"1.13724201556785";"60"
"28";"10";"0.374442173189098";"-0.4379381063956";"1.13139985442812";"61"
"29";"au";"0.0937950922814532";"-0.124051646417452";"1.13055331222387";"62"
"30";"ou";"0.26915809119413";"-0.221445868378129";"1.12938651188451";"63"
"31";"aujourd_hui";"-0.219566763279367";"-0.105457397362552";"1.1225856162002";"64"
"32";"comme";"-0.00269281745772651";"0.0248891646480007";"1.11432825995243";"65"
"33";"déjà";"0.120880933117331";"-0.172214909258816";"1.09632852884317";"66"
"34";"depuis";"0.403998155733576";"0.230118538873691";"1.09159809180301";"67"
"35";"ton";"0.0253973911546052";"-0.0261568719966091";"1.05660224106518";"72"
"36";"te";"0.0712138701504551";"-0.205131923975189";"1.05474800765875";"73"
"37";"donc";"0.464069564935027";"-0.126646099649575";"1.05067848549613";"74"
"38";"personne";"0.163777798847267";"0.0516835297634591";"1.05004000908665";"75"
"39";"falloir";"0.281848623443117";"-0.195121879299983";"1.04548500006954";"77"
"40";"peu";"0.00136534502999409";"-0.143359248298295";"1.0412788072378";"78"
"41";"devoir";"0.267114440758785";"-0.0780437651235225";"1.03360689102044";"79"
"42";"leur";"0.35523097553641";"-0.0766176930089545";"1.02758318227546";"80"
"43";"vouloir";"0.2326198828898";"-0.049504473581838";"1.02290986133583";"81"
"44";"quelque";"0.300243969368875";"-0.0187257728577292";"1.02120453776292";"82"
"45";"environ";"0.463687596006628";"-0.698518995218922";"1.01777553187051";"84"
"46";"nos";"-0.0189223745282977";"-0.281596831618811";"1.0099343072123";"85"
"47";"là";"0.0336498797431096";"0.0352269285839143";"1.00716825605815";"86"
"48";"point";"0.323179816438104";"-0.170767329156345";"1.006007575301";"87"
"49";"100";"0.44261345093963";"-0.332465813049866";"1.00008993931414";"88"
"50";"30";"0.121309577550432";"-0.510595077610555";"0.982802119600744";"91"
"51";"votre";"0.0836576432629955";"0.11262373622319";"0.978092081167913";"94"
