"";"";"";"";"pour";""
"52";"nous";"-0.0612065226333006";"-0.092693059706398";"0.977063991358408";"95"
"53";"2";"0.204413125440829";"-0.143610807372158";"0.976855925563628";"96"
"54";"entre";"0.369222778590033";"-0.0953682860875156";"0.975126123661921";"98"
"55";"elles";"-0.0677754699668591";"-0.0840312947340054";"0.973069944042911";"100"
"56";"savoir";"0.0261404560981085";"-0.0951033740967982";"0.972876157273263";"101"
"57";"autre";"0.106988070094399";"-0.0081794597711616";"0.96973477174422";"103"
"58";"alors";"0.357222013030126";"-0.0974331425090587";"0.968243633548291";"105"
"59";"pourquoi";"0.36785942745393";"0.214116336196171";"0.967703070454008";"106"
"60";"cela";"0.261598114231612";"-0.11792272753556";"0.963476479014933";"107"
"61";"3";"0.208219483447051";"-0.446770417381272";"0.960065831869115";"108"
"62";"avec";"-0.142147770326597";"-0.0528030477370783";"0.957152910742185";"109"
"63";"quand";"0.0482924868980404";"-0.136893157389768";"0.955979990820627";"111"
"64";"combien";"0.524534414618629";"-0.417304701338384";"0.953560715991117";"113"
"65";"autres";"0.346744630406702";"-0.12424063761444";"0.953550516687452";"114"
"66";"quoi";"0.146917747170843";"0.0347415302723332";"0.953201700502084";"115"
"67";"parce_que";"0.460954442072023";"-0.174381291741918";"0.949713538648407";"117"
"68";"selon";"0.581870635887242";"-0.242771555251328";"0.949183174857789";"118"
"69";"son";"-0.184147845713437";"0.100310893106764";"0.947196350503707";"120"
"70";"mal";"0.0333329244432226";"-0.142471783284512";"0.943351213021729";"122"
"71";"sans";"0.285398012628126";"-0.195329657814177";"0.939501995818286";"123"
"72";"lui";"-0.290259331024941";"0.0776698930558778";"0.932984640775889";"127"
"73";"souvent";"0.208537780300592";"-0.396485482565502";"0.930657159679371";"128"
"74";"ni";"0.506013669655266";"0.271851652005256";"0.919621513113059";"132"
"75";"20";"0.231825197791688";"-0.0511189082738368";"0.918189530878392";"133"
"76";"où";"0.118112113844932";"-0.107417169391789";"0.917396025053199";"135"
"77";"sous";"0.40349915549159";"0.173498968111175";"0.91312863639946";"136"
"78";"pendant";"0.314142583986798";"-0.107114580702715";"0.909444647915401";"138"
"79";"bon";"-0.337768688183801";"0.00616374651612041";"0.906670437318325";"141"
"80";"aucun";"0.520978067011504";"0.200095127107065";"0.90607683784498";"142"
"81";"assez";"0.251110061553206";"-0.342203343385753";"0.904738689204037";"144"
"82";"leurs";"0.429395822952199";"0.0280779700520912";"0.901842086962972";"146"
"83";"jamais";"0.101540406096978";"-0.031696568468632";"0.898753737812991";"147"
"84";"avant";"0.00260017440751992";"0.0198885374938831";"0.894869842977084";"149"
"85";"quelqu_un";"0.00544677991158837";"-0.177913743396982";"0.891620344829185";"151"
"86";"ta";"-0.0213835577741174";"-0.113218600122051";"0.891153216721295";"152"
"87";"14";"0.145613149953429";"0.00117422488766297";"0.889284704289734";"153"
"88";"44";"-0.0280111517626883";"-0.152857325046082";"0.887408032415242";"154"
"89";"sauf";"0.344412719371513";"-0.285452444936239";"0.885186624076847";"156"
"90";"13";"-0.0606641233042116";"0.172486862556791";"0.878096068168437";"162"
"91";"derrière";"0.195858130830438";"-0.377982427465138";"0.878053231093041";"163"
"92";"tous";"0.0566912993127356";"0.0628754933926438";"0.877894121955856";"164"
"93";"sinon";"0.168537842954141";"-0.446588436147312";"0.874310086647721";"165"
"94";"soi";"0.0349211998489339";"-0.285503570200801";"0.869396062141576";"169"
"95";"2016";"-0.324906450614869";"-0.311127716735052";"0.868094630993829";"170"
"96";"autant";"0.251462262590466";"-0.218587076712476";"0.867490832216819";"171"
"97";"ceux";"0.441790387733235";"-0.0567627202154452";"0.867164454499516";"173"
"98";"certaines";"0.285524729782445";"-0.414235055522205";"0.863217323980881";"176"
"99";"eux";"0.328857830915534";"0.0931751136133201";"0.856459265371973";"182"
"100";"comment";"0.123876609353749";"-0.0460092735216865";"0.853438231626186";"184"
"101";"tes";"0.116061815275694";"-0.228450335907005";"0.851190305098261";"187"
"102";"ainsi";"0.383296455152003";"0.0506678963785945";"0.850270327907613";"188"
"103";"puis";"0.18977977941911";"-0.196406307195805";"0.849621652194473";"189"
"104";"plusieurs";"0.344873441057485";"-0.400093918049815";"0.849021933138928";"190"
"105";"eux_mêmes";"0.55455274542872";"-0.176559213328035";"0.848907700937872";"191"
"106";"bah";"0.0562071467363762";"-0.0879838957868577";"0.841005280457671";"199"
"107";"vite";"0.0369904342376845";"-0.409965599463823";"0.840305608226202";"201"
"108";"vos";"0.154188052848129";"-0.0126873130439632";"0.837755782309771";"206"
"109";"jusqu_au";"-0.127008121213712";"-0.0454214030199752";"0.836474749769357";"211"
"110";"croire";"0.0547503704708136";"0.081516948720247";"0.836293202164107";"212"
"111";"60";"-0.336670508448937";"-0.192078792226158";"0.833455755884303";"219"
"112";"deux";"0.0343074987517947";"0.136994403538559";"0.832800960588963";"220"
"113";"trois";"0.191315705407557";"-0.35888612782674";"0.832437865378464";"221"
"114";"51";"0.140445950633787";"-0.927451812842113";"0.829926796815963";"228"
"115";"htag_cqfd";"0.210284570249199";"-0.278353438570108";"0.82945150926514";"229"
"116";"u";"-0.0231815055882765";"-0.0110840043799892";"0.82869880065461";"230"
"117";"ah";"-0.287203539424852";"0.188276170138954";"0.828095001877599";"231"
"118";"partout";"0.275142656366256";"-0.280601408327784";"0.827546279340383";"232"
"119";"attention";"0.246612965100315";"-0.0654173144443384";"0.825543136100435";"236"
"120";"1972";"0.00451233227970194";"-0.521283283786655";"0.824867942197765";"237"
"121";"lors";"0.511193298988305";"0.159037059896936";"0.824672115567383";"239"
"122";"ailleurs";"0.337406397737013";"-0.0129313964665079";"0.824105034283569";"240"
"123";"23";"-0.171175966825436";"-0.0707491540949505";"0.823901048210254";"242"
"124";"dessous";"0.253668500855494";"-0.556656222535941";"0.822928034640544";"253"
"125";"debout";"0.0338481435854602";"-0.133530536707896";"0.821704118200657";"255"
"126";"puisqu";"0.280959210558193";"-0.339190872234184";"0.819762170782704";"257"
"127";"presque";"-0.214175391605022";"-0.246535159234219";"0.819242006295752";"259"
"128";"htag_shameonyoutrump";"-1.18441988076412";"0.205191044514502";"0.819125734233963";"260"
"129";"merde";"-0.0220710167362735";"-0.648977169777894";"0.819058418829769";"261"
"130";"1930";"0.00603942083910858";"-0.825131105793679";"0.81821595634698";"265"
"131";"45";"0.39151745364753";"-0.0845900870646596";"0.817983412223402";"267"
"132";"wouah";"-1.30666427647726";"0.21849541971731";"0.817626436595102";"269"
"133";"pardon";"0.133351204931686";"0.279788181433957";"0.817473447040116";"270"
"134";"vôtre";"0.133773327553168";"0.0822712575915262";"0.81684720979504";"273"
"135";"con";"-0.210215063624462";"-0.340005966197698";"0.816333164890288";"275"
"136";"ok";"0.0422415355818833";"-0.0896867321974243";"0.815878275946797";"276"
"137";"bye";"-0.488626241130088";"-0.124248163466346";"0.81538054992791";"278"
"138";"52";"0.0151915080610484";"0.359985013906903";"0.81538054992791";"279"
"139";"hello";"-0.0325318778048146";"-0.114996447571572";"0.81538054992791";"280"
"140";"youpi";"0.286971154266362";"-0.345852369805448";"0.81487466446609";"283"
"141";"lequel";"0.138981373807608";"-0.222081995469366";"0.814032201983301";"287"
"142";"gna_gna";"-0.811100101466109";"0.115692095652259";"0.812386034371653";"293"
"143";"revoilà";"0.432779370692218";"-0.912095357071221";"0.812386034371653";"294"
"144";"2001";"0.36618278160636";"0.304698765430021";"0.812094334286814";"296"
"145";"sienne";"-0.0860795010933661";"-0.0826800328835855";"0.811900547517165";"297"
"146";"maintenant";"-0.160048224395527";"-0.0749910802289217";"0.811855670581036";"298"
"147";"ouais";"0.0399698356277559";"0.00569392353363648";"0.811843431416637";"299"
"148";"2007";"0.671761551310589";"0.583431710282246";"0.811439538991474";"302"
"149";"nôtres";"-0.0578724843767762";"-0.651052764891089";"0.811292669018688";"303"
"150";"hé";"-0.530442506063131";"-0.132903150227924";"0.811160078071034";"307"
"151";"nul";"0.175476095393438";"-0.388652631702218";"0.810227861715986";"309"
"152";"nuls";"0.161217584422058";"-0.856754469894603";"0.810111589654197";"310"
"153";"demi";"0.419377340912083";"0.311315654942778";"0.809852527341088";"311"
"154";"ben";"0.0401943803322023";"-0.0697043804648241";"0.809515950320119";"313"
"155";"près";"-0.0252871976214232";"-0.350445882728643";"0.809487392269855";"314"
"156";"eh";"-0.292592590088255";"-0.130336428050285";"0.809391518815397";"315"
"157";"ouh";"-1.26582834763099";"0.239045159812443";"0.809381319511732";"316"
"158";"90";"-0.537253120317648";"-0.135961091329909";"0.809358881043667";"317"
"159";"hein";"0.136661171170873";"-0.0584016247048163";"0.809226290096013";"318"
"160";"ha";"-0.296660617443793";"-0.341608878774811";"0.80914061594522";"319"
"161";"55";"-0.151830030404764";"-0.362332803302964";"0.809034543187097";"320"
"162";"mien";"-0.600406907848217";"-0.569261299666225";"0.808979466947302";"321"
"163";"chacune";"-0.321413023339939";"-0.922674568232068";"0.808940709593372";"322"
"164";"devant";"0.0790558258859217";"0.0497358776876117";"0.808834636835249";"323"
"165";"quelquefois";"-0.587108233887301";"0.0619927263349131";"0.808440943713752";"324"
"166";"63";"0.40799534383936";"-0.760237235843871";"0.808440943713752";"325"
"167";"140";"0.40799534383936";"-0.760237235843871";"0.808440943713752";"326"
"168";"08";"-0.357098879235732";"-0.512966548237405";"0.808440943713752";"327"
"169";"excepté";"0.19459172504043";"-0.0771373702926372";"0.807904460340935";"329"
"170";"haha";"-0.677881671049411";"-0.213721613016991";"0.807372056689584";"331"
"171";"vingt";"0.129751622910644";"0.0839886027613451";"0.807208867830933";"332"
"172";"diverses";"0.857302907982571";"0.369462820658412";"0.806802935545037";"336"
"173";"1983";"-1.33343794235675";"0.284310521466293";"0.806731540419377";"337"
"174";"29";"-0.0856371991498977";"-0.310279013859455";"0.806670344597383";"338"
"175";"arrière";"-0.70750668433896";"-0.100550185408602";"0.806598949471723";"339"
"176";"2027";"0.481001743595528";"-0.828308388178298";"0.8064867571314";"340"
"177";"quels";"-0.455916411203776";"0.507277004911978";"0.806303169665416";"342"
"178";"1940";"0.445644189918386";"0.431520463022762";"0.80622769481829";"343"
"179";"heu";"-0.292912643067537";"-0.0907695660816032";"0.805925795429785";"344"
"180";"flop";"0.487309890375609";"-0.898564852764104";"0.805895197518788";"345"
"181";"95";"0.378271728664948";"0.543497266187879";"0.805882958354389";"346"
"182";"alentour";"-0.597524764286187";"-0.383132972198577";"0.805778925456998";"347"
"183";"zut";"-0.709287457270698";"-0.267220959948997";"0.805778925456998";"348"
"184";"1986";"-1.06690322198526";"0.013292367405494";"0.805744247824535";"349"
"185";"sien";"0.428726890265626";"-0.697635825775498";"0.805744247824535";"350"
"186";"1990";"-0.282829266053477";"0.0323361548156412";"0.805381152614035";"354"
"187";"miens";"-1.27921009470406";"0.242724535978267";"0.805199605008785";"356"
"188";"na";"0.150809236474289";"0.562381534649107";"0.805077213364797";"358"
"189";"celle_là";"-0.549258024068373";"-0.37070420591346";"0.804989499353271";"359"
"190";"n_est_ce_pas";"0.453958918195765";"0.0651166629585219";"0.804761034951159";"360"
"191";"extra";"-1.021720695436";"-0.0355868163560692";"0.804726357318696";"361"
"192";"cinq";"0.205605816077514";"-0.517769333184803";"0.804710038432831";"362"
"193";"auparavant";"-0.000108574015453174";"0.0128756722387695";"0.804275548096671";"363"
"194";"1985";"-1.16946300738715";"0.15475794994534";"0.804051163416025";"365"
"195";"bof";"-0.338437636691298";"-0.446955822664576";"0.803898173861039";"366"
"196";"jusque";"0.264115710938381";"-0.200965839464589";"0.80388593469664";"367"
"197";"chic";"-1.29992085316589";"0.0682435105571984";"0.803792101102916";"368"
"198";"70";"-0.4612824458354";"0.022227458501599";"0.803473882828545";"371"
"199";"autrefois";"0.128965004951518";"-0.217068180195911";"0.803220940097635";"373"
"200";"1970";"-0.731763813815345";"0.234056712960083";"0.803116907200245";"374"
"201";"1980";"-0.696791047211141";"-0.103841859118425";"0.802976156809658";"375"
"202";"parce";"0.0975601235057413";"-0.155308241506801";"0.802935359594995";"376"
"203";"ô";"-1.29522263180033";"0.160120835040313";"0.802364198589715";"380"
"204";"1979";"-1.21307643371048";"-0.0452217630212289";"0.802364198589715";"381"
"205";"1977";"-1.21307643371048";"-0.0452217630212289";"0.802364198589715";"382"
"206";"1960";"-0.871204666666758";"0.243188015353486";"0.801923588671355";"383"
"207";"celui_là";"-0.238039875089939";"0.222006358376873";"0.801915429228423";"384"
"208";"69";"-0.950956551614565";"-0.238344409814234";"0.801735921483906";"385"
"209";"nôtre";"-0.535793893588462";"-0.37032117424247";"0.801521736106926";"386"
"210";"1974";"-1.02283447494318";"-0.0586696365103842";"0.801209637414755";"387"
"211";"83";"-0.861475203116072";"0.652245830457907";"0.801209637414755";"388"
"212";"pouce";"-0.748699390024913";"0.482718935384396";"0.801209637414755";"389"
