"";"banalfreq";"X.rts_a";"X.rts_i"
"emji_sapin_de_noël";16;0,5831;-0,5831
"emji_main_qui_écrit_peau_moyennement_claire";15;1,5104;-1,5104
"emji_skieur";14;0,6334;-0,6334
"emji_drapeau_suisse";327;0,5792;-0,5792
"emji_micro";19;1,3193;-1,3193
"emji_tête_qui_parle";11;1,7704;-1,7704
"emji_main_avec_index_pointant_à_droite";190;-0,5224;0,5224
"emji_feu";19;1,3193;-1,3193
"emji_trophée";15;1,5104;-1,5104
"emji_appareil_photo_avec_flash";194;-0,2973;0,2973
"emji_symbole_d_avertissement";25;0,4234;-0,4234
"emji_étincelles";13;0,6617;-0,6617
"emji_balance_à_poids";30;0,3628;-0,3628
"emji_caméscope";155;0,4829;-0,4829
"emji_flocon";20;0,5015;-0,5015
"emji_chaînons";156;-1,3102;1,3102
"emji_drapeau_royaume_uni";10;-0,0821;0,0821
"emji_stéthoscope";10;-0,0821;0,0821
"emji_montagne_enneigée";12;-0,0985;0,0985
"emji_téléviseur";10;-0,0821;0,0821
"emji_sac_plein_d_argent";20;-0,1644;0,1644
"emji_livres";12;-0,0985;0,0985
"emji_drapeau_france";39;-0,3215;0,3215
"emji_voiture";10;-0,0821;0,0821
"emji_drapeau_états_unis";41;-0,3381;0,3381
"emji_explosion";11;-0,0903;0,0903
"emji_graphique_en_baisse";13;-0,1067;0,1067
"emji_drapeau_ukraine";10;-0,0821;0,0821
"emji_graphique_en_hausse";13;-0,1067;0,1067
"emji_urne_électorale";23;-0,1891;0,1891
"emji_bulle_de_parole";15;-0,1232;0,1232
"emji_clap";17;-0,1397;0,1397
"emji_drapeau_territoires_palestiniens";31;-0,2553;0,2553
"emji_ski";16;-0,1314;0,1314
"emji_drapeau_israël";18;-0,1479;0,1479
"emji_hôpital";11;-0,0903;0,0903
"emji_billet_avec_des_ailes";12;-0,0985;0,0985
"emji_porte_documents";13;-0,1067;0,1067
"emji_symbole_d_interdiction";10;-0,0821;0,0821
"emji_cerveau";13;-0,1067;0,1067
"emji_gyrophare";26;-0,2139;0,2139
"emji_train";14;-0,115;0,115
"emji_globe_tourné_sur_l_afrique_et_l_europe";23;-0,1891;0,1891
"emji_avion";12;-0,0985;0,0985
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";10;-0,0821;0,0821
"emji_drapeau_brésil";10;-0,0821;0,0821
