"";"*rts_a";"*rts_i"
"emji_visage_avec_un_sourire_malin";78;73
"emji_visage_riant_aux_larmes";8178;3868
"emji_visage_souriant_avec_une_goutte_de_sueur";770;358
"emji_visage_avec_lunettes_de_soleil";77;24
"emji_ok";99;31
"emji_trinquer";10;7
"emji_applaudissements";1330;901
"emji_feu";574;326
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";14;23
"emji_se_rouler_par_terre_de_rire";1215;622
"emji_drapeau_suisse";219;236
"emji_visage_envoyant_un_bisou";133;67
"emji_visage_qui_hurle_de_peur";109;54
"emji_soleil";33;3
"emji_visage_rieur";71;8
"emji_pouce_vers_le_haut";249;74
"emji_visage_souriant_aux_yeux_rieurs";247;83
"emji_visage_avec_bouche_ouverte";329;181
"emji_visage_souriant_avec_yeux_rieurs";340;90
"emji_visage_qui_pleure";836;659
"emji_visage_avec_une_main_sur_la_bouche";85;26
"emji_visage_souriant";124;38
"emji_couronne";16;3
"emji_visage_de_clown";65;123
"emji_visage_de_geek";45;60
"emji_cotillons";23;14
"emji_papillon";12;2
"emji_notes_de_musique";99;7
"emji_visage_roulant_des_yeux";221;232
"emji_fondue";13;9
"emji_visage_qui_vomit";51;45
"emji_miam";39;9
"emji_pouce_vers_le_haut_peau_moyennement_claire";24;9
"emji_visage_boudeur";108;179
"emji_abeille";10;2
"emji_yeux";42;64
"emji_homme_avec_la_paume_sur_le_visage";9;28
"emji_applaudissements_peau_moyennement_claire";17;23
"emji_singe_ne_rien_voir";68;43
"emji_visage_festif";40;43
"emji_visage_souriant_avec_de_grands_yeux";51;21
"emji_pouce_vers_le_haut_peau_claire";52;41
"emji_visage_avec_des_symboles_dans_la_bouche";32;53
"emji_visage_implorant";48;12
"emji_visage_avec_un_doigt_sur_la_bouche";20;16
"emji_signe_de_la_main";37;9
"emji_visage_qui_rougit";83;43
"emji_visage_pensif";77;48
"emji_visage_bleu_et_froid";16;15
"emji_ok_peau_moyennement_claire";16;8
"emji_drapeau_france";28;8
"emji_feuille_morte";2;8
"emji_jeune_pousse";9;5
"emji_ok_peau_claire";18;11
"emji_bouteille_de_champagne";5;5
"emji_chat_qui_pleure_de_joie";18;23
"emji_cent_points";22;10
"emji_rose";59;2
"emji_index_pointant_vers_le_haut_peau_claire";5;6
"emji_note_de_musique";11;2
"emji_visage_souriant_avec_une_larme";76;64
"emji_explosion";16;12
"emji_index_pointant_vers_le_haut";14;13
"emji_partition";39;1
"emji_flocon";21;4
"emji_nuage_avec_neige";10;0
"emji_visage_anxieux_avec_goutte_de_sueur";17;9
"emji_feuille";13;9
"emji_visage_avec_un_monocle";43;53
"emji_personne_avec_la_paume_sur_le_visage";13;38
"emji_visage_sans_expression";20;26
"emji_fleur_de_cerisier";24;0
"emji_v_de_la_victoire";22;18
"emji_visage_confus";17;10
"emji_symbole_de_paix";5;6
"emji_visage_retenant_ses_larmes";173;28
"emji_points_d_exclamation_et_d_interrogation";1;9
"emji_visage_qui_regarde_entre_ses_doigts";65;35
"emji_visage_rouge_et_chaud";17;5
"emji_visage_sans_bouche";7;5
"emji_visage_endormi";16;17
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";16;15
"emji_colombe";25;58
"emji_applaudissements_peau_claire";33;39
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";11;7
"emji_visage_qui_fond";46;31
"emji_visage_qui_tire_la_langue";6;8
"emji_visage_aux_yeux_en_spirales";29;19
"emji_croix_latine";7;7
"emji_verre_de_vin";12;1
"emji_tas_de_crotte";37;34
"emji_visage_neutre";23;15
"emji_bout_des_doigts_joints";6;4
"emji_visage_avec_bouche_en_diagonale";8;7
"emji_cornes_avec_les_doigts";21;10
"emji_point_d_exclamation_rouge";6;6
"emji_sac_plein_d_argent";4;25
"emji_hibiscus";10;2
"emji_pouce_vers_le_bas";10;14
"emji_ogre";6;7
"emji_visage_expirant";9;24
"emji_ampoule";6;4
"emji_femme_avec_la_paume_sur_le_visage_peau_claire";9;10
"emji_visage_souriant_avec_des_cornes";6;7
"emji_confettis";6;5
"emji_soleil_avec_visage";14;5
"emji_pouce_vers_le_bas_peau_claire";4;6
"emji_visage_qui_fait_un_salut_militaire";35;23
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";8;6
"emji_pop_corn";2;14
"emji_symbole_d_avertissement";14;23
"emji_femme_avec_la_paume_sur_le_visage";9;27
"emji_point_d_interrogation_rouge";2;10
"emji_double_point_d_exclamation";8;8
"emji_argent_dans_les_yeux_et_la_bouche";3;7
"emji_empreintes_d_animaux";6;5
"emji_croix";6;9
"emji_arc_en_ciel";8;6
"emji_drapeau_italie";28;2
"emji_billet_avec_des_ailes";4;12
"emji_renard";88;2
"emji_index_pointant_vers_l_utilisateur";3;15
"emji_chat";11;3
"emji_visage_avec_des_valises_sous_les_yeux";0;13
"emji_ninja_peau_mate";0;22
"emji_drapeau_territoires_palestiniens";0;77
"emji_langue";0;14
