"";"*rts_a";"*rts_i"
"et";1938;6604
"ils";389;1390
"gagner";58;207
"rien";142;548
"emji_visage_en_pleine_réflexion";29;106
"emji_visage_souriant_avec_yeux_rieurs";44;32
"c";1332;3513
"être";3432;10259
"la";2190;7041
"suisse";622;1963
"les";1975;7661
"français";104;225
"avoir";2218;5521
"plus";580;2466
"de";3236;11077
"budget";7;86
"y";452;1227
"pour";953;3800
"tes";15;69
"20";37;104
"euro";62;24
"bravo";37;95
"à";1406;4428
"nos";93;414
"ami";15;32
"qui";769;3334
"contrairement";6;27
"belge";5;5
"une";717;2552
"très";159;426
"beau";78;131
"mentalité";4;9
"dans";634;1854
"victoire";10;20
"comme";281;941
"bon";188;456
"chance";16;71
"le";1714;5561
"rester";80;321
"compétition";6;15
"ça";595;1663
"ne";963;4035
"nous";282;768
"rapporter";10;33
"pas";1212;4650
"un";1009;3347
"centime";13;17
"vous";401;1509
"payer";154;921
"votre";54;270
"loyer";10;126
"ni";50;149
"vos";44;154
"facture";6;45
"chaque";59;221
"mois";58;204
"il";829;2428
"ce";562;2002
"sport";14;29
"ci";4;13
"loin";31;68
"d";868;3433
"chose";67;221
"nécessaire";12;61
"monde";114;516
"oser";8;29
"dire";312;762
"devoir";157;643
"viser";3;30
"couper";34;149
"ya";7;15
"t";101;308
"des";1222;4701
"origine";9;33
"ds";8;5
"cette";177;481
"équipe";57;178
"j";458;708
"espérer";11;64
"que";988;4046
"là";85;280
"europe";24;146
"emji_applaudissements";72;186
"hop";5;15
"emji_drapeau_suisse";32;86
"on";793;2902
"leur";159;673
"croiser";4;6
"doigt";8;17
"depuis";106;254
"suède";2;13
"ben";27;69
"qu";513;1730
"elle";224;334
"chez";95;204
"pourquoi";62;281
"venir";88;263
"puisqu";5;17
"aimer";76;91
"peut_être";36;95
"ou";260;1101
"alors";128;503
"se";275;1100
"payant";8;15
"l";1271;4219
"avion";43;60
"femme";54;141
"fier";5;13
"question";24;158
"rue";24;50
"police";23;127
"voiture";111;196
"amande";4;9
"100";24;121
"oui";191;503
"aussi";198;632
"argent";92;472
"vrai";80;227
"apercevoir";6;6
"min";9;12
"2";78;266
"34";1;9
"emji_visage_envoyant_un_bisou";17;12
"toi";30;150
"meilleur";49;149
"erreur";20;55
"du";641;2000
"passer";122;338
"grave";7;42
"pareil";18;76
"france";203;417
"moi";137;240
"avec";415;1166
"tout";367;1124
"partout";29;69
"partir";41;282
"moitié";22;51
"jusqu_à";20;65
"arrière";11;21
"part";41;161
"en";1607;4582
"car";86;373
"malheureusement";29;70
"je";768;1816
"me";179;300
"faire";726;2341
"voler";26;66
"1er";6;18
"acheter";86;176
"pot";14;17
"italie";19;32
"trop";93;295
"évidemment";16;57
"groupe";8;44
"travailleur";8;64
"social";27;218
"organiser";9;22
"deux";63;180
"jour";72;233
"tous";140;484
"jeune";48;70
"sur";346;1407
"piste";13;28
"réaliser";7;25
"vaud";34;64
"média";3;36
"politicien";8;59
"urgence";8;19
"proposer";15;68
"aux";130;693
"espace";24;48
