"";"X.rts_a";"X.rts_i"
"ver";-185,0638;185,0638
"pro_per";140,2447;-140,2447
"pro_dem";33,1027;-33,1027
"nom";73,9519;-73,9519
"nr";Inf;-Inf
"pre";-220,0714;220,0714
"con";-66,5101;66,5101
"art_def";-78,0735;78,0735
"adj_ind";-27,8542;27,8542
"aux";64,712;-64,712
"adv_sup";-0,8518;0,8518
"num";-5,0866;5,0866
"nom_sup";26,9555;-26,9555
"pro_ind";-5,3249;5,3249
"ver_sup";-18,4737;18,4737
"adj";0,9424;-0,9424
"adj_dem";31,0872;-31,0872
"adv";-19,1846;19,1846
"adj_pos";34,024;-34,024
"adj_int";49,9343;-49,9343
"art_ind";-69,6422;69,6422
"ono";111,3758;-111,3758
"pro_rel";-107,9151;107,9151
"adj_sup";-3,2288;3,2288
"adj_num";2,4775;-2,4775
"pro_pos";1,7501;-1,7501
