"";"*rts_a";"*rts_i"
"vieux";371;99
"france";538;620
"partir";189;554
"clairement";90;197
"putain";56;22
"relire";31;58
"explication";23;44
"punaise";37;11
"subtil";13;2
"gros";233;319
"interviewer";34;2
"nettement";14;19
"conditionner";6;6
"délire";19;19
"amitié";14;15
"hypocrisie";13;69
"emji_visage_mécontent";9;7
"irréprochable";5;5
"vocabulaire";101;13
"choisir";100;190
"phrase";115;75
"complexe";25;50
"camp";29;73
"vacance";88;66
"emji_soleil";41;11
"moniteur";10;0
"nombreux";65;124
"colonie";10;11
"romand";54;43
"étudiant";23;62
"science";59;49
"éducation";152;115
"claude";23;2
"cabane";14;0
"bois";75;44
"bain";110;18
"rivière";14;9
"génial";280;52
"frère";72;51
"soeur";81;23
"importer";233;403
"emji_visage_avec_un_léger_sourire";112;68
"emji_visage_souriant_avec_coeurs";1186;175
"commentaire";465;675
"emji_visage_rieur";86;10
"vachement";16;15
"classe";267;218
"ancien";212;71
"marrant";50;40
"us";12;69
"emji_main_avec_index_pointant_à_droite";32;15
"solide";14;22
"emji_pouce_vers_le_haut";504;127
"trésor";21;3
"saut";20;6
"patrimoine";15;45
"extraordinaire";65;9
"superbe";52;21
"connaître";730;499
"papa";74;26
"maître";34;19
"alpage";22;1
"maison";254;179
"gamin";151;30
"copain";124;38
"ville";160;303
"piscine";38;17
"merveilleux";178;30
"moitié";96;96
"vélomoteur";15;1
"puch";17;0
"part";250;429
"selle";11;0
"blanc";262;165
"voler";74;174
"marine";9;3
"maxi";18;1
"emji_poing_levé_peau_moyennement_claire";6;10
"troupe";3;9
"année";1014;655
"ahaha";35;7
"régaler";26;7
"emji_poing_levé";21;24
"rouler";83;75
"neige";125;59
"chaux";16;5
"malheureusement";292;261
"1er";64;57
"acheter";182;243
"pot";21;27
"italie";110;57
"kilomètre";12;14
"excellent";172;103
"côté";226;319
"vert";39;57
"monter";61;102
"km";21;36
"h";48;68
"maquiller";16;6
"emji_pouce_vers_le_haut_peau_moyennement_claire";52;21
"évidemment";80;136
"groupe";85;200
"travailleur";16;70
"social";136;404
"jour";713;732
"jeune";640;325
"piste";28;36
"réaliser";40;52
"gris";12;12
"vaud";58;70
"média";29;194
"sensibiliser";6;7
"politicien";14;91
"urgence";11;33
"proposer";49;131
"espace";41;73
"entièrement";31;39
"consacrer";4;18
"montrer";139;326
"lausanne";122;177
"for";14;17
"ever";12;3
"flic";23;66
"indignation";5;18
"boguet";12;0
"conduire";38;57
"genève";238;363
"début";194;120
"étude";64;244
"comparer";80;100
"plat";33;20
"besoin";277;539
"manière";122;253
"apprécier";69;28
"pays";315;1608
"habitant";22;92
"grèce";5;6
"turquie";21;24
"côte";11;12
"rencontre";26;13
"voyage";52;68
"destination";6;11
"recommander";16;18
"donner";546;792
"goût";68;63
"hasard";37;57
"découverte";17;15
"é";14;13
"idole";7;4
"frisson";19;5
"intéressant";153;123
"entendre";365;220
"regard";72;33
"homme";1131;737
"réflexion";75;61
"urbain";6;9
"cheveu";113;31
"vent";26;31
"effet";101;211
"perle";13;5
"remonter";36;26
"lol";131;84
"naître";205;107
"fou";222;171
"image";147;173
"problème";314;950
"boy";31;5
"carrément";41;36
"éclater";22;17
"carter";10;0
"huile";34;8
"bagnole";12;8
"etait";128;64
"considérer";56;112
"réseau";116;149
"passion";55;21
"témoignage";131;40
"perdre";242;349
"suffire";80;203
"taper";51;60
"nom";351;171
"facebook";4;7
"emji_cornes_avec_les_doigts";42;25
"street";8;3
"premier";342;363
"minute";56;66
"fils";113;54
"suivre";105;207
"roi";66;37
"roller";17;8
"mère";250;83
"trembler";6;4
"descendre";24;39
"permettre";157;397
"lien";57;130
"concerner";49;190
"mort";195;331
"affronter";7;16
"fantastique";37;13
"emji_fusée";8;10
"emji_mains_levées_peau_moyennement_claire";22;19
"emji_v_de_la_victoire_peau_moyennement_claire";5;8
"bus";43;59
"orange";30;16
"drôle";145;88
"rip";20;65
"partie";225;366
"redescendre";6;12
"bord";25;39
"lac";114;35
"recyclage";16;13
"mignon";242;11
"naïf";17;28
"réchauffement";30;52
"climatique";40;124
"grippe";8;11
"emji_visage_avec_masque";11;4
"rassurant";8;10
"repos";14;9
"nourrir";225;74
"soigner";43;96
"politique";67;581
"visionnaire";44;4
