"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"user_utilisateurice";1;1;1;0;1;1;0,623;0
"emji_visage_riant_aux_larmes";1;1;1;0;1;1;1;1
"aller";1;1;1;1;0;0,371;0,842;0,168
"emji_applaudissements";0,317;0;1;1;1;1;1;1
"suisse";1;1;1;1;0;1;1;1
"voir";1;1;1;1;0,375;0,611;0,046;0
"parler";1;1;0;1;1;0,359;0;0
"pays";1;1;0;1;0;1;1;0,222
"gens";1;1;1;1;0;1;1;0
"monde";1;1;1;1;0,002;0,005;0,486;0
"emji_coeur_rouge";0,011;0;1;1;1;1;1;1
"emji_feu";0,001;0;1;1;1;1;1;1
"emji_visage_qui_pleure";0,086;0;1;1;1;1;1;1
"prendre";1;1;1;1;0;0,604;0,189;0
"enfant";1;1;0;1;0,002;0;0;1
"emji_se_rouler_par_terre_de_rire";1;1;1;0;1;1;1;1
"mettre";1;1;1;1;0;0;0,111;0
"payer";1;1;1;1;0;1;1;1
"femme";1;1;1;1;1;1;0;1
"comprendre";1;1;1;1;1;0,217;0,093;0
"penser";1;1;1;1;1;1;0,009;0
"passer";1;1;0,512;1;0;1;1;0
"problème";1;1;1;1;0;0,026;0;0
"chose";1;1;1;1;1;0,968;0,319;0
"temps";1;1;1;1;0;0,01;0,36;0
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0,506;0;1;1;1;1;1;1
"vraiment";1;1;1;1;1;0,712;1;0
"droit";1;1;0;1;1;1;0;1
"grand";1;1;1;1;0;0,479;0,702;0,149
"rester";1;1;1;1;0;1;0;0
"arrêter";1;1;0;1;0;0,982;1;0,27
"vie";1;1;1;1;0;0,26;0,04;0
"police";1;1;0;1;1;1;1;0,001
"vrai";1;1;1;1;1;0,547;0,22;0
"donner";1;1;1;1;1;0,495;0,174;0
"venir";1;1;0,261;1;0;0,003;0,648;0,012
"travail";1;1;1;1;0;0;0,002;1
"homme";1;1;1;1;1;1;0;1
"jour";1;1;1;1;0;0,008;0,043;1
"trouver";1;1;1;1;0;0,781;0;0
"état";1;1;0;1;0;1;1;1
"vivre";1;1;1;1;0;1;0,83;0
"fois";1;1;1;1;0,001;0,698;0,992;0
"commentaire";1;1;1;0,028;1;1;0,807;0
"emji_mains_levées";1;0;1;1;1;1;1;1
"demander";1;1;0;1;0,019;0,682;0,002;0,01
"seul";1;1;0,006;1;0,055;1;0;0
"année";1;1;1;1;0;1;1;1
"cas";1;1;1;1;0,002;0,921;0;0
"israël";1;1;0;1;1;1;1;1
"palestinien";1;1;0;1;1;1;1;1
"riche";1;1;1;1;0;1;1;1
"france";1;1;1;1;0;1;1;1
"question";1;1;1;1;1;1;0,905;0
"guerre";1;1;0;1;1;1;1;1
"petit";1;1;1;1;0;1;1;0,014
"argent";1;1;1;1;0;1;1;1
"politique";1;1;0,043;1;1;1;1;0
"accord";1;1;0;1;1;1;0,386;0,01
"partir";1;1;1;1;0;1;1;0
"laisser";1;1;1;1;0,001;0;0,135;0
"sentir";1;1;1;1;1;0,332;0,025;0
"devenir";1;1;1;1;0;0,17;0,157;0,022
"palestine";1;1;0;1;1;1;1;1
"besoin";1;1;1;1;0;1;1;0
"hamas";1;1;0;1;1;1;1;1
"place";1;1;1;1;0;0,455;0,028;0
"travailler";1;1;1;1;0;0,734;0,236;1
"emji_drapeau_suisse";0,034;0;1;1;1;1;1;1
"français";1;1;1;1;0;1;1;0,005
"connaître";1;1;1;1;1;0,084;1;0
"peuple";1;1;0;1;1;1;1;1
"continuer";1;1;0;1;0,001;1;1;1
"changer";1;1;1;1;0;0,09;1;0
"raison";1;1;0,888;1;1;0,796;0,079;0
"manifestation";1;1;0;1;1;1;1;1
"etc";1;1;1;1;0;0,027;0,002;1
"arriver";1;1;1;1;0;1;1;0
"humain";1;1;0,009;1;1;1;1;0
"plutôt";1;1;1;1;0,412;0,112;0,067;0
"rendre";1;1;0;1;0,202;0,926;0,054;0,042
"utiliser";1;1;0;1;0;1;0,758;0
"gauche";1;1;1;1;1;1;1;0
"beau";1;1;1;1;1;0,349;0,97;0
"sujet";1;1;1;1;1;1;0,034;0
"population";1;1;0;1;0;1;0,584;1
"paix";1;1;0;1;1;1;1;1
"part";1;1;1;1;0;0,33;1;0
"moment";1;1;0,728;1;1;0,027;1;0
"exemple";1;1;1;1;0;0,513;0,334;0
"cause";1;1;0;1;0,028;1;0,016;0,055
"aimer";1;1;1;1;1;0;0,498;0
"impôt";1;1;1;1;0;1;1;1
"emji_visage_souriant_avec_une_goutte_de_sueur";1;1;1;0;1;1;1;1
"coup";1;1;1;1;0;0,49;0,021;0,281
"tellement";1;1;1;1;1;0;1;0
"emji_mains_en_prière";0,679;0;1;1;1;1;1;1
"lire";1;1;1;1;1;1;0,711;0
"ca";1;1;1;1;0,558;0,091;1;0
"genre";1;1;1;1;1;0,132;0;0
"gaza";1;1;0;1;1;1;1;1
"entreprise";1;1;1;1;0;1;1;1
"droite";1;1;1;1;1;1;1;0
"compte";1;1;1;1;0,018;1;1;0
"violence";1;1;0;1;1;1;0;0
"importer";1;1;1;1;1;1;1;0
"emji_visage_qui_pleure_à_chaudes_larmes";1;0,403;1;0;1;1;1;1
"emji_visage_boudeur";1;1;0,001;1;1;1;1;0,627
"social";1;1;1;1;0;1;0;0
"manifester";1;1;0;1;1;1;1;1
"société";1;1;1;1;0,229;1;0;0
"permettre";1;1;1;1;0;1;1;0
"niveau";1;1;1;1;0,008;0,115;0,032;0
"rts";1;1;0,012;1;1;1;1;0
"famille";1;1;0,004;1;0,839;1;0;0
"article";1;1;1;1;1;1;1;0
"emji_visage_avec_bouche_ouverte";0;0;1;1;1;0,617;1;1
"système";1;1;1;1;0;1;1;1
"idée";1;1;1;1;1;1;0,16;0
"exister";1;1;0,089;1;1;0,881;0,128;0
"salaire";1;1;1;1;0;1;0,027;1
"sûr";1;1;1;1;1;0,34;1;0
"armée";1;1;0;1;1;0,301;0;1
"aider";1;1;1;1;0;1;1;0
"tuer";1;1;0;1;1;1;0,001;1
"loi";1;1;0;1;1;1;0,059;0
"trump";1;1;0;1;1;1;1;0,245
"public";1;1;0,982;1;0;1;1;1
"regarder";1;1;1;1;0,367;1;0,4;0
"otage";1;1;0;1;1;1;1;1
"moyen";1;1;0,007;1;0;1;1;1
"commencer";1;1;0,001;1;0,402;0,282;0,056;0
"cher";1;1;1;1;0;1;1;1
"sortir";1;1;1;1;1;0,848;1;0
"partie";1;1;1;1;0,041;1;0,393;0
"soutenir";1;1;0;1;1;1;0,088;1
"faux";1;1;1;1;1;1;0,145;0
"genève";1;1;1;1;0;1;1;1
"premier";1;1;0,37;1;0,009;1;1;0
"lieu";1;1;1;1;0;1;1;0
"histoire";1;1;0,002;1;1;1;1;0
"génocide";1;1;0;1;1;1;1;1
"défendre";1;1;0;1;1;1;0,852;0,267
"israélien";1;1;0;1;1;1;1;1
"perdre";1;1;1;1;0;1;0,516;0,022
"prix";1;1;1;1;0;1;1;1
"finir";1;1;1;1;0;1;1;0,777
"attendre";1;1;0,073;1;1;1;0,142;0
"emji_visage_faisant_un_clin_d_oeil";1;1;1;0,891;1;1;1;0
"écrire";1;1;1;1;1;1;1;0
"servir";1;1;0,54;1;0;1;0;0,012
"mort";1;1;0;1;1;1;1;1
"emji_visage_en_pleine_réflexion";1;1;0,928;0,045;1;1;1;0,054
"gouvernement";1;1;0;1;1;1;1;1
"montrer";1;1;0,261;1;1;1;0,304;0
"jeune";1;1;1;1;1;0;0;0
"nouveau";1;1;1;1;0;0,574;0,004;0,48
"gros";1;1;1;1;0;0,903;0,781;0,488
"côté";1;1;1;1;0,068;1;0,183;0
"simplement";1;1;1;1;0;1;0,09;0
"service";1;1;1;1;0;0,873;0;1
"revenir";1;1;1;1;0;1;0,229;1
"meilleur";1;0,995;1;1;0;0,141;0,597;0,003
"oublier";1;1;0,005;1;0;1;0,837;0,929
"espérer";1;1;1;1;1;1;1;0
"europe";1;1;0;1;0,062;1;1;0,197
"assurance";1;1;1;1;0;1;1;1
"réalité";1;1;1;1;1;1;0,001;0
"agir";1;1;0;1;1;1;1;0
"ville";1;1;1;1;0;1;1;1
"créer";1;1;0,946;1;0;0,8;1;0,481
"pauvre";1;1;1;1;0;1;1;1
"manquer";1;1;1;1;0,755;0;0,303;0
"rapport";1;1;1;0,298;1;1;0;0
"animal";1;1;1;1;1;0;1;0
"justice";1;1;0;1;1;1;1;0,974
"fin";1;1;0,018;1;0,447;0,465;1;0
"respecter";1;1;0;1;1;0,745;1;1
"justement";1;1;1;1;1;0,219;0,082;0
"emji_visage_roulant_des_yeux";1;1;1;0;1;1;1;1
"situation";1;1;0,008;1;1;1;0,001;0
"santé";1;1;1;1;0;1;1;1
"protéger";1;1;0;1;1;1;0;0,596
"seulement";1;1;1;1;0;1;0,524;0,94
"normal";1;1;1;1;0;0;1;1
"frontalier";1;1;1;1;0;1;1;1
"appeler";1;1;0,001;1;1;0,682;1;0
"mot";1;1;0;1;1;1;0,358;0
"extrême";1;1;0,827;1;1;1;1;0
"augmenter";1;1;1;1;0;1;1;1
"école";1;1;1;1;0,058;0;1;1
"essayer";1;1;1;1;1;0,052;1;0
"dernier";1;1;0,001;1;1;1;0,588;0
"heure";1;1;1;1;0;0,889;1;1
"mois";1;1;1;1;0;1;0,486;1
"chercher";1;1;1;1;0,019;1;1;0
"policier";1;1;0;1;1;1;0,711;0
"malheureusement";1;1;0,842;1;1;0,341;0,002;0
"the";0;1;1;1;1;1;1;1
"gagner";1;1;1;1;0;1;0,374;1
"terroriste";1;1;0;1;1;1;1;1
"honte";1;1;0;1;1;0,451;0,447;0,097
"solution";1;1;1;1;0;1;1;0
"argument";1;1;1;1;1;1;0;0
"triste";1;1;1;1;1;0,955;1;0
"liberté";1;1;0,002;1;1;1;0,227;0
"emji_drapeau_territoires_palestiniens";0,849;0;0;1;1;1;1;1
"pire";1;1;0,001;1;0;0,814;1;1
"civil";1;1;0;1;1;1;0;1
"canton";1;1;1;1;0;1;1;1
"étranger";1;1;1;1;0;1;1;0
"expliquer";1;1;1;1;0,913;0,266;0,292;0
"exactement";1;1;1;0;1;1;0,711;0,081
"manière";1;1;1;1;1;0,539;0,279;0
"simple";1;1;1;1;0,006;1;0,837;0
"aide";1;1;0;1;0,007;1;1;0,938
"apprendre";1;1;1;1;1;0;0,109;0
"ouvrir";1;1;1;1;0,446;1;1;0
"international";1;1;0;1;1;1;1;1
"bas";1;1;1;1;0;1;0,05;1
"acheter";1;1;1;1;0;1;1;1
"étude";1;1;1;1;0,015;1;0,491;0
"super";1;1;1;0,001;0;0;1;1
"possible";1;1;1;1;0,002;1;1;0
"voter";1;1;1;1;1;1;0,16;0
"israel";0,234;1;0;1;1;1;1;1
"avis";1;1;1;1;1;1;1;0
"propre";1;1;1;1;0,784;0,019;0,334;0
"respect";1;1;0;1;1;0;0,035;0,257
"initiative";1;1;1;1;0,241;1;0;0
"façon";1;1;1;1;0,076;0,017;0,017;0
"terre";1;1;0;1;1;1;1;1
"interdire";1;1;0,774;1;0;0;1;1
"sécurité";1;1;0,002;1;0;1;0,038;0,371
"mauvais";1;1;1;1;0,862;0,737;0,061;0
"choix";1;1;1;1;0,107;0,394;0;0
"voiture";1;1;1;1;0;1;1;1
"foutre";1;1;0,394;0,811;0,745;1;1;0,023
"égalité";1;1;1;1;1;1;0;1
"absolument";1;1;1;1;1;1;1;0
"répondre";1;1;1;1;1;1;1;0
"terme";1;1;0,047;1;1;1;1;0
"source";1;1;1;1;1;1;1;0
"important";1;1;1;1;0,429;0,166;0,005;0
"taxe";1;1;1;1;0;1;1;1
"mériter";1;1;0,251;1;0,043;1;0,702;0,253
"équipe";1;0,91;1;1;0,891;0,003;1;0,005
"victime";1;1;0;1;1;1;0;1
"sembler";1;1;0,751;1;0,651;1;1;0
"majorité";1;1;1;1;0;1;0;0,108
"crime";0,016;1;0;1;1;1;1;1
"pareil";1;1;1;1;0;0,045;0,873;0,003
"entendre";1;1;0,028;1;1;1;1;0
"classe";1;1;1;1;0;0,315;1;1
"emji_visage_avec_des_symboles_dans_la_bouche";0,631;1;1;0,493;0,14;1;1;1
"risque";1;1;1;1;0;1;0,516;0,692
"feu";1;1;0;1;1;1;1;1
"également";1;1;0,411;1;0;1;0,298;0,084
"valoir";0,803;1;1;1;0;1;0,506;0,452
"manifestant";1;1;0;1;1;1;1;1
"maladie";1;1;1;1;0;1;1;1
"effet";1;1;1;1;0;0,637;0,156;0,025
"occuper";1;1;0,002;1;0,002;1;0,298;0,425
"courage";1;0;1;1;1;1;1;0,3
"baisser";1;1;1;1;0;1;1;1
"manger";1;1;1;1;0;1;1;1
"taxer";1;1;1;1;0;1;1;1
"nombre";1;1;0,043;1;0;1;0,489;1
"poser";1;1;1;1;1;1;1;0
"nouvelle";1;1;1;1;0,003;1;0,961;0,061
"base";1;1;1;1;0,004;1;0,26;0
"arme";1;1;0;1;1;1;0,025;1
"suffire";1;1;1;1;0;1;1;0,001
"parent";1;1;1;1;0,001;0,019;0;0
"éviter";1;1;1;1;0;1;1;0
"suivre";1;1;0,202;1;1;0,63;1;0
"retrouver";1;1;1;1;0;1;0,049;0,014
"langue";1;1;1;0,051;0,908;1;0,009;1
"info";1;1;1;1;1;1;1;0
"eau";1;1;0,338;1;0;1;1;1
"citoyen";1;1;0,002;1;1;1;0,023;0
"rue";1;1;0;1;0,719;1;1;0,055
"mdr";1;1;1;0;1;1;1;1
"jouer";1;1;1;1;1;0;0,05;0
"train";1;1;1;1;0;1;1;1
"garder";1;1;1;1;0;0,023;0,008;0,134
"emji_colombe";1;0;1;1;1;1;1;1
"préférer";1;1;1;1;0;0,283;1;0,718
"représenter";1;1;0,409;1;0,014;1;0,671;0,003
"groupe";1;1;0;1;1;1;1;1
"reconnaître";1;1;0;1;1;1;1;1
"face";1;1;0;1;1;0,529;0,09;0,001
"clairement";1;1;0,798;1;1;0,237;0,205;0
"ultra";1;1;1;1;0;1;1;1
"profiter";1;1;1;1;0;1;1;1
"ia";1;1;1;1;1;1;1;0
"couper";1;1;1;1;0;0,197;0,803;1
"oeil";1;1;0,011;1;1;1;1;0
"haine";1;1;0;1;1;1;0,192;0,03
"réponse";1;1;1;1;1;1;1;0
"peur";1;1;1;1;1;1;0,83;0
"média";1;1;0;1;1;1;1;0
"fortune";1;1;1;1;0;1;1;1
"européen";1;1;0;1;1;0,266;1;0,269
"but";0;1;0,031;1;1;0,494;0,781;0,969
"imaginer";1;1;1;1;0,001;0,976;1;0
"free";0;0,076;0;1;1;1;1;1
"logique";1;1;1;1;0;0,877;1;0,296
"choisir";1;1;1;1;1;0,931;0;0
"journée";1;1;1;1;1;0;0;0
"concerner";1;1;1;1;0;1;1;0
"casser";1;1;0;1;1;0,946;1;1
"long";1;1;1;1;1;1;0,457;0
"facile";1;1;1;1;0,097;1;0,002;0
"détruire";1;1;0;1;0,418;1;1;1
"vidéo";1;1;0;1;1;1;1;0
"peine";1;1;0,786;1;0,601;1;0,72;0
"information";1;1;0,001;1;1;1;0;0
"franchement";1;1;1;1;0,231;1;0,769;0
"intérêt";1;1;0,006;1;1;1;1;0
"traiter";1;1;0;1;1;0,877;0,007;0,004
"soutien";1;1;0;1;1;1;0,03;1
"semaine";1;1;1;1;0;0,389;0,598;1
"accepter";1;1;1;1;0,033;0,01;0,125;0,002
"udc";1;1;1;1;1;1;1;0
"économique";1;1;1;1;0;1;0,05;0,272
"économie";1;1;1;1;0;1;1;1
"dur";1;1;1;1;0;1;1;0,772
"chiffre";1;1;1;1;0;1;0,671;0,013
"chance";1;1;1;1;0;0,41;1;0,255
"uniquement";1;1;0,837;1;0,102;1;0,14;0
"toucher";1;1;1;1;0;0,444;0,695;0,379
"moyenne";1;1;1;1;0;1;0,562;1
"lausanne";1;1;1;0,919;0;1;1;1
