"";"";"";"";"homme";""
"67";"more";"7.17914835332557";"1.83819603956539";"0.93916880894188";"144"
"68";"tuer";"-0.0605208651680243";"0.266484003879658";"0.934021924901364";"146"
"69";"cher";"-0.19899604238313";"0.225726715288143";"0.933533920715942";"147"
"70";"pantalon";"-0.208027828698671";"0.171468081763794";"0.932429358812878";"148"
"71";"genocide";"0.1654246792936";"0.335200838915839";"0.931876453815073";"149"
"72";"père";"-0.222452701968792";"0.219573686581648";"0.931081918100394";"150"
"73";"why";"7.96396518629938";"2.02260506209272";"0.930868494275056";"153"
"74";"know";"8.57977873756086";"2.15314382642916";"0.928184096827474";"154"
"75";"their";"9.45650810167601";"2.34242993004119";"0.927345129018163";"157"
"76";"nicht";"9.45650810167601";"2.34242993004119";"0.927345129018163";"158"
"77";"tudo";"9.45650810167601";"2.34242993004119";"0.927345129018163";"159"
"78";"other";"9.45650810167601";"2.34242993004119";"0.927345129018163";"160"
"79";"der";"9.45650810167601";"2.34242993004119";"0.927345129018163";"161"
"80";"jouet";"-0.201000989632107";"0.142405513293336";"0.926405564949658";"162"
"81";"rock";"-0.195166557850076";"0.12643850191816";"0.925282281658406";"163"
"82";"habillement";"-0.195166557850076";"0.12643850191816";"0.925282281658406";"164"
"83";"complice";"-0.188094841323933";"0.252964239199441";"0.925245587737559";"165"
"84";"aise";"-0.192330519649568";"0.132682965627884";"0.923321029031881";"166"
"85";"baisser";"-0.244545232741599";"0.268721807611401";"0.922620849113667";"167"
"86";"tâche";"-0.227978169631878";"0.22655369119197";"0.921805844681237";"168"
"87";"salarial";"-0.239185982592553";"0.247964078111573";"0.920266696953713";"169"
"88";"vestiaire";"-0.208630631193225";"0.163285451245491";"0.919326134411171";"170"
"89";"massacre";"-0.00696091109712415";"0.214365838005191";"0.91913767243675";"171"
"90";"commettre";"-0.196413532187246";"0.251291364191443";"0.918864589787721";"172"
"91";"élève";"-0.20867753621265";"0.175774209488474";"0.91885285771779";"173"
"92";"sioniste";"-0.0740763236656197";"0.109877289431552";"0.918804182108503";"174"
"93";"peuple";"-0.19560106836156";"0.185503292680772";"0.918687111027703";"175"
"94";"cesser";"-0.195220754727048";"0.256074953380084";"0.913379472667284";"177"
"95";"musulman";"-0.193694731492718";"0.253556346721365";"0.913363996319716";"178"
"96";"cessez_le_feu";"-0.187514903590666";"0.260282790308892";"0.913241932868733";"179"
"97";"islamiste";"-0.183701805551524";"0.248675170209742";"0.911591205667611";"180"
"98";"prisonnier";"-0.190337983226606";"0.258285541054337";"0.910982136505243";"181"
"99";"inapte";"-0.199762587074933";"0.139170664047524";"0.910916486837332";"182"
"100";"autoriser";"-0.194555980471545";"0.247120950819461";"0.909042850307524";"183"
"101";"travailler";"-0.229306675398272";"0.224467811322038";"0.908112522123859";"184"
"102";"emji_étincelles";"0.96543886378994";"-4.93038896101568";"0.90604118773479";"186"
"103";"frontalier";"-0.230819347974627";"0.241711677313736";"0.905987769373829";"187"
"104";"obligation";"-0.223486015744102";"0.232963003617405";"0.905751131027138";"188"
"105";"prix";"-0.228801132020298";"0.249367294357103";"0.905658023323219";"189"
"106";"canton";"-0.241632337614469";"0.263812751886363";"0.905012759477022";"190"
"107";"sujet";"-0.208743656115911";"0.172084804945998";"0.904976065556174";"191"
"108";"soudan";"-0.0945151072766121";"0.276494768376639";"0.904779116552442";"192"
"109";"voir";"-0.206839054602778";"0.188705319864239";"0.904747415001777";"193"
"110";"augmenter";"-0.242530656486496";"0.264244343526377";"0.90430309405546";"194"
"111";"commentaire";"-0.166553646629241";"0.090667420303607";"0.903132882484485";"195"
"112";"gouvernement";"-0.198977363700722";"0.215878017245774";"0.902309890259761";"196"
"113";"voiture";"-0.202579861547781";"0.112790327252774";"0.902257220754327";"197"
"114";"criminel";"-0.196841497015289";"0.254035000904131";"0.902224021492608";"198"
"115";"chose";"-0.208936206929944";"0.175502265660763";"0.901375817798458";"199"
"116";"maladie";"-0.236128045794117";"0.224226956811023";"0.901364834584054";"200"
"117";"genève";"-0.2126089800314";"0.177627440817873";"0.900494414842589";"201"
"118";"emji_visage_roulant_des_yeux";"-0.0161424728140502";"-0.0795202173471726";"0.900175402387873";"202"
"119";"emji_mains_en_prière_peau_moyennement_claire";"1.18860952656118";"-6.29846191843278";"0.89940932318324";"203"
"120";"taxe";"-0.130904239495039";"0.229889808320719";"0.898695663865531";"204"
"121";"chrétien";"-0.189403166514408";"0.251800809498214";"0.898122040531465";"205"
"122";"homicide";"0.202518216078782";"0.340644473724877";"0.897209684880459";"206"
"123";"parental";"0.24883412485672";"0.344018456252203";"0.896342510179613";"207"
"124";"harceler";"-0.204603255997274";"0.152098628069465";"0.89619947877386";"208"
"125";"arabe";"-0.185373944313845";"0.231443752760323";"0.895874974711943";"209"
"126";"sundhage";"-0.164035290832621";"0.0731969942267597";"0.895472839293675";"210"
"127";"mort";"-0.18307249338344";"0.18413357255228";"0.894676805867941";"211"
"128";"taxer";"-0.244829899799534";"0.266265869165595";"0.89245944465101";"213"
"129";"onu";"0.0448143241426807";"0.281755627135148";"0.892237034559342";"214"
"130";"économie";"-0.249688633200559";"0.276404162772667";"0.892034094711389";"215"
"131";"soutenir";"-0.201694683705981";"0.232606642383533";"0.891477944672965";"216"
"132";"libérer";"-0.200359985527156";"0.262192961222812";"0.890672425743883";"218"
"133";"caisse";"-0.246870117337459";"0.275507229985027";"0.890668931084755";"219"
"134";"emji_biceps_contracté";"0.963194346815243";"-4.82118084975052";"0.890655202066751";"220"
"135";"humanitaire";"-0.174388289295565";"0.160741873240271";"0.890150473441215";"221"
"136";"jogging";"-0.179351335679972";"0.113093855176671";"0.890082077969703";"222"
"137";"congé";"-0.197131214170362";"0.0522176421835741";"0.889689428054783";"223"
"138";"fortune";"-0.242285838310197";"0.264411543899978";"0.889266324681745";"224"
"139";"loyer";"-0.252778687072176";"0.284077223791391";"0.888192965092327";"225"
"140";"aller";"-0.181749854466509";"0.144008355159703";"0.88642965994357";"226"
"141";"moyenne";"-0.250210014999741";"0.278022056784741";"0.886006556570532";"227"
"142";"soutien";"-0.113058861480106";"-0.221353069888752";"0.885490095875066";"228"
"143";"russie";"-0.171123425054105";"0.150760488343436";"0.883437732492694";"229"
"144";"innocent";"-0.0802146747894633";"0.268030876792997";"0.883337385852009";"230"
"145";"manif";"-0.192712339113092";"0.236863130672195";"0.882912784767916";"231"
"146";"mois";"-0.236013152545155";"0.253329767029194";"0.882710344156981";"232"
"147";"état";"-0.212586501796097";"0.243554040651797";"0.882479447036001";"233"
"148";"pyjama";"-0.11214984580353";"-0.0155388519255735";"0.882188891091331";"234"
"149";"adéquat";"-0.203615335110226";"0.17535756894191";"0.882188891091331";"235"
"150";"emji_coeur_avec_bandages";"1.67716887883791";"-6.27306757826358";"0.882152696407502";"236"
"151";"casseur";"-0.192796445320754";"0.254608730593169";"0.882118498671746";"237"
"152";"féminin";"-0.191988959672411";"0.139777920008517";"0.882078809328788";"238"
"153";"octobre";"-0.192434700197007";"0.250257069773479";"0.882045610067069";"239"
"154";"police";"-0.145273480751997";"0.0830125138048266";"0.881845166404208";"240"
"155";"santé";"-0.233309165228711";"0.225374722313025";"0.881519164631236";"241"
"156";"prison";"-0.185806695882434";"0.185993585497411";"0.881307238516953";"242"
"157";"solitude";"-0.233893132505869";"0.233163663436559";"0.880811246539238";"243"
"158";"marier";"0.00382664330813612";"0.257456651173781";"0.880673207503669";"244"
"159";"conjugal";"-0.232449983957792";"0.237663260982419";"0.879609083799089";"245"
"160";"bombarder";"-0.189167804070148";"0.248751272250513";"0.879556164675146";"246"
"161";"question";"-0.183876952570951";"0.215281072536013";"0.87942611343187";"247"
"162";"harcèlement";"-0.197650068266208";"0.149104648220784";"0.87892562832099";"248"
"163";"inégalité";"-0.236989668135673";"0.241344959596982";"0.878892429059271";"249"
"164";"droite";"-0.184107131013134";"0.198979583253573";"0.878620095265769";"250"
"165";"foyer";"-0.230581005356129";"0.239520320569646";"0.878418653128872";"251"
"166";"ex";"-0.0421392553933566";"0.12893707216036";"0.878418653128872";"252"
"167";"duty";"-0.195166557850075";"0.12643850191816";"0.878280364474793";"253"
"168";"mourir";"-0.121983607481706";"0.228084266654604";"0.877736695361827";"254"
"169";"cisjordanie";"-0.183491595559329";"0.25095318447686";"0.877666552560751";"255"
"170";"coût";"-0.24685513070492";"0.273357805700897";"0.877519028021833";"256"
"171";"acheter";"-0.224379530366473";"0.210317151343648";"0.877486078378623";"257"
"172";"netanyahu";"-0.187514903590666";"0.260282790308892";"0.876781904564263";"258"
"173";"album";"-0.17568239842877";"0.0984447744852191";"0.875677592279708";"259"
"174";"égal";"-0.219488887462476";"0.215056997213061";"0.875655625850901";"260"
"175";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"0.92392733836098";"-5.02832926528393";"0.875402512682606";"261"
"176";"honteux";"-0.203871339684281";"0.19311958033516";"0.875238014085065";"262"
"177";"comprendre";"-0.205774682241713";"0.185162650186903";"0.875164376624861";"263"
"178";"congo";"-0.0278811197042164";"0.295415673060448";"0.874565541821369";"264"
"179";"pacifique";"-0.170174656602007";"0.144454086732922";"0.874285969091102";"265"
"180";"emploi";"-0.243716918438201";"0.266770526947867";"0.874233049967158";"266"
"181";"autorisation";"-0.195539735970073";"0.259272152890885";"0.874191114057618";"267"
"182";"produit";"-0.245902469357903";"0.271480846490577";"0.874029111645169";"268"
"183";"france";"-0.207205757628253";"0.188034858661718";"0.873879090921159";"269"
"184";"reconnaître";"-0.190092836322001";"0.2186252922839";"0.873323939356772";"270"
"185";"milliard";"-0.172918690672392";"0.274897944179205";"0.872904330642862";"271"
"186";"année";"-0.214960450174727";"0.198753247683345";"0.872622261727503";"272"
"187";"pro";"-0.0650124090202111";"0.251895364864176";"0.872104053702472";"273"
"188";"prime";"-0.232639667382275";"0.211005289559939";"0.872080090325592";"274"
"189";"fils";"-0.126135863273115";"-0.182083638286406";"0.871720889290901";"275"
"190";"hygiène";"-0.167624865385102";"-0.0860645380793136";"0.871636518234802";"276"
"191";"rétablissement";"1.07984884363462";"-6.66428705079906";"0.870986761255441";"277"
"192";"intimité";"-0.210032676757017";"0.166884869583848";"0.869879703167284";"279"
"193";"entretien";"-0.217877652743376";"0.194227611143521";"0.869757390097793";"280"
"194";"discipline";"-0.205847631448026";"0.155521940337243";"0.869705968684904";"281"
"195";"coûter";"-0.243556190471047";"0.267452750977925";"0.869680008359951";"282"
"196";"conjoint";"-0.220453441565723";"0.218338204119591";"0.869500033414841";"283"
"197";"lire";"-0.157988260155211";"0.118251064250731";"0.868609893811152";"285"
"198";"route";"-0.226640234529867";"0.204574993168078";"0.868467112023908";"286"
"199";"gagner";"-0.185868460978272";"0.222392433999133";"0.86784306575099";"287"
"200";"sexuel";"-0.219255085601715";"0.216505269232791";"0.867093710986471";"288"
"201";"sanction";"-0.195348654644238";"0.256880029360088";"0.866360331806538";"289"
"202";"emji_drapeau_brésil";"2.06297745907604";"-5.67811605003595";"0.86633287377053";"290"
"203";"système";"-0.237651019290351";"0.250817750678696";"0.866262980587963";"291"
"204";"célibat";"-0.214191251707379";"0.199449382567398";"0.866004375812466";"292"
"205";"liban";"-0.188808942258895";"0.260789179041461";"0.865527854078466";"294"
"206";"confortable";"-0.225520129225514";"0.217534737121588";"0.865468195254775";"295"
"207";"penser";"-0.200607522142534";"0.201737881538257";"0.865261760747694";"296"
"208";"banque";"-0.223032344373282";"0.19408733259521";"0.865088275883823";"297"
"209";"justice";"-0.130082049476631";"0.0491800010699786";"0.864643954937505";"298"
"210";"classe";"-0.20346814068055";"0.0806171675103077";"0.864376613514187";"299"
"211";"transport";"-0.243673889410888";"0.266471421947175";"0.863901589491242";"300"
"212";"féminicides";"-0.219501353980132";"0.215455209718129";"0.863808232168814";"301"
"213";"divorce";"-0.235097491907975";"0.236600430965621";"0.863798497046956";"302"
"214";"violence";"-0.134142039684187";"0.2473245268468";"0.862726385550084";"304"
"215";"pudeur";"-0.195166557850076";"0.12643850191816";"0.862614306839468";"305"
"216";"kermesse";"-0.195166557850076";"0.12643850191816";"0.862614306839468";"306"
"217";"lausannoise";"-0.191257148540458";"0.136944808028576";"0.862483257122155";"307"
"218";"apprentissage";"-0.200485467889128";"0.158259302456368";"0.861986017051894";"308"
"219";"respecter";"-0.209996607910399";"0.246061749005665";"0.861972038415381";"309"
"220";"arme";"-0.151684140698669";"0.246329965175622";"0.861968793374762";"310"
"221";"emji_mains_qui_forment_un_coeur";"1.02669890045849";"-5.2864400264166";"0.861758864208552";"311"
"222";"ultra";"-0.236904293818047";"0.252807522960166";"0.860477322782488";"313"
"223";"gens";"-0.216220109726284";"0.215068377710139";"0.860416665484761";"314"
"224";"article";"-0.149380290745666";"0.179243045949018";"0.860223211140156";"315"
"225";"emji_trèfle_à_quatre_feuilles";"1.59138788372271";"-6.20438217224471";"0.859762415372234";"318"
"226";"fiscal";"-0.15073775888256";"0.30301442518677";"0.859127885121931";"319"
"227";"coupable";"-0.18979405637372";"0.246552622660195";"0.858534042688623";"320"
"228";"blague";"-0.0324093903375638";"-0.162956434546146";"0.857925722381783";"321"
"229";"bande";"-0.165684635447051";"0.123958512070877";"0.857667367224795";"323"
"230";"colon";"-0.191575638128276";"0.257024092378616";"0.857634167963076";"324"
"231";"emji_visage_de_geek";"0.030817830772426";"-0.329590811688759";"0.857469918984044";"325"
"232";"autorité";"-0.201742736760084";"0.248823491139197";"0.85670983062363";"326"
"233";"manger";"-0.228313843307385";"0.234940885483275";"0.856628454989641";"327"
"234";"ukraine";"-0.173538118958585";"0.0953612156699145";"0.856582774802464";"328"
"235";"plainte";"-0.21943386823578";"0.211003946981069";"0.856407292990519";"329"
"236";"maternité";"-0.21943386823578";"0.211003946981069";"0.856407292990519";"330"
"237";"félicitation";"0.999881881413989";"-5.13719336533813";"0.856388571602332";"331"
"238";"politique";"-0.199281191713055";"0.223103970176324";"0.856101759935299";"332"
"239";"emji_visage_festif";"0.695270071416338";"-4.55048601384611";"0.855229093627251";"333"
"240";"stage";"-0.181165242374233";"0.129163747354466";"0.855164442433377";"335"
"241";"primaire";"-0.202532673713121";"0.161722148837502";"0.855164442433377";"336"
"242";"massacrer";"-0.190856819477464";"0.254432127348331";"0.854969989614735";"337"
"243";"sentir";"-0.197781587350215";"0.119153655362022";"0.854224379127853";"338"
"244";"carrière";"-0.207942724746818";"0.187557240516906";"0.854197919565882";"339"
"245";"assassiner";"-0.184522423067734";"0.247627526067387";"0.854067868322606";"340"
"246";"lol";"0.0502110701370518";"-0.0966484907669717";"0.854026431650084";"341"
"247";"illégal";"-0.19494953496026";"0.234968799947922";"0.853921591876234";"342"
"248";"emji_sapin_de_noël";"1.17326139556357";"-7.18985969025393";"0.853601580947482";"343"
"249";"colonisation";"-0.195773255828569";"0.257412210847515";"0.853328248679944";"344"
"250";"mari";"-0.124517859291154";"-0.120710527605185";"0.853046928620112";"345"
"251";"revenir";"-0.226926614083246";"0.235508995899226";"0.852662516115995";"346"
"252";"grossesse";"-0.238823331644376";"0.246881079719878";"0.852510498443912";"347"
"253";"gauche";"-0.199367821914685";"0.176733926104419";"0.852322286088";"348"
"254";"vraiment";"-0.179852019838231";"0.132229432844912";"0.852253640997979";"349"
"255";"feu";"-0.184372525105288";"0.175421357011506";"0.851978062163859";"350"
"256";"eau";"-0.229241171342199";"0.255966826770876";"0.851634087858227";"351"
"257";"donner";"-0.216498940527947";"0.212337266075336";"0.851601637452035";"352"
"258";"franc";"-0.236955140066862";"0.258937262914106";"0.850946139246962";"353"
"259";"travail";"-0.213352609691211";"0.159711739242039";"0.850825074270016";"354"
"260";"terrorisme";"-0.193232856563058";"0.25545125422868";"0.850768910105454";"355"
"261";"militaire";"-0.219373529157034";"0.250668999931337";"0.850348302917507";"357"
"262";"bombardement";"-0.189913758288342";"0.259448955322492";"0.850337070084595";"358"
"263";"augmentation";"-0.235937248187448";"0.253025851303622";"0.850328583055283";"359"
"264";"emji_part_de_fromage";"1.3131998108065";"-7.86615708189087";"0.850200778378589";"360"
"265";"gym";"-0.206835421414138";"0.158372524668513";"0.849685565775669";"361"
"266";"frais";"-0.243894964034782";"0.27233725044335";"0.849486120586844";"362"
"267";"extrême";"-0.206247800494914";"0.193042141826268";"0.849291168531185";"363"
"268";"mariage";"-0.236225830681195";"0.239471646157883";"0.84845344881442";"364"
"269";"mdr";"-0.0842002527059442";"-0.0336878706724256";"0.848198089079542";"365"
"270";"bombe";"-0.161338108656428";"0.0867544300139993";"0.848139927966906";"366"
"271";"migrantes";"-0.238228826353451";"0.245536026541184";"0.848139179111379";"367"
"272";"cis";"-0.231629229145478";"0.24295344400508";"0.848139179111379";"368"
"273";"emji_femme_avec_la_paume_sur_le_visage_peau_légèrement_mate";"-0.200986168808472";"0.161418386367226";"0.847980920976567";"369"
"274";"avis";"-0.203420865371565";"0.18149750396106";"0.847593762668849";"370"
"275";"ville";"-0.190418601024122";"0.0507619845896565";"0.847464210662591";"371"
"276";"rts";"-0.122606074099823";"0.0770193859861705";"0.847063073718359";"372"
"277";"genre";"-0.20716566374689";"0.187437906911735";"0.84702388361242";"373"
"278";"ecole";"-0.195166557850075";"0.12643850191816";"0.846949247678179";"374"
"279";"partenaire";"-0.234576434223767";"0.245549565938306";"0.846939262937813";"375"
"280";"écrire";"-0.183366061436952";"0.123424316032822";"0.846369633499893";"376"
"281";"obliger";"-0.226164659997886";"0.235693416470906";"0.846273779992373";"377"
"282";"marché";"-0.237150641508809";"0.252350384667597";"0.84615496158201";"378"
"283";"idem";"-0.189848628110116";"0.147207272971204";"0.845886871303164";"381"
"284";"black";"-0.190031991422116";"0.250252298106717";"0.845516936672579";"382"
"285";"emji_visage_qui_regarde_entre_ses_doigts";"0.0193745654162535";"-0.231770287431035";"0.845389131995885";"383"
"286";"vélo";"-0.23269310629533";"0.247747100062449";"0.845279549470361";"384"
"287";"accident";"-0.244993446186762";"0.26990893404943";"0.845264572359811";"385"
"288";"défendre";"-0.171797635491873";"0.224710620404958";"0.844909115602757";"386"
"289";"humain";"-0.206305938482023";"0.175223342663006";"0.844556155030795";"387"
"290";"grand";"-0.155968211748563";"0.0202992082631383";"0.844538182498134";"388"
"291";"connaître";"-0.206548980347679";"0.191843956675381";"0.844534438220497";"389"
"292";"héritage";"-0.23950964705207";"0.257615684077716";"0.844250871594083";"390"
"293";"monde";"-0.20749268824697";"0.174553877303746";"0.84406016305308";"393"
"294";"dark";"-0.219210248083087";"0.202770274029265";"0.844015980576957";"394"
"295";"emji_bougie";"1.28578923267852";"-7.77673725506595";"0.84390714690696";"395"
"296";"battre";"-0.216785063370129";"0.219833557800337";"0.843744645257492";"396"
"297";"cadeau";"-0.222031448981658";"0.164880202497774";"0.843626076465638";"398"
"298";"propos";"-0.205524698221075";"0.187170773402538";"0.843337267850532";"399"
"299";"privilège";"-0.225510335988833";"0.218688141349158";"0.84301101645905";"400"
"300";"réalité";"-0.21841874714701";"0.211467094007052";"0.842702987218738";"401"
"301";"parfaire";"-0.0700557346173764";"-0.537709608857126";"0.842607632948236";"402"
"302";"emji_applaudissements_peau_légèrement_mate";"1.45834482248975";"-6.36151720536987";"0.842525258840211";"403"
"303";"emji_feuille";"1.0434199917087";"-6.45052268668741";"0.842525258840211";"404"
"304";"rassembler";"-0.168805538550613";"0.116966714012733";"0.842371743457073";"405"
"305";"billet";"-0.166117403034315";"-0.0710842720879795";"0.842367250323908";"406"
"306";"prendre";"-0.213528163960782";"0.191315692069493";"0.842311335777855";"407"
"307";"egalité";"-0.236530820873791";"0.241027961082434";"0.841980840871718";"408"
"308";"bosser";"-0.155881388373884";"0.258195412924723";"0.841534522977327";"409"
"309";"red";"-0.232456537427955";"0.229144513778612";"0.841430182440495";"410"
"310";"vendre";"-0.22903827598878";"0.250122044952913";"0.841384502253318";"411"
"311";"suicide";"-0.228417733416514";"0.227466891264467";"0.841308368608022";"412"
"312";"comedy";"-0.11214984580353";"-0.0155388519255735";"0.841067736365185";"413"
"313";"sécher";"-0.160552245664089";"0.0745480681903388";"0.841067736365185";"414"
"314";"marc";"-0.192616006430272";"0.17105326471507";"0.841067736365185";"415"
"315";"train";"-0.21837104033003";"0.228428223169054";"0.840746976580905";"416"
"316";"armée";"-0.151647783694966";"0.238534907560981";"0.840326369392958";"418"
"317";"romance";"-0.229664898770623";"0.221002151737105";"0.840254728880828";"419"
"318";"enfant";"-0.208738604061422";"0.20265176580343";"0.840015594349045";"420"
"319";"emji_tête_de_fou";"0.181777909401022";"-0.276675353459387";"0.839613458930777";"421"
"320";"montrer";"-0.211256767478203";"0.205797531258007";"0.839529587111697";"422"
"321";"beau";"-0.133757303761741";"-0.17416821411313";"0.839440722922434";"424"
"322";"scientifique";"-0.201228873479914";"0.0955643612946377";"0.839439724448397";"425"
"323";"faux";"-0.206413135551279";"0.193955208008873";"0.838584032198972";"426"
"324";"problème";"-0.218484518124909";"0.2125313986552";"0.838580038302826";"427"
"325";"vêtement";"-0.230068137404592";"0.228530343286939";"0.838448239729985";"428"
"326";"emji_étourdissement";"1.33105230591215";"-5.85209819368356";"0.838421280930995";"429"
"327";"ia";"-0.150073851107743";"0.188033799824592";"0.838325677041984";"430"
"328";"chômage";"-0.246600392367079";"0.270704072819757";"0.838225580019808";"431"
"329";"emji_cotillons";"1.65499360782902";"-6.7689360889393";"0.838202115879947";"432"
"330";"cash";"0.0400258307845368";"0.0890389020325702";"0.837981952354861";"433"
"331";"logement";"-0.249334177432061";"0.279079409126791";"0.837753301800464";"435"
"332";"argument";"-0.120419651966023";"0.165310114544243";"0.837662440663127";"436"
"333";"avortement";"-0.226727637417166";"0.244878926927726";"0.837586556636341";"437"
"334";"normal";"-0.144454026124522";"0.214541416117786";"0.837436535912331";"438"
"335";"udc";"-0.123411666278541";"0.1184060388268";"0.837379373273732";"439"
"336";"pain";"-0.234051506145078";"0.248917856668607";"0.837283519766212";"440"
"337";"triste";"-0.0939922865492286";"0.0296351951830142";"0.837262551811442";"441"
"338";"répondre";"-0.162636071379703";"0.201855082393561";"0.837199398328623";"442"
"339";"histoire";"-0.185199789442803";"0.0966614397489537";"0.837025414227733";"443"
"340";"patron";"-0.239666812763884";"0.260946885589022";"0.83690335077675";"444"
"341";"jour";"-0.214532264376385";"0.198790011751263";"0.836893116417875";"445"
"342";"avion";"-0.241595413815454";"0.263692487417934";"0.836576350529742";"446"
"343";"rouler";"-0.233496571385528";"0.249824081687383";"0.836569111592976";"447"
