"";"";"";"";"homme";""
"1";"homme";"-0.195542711000528";"0.163908196123867";"2.68466767096514";"3"
"2";"training";"-0.176069637126875";"0.0979566901770086";"1.74009450783683";"10"
"3";"palestinien";"-0.18338488526206";"0.228112333875492";"1.52157546948987";"13"
"4";"égalité";"-0.210159740244492";"0.164746373119271";"1.50332561066615";"15"
"5";"douche";"-0.195700307769637";"0.138534511470664";"1.45261436243632";"17"
"6";"emji_se_rouler_par_terre_de_rire";"0.0634888314644817";"-0.234932858116999";"1.2695498890389";"31"
"7";"that";"7.88884396352008";"1.78930361633807";"1.26885694805745";"32"
"8";"payer";"-0.237041538773415";"0.2526545514135";"1.21647974589743";"34"
"9";"israélien";"-0.131784296476075";"0.271757263582282";"1.20299884869136";"36"
"10";"école";"-0.220094441483629";"0.204122298163956";"1.19992679369904";"37"
"11";"jean";"-0.0168965719037962";"0.168009153709563";"1.19826608175755";"38"
"12";"gaza";"-0.108549247268533";"0.225592879525661";"1.19589046240581";"39"
"13";"otage";"-0.150106116346746";"0.213561614894762";"1.19378418142546";"40"
"14";"guerre";"-0.188845212264339";"0.214772805758297";"1.18291928619545";"41"
"15";"génocide";"-0.190220607061848";"0.255349859823186";"1.17939467284601";"43"
"16";"couple";"-0.229447614791116";"0.229875302912609";"1.1358237620709";"45"
"17";"manifestation";"-0.150195175643415";"0.256612314872992";"1.11168290643084";"49"
"18";"terroriste";"-0.109791548796263";"0.275880265337008";"1.09891941282011";"53"
"19";"paix";"-0.0936156183909974";"-0.00626014682156533";"1.09068599591375";"55"
"20";"doucher";"-0.185485950632373";"0.116324575635703";"1.08848560875544";"56"
"21";"tenue";"-0.198389893085124";"0.15137491881421";"1.07631495910398";"58"
"22";"asf";"-0.119447726975878";"-0.268982886161361";"1.06843275544001";"60"
"23";"manifester";"-0.190423924694893";"0.224606156395132";"1.06483924738204";"61"
"24";"prof";"-0.192160674828059";"0.127954000117165";"1.0637651389371";"62"
"25";"tranquille";"-0.20086132459116";"0.162908725573374";"1.05059826181555";"64"
"26";"riche";"-0.234852528756538";"0.239157529082";"1.04158553592356";"67"
"27";"israel";"0.118105940909924";"0.115555729507858";"1.03592144233205";"69"
"28";"was";"8.93414007259899";"2.19565640283817";"1.02678540489654";"71"
"29";"palestine";"-0.0813467739597519";"0.0111760633807122";"1.02453284746982";"72"
"30";"impôt";"-0.246563807947048";"0.2727109797938";"1.01884903401608";"74"
"31";"féminisme";"-0.233081014350862";"0.234265470429139";"1.01446598261362";"75"
"32";"about";"8.88921263077797";"2.21995068652752";"1.01267147515121";"79"
"33";"great";"9.45650810167601";"2.34242993004119";"1.01229879471703";"83"
"34";"style";"-0.164416175736173";"0.0887512348412276";"1.01220169311696";"84"
"35";"masculinisme";"-0.236530820873791";"0.241027961082435";"1.01020624275468";"85"
"36";"mère";"-0.211377138252535";"0.125603863751422";"1.00275213483393";"88"
"37";"suisse";"-0.18517780836557";"0.0861147874179699";"1.00187896928887";"89"
"38";"manifestant";"-0.135752654568433";"0.219276096850805";"1.00002954575445";"90"
"39";"ouai";"-0.160476337863321";"0.0827273841566814";"0.998670123353525";"91"
"40";"das";"8.86884406896436";"2.1773097119378";"0.998564285105638";"92"
"41";"célibataire";"-0.181940792844289";"0.0235681133029117";"0.9809482076767";"98"
"42";"international";"-0.146157544844365";"0.22366628649548";"0.980064558154248";"99"
"43";"assurance";"-0.243517543363628";"0.268091732917958";"0.979681892979695";"100"
"44";"argent";"-0.232303147803663";"0.24889326714478";"0.979201626968058";"101"
"45";"civil";"-0.196969790398583";"0.252866275755483";"0.978403346975741";"102"
"46";"emji_visage_souriant_avec_une_goutte_de_sueur";"0.0776647457480638";"-0.162318355330617";"0.975666030404215";"104"
"47";"obligatoire";"-0.233340472706331";"0.238005198490395";"0.974132873520911";"105"
"48";"todos";"9.45650810167601";"2.34242993004119";"0.969818966445486";"107"
"49";"entreprise";"-0.244984997317709";"0.271042697216784";"0.969798747346243";"108"
"50";"sexe";"-0.209642042474231";"0.190909149344442";"0.967882925288386";"109"
"51";"féministe";"-0.205691948030301";"0.187955317523392";"0.959715657286949";"113"
"52";"vestimentaire";"-0.197425247097016";"0.132521618051568";"0.957475830404193";"114"
"53";"service";"-0.226754198597942";"0.213507715848582";"0.956248955431636";"115"
"54";"understand";"9.45650810167601";"2.34242993004119";"0.95566035498702";"116"
"55";"killed";"9.45650810167601";"2.34242993004119";"0.95566035498702";"119"
"56";"salaire";"-0.242621080850203";"0.262606463273438";"0.95410797747851";"124"
"57";"sport";"-0.0799561024218133";"0.0383026457915144";"0.948466099934316";"127"
"58";"your";"7.64343106914446";"1.93605621146823";"0.948269899786111";"129"
"59";"moquerie";"-0.202836448684232";"0.147535392142471";"0.94494073772935";"130"
"60";"domestique";"-0.227145537451723";"0.229490678272003";"0.944832153677862";"131"
"61";"você";"9.45650810167601";"2.34242993004119";"0.941502492384083";"137"
"62";"país";"9.45650810167601";"2.34242993004119";"0.941502492384083";"138"
"63";"english";"9.45650810167601";"2.34242993004119";"0.941502492384083";"139"
"64";"emji_coeur_blanc";"1.50494831702713";"-6.63478432814409";"0.941492008406698";"141"
"65";"droit";"-0.205088532773794";"0.232959336125266";"0.940710452854496";"142"
"66";"uniforme";"-0.18873393967055";"0.146903844548652";"0.940503519110396";"143"
