"";"";"";"";"vous";""
"1";"vous";"-0.181245361703735";"0.0846220712273752";"1.04435929565086";"19"
"2";"c";"-0.173474201002305";"0.0867889239115997";"1.02902183016181";"22"
"3";"on";"-0.153401512535709";"0.128638989989477";"0.952793294161935";"30"
"4";"million";"-0.216538574125026";"0.2288911825228";"0.949088665689213";"31"
"5";"contre";"-0.197624169857012";"0.167734122859461";"0.945278335265836";"33"
"6";"elles";"-0.218276870239362";"0.224984168887404";"0.919736695827559";"37"
"7";"moins";"-0.194659256804317";"0.162776675125864";"0.919047384170622";"38"
"8";"par";"-0.201117100883878";"0.209143843028506";"0.918528994816873";"39"
"9";"mais";"-0.159823132788917";"0.150051292159323";"0.917319607072933";"40"
"10";"faire";"-0.181794309913476";"0.135357232140448";"0.912033385051301";"42"
"11";"dire";"-0.156818253936246";"0.104789504557267";"0.908837025532797";"43"
"12";"déjà";"-0.192069788117055";"0.150175596126756";"0.906900655755888";"44"
"13";"il";"-0.174267762346924";"0.158226799457195";"0.905622674192905";"45"
"14";"nos";"-0.175758419382282";"0.192258937060173";"0.899175979691732";"48"
"15";"sur";"-0.203736441611959";"0.200890101697034";"0.898028438833813";"49"
"16";"qu";"-0.198019361384258";"0.164263357026951";"0.896531181947661";"50"
"17";"dans";"-0.199101194257239";"0.18690968071559";"0.891747606436063";"52"
"18";"tu";"-0.135342231806693";"0.112449380189508";"0.885760265624709";"54"
"19";"aux";"-0.197682790329146";"0.124727878557252";"0.882918120089785";"55"
"20";"depuis";"-0.17850995302761";"0.149343097506018";"0.88289225684654";"56"
"21";"ça";"-0.170089856811873";"0.10850211561626";"0.882581335683174";"57"
"22";"au";"-0.201136582155928";"0.15722798760513";"0.881820618985103";"58"
"23";"ils";"-0.190427789542411";"0.160839450019673";"0.878687793085876";"59"
"24";"pouvoir";"-0.196808884391279";"0.181113264164427";"0.869386583672575";"63"
"25";"juste";"-0.19762789851108";"0.144078509411561";"0.867729087127184";"64"
"26";"pendant";"-0.224119211153883";"0.2469742815204";"0.866312793437279";"65"
"27";"savoir";"-0.162438585543725";"0.135479727155045";"0.86353530601047";"66"
"28";"ton";"-0.187656592346864";"0.146925298232536";"0.86081348078108";"69"
"29";"me";"-0.0395321830334904";"0.146679031622292";"0.860518302461429";"70"
"30";"avec";"-0.18944894094174";"0.119755852992783";"0.860153968078318";"71"
"31";"chaque";"-0.220223622941017";"0.227479258925621";"0.858555507196856";"72"
"32";"se";"-0.153012678093821";"0.202934982367519";"0.857235357302494";"73"
"33";"ou";"-0.189250044238882";"0.169232361730743";"0.85621151021662";"74"
"34";"cette";"-0.182808015427698";"0.108299637289645";"0.856154723530363";"75"
"35";"donc";"-0.21494471480341";"0.217220184454632";"0.854943086808749";"77"
"36";"bon";"-0.129151727849974";"-0.111515526584957";"0.854721000263488";"78"
"37";"aussi";"-0.182786344596444";"0.138104383335611";"0.85382028470524";"80"
"38";"très";"-0.168858869386829";"-0.0129366902486419";"0.85050416712562";"83"
"39";"mon";"-0.138653992358356";"0.00696464659851294";"0.850461998794241";"84"
"40";"environ";"-0.235186711778289";"0.255287887210585";"0.849887384998654";"85"
"41";"falloir";"-0.1900705829645";"0.163099414359684";"0.848104507947964";"87"
"42";"leur";"-0.213684907849628";"0.210879948231156";"0.847452866667059";"88"
"43";"peu";"-0.195598038480924";"0.147360518670691";"0.847203230145297";"89"
"44";"vouloir";"-0.182761026785196";"0.140178773495668";"0.845792558899575";"90"
"45";"quelque";"-0.21261718117843";"0.204401699302209";"0.844950316760838";"91"
"46";"beaucoup";"-0.172206740267544";"0.0447558471421331";"0.844769836302538";"92"
"47";"rien";"-0.191430865752548";"0.162768216098345";"0.844745659792547";"93"
"48";"nous";"-0.186612939264064";"0.0896957041806171";"0.843964702295414";"95"
"49";"te";"0.0314765144138381";"0.115032704624116";"0.842974589874643";"96"
"50";"ces";"-0.202020648698347";"0.192999883527366";"0.842473630097864";"97"
"51";"000";"-0.164844885358399";"0.244327767826269";"0.842439895432761";"98"
"52";"comme";"-0.18645542290519";"0.166797237360132";"0.840993802788681";"99"
"53";"personne";"-0.204456908321858";"0.199924781464764";"0.839386908240944";"101"
"54";"y";"-0.149503974226272";"0.169011260143767";"0.837478650684954";"104"
"55";"autres";"-0.176345651253415";"0.21036296307567";"0.837180661143212";"105"
"56";"100";"-0.0759992020666682";"0.24419118482207";"0.83712893465672";"106"
"57";"pourquoi";"-0.187602954230985";"0.144997773356626";"0.837082268369995";"107"
"58";"ni";"-0.182686519719319";"0.22885244592025";"0.836837692047998";"108"
"59";"car";"-0.19262249601223";"0.21191943485004";"0.835911675490922";"109"
"60";"cela";"-0.216636739560481";"0.206228054861556";"0.835640111436844";"111"
"61";"même";"-0.200539261592772";"0.16806464368335";"0.835288708675355";"112"
"62";"chez";"-0.166411559959104";"0.110677039859749";"0.834535301154722";"113"
"63";"vos";"-0.180939093499893";"0.148091590770559";"0.833850487453133";"114"
"64";"sans";"-0.205411214931838";"0.185413433149051";"0.83311113604296";"115"
"65";"leurs";"-0.214075664232844";"0.217657667733871";"0.832901981119321";"116"
"66";"point";"-0.131651823998908";"0.208750177116443";"0.832787283257971";"117"
"67";"quoi";"-0.175954192029692";"0.112066324081592";"0.832621421154549";"118"
"68";"peut_être";"-0.2110833752729";"0.201741484344281";"0.831709460707932";"119"
"69";"combien";"-0.210828916946086";"0.209908384598017";"0.831394603833638";"120"
"70";"41";"-0.22904923700701";"0.234983889794817";"0.830891395079186";"121"
"71";"assez";"-0.165493078994566";"0.146210614268552";"0.830028349896969";"123"
"72";"avant";"-0.208853599728777";"0.190154471522792";"0.82996537852211";"124"
"73";"notre";"-0.190688155479308";"0.0780101823654006";"0.829644336959214";"125"
"74";"20";"-0.101578817475123";"0.186027947712656";"0.829508836054383";"126"
"75";"59";"-0.224276841553013";"0.245841668389053";"0.829422250413952";"127"
"76";"2";"-0.056927755205251";"-0.105843706191124";"0.828861692728825";"128"
"77";"devoir";"-0.196119595971413";"0.191187822735484";"0.828314628909739";"129"
"78";"ses";"-0.196734024869302";"0.116778499443696";"0.828195433093042";"131"
"79";"3";"-0.0745540219896495";"0.0856617289060217";"0.827642184585354";"132"
"80";"elle";"-0.158035947223896";"0.0102777182923933";"0.82572493111867";"134"
"81";"alors";"-0.191921525436306";"0.165263393744627";"0.825715372963557";"135"
"82";"quand";"-0.203958530895014";"0.179010684714824";"0.825694007675659";"136"
"83";"sous";"-0.174022217161462";"0.189465386374183";"0.824881564491096";"137"
"84";"500";"-0.189443918959171";"0.0342917953332607";"0.824839396159717";"138"
"85";"quelques";"-0.218134003142691";"0.198084044767823";"0.824246790542742";"139"
"86";"ceux";"-0.207961523053734";"0.200399291531135";"0.824179883456955";"140"
"87";"eux";"-0.168365621155277";"0.0653974871164747";"0.823789123586179";"142"
"88";"tous";"-0.169137463170097";"0.0426359641020611";"0.823383745360525";"143"
"89";"entre";"-0.210552514149717";"0.194084729125417";"0.823193144502694";"144"
"90";"envers";"-0.204289094762871";"0.206080754586955";"0.822807444831683";"145"
"91";"1947";"-0.185168157280358";"0.223234643910106";"0.821712192704674";"147"
"92";"mal";"-0.120089932857748";"0.125253583177618";"0.820568587557684";"148"
"93";"son";"-0.150811128070479";"0.155158622268003";"0.820442644807967";"149"
"94";"ta";"-0.0751835091824724";"0.0491728142635629";"0.820364492833812";"151"
"95";"après";"-0.200335881026994";"0.15347660866459";"0.820063129825559";"152"
"96";"où";"-0.18723529982088";"0.185033082921466";"0.820044013515334";"153"
"97";"sa";"-0.180221900715565";"0.0533409237425568";"0.819993973762098";"154"
"98";"quelqu_un";"-0.197094148797016";"0.117432190108404";"0.819828111658675";"155"
"99";"moi";"-0.145422834233484";"0.0509237315147963";"0.819620081223873";"156"
"100";"aucune";"-0.208544426090697";"0.210294945340661";"0.81958634655877";"158"
"101";"toi";"-0.108255228926522";"-0.115189778451584";"0.819254060107506";"159"
"102";"souvent";"-0.224224815214915";"0.224676101318681";"0.818804826817219";"160"
"103";"quelconque";"-0.235354838662044";"0.23641264274708";"0.818785148262575";"161"
"104";"1967";"-0.18751490359068";"0.260282790308906";"0.818031178497524";"163"
"105";"aucun";"-0.198954741161396";"0.160930258523386";"0.817810778685519";"164"
"106";"là";"-0.182631861641058";"0.142356260659956";"0.817624113538616";"165"
"107";"parce_que";"-0.212732906187574";"0.206333283454938";"0.817547648297716";"166"
"108";"comment";"-0.140613202600028";"0.152527952645527";"0.816991588567935";"168"
"109";"basta";"-0.21249328463155";"0.212431369030574";"0.815833927310486";"171"
"110";"an";"0.0106470048502171";"0.216204637395015";"0.815792883467944";"172"
"111";"force";"-0.103993620605318";"-0.323181904911939";"0.815216582939102";"174"
"112";"différents";"-0.216531802949863";"0.210887052290772";"0.814705502762792";"176"
"113";"1968";"-0.192480035765348";"0.251590376767498";"0.814483416217531";"178"
"114";"maintenant";"-0.180563923575296";"0.074970686797795";"0.814312493914343";"180"
"115";"non";"-0.133856327573005";"0.127349155788385";"0.813619808790896";"182"
"116";"2023";"0.135759458560623";"0.313011167790022";"0.813191378544089";"183"
"117";"92";"-0.223351322374197";"0.242788149640391";"0.813014833796716";"185"
"118";"18";"-0.178751063274227";"0.060264954268527";"0.81289901144653";"186"
"119";"dont";"-0.0898784412377229";"0.250607534588163";"0.812038777486405";"191"
"120";"242";"-0.18751490359068";"0.260282790308906";"0.811966247956433";"192"
"121";"153";"-0.18751490359068";"0.260282790308906";"0.811966247956433";"193"
"122";"77";"-0.19620388489635";"0.245071066611443";"0.811848738872991";"194"
"123";"1987";"-0.163467083016039";"0.187903892915355";"0.811848738872991";"195"
"124";"deux";"-0.205729140769921";"0.196286683851972";"0.811716611434671";"196"
"125";"80";"-0.208816703174616";"0.206745890169649";"0.811569303397055";"197"
"126";"78";"-0.19330755779446";"0.250141641177264";"0.811552436064504";"198"
"127";"49";"-0.163203434792343";"0.173456025392622";"0.811508018755452";"199"
"128";"39";"-0.1892544531934";"0.175603111595422";"0.811404003538051";"200"
"129";"400";"0.210691289555484";"-0.0305088539476631";"0.811137499683738";"201"
"130";"trente";"-0.22364942077794";"0.203994337702379";"0.810860875429893";"204"
"131";"190";"-0.22364942077794";"0.203994337702379";"0.810860875429893";"205"
"132";"sinon";"-0.1906819911332";"0.118489376747679";"0.810860875429893";"206"
"133";"mêmes";"-0.215160897103168";"0.217272921179852";"0.810763044901095";"207"
"134";"certaines";"-0.225252593931367";"0.228914704048605";"0.810587062398141";"209"
"135";"2024";"0.00358487779476597";"0.299614382002522";"0.810579753220702";"210"
"136";"70";"-0.203971528257581";"0.224586197016372";"0.810497665535618";"211"
"137";"vite";"-0.2087227355837";"0.155672869834975";"0.810209796393407";"213"
"138";"mieux";"-0.176309884265753";"0.0663054446492757";"0.810087227110199";"214"
"139";"mes";"-0.115846201237501";"-0.290197947273777";"0.809985460870472";"216"
"140";"1920";"-0.204155771877957";"0.254252134902761";"0.809822409989141";"217"
"141";"merde";"-0.187187028807739";"0.155497046976912";"0.809817349789376";"218"
"142";"toutes";"-0.160781928878451";"-0.0473211947768811";"0.809812851834029";"219"
"143";"hier";"0.124561874001492";"0.150893045062989";"0.809419280741161";"220"
"144";"elle_même";"-0.210805761240685";"0.202327116528098";"0.809359120588394";"221"
"145";"lors";"-0.204717804906";"0.210416044188647";"0.809134785065459";"222"
"146";"1993";"-0.199482309662936";"0.248839686878003";"0.809120728955";"223"
"147";"90";"-0.051638445779887";"0.234404228491306";"0.809066753490835";"224"
"148";"tant";"-0.197970674023372";"0.137066204834917";"0.808995348449701";"225"
"149";"1973";"-0.18751490359068";"0.260282790308906";"0.808934063808097";"226"
"150";"1946";"-0.18751490359068";"0.260282790308906";"0.808934063808097";"227"
"151";"dc";"-0.18751490359068";"0.260282790308906";"0.808934063808097";"228"
"152";"67000";"-0.18751490359068";"0.260282790308906";"0.808934063808097";"229"
"153";"200000";"-0.18751490359068";"0.260282790308906";"0.808934063808097";"230"
"154";"181";"-0.18751490359068";"0.260282790308906";"0.808934063808097";"231"
"155";"1000";"0.100483855320045";"0.0284703349595639";"0.808848602656503";"234"
"156";"9";"-0.210431785383279";"0.207590562331704";"0.808551737603597";"235"
"157";"sauf";"-0.199711772852806";"0.165200781373276";"0.808545552914995";"236"
"158";"quasi";"0.0689936237026107";"0.28645445155624";"0.808151981822127";"238"
"159";"jamais";"-0.146964211274629";"0.100689938267836";"0.808117122668187";"239"
"160";"2000";"-0.0610613588747793";"0.161596938602157";"0.807866923902007";"241"
"161";"1991";"-0.222425803195381";"0.239734630891729";"0.807835438214578";"242"
"162";"170";"-0.205926810175455";"0.233278174551474";"0.807835438214578";"243"
"163";"25";"0.0566326914463425";"0.062113047441572";"0.807795518860872";"244"
"164";"1970";"-0.226438179772561";"0.237886519863635";"0.807415441634046";"246"
"165";"ouais";"-0.125036590757768";"-0.0413229523605637";"0.807060103161628";"250"
"166";"aïe";"-0.0971483823394818";"-0.0122394191280298";"0.806220110000565";"257"
"167";"parfois";"-0.209330638688367";"0.152666159835395";"0.80620436715685";"258"
"168";"adieu";"-0.167867102571525";"0.102385069802631";"0.806023886698549";"260"
"169";"1700";"-0.2022444288585";"0.238679097702961";"0.806023886698549";"261"
"170";"12";"-0.217832274950425";"0.217024954513611";"0.8059367388137";"264"
"171";"celle";"-0.191405931497982";"0.182796514947371";"0.805847904195596";"266"
"172";"bof";"-0.102236546357154";"-0.310906318866744";"0.805808547086309";"267"
"173";"loin";"-0.195548738681713";"0.177229848785778";"0.805742764489358";"268"
"174";"madame";"-0.0728090794155375";"-0.530628724062704";"0.805675857403571";"269"
"175";"ok";"0.0742736532912791";"0.165771328901698";"0.805668548226132";"270"
"176";"devant";"-0.202269271220531";"0.202813856779079";"0.805558910564547";"272"
