soutenir;0;0;183;9;47;1;20;86
faux;0;0;50;20;50;1;19;204
genève;0;2;21;24;241;5;1;34
premier;0;2;59;17;107;3;7;144
lieu;0;0;54;9;125;4;11;145
histoire;0;4;74;17;34;5;7;201
génocide;0;0;316;1;6;0;1;21
défendre;1;0;141;15;55;2;14;106
israélien;2;0;318;0;6;0;0;8
perdre;1;2;42;12;132;4;15;111
prix;0;0;40;15;243;0;4;22
finir;0;3;45;21;145;5;13;98
attendre;0;4;62;22;71;0;18;145
emji_visage_faisant_un_clin_d_oeil;1;2;19;47;74;4;8;146
écrire;0;1;27;32;20;3;10;182
servir;1;1;55;8;114;1;31;115
mort;0;1;173;22;45;1;9;60
emji_visage_en_pleine_réflexion;2;0;39;49;61;3;7;85
gouvernement;0;1;179;5;58;0;6;65
montrer;0;0;56;10;36;3;16;191
jeune;0;2;21;10;63;22;49;137
nouveau;0;4;33;13;133;6;22;94
gros;1;0;14;27;149;5;13;93
côté;0;0;46;20;93;2;17;133
simplement;0;2;33;4;111;4;18;134
service;0;1;19;5;120;5;96;51
revenir;0;0;20;14;185;2;16;62
meilleur;0;19;13;19;92;7;12;97
oublier;0;1;66;14;122;2;13;90
espérer;0;4;42;41;54;3;8;151
europe;2;0;69;9;73;2;5;78
assurance;0;0;4;8;269;0;0;4
réalité;0;0;31;7;49;0;23;189
agir;1;0;86;9;66;0;10;123
ville;0;6;32;11;167;3;5;46
créer;0;0;45;5;132;5;10;88
pauvre;0;1;31;38;151;3;2;58
manquer;0;3;21;19;76;15;15;141
rapport;0;0;35;50;53;3;28;116
animal;1;8;13;13;58;13;9;150
justice;1;6;142;10;29;1;11;82
fin;1;1;59;11;78;6;11;118
respecter;0;0;138;2;63;5;9;59
justement;0;0;32;8;64;7;17;155
emji_visage_roulant_des_yeux;1;0;19;151;35;2;6;33
situation;1;0;60;1;46;1;22;150
santé;0;1;9;5;199;0;7;52
protéger;0;0;90;8;66;2;26;84
seulement;0;0;42;15;122;2;13;80
normal;2;1;17;11;151;11;7;58
frontalier;0;0;4;15;205;0;1;25
appeler;0;2;61;24;55;5;6;113
mot;0;0;63;23;17;1;13;137
extrême;0;0;41;12;20;1;5;175
augmenter;0;0;7;4;206;1;6;30
école;0;0;14;1;76;82;5;70
essayer;0;0;34;11;59;8;3;147
dernier;0;0;59;17;62;2;12;106
heure;0;1;25;11;131;4;8;58
mois;0;0;11;8;187;1;12;28
chercher;0;0;40;9;83;0;10;120
policier;0;1;95;8;26;1;11;105
malheureusement;0;2;42;2;62;6;20;127
the;153;4;8;8;5;0;0;11
gagner;1;1;12;8;169;2;12;29
terroriste;2;0;234;0;1;0;1;6
honte;0;0;55;12;35;4;9;61
solution;0;0;37;6;88;1;6;108
argument;2;1;18;17;27;1;22;159
triste;2;5;26;16;30;4;6;159
liberté;0;1;54;8;30;3;13;126
emji_drapeau_territoires_palestiniens;2;42;40;3;3;0;0;11
pire;0;0;53;19;86;4;7;58
civil;0;0;189;1;14;2;22;15
canton;0;0;7;5;193;0;2;22
étranger;0;0;21;4;89;0;8;108
expliquer;0;0;35;14;63;6;13;114
exactement;0;6;29;66;51;0;11;84
manière;1;0;38;3;60;5;13;123
simple;3;0;26;8;78;2;10;108
aide;0;0;75;6;80;3;8;71
apprendre;0;0;16;13;18;23;12;110
ouvrir;0;0;32;6;64;1;4;125
international;1;1;185;3;26;0;0;17
bas;0;0;24;19;120;3;15;49
acheter;0;1;16;10;174;2;2;24
étude;0;0;3;3;73;2;11;133
super;1;12;10;53;81;12;3;56
possible;1;2;31;8;81;1;8;104
voter;1;5;13;8;46;0;13;137
israel;6;5;197;1;2;0;0;4
avis;0;0;24;15;20;1;7;160
propre;0;0;29;8;60;8;12;112
respect;1;15;71;5;25;18;15;72
initiative;0;6;8;7;64;0;19;118
façon;0;1;24;11;69;8;16;97
terre;0;1;95;13;45;1;7;56
interdire;0;0;35;10;106;15;8;40
sécurité;0;0;52;4;80;2;15;71
mauvais;0;0;19;9;56;4;14;114
choix;0;3;15;4;66;5;32;94
voiture;0;3;3;18;183;1;0;6
foutre;0;1;39;35;58;2;6;79
égalité;0;1;2;12;14;0;153;14
absolument;0;5;26;8;41;1;7;133
répondre;1;0;21;11;29;2;5;141
terme;0;1;42;0;28;0;7;125
source;3;0;26;9;37;0;2;125
important;1;0;22;3;61;6;17;110
taxe;2;1;1;10;173;0;6;7
mériter;0;13;37;10;63;2;9;65
équipe;0;5;0;9;17;4;1;29
victime;0;4;99;5;18;2;27;61
sembler;0;0;35;5;57;2;6;108
majorité;0;0;27;3;88;2;22;73
crime;8;0;181;0;4;1;0;10
pareil;0;0;10;14;92;7;9;82
entendre;0;0;44;14;33;1;5;111
classe;0;4;4;7;152;5;3;30
emji_visage_avec_des_symboles_dans_la_bouche;1;0;5;7;13;0;0;10
risque;0;0;14;8;108;3;10;62
feu;0;1;109;15;48;1;5;32
également;0;1;36;2;81;2;11;70
valoir;4;6;19;18;81;2;10;64
manifestant;1;1;180;2;6;0;0;17
maladie;0;1;1;4;178;0;3;19
effet;0;0;8;17;88;4;12;73
occuper;0;0;48;7;71;2;11;64
courage;1;48;28;23;27;1;6;64
baisser;0;0;1;5;187;0;2;5
manger;0;0;4;11;139;2;3;32
taxer;0;0;0;3;163;0;0;23
nombre;0;0;38;0;90;1;9;42
poser;0;0;18;9;39;3;8;130
nouvelle;1;11;18;22;68;0;8;69
base;0;1;25;5;68;1;11;87
arme;1;0;111;5;26;0;14;40
suffire;0;0;28;9;79;3;1;80
parent;1;1;3;7;68;7;18;86
éviter;0;0;19;8;84;1;5;84
suivre;0;0;38;6;45;4;5;103
retrouver;0;1;25;11;71;0;13;71
langue;0;1;2;11;11;0;5;12
info;1;3;30;25;38;0;4;96
eau;0;0;34;6;133;1;1;12
citoyen;0;0;46;1;44;0;14;90
rue;0;0;62;7;52;2;4;69
mdr;0;0;18;101;31;1;7;41
jouer;0;3;11;10;36;13;12;89
train;0;0;26;14;128;2;4;23
garder;0;0;17;2;88;7;15;66
emji_colombe;2;125;13;0;4;0;1;7
préférer;0;0;23;12;92;5;7;60
représenter;0;2;31;4;58;2;8;68
groupe;0;0;89;8;25;2;6;46
reconnaître;0;0;115;9;11;0;4;50
face;1;0;54;7;34;4;12;75
clairement;0;1;31;8;36;5;11;98
ultra;0;0;6;5;136;2;1;29
profiter;0;0;18;5;115;0;7;42
ia;1;0;2;14;30;0;3;125
couper;0;2;6;4;75;4;6;39
oeil;0;1;43;9;24;3;6;107
haine;0;0;85;9;14;1;11;68
réponse;0;0;19;13;16;2;6;127
peur;0;0;25;13;32;2;8;106
média;0;0;56;6;17;1;4;102
fortune;0;0;4;4;156;1;0;15
européen;0;0;52;6;34;4;3;49
but;24;1;39;11;42;4;8;53
imaginer;0;1;16;10;68;3;6;84
free;13;9;31;4;4;0;0;9
logique;0;1;21;10;79;3;4;57
choisir;0;1;19;6;40;3;23;90
journée;0;2;7;13;37;10;37;74
concerner;0;0;17;6;71;0;6;82
casser;1;0;87;10;46;3;2;35
long;2;0;12;7;42;2;9;103
facile;0;0;16;5;54;0;15;85
détruire;0;0;77;8;51;0;4;42
vidéo;0;0;45;13;12;0;2;104
peine;0;0;29;8;48;2;8;82
information;0;1;44;9;13;0;25;85
franchement;0;1;14;14;53;2;8;89
intérêt;0;0;40;1;32;0;4;95
traiter;0;0;52;9;29;3;14;68
soutien;0;10;119;1;16;2;13;21
semaine;0;0;16;5;97;4;8;37
accepter;0;0;27;4;57;7;11;70
udc;1;1;7;16;11;0;6;115
économique;0;0;27;2;76;0;12;57
économie;0;0;1;0;156;0;1;19
dur;0;0;19;9;86;2;3;51
chiffre;0;0;13;6;81;0;8;65
chance;0;4;14;19;68;4;5;56
uniquement;0;0;29;1;55;1;11;82
toucher;0;0;12;5;90;4;8;56
moyenne;0;0;1;0;145;1;8;9
lausanne;0;1;11;27;112;0;2;20
haut;0;1;12;7;82;8;11;51
fédéral;0;0;49;4;60;0;9;48
financer;0;0;43;3;94;0;1;34
faute;0;0;21;18;43;0;5;83
démocratie;1;1;76;8;14;0;1;68
rappeler;0;1;45;6;45;1;6;73
humanité;0;6;59;9;21;1;2;75
maison;0;2;26;8;82;16;11;23
emji_visage_souriant_avec_coeurs;0;56;1;9;10;1;0;18
tête;0;1;17;13;43;2;8;90
route;0;1;8;6;136;1;4;12
marcher;0;0;25;11;37;8;6;84
magnifique;0;96;9;11;28;1;8;23
user;7;2;47;9;58;1;3;44
image;0;0;45;5;20;3;2;93
fou;0;0;27;13;26;0;5;98
contraire;0;0;34;1;33;1;13;84
voler;0;0;43;9;68;0;4;40
truc;0;1;12;7;54;1;9;82
souhaiter;0;6;20;8;35;3;9;87
plaindre;0;0;12;15;37;0;14;89
emji_drapeau_israël;1;33;42;10;2;0;0;7
valeur;0;0;29;3;40;1;4;92
nom;0;1;49;10;31;0;6;59
minimum;1;0;11;2;80;2;6;48
juif;0;0;145;0;0;0;1;6
fonctionner;1;0;8;7;79;0;4;64
main;0;2;37;8;67;2;3;44
massacre;2;1;103;1;2;0;0;6
différence;0;0;17;1;66;3;18;55
offrir;1;0;10;5;98;1;5;33
cours;1;0;25;5;43;21;8;58
réel;0;1;15;7;34;0;7;98
propos;0;0;22;8;5;0;5;124
mesure;0;0;27;2;59;0;8;67
bref;0;0;18;4;46;2;7;86
tomber;0;2;18;11;40;2;9;73
pro;2;0;101;7;14;2;3;26
emji_visage_de_clown;3;0;19;23;24;1;6;28
commettre;0;0;127;1;8;0;14;14
blanc;0;0;22;5;21;2;14;85
autoriser;0;0;120;3;22;3;1;9
remettre;0;1;15;5;43;1;16;80
prison;0;1;107;4;21;1;3;21
libre;1;5;23;3;32;1;4;91
vendre;0;0;22;6;111;1;4;15
milliard;1;0;7;5;128;0;0;7
fait;0;0;21;3;20;1;7;102
corps;0;0;40;7;31;5;15;42
coût;0;0;4;1;137;1;5;11
caisse;0;0;4;2;139;0;1;3
produire;0;0;10;4;103;0;4;33
preuve;0;0;31;4;17;0;4;97
meme;0;0;17;5;38;5;1;78
totalement;0;0;18;4;45;1;3;87
tenir;0;0;34;14;24;2;7;76
complètement;0;2;31;7;26;2;10;75
i;74;11;13;17;7;1;0;12
emji_drapeau_sénégal;0;56;0;0;0;0;0;1
recevoir;0;0;32;3;70;4;6;28
physique;0;0;3;1;55;6;7;79
ami;0;3;19;11;46;2;11;54
écouter;0;1;14;12;18;7;3;95
allemand;0;0;5;12;14;1;1;27
militaire;0;0;56;0;31;1;40;22
débat;1;0;8;6;21;11;6;95
américain;0;0;27;9;51;0;5;39
mondial;1;1;17;3;65;3;5;35
empêcher;0;0;32;3;35;4;8;64
emji_coeur_brisé;3;64;22;8;4;0;2;6
culture;0;0;9;4;19;1;13;95
banque;0;1;9;6;117;0;2;2
accueillir;0;1;36;2;56;2;6;38
total;1;1;47;6;45;2;11;35
sauver;0;0;15;7;68;1;8;45
refuser;0;0;41;4;47;2;9;45
privé;0;0;7;4;92;0;3;35
grave;0;1;35;9;25;2;3;73
réfléchir;0;0;7;6;36;1;3;97
raciste;0;0;16;25;8;0;7;88
poste;0;0;3;5;76;3;14;38
envoyer;0;1;29;17;54;0;8;34
charger;0;0;14;2;71;1;21;35
cacher;0;0;46;12;28;1;5;51
prochain;0;0;14;16;31;6;1;81
mec;0;1;7;36;13;5;23;60
