"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"user_utilisateurice";-22,112;-622,716;-8,713;1374,223;-289,694;-8,81;0,242;30,734
"emji_visage_riant_aux_larmes";-3,312;-137,1;-232,661;8077,145;-496,919;-22,334;-63,134;-665,16
"aller";-50,53;-219,286;-20,004;-46,916;346,415;0,799;0,04;1,902
"emji_applaudissements";1,001;7104,32;-116,792;-91,396;-252,92;-7,76;-18,176;-212,804
"suisse";-46,714;-138,394;-24,116;-220,042;808,918;-6,946;-3,784;-1,682
"voir";-42,784;-184,985;-11,908;-154,997;0,786;0,259;3,99;419,798
"parler";-24,372;-114,062;31,507;-127,28;-7,704;0,843;56,627;125,052
"pays";-24,797;-89,983;106,109;-114,104;45,67;-0,275;-1,077;1,492
"gens";-25,719;-115,274;-3,675;-145,001;23,764;-1,25;-7,902;242,204
"monde";-24,647;-97,51;-1,633;-133,125;9,23;8,036;0,485;176,678
"emji_coeur_rouge";6,407;6245,483;-102,233;-116,29;-206,996;-8,799;-20,746;-165,717
"emji_feu";10,345;5054,574;-72,019;-86,151;-174,648;-4,497;-16,381;-158,326
"emji_visage_qui_pleure";2,946;456,198;-5,782;-13,933;-18,075;-0,156;-0,174;-12,273
"prendre";-20,61;-83,724;-14,483;-105,945;169,672;0,27;1,726;20,912
"enfant";-18,182;-77,132;45,039;-93,683;9,502;15,215;160,475;-0,827
"emji_se_rouler_par_terre_de_rire";-4,598;-37,644;-72,231;1881,238;-94,452;-2,541;-21,06;-138,141
"mettre";-11,587;-78,717;-6,454;-87,972;47,02;15,149;2,539;52,171
"payer";-18,015;-78,552;-76,348;-125,412;1668,633;-14,264;-0,091;-250,675
"femme";-16,835;-68,983;-29,957;-119,729;-137,517;-0,498;8813,617;-100,885
"comprendre";-17,554;-76,485;-10,446;-62,946;-11,871;1,527;2,826;301,285
"penser";-15,332;-77,767;-18,167;-70,031;-1,018;-0,082;6,74;261,614
"passer";-16,798;-73,1;0,431;-77,645;33,543;-1,516;-0,777;59,61
"problème";-15,897;-71,249;-38,308;-89,703;16,239;4,97;12,976;154,724
