"";"";"";"";"qui";""
"1";"qui";"-0.380103072685564";"0.11285881634783";"1.66956175478325";"18"
"2";"aujourd_hui";"-0.0523760580693019";"-0.34762153878557";"1.43627004032822";"24"
"3";"votre";"-0.205383715301677";"0.226219699914234";"1.40381506966665";"26"
"4";"avoir";"-0.115779251688979";"-0.139596554303535";"1.34951327918164";"29"
"5";"50";"-0.421144666101575";"-0.0543334770892998";"1.22051180217428";"39"
"6";"une";"-0.155304387764117";"-0.00736200175533667";"1.18809141203266";"40"
"7";"ton";"-0.25637704280106";"-0.185066588438377";"1.17891489472065";"41"
"8";"aux";"-0.361240086076996";"0.182729352315724";"1.17600552030846";"42"
"9";"moins";"-0.314925363017128";"-0.13284101251522";"1.15602489587858";"44"
"10";"faire";"-0.223385624525577";"-0.0642091500884851";"1.13390719531549";"47"
"11";"au";"-0.219111985717309";"-0.097114396177257";"1.12049456430903";"51"
"12";"si";"-0.25497535482887";"0.00675544231382153";"1.11664459975406";"52"
"13";"pouvoir";"-0.337312611173489";"0.0615723793216399";"1.11550805333155";"53"
"14";"donc";"-0.478551805420052";"0.130024169540967";"1.11404183928546";"54"
"15";"déjà";"-0.280604702006878";"-0.0889730363428654";"1.10347749043927";"56"
"16";"elles";"-0.0230547068829891";"0.0689214088112647";"1.10048858083118";"58"
"17";"rien";"-0.312415817427036";"0.0278448901076435";"1.08566736997855";"59"
"18";"ou";"-0.349874038326594";"-0.0411220561451985";"1.0832582604217";"61"
"19";"an";"-0.0284132499061944";"-0.279281985722147";"1.06870216688873";"62"
"20";"falloir";"-0.331870939521505";"-0.00914105861968956";"1.06468621583798";"63"
"21";"tout";"-0.135549367282242";"-0.00169204493179973";"1.04116339348073";"64"
"22";"depuis";"-0.363018904197225";"0.224741847589592";"1.00651717053803";"70"
"23";"nos";"-0.148728111392989";"0.0109003473437919";"1.00593160706679";"71"
"24";"juste";"-0.265923656066278";"-0.00742802352188566";"1.00299802629063";"72"
"25";"même";"-0.221938228092444";"-0.150292391053493";"0.996536079795074";"74"
"26";"leur";"-0.38693014702678";"0.191890157087535";"0.995402991424555";"75"
"27";"quoi";"-0.255862655486643";"-0.235968895872349";"0.995361494800609";"76"
"28";"autres";"-0.423701875255329";"0.153981609983582";"0.992114383976854";"79"
"29";"personne";"-0.209681966386966";"0.260375520637471";"0.989766366671924";"80"
"30";"avec";"-0.108923998538009";"-0.147607944754049";"0.983069272640679";"82"
"31";"environ";"-0.519772014821411";"0.18205561050451";"0.980499940008037";"83"
"32";"10";"-0.310624948628862";"-0.0948371542084113";"0.977452243516022";"84"
"33";"savoir";"-0.183370094618405";"-0.178036985327863";"0.970143074281577";"87"
"34";"vos";"-0.205773265572703";"0.247621939174911";"0.960789043633805";"89"
"35";"comme";"-0.138567440821098";"-0.0434898744687902";"0.953124847727824";"92"
"36";"maintenant";"-0.0703977169554022";"-0.339251893842202";"0.951281706014234";"93"
"37";"pourquoi";"-0.380553605178502";"0.107677089100469";"0.948550997621803";"95"
"38";"chaque";"-0.319341359753439";"-0.231477975896626";"0.941832002594587";"96"
"39";"alors";"-0.370144716322516";"-0.0198149970080533";"0.941329432371244";"97"
"40";"entre";"-0.405968462110349";"0.101074279228042";"0.938105375227459";"98"
"41";"100";"-0.377390331362762";"0.106975229460561";"0.937088707940788";"99"
"42";"se";"-0.328298912821101";"-0.0281621511260974";"0.933894620580963";"100"
"43";"assez";"-0.322964292592985";"-0.110011618209193";"0.933571869061385";"101"
"44";"quelque";"-0.382117992879224";"0.0329095132287256";"0.930259055249716";"102"
"45";"nous";"-0.101599669141349";"-0.031035942000505";"0.927736982661013";"103"
"46";"combien";"-0.43538784304223";"0.00257662760420295";"0.92569673198368";"104"
"47";"sans";"-0.360790574510081";"0.0622775032117943";"0.923300301950813";"105"
"48";"peu";"-0.202844547414303";"-0.231641739325449";"0.918630779072917";"107"
"49";"vouloir";"-0.288966131042672";"0.0157673847653828";"0.916985899007068";"110"
"50";"point";"-0.405145028303334";"0.0327488070957474";"0.913715734503343";"113"
"51";"non";"-0.320461121684402";"-0.0280461567337404";"0.908428373002255";"116"
"52";"autre";"-0.271189205348692";"-0.0405231064165268";"0.907962688666863";"117"
"53";"parce_que";"-0.455090256259358";"0.0737004188759209";"0.902418278634112";"122"
"54";"ceux";"-0.445894237027855";"0.150041257138205";"0.900066803277185";"125"
"55";"surtout";"-0.226262437840739";"-0.0456323107674212";"0.898965990058625";"129"
"56";"avant";"-0.170033117800792";"-0.0474139917302867";"0.898669750271012";"130"
"57";"ni";"-0.49110928413866";"0.299430547819269";"0.89856370334315";"131"
"58";"sous";"-0.411003743480183";"0.0937851924552966";"0.892553608975007";"135"
"59";"bon";"0.223688681253829";"-0.108491755189918";"0.891995709919737";"136"
"60";"quand";"-0.243804514155084";"-0.122599551571851";"0.890702398473427";"137"
"61";"70";"0.0550498493023569";"-0.281109415726429";"0.889043686199596";"138"
"62";"où";"-0.313769212782512";"-0.026462744914697";"0.887410332973731";"139"
"63";"lui";"0.0535264305344283";"-0.218998456619289";"0.886556194130848";"140"
"64";"autant";"-0.384135592790883";"0.0106322585888991";"0.883988014182205";"142"
"65";"sa";"0.00746220184331614";"-0.00696819935675652";"0.879564012995988";"144"
"66";"peut_être";"-0.354925478332666";"-0.090275667440309";"0.878847043548926";"145"
"67";"aucune";"-0.502205219041852";"0.286202501430527";"0.878599216489249";"146"
"68";"aucun";"-0.502986577965737";"0.344707654101529";"0.878148517045839";"147"
"69";"certaines";"-0.382161844980947";"0.0392340913911278";"0.872826575024796";"149"
"70";"croire";"-0.191994532541312";"-0.156848108276802";"0.871430674702621";"150"
"71";"beaucoup";"0.0813709922812774";"-0.0441930654790977";"0.870583451963728";"151"
"72";"oui";"-0.0819919653972909";"-0.0923517461589562";"0.870325250748066";"152"
"73";"comment";"-0.19451515937974";"-0.0870034161638003";"0.865889722721864";"154"
"74";"son";"-0.0399224659991488";"0.0668091783054688";"0.865633826874199";"155"
"75";"mal";"-0.191951049925583";"-0.39402440604714";"0.865149699594832";"156"
"76";"certains";"-0.403327386523304";"0.0929687484940946";"0.864498433135683";"157"
"77";"eux";"-0.249771603314491";"0.28359669865877";"0.863903648192461";"158"
"78";"encore";"-0.149262726249831";"-0.145771347760327";"0.863707691912717";"159"
"79";"tes";"-0.295704451941591";"-0.230960587370649";"0.862453571722356";"160"
"80";"8";"-0.244287226940067";"-0.297935945893393";"0.860519367972885";"161"
"81";"aussi";"0.0449090867305322";"-0.269965369864806";"0.856999071041487";"164"
