"";"";"";"";"qui";""
"82";"dont";"-0.455312962605347";"0.421486380098438";"0.856671708785915";"165"
"83";"chacun";"-0.322893725370432";"-0.0243328648354132";"0.854653359104553";"166"
"84";"vite";"-0.139218999543072";"-0.404671076623465";"0.850673141257756";"168"
"85";"quelques";"-0.309957631662626";"-0.0736402592057784";"0.850321572638216";"169"
"86";"chez";"-0.0718145747696196";"-0.427825464075033";"0.847532077361863";"170"
"87";"ailleurs";"-0.429367472572118";"0.0738941783010911";"0.843692486962882";"177"
"88";"après";"-0.22635922121403";"-0.309317437495548";"0.842606658636302";"178"
"89";"jamais";"-0.181605381069988";"-0.125065178057412";"0.840780807182688";"180"
"90";"mieux";"-0.0916633781066001";"-0.312300260499362";"0.839655787600159";"182"
"91";"devant";"-0.278806210784428";"0.0777597987173721";"0.839556656776289";"184"
"92";"cet";"0.131132772142941";"-0.00645040004771863";"0.838410888881786";"185"
"93";"ci_dessus";"-0.444362375553604";"0.204265328836955";"0.837359641075161";"187"
"94";"celles";"-0.323312262733326";"0.122715279027415";"0.836141254088754";"190"
"95";"toujours";"-0.00241445798449246";"-0.146862326177696";"0.833724075743913";"194"
"96";"puis";"-0.275573617279955";"0.0328628206371818";"0.833319483660442";"195"
"97";"envers";"-0.14416780937701";"0.0309564152210478";"0.832858410061045";"196"
"98";"souvent";"-0.367315235729563";"-0.111580315649621";"0.832164494293952";"197"
"99";"tant";"-0.134084070593927";"0.268251264963894";"0.830988756615489";"200"
"100";"soi";"-0.244841828677816";"0.104121611177711";"0.83029945158439";"201"
"101";"dehors";"-0.170086628154841";"-0.205372242395448";"0.829220539361801";"202"
"102";"deux";"-0.191926670504471";"0.00966526544675699";"0.827432726480138";"205"
"103";"différents";"-0.297954788416834";"-0.364088920050631";"0.826208576073738";"209"
"104";"2023";"-0.358649989417986";"0.281881508708803";"0.825196519523061";"210"
"105";"ses";"-0.221821499005594";"0.145975018040617";"0.825108915539176";"211"
"106";"1965";"-0.287160302570977";"-0.403865952962869";"0.822607591262446";"213"
"107";"ainsi";"-0.430788482609008";"0.367052616797213";"0.821661237699683";"216"
"108";"parfois";"-0.238437578329172";"-0.346592450676326";"0.820639959677018";"218"
"109";"puisqu";"-0.528021118922807";"0.0451774498053312";"0.82027916958549";"220"
"110";"plupart";"-0.45097583268834";"0.139890370988815";"0.820245741749533";"221"
"111";"eux_mêmes";"-0.522298959673154";"0.350605342759928";"0.819563352822425";"223"
"112";"mêmes";"-0.322166090267259";"-0.0485367767256124";"0.818631984151643";"225"
"113";"41";"-0.0877045524969383";"0.0605242967513496";"0.817331756601343";"227"
"114";"elles_mêmes";"-0.54773965586035";"0.310130630281933";"0.815303032763995";"229"
"115";"auprès";"-0.554187253339511";"0.446212463057041";"0.814930715832482";"232"
"116";"trois";"-0.189485888544629";"-0.0701792146395193";"0.812656470303455";"239"
"117";"pardon";"-0.246833080176431";"-0.454659690505114";"0.81183345392853";"243"
"118";"101";"-0.510040669705673";"0.561411300648038";"0.810064083990844";"253"
"119";"htag_cqfd";"-0.264559729919543";"-0.91428379879092";"0.805774946832451";"286"
"120";"1987";"0.276466095490905";"-0.233860721762601";"0.804782485909748";"296"
"121";"ouais";"-0.066831511548623";"-0.564627537249486";"0.804487398806134";"303"
"122";"1982";"-0.188947614118519";"-0.649525910005324";"0.803262095715736";"318"
"123";"salut";"0.435975060570137";"-0.0998920210368969";"0.803146827315886";"319"
"124";"mme";"0.15214841465097";"-0.723543606764397";"0.802839060688289";"321"
"125";"97";"-0.235667275083418";"-0.943919843675355";"0.802433315920819";"329"
"126";"23";"0.0986349926223456";"-1.0652190636172";"0.802301909944991";"331"
"127";"ben";"-0.0833485681880408";"-0.445323539563789";"0.801915760805496";"334"
"128";"1977";"-0.0884664483883257";"-1.2090885166275";"0.801772827989683";"338"
"129";"chut";"-0.116074000899439";"-1.3603701937137";"0.801203402094427";"344"
"130";"ha";"0.311213643263325";"-0.460164169905829";"0.800628212779179";"349"
"131";"125";"0.407095344806233";"0.185598819826792";"0.800517555115323";"353"
"132";"jadis";"0.692768986799471";"0.108073622136923";"0.800446088707417";"355"
"133";"celle_là";"0.708118347112749";"-0.72959416373998";"0.800024206363968";"357"
