"";"";"";"";"emji_visage_souriant_avec_coeurs";""
"193";"exprimer";"-0.0654419195520522";"0.244015299172573";"0.8270224831585";"390"
"194";"violence";"-0.543433487093063";"0.740368562885429";"0.826737420447334";"391"
"195";"langue";"-0.229480002005142";"-0.25407704221141";"0.826662601637459";"392"
"196";"enseignant";"-0.0535442090479479";"-0.32562673292757";"0.826271046481843";"393"
"197";"rentrer";"-0.232189865291297";"-0.279474719921903";"0.826263940217676";"394"
"198";"réfléchir";"-0.400179194953038";"0.047719151375536";"0.826227089162066";"395"
"199";"match";"0.177988931642134";"-0.369601182132627";"0.826188207745265";"396"
"200";"affectueux";"-0.0753584024712203";"-0.41399331783196";"0.82603298663224";"397"
"201";"domestique";"-0.360677984573822";"-0.060615086404847";"0.825901926817384";"398"
"202";"gibier";"-0.0947112014099535";"-0.410491232553014";"0.825674627882092";"399"
"203";"noir";"-0.268406738568596";"-0.230684505592308";"0.825513823275793";"401"
"204";"multiplication";"0.0464015531706592";"-0.554465040376691";"0.825329263443564";"402"
"205";"vivant";"-0.0295650808303387";"0.106770265182516";"0.825135363949857";"403"
"206";"vérité";"-0.168436047671241";"0.0300858090760492";"0.825108258627962";"404"
"207";"débat";"-0.512857221028844";"0.11777783501439";"0.824667061141236";"407"
"208";"relation";"-0.489205914753777";"0.368953752095551";"0.82455549279381";"408"
"209";"castrer";"0.14910309001656";"0.421658485600154";"0.824456512685766";"409"
"210";"compte";"-0.490465653018935";"0.153294156151839";"0.82444483810892";"410"
"211";"bagage";"-0.325734427856617";"-0.22940505484262";"0.824344842820281";"412"
"212";"oser";"-0.330478112781128";"0.0411037611456464";"0.823988514431323";"415"
"213";"terme";"-0.517579983867396";"0.178316397658624";"0.823913797139507";"416"
"214";"message";"-0.315462891132317";"0.247175200383533";"0.823891158612232";"417"
"215";"commenter";"-0.42121109924022";"-0.131709449190521";"0.823619597802983";"418"
"216";"nature";"0.313432784149042";"0.069039866638079";"0.823532393789845";"420"
"217";"emji_visage_pensif";"0.502709723569039";"-0.110315019780906";"0.823525490561797";"421"
"218";"importer";"-0.426326218293329";"-0.0272175520671318";"0.823491685047973";"422"
"219";"preuve";"-0.542502494460215";"0.293271697760342";"0.823325398466459";"423"
"220";"emji_applaudissements_peau_moyennement_claire";"3.65359080352418";"1.57621352999956";"0.823199617590699";"427"
"221";"vaudois";"0.697437132243218";"-2.53654131111518";"0.823187943013852";"428"
"222";"chance";"0.299756177784482";"-0.0376744155180529";"0.823086831026559";"429"
"223";"roux";"0.0072712999962616";"-0.82122996819781";"0.822982165907181";"430"
"224";"câlin";"-0.129583492804409";"-0.441461402368317";"0.822982165907181";"431"
"225";"carence";"-0.384008779088833";"-0.182154688808072";"0.822881155437946";"432"
"226";"mâle";"-0.25710556961842";"-0.227297532008433";"0.822832426769371";"433"
"227";"gosse";"0.120554804688436";"-0.44865295222125";"0.822792631690034";"434"
"228";"incels";"-0.468698038872835";"0.48054617348733";"0.822708067146444";"435"
"229";"intelligence";"0.179612598760591";"0.318404229796158";"0.822577210367707";"436"
"230";"malheureux";"-0.0660972898111743";"-0.139368078552144";"0.822556297647444";"437"
"231";"expression";"-0.242096010099429";"-0.137516333075667";"0.82252888777137";"438"
"232";"claudia";"4.13555993494825";"1.43971987094045";"0.822373159068048";"439"
"233";"poulet";"-0.0142991685191037";"-0.396428673740173";"0.822294279535791";"440"
"234";"dieu";"0.469097743520375";"-0.103745220023417";"0.822292959801017";"441"
"235";"divorce";"-0.290920747152544";"-0.042550672643677";"0.822092563151501";"444"
"236";"grossesse";"-0.427088370195747";"0.216884912735732";"0.821955919843371";"446"
"237";"début";"-0.00213927012329486";"-0.477075647385494";"0.821902724380176";"447"
"238";"rassasier";"0.0142916730394849";"-0.934581509491813";"0.821831458702384";"449"
"239";"nutriment";"-0.200321132980899";"-0.335387460438457";"0.821831458702384";"450"
"240";"dépendant";"-0.346239477584381";"-0.171174064123696";"0.821825570654931";"451"
"241";"enterrer";"-0.517201756568894";"0.587715670100965";"0.821825570654931";"452"
"242";"abattre";"-0.391613402097863";"0.2230703058272";"0.821825570654931";"453"
"243";"machisme";"-0.408143913577197";"0.341172210928131";"0.821741006111341";"454"
"244";"professeur";"0.00869931614051704";"-0.500408381621352";"0.821711261319898";"455"
"245";"phrase";"-0.145518822936116";"-0.279180039220494";"0.821477972819093";"456"
"246";"jeannot";"-0.0947112014099537";"-0.410491232553014";"0.821393103721324";"458"
"247";"gypaète";"-0.0947112014099537";"-0.410491232553014";"0.821393103721324";"459"
"248";"canidé";"-0.0947112014099537";"-0.410491232553014";"0.821393103721324";"460"
"249";"requin";"-0.349783156526216";"-0.500926007732327";"0.821364171074358";"461"
"250";"assumer";"-0.481511844799251";"0.329037458847179";"0.821331583777248";"462"
"251";"opinion";"-0.559496571039974";"0.377172646841512";"0.821322751706069";"463"
"252";"blanc";"-0.254556474930047";"-0.553417808706364";"0.821214939526846";"465"
"253";"emji_étourdissement";"3.98055916819121";"1.57246666319723";"0.821196260203892";"466"
"254";"droite";"-0.637405757101873";"0.427148978264592";"0.821190575192558";"467"
"255";"emji_visage_qui_regarde_entre_ses_doigts";"0.548314311300364";"-2.69369530725464";"0.821189153939724";"468"
"256";"manière";"-0.460649256800696";"0.258696456487354";"0.821090884458097";"469"
"257";"obligation";"-0.645867811612012";"0.493586597139115";"0.821078702290953";"470"
"258";"français";"-0.105839356675814";"-0.712125849687344";"0.82063466229856";"472"
"259";"extrême";"-0.620254341480566";"0.489301458294289";"0.820551519007803";"473"
"260";"montrer";"-0.440511817872598";"0.279208610386116";"0.820544311225576";"474"
