"";"banalfreq";"X.rts_a";"X.rts_i"
"vivant";12;0,3834;-0,3834
"prendre";79;0,3545;-0,3545
"souhaiter";13;0,5234;-0,5234
"fin";75;-0,7071;0,7071
"année";221;1,937;-1,937
"cours";29;-0,4369;0,4369
"cadeau";18;1,4387;-1,4387
"noël";74;0,2839;-0,2839
"tradition";22;1,8294;-1,8294
"arriver";21;-0,381;0,381
"père";16;0,6919;-0,6919
"retour";43;-0,2924;0,2924
"aller";82;1,2897;-1,2897
"passer";74;1,4614;-1,4614
"heure";82;1,9651;-1,9651
"soigner";11;0,8567;-0,8567
"idée";13;1,2913;-1,2913
"sapin";10;1,7033;-1,7033
"partir";63;0,5806;-0,5806
"recherche";24;-1,6764;1,6764
"musical";17;0,3422;-0,3422
"compagnie";17;0,8548;-0,8548
"version";13;-0,311;0,311
"long";23;0,6125;-0,6125
"beauté";13;1,2913;-1,2913
"espace";21;-1,2366;1,2366
"saison";40;-0,5222;0,5222
"officiellement";16;-0,6048;0,6048
"lancer";57;-0,5189;0,5189
"proposer";46;0,5269;-0,5269
"meilleur";30;1,7155;-1,7155
"pire";12;1,0677;-1,0677
"km";18;-1,7301;1,7301
"h";13;-0,9177;0,9177
"piste";23;1,5874;-1,5874
"kilomètre";13;0,2913;-0,2913
"vitesse";12;0,3834;-0,3834
"chat";33;1,8824;-1,8824
"devenir";64;-0,6404;0,6404
"véritable";12;1,597;-1,597
"emji_notes_de_musique";19;-1,3787;1,3787
"créer";39;-1,3645;1,3645
"grand";124;0,9013;-0,9013
"succès";28;-0,7717;0,7717
"international";41;-1,5964;1,5964
"station";22;-0,6918;0,6918
"monde";117;0,5745;-0,5745
"commencer";28;0,7683;-0,7683
"transformer";13;-1,4247;1,4247
"connaître";59;-0,2815;0,2815
"traverser";11;-0,6342;0,6342
"décennie";16;0,246;-0,246
"continuer";15;-0,8054;0,8054
"séduire";12;-0,7721;0,7721
"public";79;-1,1426;1,1426
"streaming";10;-1,5032;1,5032
"rester";55;-1,9091;1,9091
"incontournable";11;1,3431;-1,3431
"populaire";15;-1,2277;1,2277
"âgé";28;-0,5457;0,5457
"profiter";17;1,2324;-1,2324
"retraite";23;0,6125;-0,6125
"oeuvre";18;-0,5469;0,5469
"base";13;-0,5571;0,5571
"découvrir";43;1,8183;-1,8183
"chute";17;-1,5584;1,5584
"val";15;1,2564;-1,2564
"arrêter";20;0,4741;-0,4741
"carrière";23;0,6125;-0,6125
"histoire";41;1,5015;-1,5015
"image";22;0,4938;-0,4938
"penser";15;0,5426;-0,5426
"cheveu";11;1,991;-1,991
"réaction";17;-0,2634;0,2634
"mai";13;0,2913;-0,2913
"légende";15;0,5426;-0,5426
"jurer";29;-0,29;0,29
"pari";28;-0,5457;0,5457
"énergie";12;0,6695;-0,6695
"léman";18;-0,3344;0,3344
"course";32;1,3502;-1,3502
"vieux";18;1,4387;-1,4387
"ville";62;-1,2413;1,2413
"genève";139;-1,2383;1,2383
"fribourg";37;1,2035;-1,2035
"vaud";36;1,064;-1,064
"neuchâtel";25;-1,0241;1,0241
"assurer";15;-1,2277;1,2277
"train";39;-0,3244;0,3244
"cff";27;-0,6769;0,6769
"introduire";10;-0,9029;0,9029
"interdiction";12;-0,2318;0,2318
"fumer";11;1,3431;-1,3431
"finir";13;1,2913;-1,2913
"cigarette";18;1,4387;-1,4387
"vraiment";19;1,2159;-1,2159
"partager";37;1,2035;-1,2035
"nombreux";52;1,136;-1,136
"fan";24;0,7424;-0,7424
"travers";19;-0,2452;0,2452
"livre";15;0,3177;-0,3177
"rencontrer";14;1,0481;-1,0481
"attendre";37;-0,8834;0,8834
"transport";18;-0,3344;0,3344
"adapter";14;-0,6774;0,6774
"affronter";10;0,6605;-0,6605
"match";24;0,5127;-0,5127
"nati";12;0,3834;-0,3834
"arrivée";16;-0,6048;0,6048
"équipe";44;-0,468;0,468
"garder";17;-0,4516;0,4516
"sécurité";36;-1,6877;1,6877
"onu";10;-1,5032;1,5032
"voter";16;-0,9401;0,9401
"paix";21;-0,8738;0,8738
"récent";10;-0,9029;0,9029
"guerre";29;-1,1708;1,1708
"terme";14;-0,6774;0,6774
"signe";10;0,6605;-0,6605
"mouvement";16;-0,3641;0,3641
"eau";35;1,199;-1,199
"rendre";43;-1,2078;1,2078
"veille";11;0,8567;-0,8567
"bain";16;0,4317;-0,4317
"st";13;-0,311;0,311
"lausanne";101;1,1276;-1,1276
"marier";14;1,0481;-1,0481
"union";13;-0,9177;0,9177
"dénoncer";15;-0,8054;0,8054
"obligatoire";15;0,5426;-0,5426
"société";22;0,3144;-0,3144
"feu";30;0,2594;-0,2594
"liberté";27;1,5471;-1,5471
"bientôt";12;-0,4454;0,4454
"interdire";18;-0,8395;0,8395
"individu";11;-1,0713;1,0713
"sortir";34;-0,3081;0,3081
"parent";24;0,7424;-0,7424
"suivre";50;1,6508;-1,6508
"nyon";11;1,3431;-1,3431
"inviter";20;1,0271;-1,0271
"plonger";13;0,2913;-0,2913
"programme";21;0,5958;-0,5958
"événement";29;0,4652;-0,4652
