"";"X.rts_a";"X.rts_i"
"personnalité";0,26;0,45
"témoignage";1,21;0,32
"actuel";0,26;0,71
"inédit";0,09;0,91
"théâtre";0,26;0,45
"inscrire";0,35;0,65
"cochon";0,95;0,06
"chanter";0,95;0,13
"claude";0,86;0
"champion";1,64;0,45
"bel";0,86;0,13
"seul";1,04;0,78
"humour";3,37;0,06
"miracle";7,61;0,13
"montrer";0,86;1,36
"ouvrier";0,52;0,39
"exprimer";0,61;0,71
"époux";0,43;0,45
"clip";3,72;0,13
"diffuser";4,24;0,39
"samedi";3,98;2,34
"18h45";3,55;0
"miraclesuisse";3,72;0
"madeinswitzerland";3,63;0
"suissitude";3,29;0
"jour";3,03;4,29
"réaliser";0,52;0,84
"occasion";2,77;0,65
"moment";1,04;0,71
"emji_feu";0,17;0,71
"propre";1,47;0,26
"couple";0,78;0,13
"américain";0,52;2,73
"voyage";2,16;0,39
"donner";1,56;0,78
"dossier";0,52;0,65
"ordre";0,43;0,45
"switzerland";1,3;0
"occuper";0,86;0,32
"commeunlundi";1,04;0
"style";1,04;0,06
"chaussette";1,12;0,06
"simple";1,12;0,19
"mode";3,03;0,32
"commun";0,86;0,84
"apprendre";0,78;0,45
"aimer";4,06;0
"poser";0,52;0,32
"plutôt";1,73;0,19
"police";0,78;2,47
"kid";2,42;0
"mort";1,21;2,53
"médecin";0,61;0,52
"mettre";1,73;4,03
"terre";1,12;0,39
"vie";6,23;1,56
"compter";0,43;0,45
"étude";0,17;2,53
"spécial";1,04;0,65
"invention";1,64;0
"innovation";0,86;0,32
"solution";0,86;0,52
"raclette";0,52;0,32
"présent";1,3;0,58
"reportage";1,3;0,19
"froid";1,64;0,71
"automne";1,56;0,39
"règle";0,52;0,58
"manquer";1,12;0,78
"femme";5,36;3,7
"logement";0,35;0,45
"développer";0,35;0,39
"appeler";1,3;0,71
"sensible";0,61;0,19
"maison";1,3;0,65
"entier";0,69;0,32
"compte";1,3;0,97
"fou";0,95;0,06
"manger";0,78;0,06
"dimanche";0,43;3,51
"soir";0,86;1,69
"état";0,52;2,86
"civil";0,52;0,97
"personnage";0,52;0,26
"nom";0,52;0,65
"particulièrement";0,17;1,23
"exister";0,86;0,26
"école";2,25;1,1
"retourner";0,52;0,26
"élève";0,61;0,58
"ecole";1,3;0,06
"traditionnel";0,52;0,65
"glisser";0,95;0,06
"ouvrir";1,04;1,56
"sport";1,99;0,58
"alcool";0,95;0,26
"domaine";0,09;0,65
"famille";1,82;1,62
"vin";1,9;0,78
"caméra";0,86;0,19
"fils";0,61;0,26
"jean";2,25;0,58
"âge";2,34;1,17
"bande";0,26;1,1
"main";0,78;0,13
"objectif";0,26;0,78
"record";0,69;1,56
"personnel";0,26;0,58
"corps";1,21;0,32
"esprit";1,04;0,13
"forme";0,35;0,58
"lapin";0,61;0,19
"part";0,43;0,71
"vacance";3,98;0,32
"poste";0,69;1,69
"service";0,61;2,86
"animal";1,82;1,88
"voir";2,08;2,01
"vrai";0,86;0,06
"jeudi";0,17;3,77
"offrir";0,86;2,34
"émotion";0,86;0,32
"ambiance";1,64;0,13
"télévision";2,68;0,32
"parole";0,52;0,32
"manière";0,69;0,52
"changer";1,04;0,52
"scène";0,35;0,58
"comédien";1,21;0
"travailler";0,78;0,45
"tour";1,47;1,3
"adolescent";1,04;0,65
"acteur";1,12;0,91
"cinéma";1,64;0,52
"décéder";0,35;0,78
"film";1,04;1,04
"philippe";0,61;0,45
"début";1,64;1,69
"effet";0,43;1,3
"citoyen";0,43;0,78
"représentant";0,35;0,45
"défendre";0,26;0,52
"espèce";0,09;1,23
"menacer";0,26;0,84
"entendre";0,52;0,32
"avenir";0,43;0,65
"canton";1,12;3,7
"affaire";0,61;1,62
"marquer";0,52;2,08
"fédéral";0,86;3,96
"peur";1,12;0,06
"avion";1,3;0,32
"pilote";0,69;0,58
"ligne";0,26;2,34
"armée";1,56;1,3
"porte";0,52;0,78
"répondre";0,86;0,71
"document";0,78;0,39
"armeesuisse";0,86;0
"achat";0,17;0,58
"présenter";1,64;1,69
"gagner";0,61;0,26
"travailleur";0,26;0,58
"fille";1,47;0,52
"journaliste";1,3;0,78
"choisir";1,12;0,78
"rêve";1,12;0,19
"matin";1,56;1,49
"préparer";0,61;0,45
"appétit";0,78;0,06
"star";0,52;0,39
"plateau";1,21;0,19
"également";0,61;1,69
"dizaine";0,17;0,58
"art";1,38;1,17
"légendaire";0,69;0,26
"blanc";1,56;0,52
"bas";0,52;0,58
"faux";0,35;0,78
"éviter";0,78;0,84
"helvétique";0,95;0,19
"préférer";0,86;0,13
"tête";1,38;0,78
"vieillesse";0,95;0,19
"alpage";0,86;0,06
"revenir";1,12;1,62
"lieu";0,69;1,49
"accent";1,04;0
"chercheur";0,09;0,97
"bord";0,43;0,45
"rêver";0,86;0
"travail";1,9;2,4
"vintage";2,51;0
"garantir";0,43;0,39
"malade";0,52;0,26
"porter";0,78;0,91
"couper";1,3;1,88
"mythique";0,78;0,13
"valaisan";0,86;0,06
"vélomoteur";0,95;0
"génération";0,86;0,45
"eighties";2,25;0
"jeu";2,85;1,04
