"";"banalfreq";"X.rts_a";"X.rts_i"
"emji_visage_avec_un_sourire_malin";184;-0,7116;0,7116
"emji_feu";3134;-0,3418;0,3418
"emji_trinquer";30;0,3944;-0,3944
"emji_ok_peau_claire";57;0,7912;-0,7912
"emji_visage_qui_hurle_de_peur";336;0,5395;-0,5395
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";76;-1,6412;1,6412
"emji_drapeau_albanie";17;1,9672;-1,9672
"emji_ballon_de_football";25;-0,538;0,538
"emji_visage_avec_bouche_ouverte";1019;1,0283;-1,0283
"emji_visage_avec_un_doigt_sur_la_bouche";56;-0,2805;0,2805
"emji_cornes_avec_les_doigts";71;0,5422;-0,5422
"emji_v_de_la_victoire_peau_moyennement_claire";13;-0,9738;0,9738
"emji_visage_avec_masque";22;1,6353;-1,6353
"emji_couronne";66;1,7726;-1,7726
"emji_feuille";52;-0,4599;0,4599
"emji_fondue";41;1,3193;-1,3193
"emji_visage_souriant_avec_une_larme";239;0,5649;-0,5649
"emji_visage_qui_vomit";179;0,9816;-0,9816
"emji_visage_qui_bave";30;-0,711;0,711
"emji_drapeau_belgique";11;1,5603;-1,5603
"emji_cerveau";13;-0,6133;0,6133
"emji_visage_qui_rougit";208;-0,8862;0,8862
"emji_singe_ne_rien_voir";141;0,6863;-0,6863
"emji_chat_qui_sourit_avec_des_yeux_rieurs";11;-0,5839;0,5839
"emji_cent_points";85;0,4837;-0,4837
"emji_visage_endormi";55;-1,877;1,877
"emji_applaudissements_peau_moyennement_claire";155;-0,4702;0,4702
"emji_explosion";64;0,7292;-0,7292
"emji_pouce_vers_le_haut_peau_claire";160;0,7269;-0,7269
"emji_ok_peau_moyennement_claire";43;1,532;-1,532
"emji_moai";26;1,3102;-1,3102
"emji_tulipe";39;0,3381;-0,3381
"emji_flocon";99;1,0802;-1,0802
"emji_visage_pensif";180;0,281;-0,281
"emji_visage_bleu_et_froid";65;-0,3116;0,3116
"emji_drapeau_france";91;-0,7773;0,7773
"emji_feuille_morte";12;-1,2019;1,2019
"emji_jeune_pousse";24;0,5153;-0,5153
"emji_bonhomme_de_neige";17;-0,2415;0,2415
"emji_bombe";12;0,3765;-0,3765
"emji_dans_le_mille";13;-0,9738;0,9738
"emji_chat_qui_pleure_de_joie";79;0,5571;-0,5571
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";23;0,2746;-0,2746
"emji_index_pointant_vers_le_haut_peau_claire";14;-0,2727;0,2727
"emji_index_pointant_vers_le_haut";48;-0,4181;0,4181
"emji_symbole_de_paix";17;0,37;-0,37
"emji_haute_tension";22;-0,6071;0,6071
"emji_bourgeon";16;0,8124;-0,8124
"emji_skieur";19;-1,8722;1,8722
"emji_ampoule";13;-0,3523;0,3523
"emji_visage_confus";33;0,2863;-0,2863
"emji_points_d_exclamation_et_d_interrogation";17;-0,9946;0,9946
"emji_cornes_avec_les_doigts_peau_claire";16;-0,8109;0,8109
"emji_visage_rouge_et_chaud";35;0,7574;-0,7574
"emji_bouquet";30;1,4262;-1,4262
"emji_visage_sans_bouche";20;-0,5791;0,5791
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";29;-0,2693;0,2693
"emji_casque_de_secouriste";11;-1,49;1,49
"emji_visage_qui_tire_la_langue";23;-0,7454;0,7454
"emji_singe_ne_rien_entendre";11;0,5506;-0,5506
"emji_visage_qui_fond";100;0,3861;-0,3861
"emji_confettis";18;-0,3386;0,3386
"emji_visage_aux_yeux_en_spirales";71;-0,2752;0,2752
"emji_tas_de_crotte";97;0,2928;-0,2928
"emji_visage_avec_bouche_en_diagonale";20;0,4053;-0,4053
"emji_pouce_vers_le_bas";143;1,6398;-1,6398
"emji_poing_de_face";18;0,7136;-0,7136
"emji_visage_neutre";44;0,3395;-0,3395
"emji_bout_des_doigts_joints";17;-0,4202;0,4202
"emji_singe_ne_rien_dire";13;0,2552;-0,2552
"emji_v_de_la_victoire_peau_claire";22;-0,244;0,244
"emji_vague";20;0,6346;-0,6346
"emji_parapluie_avec_gouttes_de_pluie";12;0,6735;-0,6735
"emji_vent_avec_visage";12;0,6735;-0,6735
