"";"*rts_a";"*rts_i"
"emji_visage_avec_un_sourire_malin";103;81
"emji_visage_riant_aux_larmes";13205;5773
"vide_aucun_emji";38920;30391
"emji_visage_souriant_avec_yeux_rieurs";492;101
"emji_se_rouler_par_terre_de_rire";2540;1136
"emji_feu";1857;1277
"emji_visage_souriant_avec_une_goutte_de_sueur";1028;423
"emji_yeux";75;89
"emji_applaudissements";4372;3244
"emji_visage_avec_lunettes_de_soleil";117;39
"emji_ok";209;76
"emji_trinquer";19;11
"emji_ok_peau_claire";38;19
"emji_homme_avec_la_paume_sur_le_visage";27;48
"emji_visage_qui_hurle_de_peur";205;131
"emji_applaudissements_peau_claire";87;103
"emji_drapeau_suisse";503;506
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";36;40
"emji_drapeau_albanie";15;2
"emji_ballon_de_football";13;12
"emji_visage_souriant_aux_yeux_rieurs";380;101
"emji_visage_envoyant_un_bisou";235;86
"emji_visage_avec_bouche_ouverte";626;393
"emji_visage_festif";91;147
"emji_visage_avec_un_doigt_sur_la_bouche";33;23
"emji_soleil";54;14
"emji_visage_rieur";108;10
"emji_pouce_vers_le_haut";575;149
"emji_pouce_vers_le_haut_peau_moyennement_claire";59;22
"emji_drapeau_italie";81;4
"emji_cornes_avec_les_doigts";45;26
"emji_v_de_la_victoire_peau_moyennement_claire";5;8
"emji_visage_avec_masque";18;4
"emji_visage_qui_pleure";1370;1225
"emji_visage_avec_une_main_sur_la_bouche";125;38
"emji_visage_souriant";239;47
"emji_couronne";48;18
"emji_feuille";29;23
"emji_visage_de_clown";101;166
"emji_visage_de_geek";65;74
"emji_cotillons";43;53
"emji_papillon";25;3
"emji_notes_de_musique";159;18
"emji_visage_roulant_des_yeux";264;291
"emji_fondue";30;11
"emji_visage_souriant_avec_une_larme";147;92
"emji_miam";66;24
"emji_visage_souriant_avec_de_grands_yeux";103;26
"emji_visage_qui_vomit";115;64
"emji_drapeau_australie";13;0
"emji_visage_qui_bave";15;15
"emji_drapeau_belgique";10;1
"emji_cerveau";6;7
"emji_visage_qui_rougit";115;93
"emji_visage_boudeur";179;406
"emji_singe_ne_rien_voir";89;52
"emji_colombe";57;203
"emji_visage_implorant";109;30
"emji_abeille";23;3
"emji_chat_qui_sourit_avec_des_yeux_rieurs";5;6
"emji_cent_points";53;32
"emji_visage_endormi";24;31
"emji_applaudissements_peau_moyennement_claire";89;66
"emji_explosion";42;22
"emji_pouce_vers_le_haut_peau_claire";101;59
"emji_ok_peau_moyennement_claire";32;11
"emji_visage_avec_des_symboles_dans_la_bouche";71;219
"emji_applaudissements_peau_mate";13;38
"emji_moai";20;6
"emji_signe_de_la_main";50;16
"emji_tulipe";24;15
"emji_nuage_avec_neige";26;4
"emji_flocon";66;33
"emji_part_de_fromage";10;24
"emji_femme_avec_la_paume_sur_le_visage_peau_claire";24;45
"emji_visage_pensif";107;73
"emji_visage_bleu_et_froid";38;27
"emji_drapeau_france";49;42
"emji_feuille_morte";4;8
"emji_jeune_pousse";16;8
"emji_bonhomme_de_neige";10;7
"emji_bombe";8;4
"emji_bouteille_de_champagne";13;25
"emji_verre_de_vin";19;2
"emji_dans_le_mille";5;8
"emji_chat_qui_pleure_de_joie";50;29
"emji_rose";244;22
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";14;9
"emji_index_pointant_vers_le_haut_peau_claire";8;6
"emji_note_de_musique";32;2
"emji_index_pointant_vers_le_haut";27;21
"emji_partition";55;1
"emji_symbole_de_paix";11;6
"emji_pouce_vers_le_bas_peau_claire";5;13
"emji_haute_tension";11;11
"emji_visage_anxieux_avec_goutte_de_sueur";22;34
"emji_bourgeon";12;4
"emji_visage_avec_un_monocle";49;59
"emji_skieur";6;13
"emji_personne_avec_la_paume_sur_le_visage";26;49
"emji_visage_sans_expression";21;34
"emji_fleur_de_cerisier";40;3
"emji_v_de_la_victoire";40;48
"emji_ampoule";7;6
"emji_visage_confus";20;13
"emji_visage_retenant_ses_larmes";383;53
"emji_sac_plein_d_argent";7;35
"emji_points_d_exclamation_et_d_interrogation";7;10
"emji_cornes_avec_les_doigts_peau_claire";7;9
"emji_visage_qui_regarde_entre_ses_doigts";112;51
"emji_visage_rouge_et_chaud";24;11
"emji_bouquet";23;7
"emji_visage_sans_bouche";10;10
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";22;34
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";17;12
"emji_casque_de_secouriste";3;8
"emji_visage_qui_tire_la_langue";11;12
"emji_singe_ne_rien_entendre";8;3
"emji_visage_qui_fond";61;39
"emji_ballon_gonflable";15;1
"emji_confettis";10;8
"emji_visage_aux_yeux_en_spirales";42;29
"emji_croix_latine";14;23
"emji_tas_de_crotte";58;39
"emji_visage_avec_bouche_en_diagonale";13;7
"emji_pouce_vers_le_bas";97;46
"emji_poing_de_face";13;5
"emji_visage_neutre";27;17
"emji_bout_des_doigts_joints";9;8
"emji_femme_avec_la_paume_sur_le_visage";34;53
"emji_aigle";2;12
"emji_singe_ne_rien_dire";8;5
"emji_v_de_la_victoire_peau_claire";13;9
"emji_point_d_exclamation_rouge";15;26
"emji_vague";14;6
"emji_parapluie_avec_gouttes_de_pluie";9;3
"emji_vent_avec_visage";9;3
"emji_drapeau_kosovo";16;2
"emji_visage_qui_fait_un_salut_militaire";54;32
"emji_hibiscus";39;2
"emji_visage_somnolent";2;32
"emji_visage_souriant_avec_des_cornes";12;11
"emji_ogre";7;9
"emji_escargot";11;1
"emji_lotus";12;1
"emji_visage_expirant";14;30
"emji_chat";23;6
"emji_boisson_chaude";10;10
"emji_danseuse";9;3
"emji_bougie";5;18
"emji_cadeau";8;5
"emji_chat_qui_pleure";5;5
"emji_chouette";10;0
"emji_double_point_d_exclamation";28;24
"emji_coche";4;7
"emji_drapeau_territoires_palestiniens";5;259
"emji_soleil_avec_visage";21;13
"emji_haut_parleur";12;0
"emji_homme_avec_la_paume_sur_le_visage_peau_moyennement_claire";5;12
"emji_visage_inquiet";10;2
"emji_bout_des_doigts_joints_peau_claire";7;5
"emji_drapeau_ukraine";5;6
"emji_goutte_de_sang";5;6
"emji_index_pointant_vers_l_utilisateur";8;21
"emji_femme_qui_court";7;6
"emji_pop_corn";3;28
"emji_canard";14;4
"emji_croix";13;10
"emji_symbole_d_avertissement";14;33
"emji_drapeau_turquie";24;0
"emji_drapeau_argentine";15;6
"emji_drapeau_mexique";18;0
"emji_drapeau_congo_kinshasa";2;8
"emji_drapeau_portugal";11;16
"emji_drapeau_chili";12;6
"emji_paume_contre_paume_doigts_vers_le_haut";16;15
"emji_drapeau_venezuela";4;13
"emji_drapeau_pologne";11;1
"emji_drapeau_maroc";16;1
"emji_ciseaux";17;6
"emji_bout_des_doigts_joints_peau_moyennement_claire";3;8
"emji_danseur";10;1
"emji_visage_de_menteur";4;10
"emji_point_d_interrogation_rouge";3;13
"emji_argent_dans_les_yeux_et_la_bouche";4;12
"emji_empreintes_d_animaux";18;9
"emji_arc_en_ciel";14;9
"emji_billet_en_dollars";6;8
"emji_robot";1;18
"emji_billet_avec_des_ailes";10;17
"emji_porte_documents";1;9
"emji_renard";344;2
"emji_rat";4;6
"emji_requin";1;18
"emji_pizza";42;1
"emji_cheval";3;11
"emji_visage_avec_des_valises_sous_les_yeux";0;17
"emji_drapeau_soudan";0;10
"emji_drapeau_de_pirate";0;12
"emji_ninja_peau_mate";0;24
"emji_paume_contre_paume_doigts_vers_le_haut_peau_mate";0;10
"emji_drapeau_cap_vert";0;65
