"";"";"";"";"être";""
"1";"être";"-0.0193674866402391";"0.00998340631275838";"1.70617336643802";"14"
"2";"aujourd_hui";"-0.0939711872643332";"-0.421385927269961";"1.68251285620323";"15"
"3";"la";"-0.0937976250293528";"-0.0429566664804885";"1.45496833129747";"20"
"4";"pour";"-0.189843252058665";"-0.0421585222037683";"1.4467906871559";"21"
"5";"ce";"0.0724264401669577";"-0.153015009212085";"1.4331858061783";"23"
"6";"à";"-0.0745039941837192";"-0.116751712675377";"1.39915433336465";"24"
"7";"faire";"-0.165321348370745";"-0.211343862981884";"1.38113828958747";"25"
"8";"mais";"-0.206062733842835";"-0.211708909682273";"1.35472036463999";"27"
"9";"dans";"-0.279276012915258";"-0.0548294325514358";"1.32933953595039";"28"
"10";"même";"-0.205821696467875";"-0.267960107944956";"1.31751804009192";"30"
"11";"tout";"-0.0507414365929992";"-0.232515206781058";"1.28957600408978";"31"
"12";"leur";"-0.189169086541237";"-0.536442770741962";"1.27870050819628";"32"
"13";"plus";"-0.133465947883185";"-0.191242507503045";"1.27473781945415";"33"
"14";"en";"-0.325921583305681";"-0.0305536245442695";"1.25539737572602";"35"
"15";"qu";"-0.160712461821758";"-0.23491167699651";"1.22602933236928";"38"
"16";"on";"-0.256140702138797";"-0.0569121047553904";"1.1973795482452";"40"
"17";"vous";"-0.0527687573570066";"-0.0424455609883359";"1.18752363009172";"41"
"18";"il";"-0.156937562835271";"-0.112104345561955";"1.16891546041054";"43"
"19";"je";"-0.036840231113842";"-0.0118136432656499";"1.16882786782119";"44"
"20";"sur";"-0.224411114154372";"-0.325975879466376";"1.16639629754088";"45"
"21";"pouvoir";"-0.183602037837853";"-0.301956568696182";"1.14811747599565";"47"
"22";"croire";"-0.260012718572584";"-0.369812150917226";"1.14297754285268";"50"
"23";"un";"-0.190043844899273";"-0.0388060823512549";"1.14147095031589";"51"
"24";"monsieur";"0.911800925070456";"0.563828110999071";"1.12893469892834";"52"
"25";"ton";"-0.236582298464566";"-0.357300129284365";"1.11983558074683";"54"
"26";"bien";"0.0802874653602959";"-0.048134925920525";"1.11248831435228";"55"
"27";"eux";"-0.0773008099254889";"-0.393313168314131";"1.09328801876711";"57"
"28";"du";"-0.18292367270015";"-0.173851178404319";"1.08932182632141";"58"
"29";"savoir";"-0.245970342932838";"-0.203881864602713";"1.08421693021419";"60"
"30";"une";"-0.133843750901869";"0.0498157625995662";"1.07560833053302";"61"
"31";"nous";"0.0208195198486049";"-0.0779211892709295";"1.07558380460801";"62"
"32";"où";"-0.209813966292016";"-0.201081101521053";"1.07309617507051";"64"
"33";"ça";"-0.153300468113238";"-0.104692987118382";"1.06520233091843";"65"
"34";"devoir";"-0.231738702911197";"-0.385725802600308";"1.05303396840615";"66"
"35";"ou";"-0.471352522384516";"-0.230324961829685";"1.04819535377054";"67"
"36";"chez";"-0.478647207227806";"0.0539256428679272";"1.04336725024566";"68"
"37";"aucun";"-0.311028727018161";"-0.696739552576068";"1.03300679877753";"69"
"38";"juste";"-0.20388232249628";"-0.250560721273616";"1.02892848781746";"70"
