est celle;1;0;0;2;0;0;0;1;1;0;1
celle là;1;3;0;0;1;1;0;3;0;2;6
ma grand_mère;4;1;0;3;3;1;1;8;0;6;7
grand_mère a;1;1;0;0;0;0;0;2;0;0;0
dit qu;2;3;1;2;2;2;1;3;2;15;8
qu il;26;81;14;116;138;33;7;106;81;241;119
il était;2;4;6;9;16;6;1;19;7;22;27
oui c est;2;5;3;7;16;3;1;13;12;20;20
c est celle;1;0;0;2;0;0;0;1;1;0;1
a dit qu;1;1;0;0;0;0;0;1;0;4;2
dit qu il;1;2;1;1;2;0;1;1;2;9;3
qu il était;1;0;3;1;3;2;0;3;2;1;4
a dit qu il;1;1;0;0;0;0;0;1;0;4;1
dit qu il était;1;0;1;0;0;0;0;1;0;1;0
est pas;61;110;25;169;183;55;3;54;125;219;176
c est pas;30;44;13;51;70;28;2;26;53;86;104
je vivais;1;0;0;0;0;1;0;2;0;1;0
qu on;32;51;15;64;127;33;16;56;49;167;120
on est;16;24;3;31;50;20;2;34;24;93;83
est bien;14;20;2;34;43;13;1;31;20;59;31
bien au;2;3;0;3;2;0;0;3;1;5;4
au québec;18;0;0;1;1;1;10;0;1;0;3
qu on est;2;2;0;1;10;2;0;2;3;11;5
on est bien;1;0;0;1;4;0;0;1;1;4;2
est une;28;32;9;62;61;28;2;52;29;91;78
une parodie;5;0;0;0;0;0;0;0;0;0;2
c est une;22;27;6;38;51;20;2;40;15;65;66
user_utilisateurice user_utilisateurice;4;1;3;11;20;9;23;30;5;22;86
user_utilisateurice vous;5;8;3;17;31;11;2;14;4;33;25
vous étiez;1;1;0;1;3;1;0;5;0;4;2
avant l;2;0;0;10;4;1;3;2;2;7;9
user_utilisateurice user_utilisateurice vous;1;0;0;0;0;0;2;0;0;1;4
user_utilisateurice vous étiez;1;0;0;1;1;0;0;1;0;0;1
pour le;17;28;7;25;17;10;6;39;20;58;60
le retour;4;1;0;1;2;0;0;2;1;6;4
retour de;1;0;0;1;2;0;0;2;0;1;3
de user_utilisateurice;1;0;0;2;1;3;0;8;1;4;10
user_utilisateurice sur;1;1;0;1;2;4;1;1;0;3;3
sur les;7;21;3;29;45;11;2;11;22;71;50
les pistes;1;0;0;0;0;0;1;0;0;4;3
pour le retour;4;0;0;0;0;0;0;0;0;0;0
le retour de;1;0;0;0;0;0;0;1;0;1;2
sur les pistes;1;0;0;0;0;0;1;0;0;2;3
user_utilisateurice on;15;12;1;12;28;19;5;16;13;33;66
on te;2;2;3;2;6;0;0;2;1;5;1
user_utilisateurice on te;2;1;0;0;1;0;0;1;0;0;0
user_utilisateurice pour;3;4;3;8;11;6;3;13;2;20;15
ahaha les;1;0;0;0;0;0;1;0;0;0;2
les p;1;0;0;0;0;0;0;0;0;0;9
p tits;1;0;0;0;0;0;0;1;0;0;9
quel manque;2;0;0;0;3;0;0;0;0;2;0
manque de;1;10;0;5;21;3;0;6;4;13;2
de c;1;0;1;0;1;0;1;0;1;0;3
qu en;5;9;1;18;18;18;2;10;8;23;14
en italie;51;1;0;1;0;1;3;3;0;9;7
italie et;9;0;0;2;0;0;0;0;0;1;1
et en;11;11;3;15;24;16;3;16;14;34;20
en espagne;13;0;0;3;0;2;2;1;0;4;2
le bidet;135;0;0;1;0;2;0;3;0;2;2
fait encore;1;1;0;0;1;1;1;0;2;3;3
partie des;1;0;1;2;7;1;1;1;3;3;3
des salles;3;0;0;1;0;0;0;0;0;0;0
salles de;15;0;0;1;1;0;0;0;0;0;0
de bains;10;0;0;0;0;0;0;0;0;0;1
même si;3;13;2;11;21;2;0;14;13;33;18
si il;2;4;1;7;8;0;0;3;10;17;10
il est;19;40;7;57;59;19;2;149;21;99;90
est de;12;16;3;18;27;7;2;16;18;43;38
de moins;1;1;0;2;10;2;0;0;1;4;1
moins en;1;1;0;2;4;2;0;0;0;4;1
en moins;1;1;0;6;6;2;0;1;1;5;1
les p tits;1;0;0;0;0;0;0;0;0;0;8
quel manque de;1;0;0;0;2;0;0;0;0;2;0
en italie et;6;0;0;1;0;0;0;0;0;1;1
italie et en;4;0;0;0;0;0;0;0;0;0;0
et en espagne;3;0;0;0;0;0;1;0;0;0;0
des salles de;3;0;0;1;0;0;0;0;0;0;0
salles de bains;7;0;0;0;0;0;0;0;0;0;0
même si il;1;0;0;0;2;0;0;0;0;3;0
si il est;1;0;0;0;2;0;0;0;0;1;2
de moins en;1;0;0;2;4;2;0;0;0;2;0
moins en moins;1;1;0;2;4;2;0;0;0;2;0
en italie et en;4;0;0;0;0;0;0;0;0;0;0
de moins en moins;1;0;0;2;4;2;0;0;0;2;0
utile et;3;1;1;0;1;0;0;0;0;1;0
et bien;5;13;0;8;26;4;2;19;7;15;17
bien plus;9;9;2;15;15;6;1;17;5;22;8
plus hygiénique;7;0;0;0;0;0;0;0;0;0;0
hygiénique que;4;0;0;0;0;0;0;0;0;0;0
que de;3;22;5;16;24;2;70;104;8;40;26
le cul;31;0;0;1;1;0;0;0;0;0;2
