"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"emji_visage_riant_aux_larmes";-11,208;-179,329;-29,124;-195,891;-298,751;5,751;-17,164;-453,043;-136,383;-508,789;6527,296
"emji_coeur_rouge";-52,875;-42,214;-20,929;-95,649;-156,592;-77,097;22,616;4247,214;-86,989;-220,101;-365,507
"voir";-7,009;4,036;-5,349;-0,483;23,784;-5,989;-37,241;-133,674;1,222;341,659;-21,968
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";-34,061;-59,912;-20,307;-84,624;-145,761;-59,499;152,662;3153,665;-59,01;-192,748;-266,082
"époque";-42,663;-26,984;-2,844;-14,005;40,661;-10,916;-2,678;97,686;-6,019;10,83;-26,47
"aller";-0,843;7,25;-2,104;-1,145;-1,593;-10,147;-26,814;-249,288;-0,066;527,601;-0,085
"beau";-42,57;-28,136;-21,542;-39,741;-48,883;-41,473;-4,409;2176,058;-28,621;-60,772;-232,274
"aimer";-13,595;22,929;-2,733;-10,013;-3,728;-2,964;-0,078;21,168;-0,479;1,258;-1,52
"emji_applaudissements";-13,093;-23,675;-9,206;-39,809;-42,661;-32,82;-1,266;1671,742;-29,923;-75,062;-140,089
"suisse";-6,289;-41,226;-5,284;-1,379;-72,2;6341,964;-22,579;-81,526;-1,396;-61,959;-158,891
"femme";-13,801;-37,897;-8,398;-11,207;-6,188;-57,889;-28,051;-27,409;5497,304;-54,295;-170,019
"emji_se_rouler_par_terre_de_rire";0,03;-30,934;-5,525;-23,442;-64,467;-0,604;-3,64;-92,881;-19,008;-83,413;1175,646
"parler";-15,839;-4,995;-12,474;8,421;375,297;43,582;-24,443;-71,232;-2,184;-20,515;-0,687
"enfant";-26,049;-29,586;-8,193;-5,055;694,762;-32,648;-1,226;-37,214;30,669;45,546;-146,409
"homme";-24,951;-8,315;-11,063;0,022;-8,669;-34,273;-21,659;-5,156;3838,87;-47,223;-191,191
"souvenir";-34,695;-34,521;-9,416;-49,232;-64,869;-16,167;2742,634;315,693;-27,607;-52,894;-95,745
"vie";-13,222;-0,971;-7,923;-0,699;-34,013;-38,335;-25,765;11,216;28,208;519,62;-183,422
"petit";1,122;26,417;-5,83;-9,912;-0,001;-4,696;-6,495;0,458;-1,256;5,751;-0,441
"gens";-0,79;3,517;-0,743;14,701;21,711;-27,306;-27,095;-71,103;-26,746;533,53;-123,229
"année";-11,733;-2,679;-1,74;0,008;1,493;-8,428;83,489;-34,058;-0,164;-0,39;39,823
"temps";-14,932;-4,174;0,268;-3,628;0,368;-10,642;-1,021;-34,779;-2,295;453,425;-49,368
"penser";-5,444;0,525;-2,296;3,899;0,27;-13,797;-19,076;-112,633;5,491;145,174;2,367
"monde";-10,819;-1,617;-2,306;26,369;0,712;-18,837;-8,401;-74,679;7,81;462,654;-103,408
"tellement";-6,984;-8,132;-3,105;-26,095;-10,616;-10,992;0,122;575,488;-4,057;-10,641;-81,699
"emji_visage_qui_pleure";-13,759;-0,993;-0,515;-13,613;-4,504;-24,44;-8,177;1,767;-5,53;507,171;-105,285
"chose";-5,743;-2,472;-0,009;17,825;31,49;-15,781;-13,827;-85,773;0,323;282,099;-58,112
"comprendre";-4,982;-0,038;-1,049;-0,491;350,407;-14,814;-12,418;-33,298;16,08;1,935;-44,193
"vrai";-8,311;-0,196;-0,095;-7,646;-3,315;-0,827;-7,573;4,289;337,816;-2,26;-20,649
"emji_visage_souriant_avec_une_goutte_de_sueur";0,183;-6,989;-3,36;-25,203;-46,029;-0,573;-2,493;-63,35;-20,172;-59,638;814,591
"passer";-5,934;-1,434;21,5;-0,341;-6,794;-3,492;2,455;-67,27;-3,863;315,442;-14,323
"grand";-5,801;-2,216;-1,833;-4,778;-9,979;0,037;-11,79;15,778;-0,008;79,424;-21,419
"français";70,159;-30,995;-4,224;6,426;20,224;383,077;-18,555;-51,663;-0,316;-25,529;-4,239
"prendre";28,613;3,119;2,413;-0,355;-1,799;-9,719;-11,537;-87,087;0,699;206,391;-13,236
"connaître";-0,052;-7,069;-1,403;0,153;13,311;0,009;-3,336;-68,527;-0,034;93,528;-0,797
"jour";1,312;6,874;-3,248;-10,488;-5,713;-19,054;-1,666;-41,784;0,008;385,293;-38,285
"vraiment";-4,483;-0,788;-0,253;-0,622;-0,002;-1,554;-1,17;-5,541;1,584;145,102;-36,888
"changer";-11,399;-4,935;0,717;0,699;1,39;-1,881;-15,287;-62,658;0,946;285,341;-21,374
"vivre";-3,518;-0,119;-4,077;-0,73;-4,932;0;-9,266;-9,656;-0,993;414,634;-95,944
"trouver";2,359;0,684;-2,701;-0,563;16,679;-5,987;-13,986;-37,984;5,478;133,613;-37,898
"jeune";-14,111;-21,631;-3,757;-19,079;359,635;-11,842;-3,745;-15,953;5,401;19,075;-30,49
"emji_visage_faisant_un_clin_d_oeil";-0,898;-9,58;-3,573;-8,615;0,174;21,737;-5,588;-25,904;-3,078;-12,65;140,149
"venir";2,042;24,56;-1,562;-0,081;0,986;15,249;-11,824;-87,073;-2,3;15,209;4,648
"mettre";-0,445;2,486;11,701;-0,002;4,612;-12,109;-5,418;-83,516;1,192;133,075;-5,652
"adorer";-4,347;-1,197;-8,074;-24,868;-20,794;-4,421;243,705;307,424;-11,078;-41,554;-34,604
"emji_feu";-9,845;-15,462;-6,324;-21,725;-23,872;-20,191;19,505;767,274;-13,561;-32,11;-73,813
"donner";-11,11;116,325;-1,582;6,257;11,686;-4,91;-11,081;-26,423;4,163;37,95;-54,493
"vidéo";-13,189;-6,9;-4,174;-17,029;242,409;-0,87;-4,173;-15,307;-7,696;-8,598;14,479
"emji_mains_en_prière";-13,249;-10,514;-2,805;-14,719;-33,232;-21,841;-2,991;884,847;-11,705;-38,903;-62,378
"france";98,146;0,126;-1,264;4,229;-9,501;133,91;-5,55;-112,709;1,509;1,334;0,014
"magnifique";-18,634;-18,597;-7,605;-33,839;-52,139;-17,761;-3,968;1464,871;-19,989;-66,981;-111,914
"emji_visage_souriant_avec_coeurs";-12,225;-3,599;-2,435;-19,257;-35,504;-18,248;501,224;476,266;-18,657;-59,893;-73,196
"animal";-16,157;4239,196;-6,595;-23,039;-41,852;-23,224;-11,026;-19,286;-10,125;-32,221;-112,737
"jouer";-14,643;-14,019;-1,069;-17,312;-12,787;-14,87;4422,673;-93,428;4,422;-9,568;-17,892
"rester";-1,603;16,675;-0,416;8,401;-4,317;-0,01;-6,427;-42,765;5,275;106,395;-23,282
"raison";-12,961;11,492;-0,078;11,387;0,734;-15,195;-13,62;70,783;0,335;-2,844;-41,071
"exister";0,148;14,88;-0,966;218,308;-0,975;-6,29;-6,107;-51,261;7,151;19,509;-41,712
"devenir";-8,894;5,873;-0,031;-3,189;-4,767;-2,696;-7,555;-25,015;15,727;229,345;-38,312
"fois";52,996;-1,153;7,146;-0,92;2,116;-3,233;-9,049;-36,933;0,211;48,416;-5,368
"seul";-2,654;51,356;-1,803;19,209;0,731;-5,907;1,13;-57,865;-0,027;70,784;-28,7
"commentaire";-13,799;-1,547;-4,569;1,907;831,399;-4,795;-7,276;-51,852;-11,043;-33,655;-10,832
"demander";-1,281;-1,388;17,724;2,54;18,403;-12,189;-11,955;-67,695;1,138;103,725;-7,291
"question";-3,059;-2,94;-2,778;17,375;1028,808;-3,296;-10,26;-74,369;-6,438;-26,491;-61,869
"mot";6,928;-15,125;-1,267;26,057;170,555;40,821;-9,436;-32,237;-8,749;-33,537;-2,364
"appeler";5,482;-2,076;-1,278;0,063;-10,034;-0,416;-4,643;-59,459;-4,28;-14,058;248,338
"accent";-5,038;-21,75;-5,497;-25,39;-34,91;3216,566;-8,879;-0,849;-21,498;-62,221;-55,602
"dieu";-6,731;-8,514;-5,647;1332,094;-17,543;-9,314;-3,181;-0,437;-11,126;-24,58;-42,12
"école";-0,316;-14,212;-0,376;-13,105;254,902;-3,375;271,587;-76,037;1,713;3,052;-45,475
"chat";-4,455;2525,849;-5,212;-16,378;-38,764;-14,123;-5,006;-4,076;-18,305;-26,913;-50,781
"regarder";-11,932;-1,869;-2,331;-1,147;9,216;-2,913;-4,465;-17,367;3,415;5,412;15,14
"sentir";-2,135;-2,405;0,047;15,064;85,782;-7,919;-4,363;-27,387;6,708;4,052;-13,625
"humain";-13,028;556,686;-0,947;22,232;-7,353;-14,515;-10,502;-10,493;16,827;2,917;-87,037
"utiliser";608,84;1,124;-0,908;12,474;12,428;25,023;-10,384;-87,551;-5,835;-8,616;-19,658
"apprendre";-5,063;-2,194;-0,127;0,284;214,255;-8,138;-7,68;-29,559;7,342;11,49;-36,595
"emji_mains_levées";-6,447;-13,33;-1,622;-10,053;-12,141;-5,481;2,553;457,692;-6,982;-25,805;-39,465
"meilleur";-5,353;-0,146;-0,755;-4,846;-5,801;-7,229;384,512;48,363;-6,263;-4,104;-29,39
"bidet";7423,667;-19,496;-3,093;-20,523;-34,309;-14,894;-9,733;-65,405;-17,196;-42,262;-77,562
"vieux";-5,612;-1,422;-3,294;-14,356;0,175;-1,742;-4,873;-13,195;-0,039;-1,747;116,909
"fille";-6,787;-15,752;-3,165;-18,962;0,596;-5,936;29,641;-10,852;121,345;9,046;-0,198
"arriver";-2,205;-0,913;0;-0,341;5,419;-1,166;-6,418;-44,96;2,162;83,809;-1,182
"entendre";-3,25;-6,976;-5,182;-0,17;10,881;0,638;-4,953;-4,422;-0,502;-8,046;38,52
"nom";-4,46;-14,177;-1,417;125,924;0,004;-0,426;-3,924;-53,366;2,378;5,21;3,498
"manger";-0,975;1249,503;-2,965;-17,933;-29,192;-10,863;-0,143;-58,765;-8,13;-16,878;7,976
"dernier";-6,549;-3,009;-0,132;-0,332;0,146;-1,923;-9,674;36,38;-3,759;0,461;-1,431
"premier";-7,688;-0,117;0,039;7,587;0,015;0,077;-1,79;-23,944;5,966;-3,41;26,362
"parent";0;-9,359;-4,673;-10,69;134,481;-4,944;-5,546;-44,778;-0,081;86,551;-15,762
"ca";-0,719;5,165;-1,393;-1,347;-0,404;-1,933;-2,632;-29,491;0,004;110,468;-4,521
"emji_visage_souriant_avec_yeux_rieurs";-1,693;-3,665;-4,808;-8,521;-6,479;0,441;-0,524;215,387;-5,609;-8,551;-21,022
"coup";-3,473;0,383;0,034;0,07;-0,01;-0,565;-1,831;-59,619;0,178;3,618;48,862
"jeu";-7,264;-10,326;-0,46;-9,959;-5,809;-9,838;2625,847;-45,875;0,39;-0,912;-23,429
"emji_visage_avec_bouche_ouverte";-1,411;-0,711;0;-3,594;0,949;-4,338;-1,914;-17,245;-1,144;13,371;20,471
"tête";-9,166;-8,928;-1,381;-4,217;-3,633;-15,416;-3,846;-44,702;-3,787;-5,837;358,869
"reportage";-1,305;-10,437;-2,723;-10,092;-10,114;-0,008;-5,295;356,811;-10,245;-10,034;-34,431
"pays";0,761;-6,875;0,125;111,995;-10,252;30,421;-4,989;-16,037;5,319;8,333;-27,174
"cas";-1,163;-0,013;0,654;8,232;49,005;-1,058;-8,758;-54,752;1,467;34,724;-13,95
"respect";-10,9;-3,639;0,099;-3,02;349,826;-13,086;-8,787;4,189;0,03;-3,222;-64,257
"problème";-2,463;12,501;-0,296;28,705;16,842;-10,296;-8,256;-54,702;93,309;18,178;-42,744
"archive";-8,658;-9,716;-2,54;-17,632;-6,793;7,26;-8,581;276,96;-8,003;-13,599;-13,943
"moment";-5,268;-1,702;-1,205;-3,482;0,653;-0,889;-0,634;13,115;4,415;7,96;-14,851
"heureux";-6,737;2,497;-1,171;-7,629;-0,006;-12,466;-4,823;30,063;-0,036;35,252;-30,431
"arrêter";-6,667;1,198;1,979;0,294;49,16;-1,981;-3,334;-58,204;3,722;70,645;-26,874
"manquer";0,19;-0,006;-4,12;-2,089;100,412;-1,693;-4,52;-0,227;-0,688;3,874;-31,085
"malheureusement";-6,492;23,487;-1,091;-0,625;1,062;-5,816;-2,045;-21,039;0,03;180,703;-54,995
"pauvre";-8,08;39,498;6,32;-1,423;-2,459;-6,915;-8,109;-35,593;-3,534;141,832;-5,318
"super";1,411;-0,26;2,452;-3,35;-0,756;-6,612;27,876;12,284;-8,339;-0,198;-1,204
"niveau";-5,622;-4,99;-0,817;-0,424;573,692;-5,914;-2,588;-40,058;3,749;-4,372;-38,301
"fin";-4,673;-2,608;-1,001;1,559;-1,737;-8,238;0,213;-14,486;2,652;0,017;42,684
"accord";-0,209;0,638;0;8,87;30,143;-1,588;-6,048;-1,291;2,119;0,286;-22,511
"pareil";-0,72;1,056;0;-1,971;0,994;-4,294;-4,437;-26,805;0;-0,149;54,452
"emji_visage_qui_pleure_à_chaudes_larmes";-2,054;-1,213;-0,211;-10,078;-7,401;-3,964;-2,183;-15,799;-4,129;-10,259;227,936
"père";-7,43;-7,853;-2,066;-1,382;-9,197;2,04;-4;-4,202;0,275;10,479;25,665
"besoin";10,939;138,695;-0,183;8,442;0,434;-12,963;-7,725;-36,084;6,885;16,545;-40,078
"génération";-7,43;-5,087;-2,066;-3,669;416,572;-6,013;-0,759;-12,903;-1,265;-0,926;-22,119
"laisser";-2,966;34,759;2,791;0,579;13,853;-7,553;-5,705;-31,799;-0,108;75,548;-35,594
"renard";-9,291;2933,446;-3,792;-18,98;-29,191;-14,558;-7,49;-5,181;-14,829;-50,921;-54,708
"plutôt";-1,838;4,576;-0,15;0,324;4,852;1,364;-7,549;-57,532;1,868;19,795;0,453
"sûr";-4,119;-0,001;-0,145;-0,024;292,86;-4,638;-3,946;-34,394;0,31;-6,744;-4,209
"classe";-8,342;-13,47;-3,405;-4,14;254,201;-2,425;-4,813;-1,435;-2,585;-2,004;-3,573
"blanc";-6,423;-2,729;-3,419;20,063;-5,536;-6,001;-4,842;-43,778;-0,558;-4,637;163,394
"heure";-6,28;-1,037;-0,517;-5,095;-3,432;-3,297;182,205;-36,537;0,036;95,724;-7,712
"etc";0;49,442;17,84;15,657;-0,754;-2,464;-1,97;-43,778;35,341;5,253;-18,87
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";-7,466;-10,023;-3,047;-15,253;-17,025;-11,699;232,846;339,484;-11,917;-29,767;-43,576
