"";"";"";"";"unique";""
"1";"unique";"-0.547490701496618";"-1.16563258155455";"1.07938567796803";"43"
"2";"question";"-0.355544148620484";"-0.736093540336257";"1.0230138734454";"52"
"3";"nourriture";"-0.643225762426999";"-1.32098223534156";"1.01712522123402";"54"
"4";"tuer";"-0.424892421793197";"-1.12827735926349";"1.0103251987729";"56"
"5";"racisme";"-0.63078624040177";"-1.19098797142406";"0.995203969683855";"60"
"6";"emji_visage_épuisé";"-0.739055254258702";"-0.340156392310491";"0.970606879139612";"67"
"7";"coop";"-0.438363356806764";"-1.40251292145327";"0.967595103477394";"69"
"8";"argentin";"-4.90107307844534";"5.86960689598476";"0.967170302382732";"70"
"9";"gruyère";"-5.28947703073169";"5.89063642702919";"0.965757795039167";"72"
"10";"hygiénique";"-5.45379653066419";"6.16120207261295";"0.964749402317203";"73"
"11";"humain";"-0.0428975230391595";"-0.777648269167382";"0.964406181679678";"74"
"12";"viande";"-0.519139873846021";"-1.33980849478948";"0.964239815818875";"75"
"13";"salaire";"-0.542107380136927";"-1.15082942104519";"0.960854809565256";"76"
"14";"tester";"-0.955701104980137";"-0.980531190848677";"0.959177457094772";"77"
"15";"nuage";"-0.823496206429384";"-1.30943923428375";"0.959177457094772";"78"
"16";"faux";"-0.471972041615366";"-1.05734325941511";"0.955362696647308";"80"
"17";"science";"-0.779671779349311";"-1.20790258168777";"0.953555106804181";"83"
"18";"chien";"-0.351649425077144";"-0.846100775638517";"0.94924037469798";"86"
"19";"religion";"-0.745606600044759";"-1.14925617513765";"0.948481093729059";"88"
"20";"augmenter";"-0.677538184139078";"-1.22311483283901";"0.946712545961847";"91"
"21";"population";"-0.583066229871798";"-1.16809076147897";"0.945011302071773";"92"
"22";"climatique";"-0.711265095296026";"-1.41908952313152";"0.944682940731798";"93"
"23";"emji_visage_boudeur";"-0.475265046663316";"-1.01767861781452";"0.94202370918792";"95"
"24";"ensemencement";"-1.06917626684922";"-1.82475922026518";"0.94089556800923";"96"
"25";"aller";"-0.369828398976855";"-0.338694929290337";"0.936321526592845";"99"
"26";"croquette";"-0.61626209421079";"-1.59741291702201";"0.932424311611919";"103"
"27";"faune";"-0.620247000517261";"-1.59152010829663";"0.926959295060091";"104"
"28";"emji_mains_levées";"1.79456302282414";"1.34680080750491";"0.925982660444656";"105"
"29";"jour";"-0.200477674643003";"-0.103817884844225";"0.925326520482257";"106"
"30";"emji_visage_qui_pleure";"0.368585141626645";"-0.067832921858407";"0.924619684092923";"107"
"31";"boulot";"-0.697055205849809";"-0.863106615427232";"0.923945479886444";"108"
"32";"jésus";"-0.346193307231456";"-0.655337738361942";"0.923798635063598";"109"
"33";"chrétien";"-0.657416511725177";"-1.02781256008089";"0.921429014142555";"113"
"34";"mystère";"-0.764148131071718";"-0.658275555008486";"0.920833768164233";"114"
"35";"éducation";"-0.208082990304204";"-0.777912399418806";"0.920070408172455";"115"
"36";"chasser";"-0.498921178497745";"-1.38997611584679";"0.919523527750864";"116"
"37";"poser";"-0.487249061009294";"-0.721325510166807";"0.918805037010511";"117"
"38";"article";"-0.663820528252228";"-1.27904699953321";"0.917337171499602";"119"
"39";"niveau";"-0.199041317476894";"-0.714093505606825";"0.915882125774816";"120"
"40";"monnaie";"-0.744401739799144";"-1.14779180225332";"0.912969412096263";"121"
"41";"réchauffement";"-0.723854564485508";"-1.43830708143687";"0.912843545105252";"122"
"42";"merveilleux";"2.34531694179421";"1.71248194222296";"0.912805959823214";"123"
"43";"foi";"-0.339767730302326";"-0.985106826499056";"0.909077732932071";"127"
"44";"lingette";"-5.29479936103892";"5.75613803669511";"0.9077520505036";"128"
"45";"emmental";"-5.25746422380104";"5.87049877130638";"0.9077520505036";"129"
"46";"faute";"-0.37308064989795";"-0.95968095743275";"0.907564415452186";"130"
"47";"ordinateur";"-0.65206192357307";"-1.27967550548555";"0.907358133439141";"131"
"48";"répondre";"-0.18951854268631";"-0.723351125516512";"0.907210123181193";"132"
"49";"verre";"-0.719702435570127";"-0.880626922922554";"0.906061295529444";"135"
"50";"gens";"-0.225737218252494";"-0.375137820746464";"0.905961068110676";"136"
"51";"fifa";"-0.585489154898552";"-1.32793775575535";"0.905795576326199";"137"
"52";"métier";"-0.230082866922489";"-0.848897266007699";"0.904726580978934";"139"
"53";"scientifique";"-0.627459503208358";"-1.31633707438068";"0.904272061289173";"140"
"54";"feng";"-0.957237863335986";"-1.71264554952545";"0.90299561849376";"142"
"55";"vigilance";"-1.00447424218659";"-1.79228117694472";"0.90299561849376";"143"
"56";"grêle";"-0.534313293333093";"-1.27718833151305";"0.90299561849376";"144"
"57";"bouffer";"-0.561395923275313";"-1.28159921146119";"0.902525365430122";"145"
"58";"parler";"-0.139109399554305";"-0.333668741107421";"0.902356668699115";"146"
"59";"migros";"-0.534590815747428";"-1.21570779810064";"0.901853783452623";"148"
"60";"écosystème";"-0.588707539881271";"-1.55095880102743";"0.901624775455089";"150"
"61";"mondial";"-0.402309907031319";"-1.02154584595033";"0.901367214297558";"151"
"62";"preuve";"-0.522039625656349";"-1.09869031924368";"0.900948823095957";"153"
"63";"anxiété";"-1.06917626684922";"-1.82475922026518";"0.900612303710269";"155"
"64";"surveiller";"-0.54470409591344";"-1.18763689208095";"0.899617313491977";"156"
"65";"écrire";"-0.197547501648712";"-0.656505495160866";"0.898952141407538";"158"
"66";"pigeon";"-0.440425587853638";"-0.968155846797091";"0.898717597593271";"159"
"67";"créateur";"-0.487138534299236";"-1.16231470605921";"0.89635875694692";"161"
"68";"croyant";"-0.585386030862311";"-1.28913524936402";"0.896208124459993";"162"
"69";"fruit";"-0.492613173337146";"-1.30278850801559";"0.895004812717228";"163"
"70";"jeune";"0.105992956582227";"-0.316576072351075";"0.89428340838912";"164"
"71";"calosse";"-5.17921554990409";"5.82232065128969";"0.891574645853408";"166"
"72";"débarbouillette";"-5.91143149859769";"6.72600444148505";"0.890379783515132";"167"
"73";"concurrence";"-0.753192220191182";"-1.42203598799851";"0.890015293686997";"168"
"74";"emji_visage_retenant_ses_larmes";"2.21880714549497";"1.6916829827374";"0.888286370713252";"171"
"75";"nuisible";"-0.323307374138783";"-1.23781107948519";"0.887869144946753";"172"
"76";"voir";"-0.16762949401482";"-0.275746640796892";"0.886957774697027";"173"
"77";"respect";"0.423067315862633";"-0.246443076148475";"0.886673699890926";"174"
"78";"péjoratif";"-0.644781064167443";"-1.16190000807116";"0.885238466562872";"175"
"79";"génération";"0.0506070555311164";"-0.477198557919099";"0.88460388714986";"177"
"80";"payer";"-0.421864151855785";"-0.930242583290402";"0.8839413372944";"178"
"81";"vendeur";"-0.561300663340594";"-1.0067856989265";"0.883704171251153";"179"
"82";"voisin";"-0.27564117580405";"-0.599217515395771";"0.883412229758114";"180"
"83";"hérisson";"-0.462626440460116";"-1.35602452221979";"0.882034394108832";"182"
"84";"légume";"-0.448806318592398";"-1.29299347238085";"0.882034394108832";"183"
"85";"contrôleur";"-1.06917626684922";"-1.82475922026518";"0.880472419713441";"188"
"86";"australie";"-1.06917626684922";"-1.82475922026518";"0.880472419713441";"189"
"87";"prouver";"-0.678082066303812";"-1.07751885374727";"0.879084386507016";"194"
"88";"poubelle";"-0.209534991327494";"-0.903585221814008";"0.87885363035683";"195"
"89";"jardin";"-0.507065610100037";"-0.861024873056249";"0.878502251673591";"196"
"90";"univers";"-0.365522778033348";"-0.970575418963327";"0.878439609536861";"197"
"91";"intelligence";"0.140357182062414";"-0.538606515822059";"0.877698975529571";"199"
"92";"acheter";"-0.533548786581195";"-0.368430371531352";"0.877488905852444";"200"
"93";"âge";"0.189266799307167";"-0.398172542287152";"0.876276270628863";"206"
"94";"lynx";"-0.422666409388762";"-1.38531586302073";"0.876099998569693";"207"
"95";"exister";"-0.404397050659277";"-0.459158178123494";"0.875507957537902";"208"
"96";"emji_visage_avec_des_symboles_dans_la_bouche";"-0.725497515470933";"-1.46512964762359";"0.874660103501232";"212"
"97";"consigne";"-0.596611676714085";"-1.51674494338032";"0.874283667963302";"213"
"98";"oiseau";"-0.0977269178304843";"-0.913258603281684";"0.87420500109392";"214"
"99";"augmentation";"-0.811368014279445";"-1.57076462354046";"0.873971331355978";"215"
"100";"passer";"-0.103854732449063";"-0.28179538719541";"0.87391247688333";"217"
"101";"pâtisserie";"-0.737491620384266";"-0.826780776796015";"0.872554744989556";"219"
"102";"créer";"-0.264187482546266";"-0.756464818844691";"0.872482779372011";"220"
"103";"magasin";"-0.380102510931985";"-0.739232843479406";"0.872473747249971";"221"
"104";"maltraitance";"-0.573374118474613";"-1.46437853122642";"0.872072254857348";"223"
"105";"lidl";"-0.578076705183001";"-1.39836537125839";"0.872072254857348";"224"
"106";"sujet";"-0.360518953010327";"-0.794674127803625";"0.871750886127985";"225"
"107";"tête";"-0.231751198782952";"-0.171929424396134";"0.871125338837012";"227"
"108";"entraîneur";"-0.739687654223603";"-1.37807147849248";"0.871036474410489";"228"
"109";"shui";"-0.864471522842627";"-1.4593405159133";"0.871017244731306";"229"
"110";"planquer";"-0.88679973767744";"-1.63274984059733";"0.871017244731306";"230"
"111";"problème";"-0.413548528662444";"-0.833221021187492";"0.870764928031734";"231"
"112";"nature";"0.436110808166498";"-0.300587338687056";"0.870329638021155";"232"
