"";"X.rts_a";"X.rts_i"
"con";7,0364;-7,0364
"pro_per";94,1494;-94,1494
"aux";-30,4021;30,4021
"adv_sup";29,8032;-29,8032
"adj";-32,2741;32,2741
"nr";6,3208;-6,3208
"ver";-54,0622;54,0622
"art_ind";-35,9763;35,9763
"ono";19,7538;-19,7538
"pro_rel";2,3845;-2,3845
"pre";-37,5893;37,5893
"adj_dem";-2,2921;2,2921
"nom";-107,249;107,249
"nom_sup";Inf;-Inf
"art_def";-19,8659;19,8659
"num";-10,436;10,436
"pro_dem";34,7184;-34,7184
"ver_sup";7,8494;-7,8494
"adj_pos";8,5909;-8,5909
"adv";-17,9833;17,9833
"pro_ind";9,2239;-9,2239
"adj_ind";-0,5985;0,5985
"adj_int";6,527;-6,527
"adj_sup";0,6648;-0,6648
"adj_num";-30,6419;30,6419
"pro_pos";1,0698;-1,0698
