"";"banalfreq";"X.rts_a";"X.rts_i"
"vivant";12;0,3588;-0,3588
"prendre";79;0,2979;-0,2979
"et";1885;-0,4991;0,4991
"que";442;-0,296;0,296
"souhaiter";13;0,4918;-0,4918
"pour";1086;0,5193;-0,5193
"fin";75;-0,8022;0,8022
"année";221;1,6485;-1,6485
"le";2251;-0,9524;0,9524
"fromage";13;1,2348;-1,2348
"dans";806;1,3524;-1,3524
"cours";29;-0,4801;0,4801
"enfant";92;0,3213;-0,3213
"s";315;-1,0053;1,0053
"avec";437;0,3125;-0,3125
"cadeau";16;0,9818;-0,9818
"noël";71;-0,4485;0,4485
"cela";24;0,471;-0,471
"tradition";14;0,3808;-0,3808
"oui";10;1,6447;-1,6447
"parfois";18;1,3681;-1,3681
"arriver";21;-0,4146;0,4146
"père";16;0,6498;-0,6498
"retour";43;-0,3331;0,3331
"où";55;-0,4718;0,4718
"t";34;1,9515;-1,9515
"aller";82;1,1518;-1,1518
"passer";74;1,3194;-1,3194
"autant";10;0,6279;-0,6279
"propos";10;-0,5328;0,5328
"du";945;-1,3624;1,3624
"suisse";612;0,6731;-0,6731
"heure";79;1,4398;-1,4398
"soigner";11;0,8163;-0,8163
"en";1504;0,9249;-0,9249
"idée";13;1,2348;-1,2348
"grâce";53;-1,2506;1,2506
"sapin";10;1,6447;-1,6447
"bonheur";17;1,6275;-1,6275
"partir";63;0,5087;-0,5087
"recherche";24;-1,7636;1,7636
"musical";17;0,3154;-0,3154
"compagnie";17;0,8051;-0,8051
"version";13;-0,3341;0,3341
"long";23;0,5664;-0,5664
"ces";164;-0,3733;0,3733
"sur";608;1,5666;-1,5666
"beauté";11;0,8163;-0,8163
"espace";19;-1,988;1,988
"2";44;-1,4148;1,4148
"saison";39;-0,6885;0,6885
"officiellement";16;-0,6441;0,6441
"lancer";57;-0,587;0,587
"proposer";46;0,469;-0,469
"meilleur";30;1,6146;-1,6146
"pire";12;1,0193;-1,0193
"nos";42;1,5406;-1,5406
"recette";16;1,9397;-1,9397
"km";18;-1,8064;1,8064
"h";13;-0,9632;0,9632
"piste";23;1,5029;-1,5029
"kilomètre";13;0,2703;-0,2703
"chat";25;0,58;-0,58
"devenir";64;-0,7229;0,7229
"un";1227;-1,6346;1,6346
"véritable";12;1,5354;-1,5354
"emji_notes_de_musique";19;-1,4481;1,4481
"créer";39;-1,4644;1,4644
"plus";431;-1,703;1,703
"grand";124;0,7679;-0,7679
"succès";28;-0,8322;0,8322
"international";41;-1,7084;1,7084
"station";22;-0,7419;0,7419
"chanson";23;0,8159;-0,8159
"monde";115;0,3871;-0,3871
"40";37;0,8656;-0,8656
"son";395;1,0851;-1,0851
"commencer";28;0,7095;-0,7095
"au";508;-1,8885;1,8885
"transformer";13;-1,4828;1,4828
"connaître";59;-0,3283;0,3283
"sa";253;-0,7422;0,7422
"traverser";11;-0,6678;0,6678
"décennie";16;0,2255;-0,2255
"continuer";15;-0,8506;0,8506
"séduire";12;-0,8116;0,8116
"public";78;-1,4019;1,4019
"streaming";10;-1,5554;1,5554
"50";40;-0,7704;0,7704
"400";11;-1,7684;1,7684
"incontournable";11;1,2897;-1,2897
"populaire";15;-1,2854;1,2854
"âgé";28;-0,5946;0,5946
"an";381;0,7432;-0,7432
"profiter";17;1,1699;-1,1699
"retraite";21;0,3547;-0,3547
"oeuvre";18;-0,5861;0,5861
"alors";70;1,781;-1,781
"base";13;-0,5908;0,5908
