"";"X.rts_a";"X.rts_i"
"emji_drapeau_italie";0,69;0,05
"emji_chouette";0,18;0
"emji_double_point_d_exclamation";0,18;0,19
"emji_drapeau_territoires_palestiniens";0,02;5,93
"emji_soleil_avec_visage";0,33;0,31
"emji_haut_parleur";0,19;0
"emji_homme_avec_la_paume_sur_le_visage_peau_moyennement_claire";0,09;0,28
"emji_femme_avec_la_paume_sur_le_visage";0,46;1,25
"emji_bout_des_doigts_joints_peau_claire";0,12;0,12
"emji_index_pointant_vers_l_utilisateur";0,14;0,5
"emji_pop_corn";0,05;0,4
"emji_croix";0,18;0,21
"emji_symbole_d_avertissement";0,25;0,64
"emji_canard";0,21;0,02
"emji_ciseaux";0,28;0,14
"emji_visage_de_menteur";0,05;0,24
"emji_point_d_interrogation_rouge";0,04;0,24
"emji_argent_dans_les_yeux_et_la_bouche";0,07;0,28
"emji_empreintes_d_animaux";0,28;0,21
"emji_arc_en_ciel";0,19;0,19
"emji_billet_en_dollars";0,05;0,17
"emji_billet_avec_des_ailes";0,18;0,38
"emji_porte_documents";0,02;0,21
"emji_renard";3,29;0,05
"emji_paume_contre_paume_doigts_vers_le_haut";0,23;0,09
"emji_rat";0,07;0,14
"emji_visage_avec_des_valises_sous_les_yeux";0;0,4
"emji_ninja_peau_mate";0;0,52
"emji_drapeau_cap_vert";0;0,52
"emji_langue";0;0,35
