"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"classe 1";-2,13646425807243;0,582529653874844;0,110239659105995;-0,617116246530841;-0,081826345827886;-0,927714403246395;0,252951177711445;0,0478692396445122;-0,267969673829482;-0,0355313594892712;0,903644384514579;0,0509616369698063;0,0017079406398715;0,0430202698581615;0,000665768017671017;0,724118143244891;0,0538337015022369;0,00192794166463109;0,060416021915511;0,00106219555536735;0,158641996117383;1,3522542830578;0,29009142881265
"classe 2";-0,249648648455264;-4,65430055294744;7,98013906506709;-0,439550185009791;-0,329005345138426;-0,0269659821167143;-0,502737692565896;0,861980582106189;-0,0474783360603551;-0,0355377539922713;0,00100738928206264;0,265612640558577;0,730719278321069;0,00178192204775786;0,000878769790403736;0,000718777922781804;0,249830317557168;0,734441501964632;0,00222819515340442;0,0012483667657998;0,0115328406362099;4,73251574235903;0,258297632443744
"classe 3";1,33361391964238;2,18022504284268;1,13759105655876;-0,696595950219497;-0,291891384622426;0,460237308270453;0,752407342456972;0,392588768062305;-0,240398994310956;-0,100733280589922;0,268550186621905;0,544463623586911;0,138716561726434;0,0418080574324866;0,00646157063223439;0,189276037718031;0,505868973827192;0,137723399623267;0,0516413143110469;0,00906729926172584;0,106422975258725;1,54838480803813;0,255148605744136
"classe 4";0,543398071564363;-0,833911774876526;-0,665321451405439;-1,14192764749779;-0,187856387737848;0,326341269815817;-0,500811176499241;-0,399563153881448;-0,685792125557954;-0,112818383659134;0,155507291432563;0,277815061141609;0,165488714544902;0,391854308877729;0,00933462400322078;0,078269358379286;0,184329905424812;0,117332585439614;0,345646977670221;0,00935421875937683;0,265066954326699;0,829094865004553;0,182206572511911
"classe 5";-0,106430585942233;-0,326839532556754;-0,490277055620491;2,60410517938852;-7,62703210050782;-0,0131695703147502;-0,0404426619241062;-0,060666190085689;0,322228295215593;-0,943758174882293;0,000339655799069203;0,00242983224886666;0,00511658301439243;0,116026194925407;0,876087734012272;0,000170822084696922;0,00161094336637348;0,0036248851407446;0,102265266414061;0,877247743750937;0,0150803392431871;3,47462905746864;0,182065645771013
"classe 6";0,129616366758158;-0,101050414834358;-0,105672519416091;0,993830251167702;0,479751414763531;0,115653401312142;-0,0901647258899184;-0,0942889127458519;0,886769562742826;0,428070036905448;0,0236074406964968;0,0108844483831525;0,0111389460980416;0,791929504745842;0,162439660076437;0,0074468606503143;0,00452615832221742;0,00494968616711052;0,437802224535756;0,102020175906793;0,443254894417796;0,507571117187258;0,114195066529173
