"";"X.rts_a";"X.rts_i"
"tu";4,14;2,9
"avoir";29,63;25,08
"du";7,48;7,1
"de";30,82;37,92
"m";0,49;0,41
"reconnaître";3,15;0,83
"tout";5,61;3,85
"être";52,18;42,05
"vrai";1,38;0,91
"emji_drapeau_états";0,1;0,09
"unir";0,69;0,55
"us";0,2;0,1
"emji_main_avec_index_pointant_à_droite";0,59;0,04
"ce";7,38;8
"flic";0,39;0,22
"d";14,37;12,2
"indignation";0,3;0,1
"sur";3,25;3,78
"l";18,41;14,91
"un";11,13;12,52
"élire";0,1;0,32
"aujourd_hui";1,67;0,49
"c";20,77;12,62
"ton";0,98;0,5
"en";15,56;13,81
"plan";0,3;0,44
"honteux";0,2;0,28
"quand";2,17;2,42
"le";20,77;23,11
"monde";1,97;1,54
"innocent";0,79;0,51
"et";24,32;26,36
"qu";6,99;7,14
"il";12,21;9,22
"ne";12,7;16,87
"y";4,53;4,6
"pas";17,52;17,71
"réseau";0,2;0,16
"social";0,1;0,19
"la";29,63;28,86
"violence";0,3;0,86
"peu";0,89;0,79
"brutal";0,3;0,08
"comme";4,53;3,46
"emji_visage_qui_pleure";2,17;0,79
"me";1,67;0,67
"sembler";0,3;0,27
"aussi";3,74;1,88
"une";9,35;9,09
"dégénérer";0,1;0,07
"humain";0,79;0,64
"si";2,66;3,47
"mal";0,39;0,45
"honnête";0,39;0,1
"avec";6,4;3,81
"lui";1,18;0,55
"même";2,86;2,85
"quelle";0,98;0,63
"quel";1,67;0,71
"guerre";5,22;3,44
"pour";9,25;12,18
"tes";0,3;0,21
"soldat";0,39;0,41
"donc";1,67;2,23
"légal";0,3;0,3
"acheter";0,59;0,13
"mais";6,5;5,81
"illégal";0,3;0,64
"emji_visage_en_pleine_réflexion";0,39;0,3
"emji_visage_faisant_un_clin_d_oeil";1,18;0,26
"j";3,05;1,38
"adorer";0,3;0,05
"gare";0,1;0,07
"à";15,16;13,85
"vous";6,4;8,61
"importer";0,2;0,38
"personne";2,17;2,4
"qui";12,6;12,52
"tenter";0,1;0,07
"agresser";0,2;0,08
"lausanne";0,39;0,08
"que";11,62;13,59
"spray";0,1;0,08
"poivre";0,1;0,08
"dans";7,09;5,85
"ma";0,89;0,15
"nous";2,86;2,22
"cacher";0,69;0,41
"ta";0,49;0,26
"chrétien";2,17;0,64
"emji_visage_riant_aux_larmes";5,02;1,98
"je";8,96;4,31
"votre";0,3;1,53
"rôle";0,1;0,16
"on";8,17;7,94
"vouloir";2,07;2,04
"les";26,29;26,62
"civil";0,39;1,42
"devenir";0,3;0,38
"david";0,49;0,06
"toujours";0,79;1,28
"bien";4,92;3,12
"quant";0,3;0,09
"aux";2,95;2,17
"s";4,33;3,41
"opposer";0,2;0,21
"droit";1,28;2,84
"elles";0,39;0,44
"faire";12,21;8,41
"mieux";1,18;0,42
"devant";0,49;0,29
"leurs";1,28;1,42
"porte";0,3;0,15
"car";0,79;1,1
"jugement";0,1;0,16
"totalement";0,2;0,13
"cela";1,08;1,05
"moins";1,08;0,86
"plus";4,53;5,18
"paix";2,86;2,18
"leur";1,28;2,49
"presque";0,2;0,13
"honte";0,49;0,33
"emprisonner";0,2;0,11
"longtemps";0,39;0,18
"homme";0,98;0,47
"engager";0,1;0,07
"résistance";0,1;0,12
"battre";0,2;0,11
"contre";0,39;2,54
"armée";0,3;1,22
"nazi";0,39;0,17
"devoir";1,58;2,25
"comment";1,48;0,76
"oser";0,3;0,13
"dire";5,41;3,36
"ça";8,27;4,89
"libérer";0,49;0,64
"europe";1,58;0,7
"pouvoir";3,25;3,65
"excuser";0,2;0,16
"quelques";0,39;0,23
"vol";0,2;0,08
"voleur";0,3;0,06
"justice";0,79;1,05
"avant";1,67;0,96
"après";0,59;1,01
"son";1,87;1,49
"travail";0,1;0,35
"fois";0,39;0,72
"mon";0,98;0,54
"iran";0,69;0,1
"groupe";1,18;0,64
"continuer";0,59;1,07
"emji_globe_tourné_sur_l";0,89;0,08
"afrique_et_l";0,59;0,08
"emji_feu";1,18;0,28
"otan";0,2;0,08
"respecter";0,49;0,96
"ses";1,08;1,12
"engagement";0,1;0,13
"vers";0,1;0,09
"éviter";0,2;0,15
"effet";0,2;0,06
"ukrainien";0,49;0,28
"savoir";2,26;1,7
"place";0,39;0,44
"tuer";2,17;1,49
"croire";1,38;0,92
"ils";5,91;6,74
"notre";1,48;0,93
"assassiner";0,49;0,33
"par";4,73;5,42
"gauche";0,3;0,48
"malheureusement";0,1;0,3
"bande";1,77;0,46
"emji_visage_avec_un_léger_sourire";0,39;0,13
"beau";1,87;0,2
"reprise";0,1;0,1
"des";15,85;20,02
"accord";4,23;1,13
"bizarrement";0,2;0,16
"depuis";1,58;1,71
"accepter";0,1;0,25
"libre";0,3;0,2
"interessant";0,39;0,05
"histoire";0,89;0,57
"trouver";0,59;0,52
"femme";1,67;0,6
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";1,38;0,01
