"";"X.rts_a";"X.rts_i"
"pro_per";71,42;63,02
"aux";69,49;60,4
"art_def";94,5;96,6
"nom";172,94;170,79
"pre";101,61;110,86
"ver";77,02;92,71
"pro_ind";15,14;15,41
"adj";58,37;54,14
"nr";66,48;57,17
"adj_num";1,92;1,08
"pro_dem";33,45;25,48
"art_ind";30,94;37,47
"adv_sup";57,12;59,07
"nom_sup";4,68;4,18
"ono";9,03;7,06
"con";50,18;55,29
"adj_int";2,26;1,36
"adj_pos";10,79;9,11
"pro_rel";23,42;26,6
"num";6,19;9,38
"ver_sup";25,34;22
"adv";8,53;9,96
"adj_ind";3,43;4,81
"adj_dem";3,93;4,69
"adj_sup";1,84;1,28
"pro_pos";0;0,07
