"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"mass";"chi.distance";"inertie"
"suisse";-0,547817896607172;-0,24455943909914;0,119753515266763;-0,0393838120146194;-0,159638607627613;-0,0574031072263525;-0,382249933608552;-0,738207634049349;-0,329554120155498;0,161372893659883;-0,0530713415301298;-0,215119731519501;-0,0773530989679099;-0,515097847026044;0,65446371157578;0,104253525441458;0,0228936744669155;0,00230818197862977;0,0359046876869267;0,00425258841574936;0,175923630434526;0,00588585262206165;0,00117302106341992;0,000281263575006876;3,04209274897814e-05;0,000499819060342911;6,46260710940151e-05;0,0028657070269218;0,0196126803996546;0,437145844911736;0,00374791437844477
"émission";-1,21477868375897;-0,294741008985823;-0,1471334122875;-0,252026743918976;-0,142714945535982;0,0536091229081344;0,0323067194929782;-0,939458648158968;-0,22794027715568;-0,113786781456281;-0,19490686435934;-0,110369725446974;0,041459036785549;0,0249846555813835;0,911059184177417;0,0428688811695169;0,00978364537872365;0,026758818261068;0,00812368976458955;0,00105002364612503;0,000355757602543397;0,0169284463177392;0,00099656104615175;0,000248339264099764;0,000728645073083421;0,000233647795507395;3,29685752417775e-05;1,19731520376233e-05;0,0114715677809301;0,82159311555901;0,00774348316524712
"petit";0,545026941460748;0,277454652066388;-0,278085184165525;-0,129487483941417;0,51645805654716;0,582720170177712;0,158462367335345;0,519772465412789;0,264598458487727;-0,265199774126934;-0,123487526300893;0,492527353995303;0,555719133236357;0,151119823772915;0,365035819612409;0,0756122766939985;0,0695634425716744;0,0140597155050669;0,211754089555462;0,246938640695311;0,0170360153660865;0,00340767930472177;0,000883093722419527;0,000887112048559363;0,000192343874462257;0,00305979893277904;0,00389531763859265;0,000288054759235417;0,0114715677809301;0,582348758110356;0,00389035365421965
"année";0,118024006326499;-0,588380385089633;-0,30962734610337;-0,204644462942657;0,6488649594891;-0,378788176553996;-0,455818180686223;0,104723349872175;-0,522073151416419;-0,274734046955463;-0,181582157386362;0,575741446908628;-0,336100832155881;-0,404449978439548;0,0161781528917106;0,321375935780176;0,0815065805879981;0,0331901820374574;0,315906837270142;0,0986167008287367;0,133225610603776;0,000158076881507448;0,00392865621504338;0,00108794333265838;0,000475256046824246;0,00477789165906708;0,00162824773752724;0,00235782159536906;0,0113482175897373;0,599016532963689;0,00407197659088111
"retrouver";-2,06857873038241;-0,729099669924183;0,0651854413064854;-0,1583385424291;-0,0962995445129531;0,162335111455605;0,366336819131405;-0,92419555809884;-0,325745724085006;0,0291234239351525;-0,0707421842057547;-0,043024522092693;0,0725277634963475;0,163671247333532;0,887797749443533;0,0881561236056369;0,000645352464952331;0,0035494790977162;0,00124302696001272;0,00323567033559739;0,0153725980925522;0,0395863262963227;0,00491784564589447;3,93099336220666e-05;0,000231939318045255;8,57925460102588e-05;0,000243795686548388;0,00124154432944969;0,00925126433945973;1,4172548737561;0,0185821948055887
"miracle";-2,44598258093338;-0,677138905809608;0,148066412598057;-0,18851865646324;0,0362672579690219;0,0194937382745999;0,229251157741418;-0,955501148365096;-0,264518237843243;0,0578408155375156;-0,0736431216407659;0,0141674789132104;0,00761505394703226;0,0895549077877589;0,931946761719218;0,0570885050553444;0,00249990390792522;0,00377758689595999;0,000132365857943954;3,50303160676065e-05;0,00451984624754361;0,0346852161037112;0,00265823406867751;0,000127101534397919;0,000206037540425699;7,62547897222206e-06;2,20306822501225e-06;0,000304691795523831;0,00579745898606143;1,63565133426391;0,0155102625511444
"archive";-2,09703707492546;-0,430245602229315;0,182326634233815;-0,165265652925864;-0,0298984306729847;0,0502448612684079;0,281778574646255;-0,964621621922032;-0,197909810756215;0,0838689099669159;-0,0760209841206632;-0,0137530580806365;0,0231122664208032;0,12961607066857;0,948895496966451;0,0319262418950859;0,00525088154524676;0,00402154361556421;0,000124613503755057;0,000322373163711224;0,0094588493101853;0,0417679124223655;0,00175818039031705;0,000315740855979946;0,000259415403336613;8,49038412069323e-06;2,39780496433797e-05;0,000754130469345626;0,00949796472184532;1,38972810355757;0,0183438390946053
"jeune";-0,0730450875780331;-0,0689463744212999;-0,106142526958162;-0,300298422917754;-0,77258916473635;0,212542877527007;-0,133456143598386;-0,0831662976647673;-0,0784996621696531;-0,120849755741108;-0,341908112601795;-0,87963999465941;0,241993059424479;-0,151947978046276;0,0106476389603639;0,0075823339350256;0,0164579582772194;0,122800122126931;0,769539056823845;0,053349924691364;0,0196229651852508;4,34375969005362e-05;3,86996136703561e-05;9,17196963017442e-05;0,000734158557450938;0,00485938141765002;0,000367770486736448;0,000144997630373022;0,00814111261872456;0,456980091147046;0,00170011509121923
"rts";-2,2118484308219;-0,477176297761485;0,165838366463915;-0,176106078636812;-0,0180424162908406;0,230984167890072;0,267885940451885;-0,960409688378605;-0,207195363411258;0,072008900626903;-0,0764672577687934;-0,00783422189604752;0,100295946870674;0,116319115272651;0,943185001044972;0,035087517151212;0,00388134283254877;0,00407996333559287;4,05450378034326e-05;0,00608723399827885;0,00763839659959168;0,0380181607621247;0,00176944921748582;0,000213722575411304;0,000241006674326954;2,52970439047185e-06;0,000414614802812354;0,000557673770418507;0,00777106204514617;1,47024545135827;0,0167980962496731
"vie";0,247379011873426;0,109884602816098;-0,249838095996414;0,816658888814954;1,00362268829366;-0,238980425653503;0,52179987915485;0,169133776828083;0,0751284344973044;-0,1708150600627;0,558352146366289;0,686179860190859;-0,163391638088688;0,356756151791298;0,0435100010169721;0,00686192283412792;0,032486770363288;0,323568463694344;0,462664828444096;0,0240302043186767;0,106877809328496;0,000468012246448662;9,23432599031954e-05;0,000477363093757126;0,00510050177897983;0,0077032227739463;0,00043677339563622;0,00208228161600259;0,00764771185395337;0,76559877152639;0,00448264113675693
"grand";0,463485424609017;0,218525394719554;0,197281011618501;-0,0129451166031973;0,254382903400005;-0,404364676045053;-0,257110554592108;0,600368335575691;0,283063329595472;0,255544762137885;-0,0167682470607375;0,329510772516753;-0,523787231772312;-0,333043991296213;0,470413073617675;0,0835833549111212;0,0623883666795434;0,000250403595957125;0,0915472308886641;0,211896142620874;0,0799214276861675;0,00135139455779882;0,00030040961576467;0,000244838987887773;1,0541973895879e-06;0,000407085696145679;0,0010286234553946;0,000415862551056585;0,00629085975083261;0,436243846423537;0,00119720530043944
"temps";0,215789664334187;0,702354305449204;0,128350198300183;-0,139316537219789;0,261383942888632;-0,904733907717044;0,0958470879358895;0,177871369642825;0,578937469828543;0,105796659149652;-0,114836006467866;0,215453877588136;-0,745755177035329;0,0790049554043076;0,0465753277668245;0,394380915478044;0,0120618396856349;0,0132471175779936;0,0441483628019847;0,484513391995251;0,00507304469426757;0,000178058536602602;0,00188631413369607;6,2993336069395e-05;7,42175926767356e-05;0,000261251823559916;0,00312999219895911;3,51284806018866e-05;0,00382385592697669;0,645484181466001;0,00159320891627086
"monde";0,0545125020050622;0,98413992485307;0,133844676974536;1,19292922635445;0,606555345378936;-0,538661110627046;1,45265419654203;0,0239496454218652;0,432374251388119;0,0588036218709345;0,524104213413576;0,266485391721949;-0,236656585692359;0,638212366853669;0,000890841090857657;0,232076124299917;0,00393129868030552;0,291111106329275;0,0712542922459878;0,0514764589626301;0,349259878391028;1,50285096668223e-05;0,00489820982598767;9,05995189010902e-05;0,00719702549681953;0,0018606494223903;0,00146742166969045;0,0106720578270603;0,00505735783890465;1,17904103198223;0,00703042407290083
"genève";0,250132303965292;0,371181523315181;-0,459427557915294;0,310820430022084;0,728986625509652;-0,0707731790298993;0,769572800780126;0,195517469163373;0,29013634340033;-0,359114404511188;0,242954719877452;0,569816924140162;-0,0553202950167215;0,601541360153054;0,0586711956671715;0,103268251416738;0,144892290877076;0,0618195576858778;0,321948677371977;0,00277966328099971;0,306620363700162;0,000362724801515765;0,000798749104820178;0,00122369100847225;0,000560088684692036;0,00308089435155812;2,90385611064406e-05;0,0034335004191349;0,00579745898606143;0,666638264446522;0,00257642889531772
"diffuser";-2,41478117992055;-0,758577069075082;0,269887884649635;-0,155163960503545;-0,0333494867210498;0,0962810936367433;0,283300829718698;-0,940368131092441;-0,295406352619987;0,105100192018566;-0,0604242093506877;-0,012987012968934;0,0374939447249211;0,110323483549874;0,909502805703381;0,0717392200669645;0,0083165093492244;0,00256242756931139;0,000112069888201816;0,000855657414357721;0,00691131000855966;0,0323674067608771;0,00319412392225168;0,000404314316347534;0,000133639257279086;6,1734885783997e-06;5,14558041982151e-05;0,000445500333707737;0,00555075860367584;1,63458942544854;0,0148309752732785
"fête";0,286006161142665;0,477774946399701;0,807054258927976;-0,56934729869083;0,00320245475724802;1,33690927102073;-0,229335354123404;0,161776763957616;0,27024901988042;0,456502845344134;-0,322046081742511;0,00181143918466087;0,756210477098019;-0,129721441324655;0,0399213966088847;0,0890451859921618;0,232694564655289;0,107952047765805;3,23357625257646e-06;0,516212157849548;0,0141714135520583;0,000343059556333192;0,000957338421098565;0,00273164470371638;0,00135948140889386;4,30115159806952e-08;0,00749587980313305;0,000220577273730214;0,00419390650055508;0,924071231522061;0,00358120880615613
"bio";-2,38379153587965;-0,561358915047229;0,203125467855873;-0,134489172954632;0,0233165823924553;0,11427977175377;0,345565056685956;-0,958130432333698;-0,225630073717877;0,0816433355876123;-0,0540559723816925;0,00937176209914831;0,0459330966946448;0,138894862314273;0,93911109478397;0,041626550634913;0,00499154516276058;0,00203974782082996;5,80460091053912e-05;0,00127728721014028;0,0108957283782814;0,0329438408865152;0,00182691748866919;0,000239202900889153;0,000104860598146661;3,15186402859446e-06;7,5714038844012e-05;0,000692304773024705;0,00579745898606143;1,58797152991429;0,0146191832060517
"aimer";0,224394154207134;-0,254814418847083;-0,66657080850541;-0,255467014287663;0,731181780576548;-1,25890867164924;0,00620158111885669;0,13545325895237;-0,153816143664023;-0,402368718800176;-0,154210076293491;0,441370477834583;-0,759927471822108;0,00374352164464681;0,0286852514740166;0,0295659837835973;0,185290856156607;0,0253703615386333;0,196765275823492;0,534310174809595;1,2096414059076e-05;0,000217385688353488;0,000280321152316909;0,0019182289991741;0,000281758830469576;0,00230812111368548;0,00684220877320557;1,66040001613617e-07;0,00431725669174787;0,855293422428278;0,00315818913848744
"samedi";-2,35975580463237;-0,688913546392266;0,0271166922918899;-0,188981291418657;-0,155418140966696;0,123622809387572;0,326395466814997;-0,945760108132548;-0,276107785750921;0,0108680253201751;-0,0757412975767559;-0,0622896138311743;0,0495464494014686;0,130815151035095;0,919466731292973;0,0626383190827013;8,88794058632505e-05;0,00402402737186801;0,00257672140801754;0,00149337378002036;0,00971194765855703;0,0315959766923429;0,00269294266960989;4,17225731333908e-06;0,000202644715836698;0,000137056954842854;8,6715129399321e-05;0,000604485510649989;0,00567410879486863;1,58866371817944;0,0143206131534658
