"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"suisse";99,786;-0,743;-5,549;-5,555;-1,057;-14,615;1,184;-2,733
"émission";159,107;-6,804;-1,137;-3,634;-4,165;-9,581;-2,72;-4,48
"petit";-3,252;-0,319;0,321;14,687;-9,419;0,432;-0,309;0,462
"année";6,06;0,485;-1,056;-3,499;-4,04;-5,682;-0,787;20,021
"retrouver";316,705;-3,155;-4,471;-11,009;-11,078;-8,844;-9,468;-11,991
"miracle";246,947;-4,312;-7,597;-8,112;-6,678;-6,76;-5,707;-6,403
"archive";317,179;-7,366;-10,547;-7,2;-6,931;-7,059;-7,433;-12,409
"jeune";8,533;-0,348;2,668;-0,006;0,239;-7,423;0,277;-6,056
"rts";279,923;-5,909;-8,055;-4,824;-9,15;-6,958;-5,585;-11,954
"vie";0,129;-0,204;-2,67;-1,027;-6,699;18,827;-1,053;3,18
"grand";-0,77;-0,001;-2,544;0,136;0,801;-0,001;0,137;0,976
"temps";0;-2,784;-2,798;0,127;3,624;0,548;-0,505;0,517
"monde";0,365;-3,731;-4,367;-0,112;0,007;42,227;-2,867;-1,943
"genève";0,029;-2,311;-0,008;0,391;-2,725;8,849;-3,583;0,73
"diffuser";235,251;-2,135;-7,254;-7,745;-6,376;-6,455;-5,45;-8,33
"fête";0,06;0,712;-1,657;21,933;-1,19;-2,725;0,77;-6,201
"bio";234,258;-4,312;-7,597;-5,827;-6,678;-4,56;-5,707;-8,723
"aimer";0,405;-1,295;-0,099;-3,759;0,221;-0,008;-4,182;14,396
"samedi";228,43;-4,215;-3,337;-7,928;-6,527;-6,607;-5,578;-8,526
"lien";216,824;-4,021;-7,083;-7,563;-6,226;-4,126;-5,321;-5,835
"heure";-2,94;-3,16;14,245;0,003;4,327;-1,34;-0,111;-1,143
"clip";236,556;-3,924;-6,913;-7,381;-6,076;-6,151;-5,193;-7,938
"aller";-1,404;-0,206;8,172;0,403;-4,747;10,383;-0,735;-3,988
"romand";12,834;-3,065;-0,063;0,403;-0,299;-4,805;0,089;-0,268
"premier";24,618;-2,504;-4,412;-0,254;-0,032;-0,039;-0,304;-0,393
"femme";0,404;-0,482;-1,76;-1,976;0,012;-1,415;3,02;4,011
"enfant";-0,054;-1,215;11,404;-1,93;-2,672;-2,725;6,825;-0,001
"18h45";224,944;-3,731;-6,574;-7,019;-5,778;-5,849;-4,938;-7,548
"passer";-0,017;-0,003;-0,005;9,663;-0,092;0,033;-1,168;-3,07
"homme";-2,247;0,041;0,004;0,337;-3,023;-0,171;0,283;5,152
