"";"";"";"";"dossier";""
"56";"sexe";"0.549967565851439";"-0.949699945507228";"0.881743628564219";"312"
"57";"profiter";"0.187317162209457";"0.90675764337541";"0.879419000757002";"316"
"58";"exercice";"0.857171874755146";"-0.116698843838059";"0.878843048195811";"320"
"59";"étudiant";"0.963516937613318";"-0.929124730339472";"0.878843048195811";"322"
"60";"succès";"1.04962831216577";"-0.0791226505130334";"0.877878501135503";"328"
"61";"cadeau";"0.328945979423955";"1.39296698704248";"0.877878501135503";"329"
"62";"important";"0.687438312856846";"1.60711711503688";"0.877878501135503";"330"
"63";"arriver";"-0.0752053390147428";"1.03385137842671";"0.877878501135503";"331"
"64";"incroyable";"0.10817498747992";"1.16594370523646";"0.877163764824628";"332"
"65";"rock";"0.657792780855458";"1.40443968994615";"0.877163764824628";"333"
"66";"bout";"0.0809096981391716";"0.663434660915685";"0.876025738077214";"338"
"67";"automobile";"0.569421381345259";"1.65601557490784";"0.876025738077214";"339"
"68";"offrir";"0.946614534998477";"0.50639152967572";"0.875082008579359";"344"
"69";"présenter";"-0.789447994816598";"0.451604633563861";"0.874776684330053";"345"
"70";"internet";"0.430921090813026";"1.2536700740298";"0.871397300025234";"349"
"71";"régie";"0.430921090813026";"1.2536700740298";"0.871397300025234";"351"
"72";"eurovision";"0.47087099100817";"1.42724377416538";"0.871397300025234";"352"
"73";"érotique";"0.534331567474541";"0.397425175061312";"0.871397300025234";"355"
"74";"traverser";"0.47087099100817";"1.42724377416538";"0.871397300025234";"356"
"75";"théâtre";"-0.606865858161692";"0.469602151189976";"0.871397300025234";"357"
"76";"risque";"0.430921090813026";"1.2536700740298";"0.871397300025234";"358"
"77";"perdre";"0.47087099100817";"1.42724377416538";"0.871397300025234";"359"
"78";"menacer";"0.6126644081524";"0.344009258830159";"0.871397300025234";"360"
"79";"intéresser";"0.6126644081524";"0.344009258830159";"0.871397300025234";"362"
"80";"infaillible";"0.430921090813026";"1.2536700740298";"0.871397300025234";"363"
"81";"félin";"0.534331567474541";"0.397425175061312";"0.871397300025234";"364"
"82";"différent";"-0.606865858161692";"0.469602151189976";"0.871397300025234";"365"
"83";"bricolage";"0.47087099100817";"1.42724377416538";"0.871397300025234";"366"
"84";"avenir";"0.6126644081524";"0.344009258830159";"0.871397300025234";"367"
"85";"notamment";"0.523005665161682";"1.40600414128044";"0.871168306838254";"368"
"86";"légende";"-1.6629269005766";"-0.726664596876614";"0.870488266464799";"370"
"87";"apparition";"-1.80184030293799";"-0.244231608791332";"0.870488266464799";"373"
"88";"tournage";"-1.69367586656137";"-0.145910783017059";"0.870488266464799";"374"
"89";"passer";"0.365524875691231";"0.459657848138896";"0.866088821599798";"386"
"90";"sexualité";"0.299001678946421";"-0.42815831732389";"0.865873706787787";"388"
"91";"éducation";"0.36104796494333";"-0.941905256704985";"0.865873706787787";"389"
"92";"émotion";"0.0203638771557275";"0.76233634820454";"0.863902977542266";"390"
"93";"gymnastique";"0.765939096677643";"1.42921373630885";"0.860683194549584";"395"
"94";"genève";"0.250132303965292";"0.371181523315181";"0.860440322987636";"396"
"95";"fondue";"0.7307156277308";"1.19794246805913";"0.859711708301792";"397"
"96";"chemin";"0.69399629224752";"1.76801232032196";"0.859711708301792";"398"
"97";"comprendre";"0.655288557051591";"1.42847500050505";"0.859711708301792";"399"
"98";"olympique";"0.759309488012507";"1.68943264289677";"0.859614559677012";"400"
"99";"simplement";"0.759309488012507";"1.68943264289677";"0.859614559677012";"401"
"100";"seulement";"0.759309488012507";"1.68943264289677";"0.859614559677012";"402"
"101";"numéro";"0.719359587817362";"1.5158589427612";"0.859614559677012";"403"
"102";"réception";"0.637552194663686";"1.30285802790642";"0.859614559677012";"406"
"103";"presser";"0.901102905156736";"0.606198127561554";"0.859614559677012";"407"
"104";"panne";"0.719359587817362";"1.5158589427612";"0.859614559677012";"409"
"105";"pluie";"1.24222948709107";"-0.55888704450311";"0.859614559677012";"412"
"106";"horizon";"-0.318427361157355";"0.731791019921371";"0.859614559677012";"413"
"107";"danser";"0.901102905156736";"0.606198127561554";"0.859614559677012";"414"
"108";"assister";"0.901102905156736";"0.606198127561554";"0.859614559677012";"415"
"109";"anthologie";"-0.318427361157355";"0.731791019921371";"0.859614559677012";"416"
"110";"annoncer";"-0.318427361157355";"0.731791019921371";"0.859614559677012";"417"
"111";"aguerri";"0.759309488012507";"1.68943264289677";"0.859614559677012";"418"
"112";"voiture";"0.231681594466232";"1.36048401200147";"0.858976154428463";"419"
"113";"romands";"0.412610277646399";"-0.387838180855784";"0.858941458491042";"420"
"114";"volant";"0.512728483966701";"1.46667098888459";"0.858774917991421";"421"
"115";"parfaire";"0.697946353781893";"0.823427004770878";"0.858774917991421";"422"
"116";"compétition";"-0.44325107185434";"0.895603980899541";"0.858774917991421";"423"
"117";"charger";"0.512728483966701";"1.46667098888459";"0.858774917991421";"424"
"118";"ceinture";"0.697946353781893";"0.823427004770878";"0.858774917991421";"425"
"119";"tuer";"0.697946353781893";"0.823427004770878";"0.858774917991421";"426"
"120";"michel";"0.220965423986515";"0.736655772101582";"0.858011607368156";"429"
"121";"retraité";"-0.390536985408439";"0.666243802738522";"0.858011607368156";"430"
"122";"président";"0.18923513575333";"1.25156507165361";"0.858011607368156";"431"
"123";"fumer";"0.688153660143116";"1.55681218300574";"0.858011607368156";"432"
"124";"accent";"-0.484154768431178";"0.78910352347215";"0.857074817057785";"433"
"125";"abri";"0.747819391138557";"1.14293501565046";"0.857074817057785";"434"
"126";"tomber";"0.657042657205055";"0.716926547343487";"0.857074817057785";"436"
"127";"course";"0.513120483609995";"0.465243513476891";"0.856367019934393";"437"
"128";"adepte";"0.769072741095243";"0.503974366356387";"0.856367019934393";"438"
"129";"témoigner";"-0.0421910353942345";"-0.282857644885298";"0.856367019934393";"439"
"130";"parcourir";"0.0445891077907724";"1.06978447485187";"0.855742493060813";"440"
"131";"signe";"0.682505863326694";"-0.117170012229655";"0.85531226343679";"442"
"132";"partenaire";"0.913690665631817";"-0.303221183442361";"0.85531226343679";"444"
"133";"courageux";"0.855568961529296";"0.0401433090091816";"0.85531226343679";"445"
"134";"eau";"0.616843844948288";"0.144296535587067";"0.854986121625032";"446"
"135";"plutôt";"0.444662486543191";"0.156403372274167";"0.854986121625032";"447"
"136";"incontournable";"0.525879926042145";"-0.756626004072964";"0.853820338127681";"451"
"137";"salon";"0.610683021570091";"-0.628147763131392";"0.852946000504668";"452"
"138";"train";"0.635929346605614";"1.43518944038862";"0.851919000757002";"454"
"139";"henriette";"1.06143298846064";"-0.995894625628414";"0.851238960383548";"456"
"140";"thème";"1.06143298846064";"-0.995894625628414";"0.851238960383548";"457"
"141";"tecktonik";"1.06143298846064";"-0.995894625628414";"0.851238960383548";"458"
"142";"faux";"0.958022511799126";"-0.139649726659921";"0.851238960383548";"459"
"143";"cueillette";"0.87621511864545";"-0.352650641514704";"0.851238960383548";"460"
"144";"battre";"0.997972411994271";"0.0339239734756504";"0.851238960383548";"461"
"145";"union";"0.87621511864545";"-0.352650641514704";"0.851238960383548";"462"
"146";"tarauder";"1.06143298846064";"-0.995894625628414";"0.851238960383548";"464"
"147";"gêner";"1.06143298846064";"-0.995894625628414";"0.851238960383548";"468"
"148";"déplacer";"0.958022511799126";"-0.139649726659921";"0.851238960383548";"470"
"149";"conjugal";"0.87621511864545";"-0.352650641514704";"0.851238960383548";"471"
"150";"obligatoire";"0.34825737864208";"-0.076853280480013";"0.84869921776432";"473"
"151";"valaisans";"1.14778082458151";"-0.961480158722197";"0.848151021953066";"478"
"152";"vraiment";"0.371116906455144";"1.00472574891953";"0.848074690890739";"480"
"153";"dernier";"0.288859660657718";"1.33696423812014";"0.848074690890739";"481"
"154";"expérience";"0.0854658682848944";"0.51434135098137";"0.847942846328539";"482"
"155";"maître";"0.777846154172183";"1.17057440504202";"0.847387711329801";"484"
"156";"client";"0.73684753285916";"1.94491282352143";"0.847387711329801";"485"
"157";"zurich";"0.674435677510667";"2.02681930401051";"0.847387711329801";"486"
"158";"victoire";"0.592628284356991";"1.81381838915573";"0.847387711329801";"487"
"159";"guérir";"0.856178994850042";"1.11715848881087";"0.847387711329801";"489"
"160";"gastronomique";"0.856178994850042";"1.11715848881087";"0.847387711329801";"490"
"161";"circuler";"0.592628284356991";"1.81381838915573";"0.847387711329801";"491"
"162";"sein";"0.777846154172183";"1.17057440504202";"0.847387711329801";"492"
"163";"remplir";"0.777846154172183";"1.17057440504202";"0.847387711329801";"493"
"164";"jurassien";"0.777846154172183";"1.17057440504202";"0.847387711329801";"496"
"165";"indépendance";"-0.36335127146405";"1.24275138117068";"0.847387711329801";"497"
"166";"htag_mobilité";"0.674435677510667";"2.02681930401051";"0.847387711329801";"499"
"167";"valoir";"0.466188722553135";"0.0735617653120591";"0.847228110017663";"501"
"168";"journaliste";"-0.0394151731374896";"0.0343748391307017";"0.847117083017916";"502"
"169";"arrivée";"0.565442570412602";"1.23731081072357";"0.846999116830684";"503"
"170";"remporter";"0.471824787389863";"1.3601705314572";"0.846999116830684";"504"
"171";"dédier";"0.471824787389863";"1.3601705314572";"0.846999116830684";"505"
"172";"région";"-1.08485563607221";"0.184068647197453";"0.846999116830684";"506"
"173";"fleur";"0.579345070032359";"0.848167132332506";"0.846999116830684";"507"
"174";"bousculer";"0.608132275394394";"0.677924920057462";"0.846999116830684";"508"
"175";"vote";"0.654941166905764";"0.616495059690648";"0.846999116830684";"509"
"176";"terme";"-0.259706532829805";"0.71068972896051";"0.846999116830684";"510"
"177";"représentant";"0.548596104047591";"1.42892094619206";"0.846999116830684";"511"
"178";"principe";"0.518633678901232";"1.29874067109038";"0.846999116830684";"512"
"179";"bouteille";"0.501787212536222";"1.49035080655888";"0.846999116830684";"514"
"180";"bernard";"-1.05417786363958";"0.263943990267996";"0.84658276558163";"515"
"181";"lac";"0.491150950942146";"-1.01941070166546";"0.845847211708302";"516"
"182";"passage";"0.656840765586211";"1.55746619394517";"0.844584279586172";"517"
"183";"accueillir";"-0.180509207814052";"1.05108280936404";"0.844584279586172";"518"
"184";"mondial";"0.136736899712658";"1.1153054732794";"0.844355286399193";"519"
"185";"route";"0.843800451146093";"0.874881915747404";"0.844063840524855";"521"
"186";"difficile";"0.888200596609479";"0.274251533250303";"0.84379321221297";"522"
"187";"dur";"0.801356830443408";"-0.0328178941976146";"0.843397678526369";"525"
"188";"htag_bonneannée";"1.32422672971712";"-2.10756388146192";"0.843397678526369";"526"
"189";"élastique";"0.801356830443408";"-0.0328178941976146";"0.843397678526369";"527"
"190";"voix";"0.863768685791901";"-0.1147243746867";"0.843397678526369";"528"
"191";"soulever";"0.863768685791901";"-0.1147243746867";"0.843397678526369";"530"
"192";"solaire";"0.841306730638553";"0.140755805937957";"0.843397678526369";"531"
"193";"sensation";"0.983100147782783";"-0.94247870939726";"0.843397678526369";"532"
"194";"secours";"0.863768685791901";"-0.1147243746867";"0.843397678526369";"533"
"195";"représenter";"0.983100147782783";"-0.94247870939726";"0.843397678526369";"534"
"196";"rare";"0.801356830443408";"-0.0328178941976146";"0.843397678526369";"535"
"197";"personnel";"0.983100147782783";"-0.94247870939726";"0.843397678526369";"536"
"198";"gentil";"0.841306730638553";"0.140755805937957";"0.843397678526369";"539"
"199";"etre";"0.719549437289732";"-0.245818809052397";"0.843397678526369";"540"
"200";"engouement";"0.841306730638553";"0.140755805937957";"0.843397678526369";"541"
"201";"comportement";"0.801356830443408";"-0.0328178941976146";"0.843397678526369";"542"
"202";"cliché";"0.841306730638553";"0.140755805937957";"0.843397678526369";"543"
"203";"attendre";"0.917682256981534";"-0.130469373531176";"0.843168685339389";"547"
"204";"sortir";"0.193546204300767";"0.703600079297592";"0.841073050719152";"548"
"205";"siècle";"0.352835703969225";"-0.492513053977648";"0.840018294221549";"550"
"206";"famille";"0.548198003014982";"-1.10676921791208";"0.839143956598536";"552"
"207";"lever";"0.748078510435833";"1.8171727332091";"0.838255740600555";"553"
"208";"importer";"0.824461148147647";"0.874566571606008";"0.838255740600555";"554"
"209";"passionné";"0.765711517639252";"0.914628508779373";"0.838255740600555";"555"
"210";"défi";"0.748078510435833";"1.8171727332091";"0.838255740600555";"556"
"211";"pleuvoir";"0.626798115277859";"1.39706149686466";"0.838255740600555";"557"
"212";"dormir";"0.795673942785611";"1.04480878388105";"0.838255740600555";"558"
"213";"bruit";"0.656760540424217";"1.52724177196633";"0.838255740600555";"559"
"214";"choix";"0.563142757401479";"1.65010149269996";"0.837631213726975";"560"
"215";"peau";"-0.106246477114524";"0.449437287383129";"0.837631213726975";"561"
"216";"entretien";"1.0642461590718";"-0.518571260935231";"0.837631213726975";"562"
"217";"passionner";"0.610738189751257";"0.877737543371914";"0.837631213726975";"563"
"218";"manteau";"0.74965159211265";"0.395304555286632";"0.837631213726975";"564"
"219";"magnifique";"-0.153841909464302";"1.22180123671118";"0.837631213726975";"565"
"220";"nombreux";"0.177618731308051";"-0.564354347922729";"0.837353646227605";"566"
"221";"éviter";"0.871707092513057";"0.200637249817483";"0.836722180166541";"567"
"222";"courage";"1.26076615325075";"-1.07774528235786";"0.836056018168055";"570"
"223";"maison";"0.330791083416436";"0.045849843902937";"0.835674362856422";"574"
"224";"homme";"0.757004089785058";"-0.175005084410934";"0.834786146858441";"576"
"225";"sport";"0.346715171113943";"-0.897706125088821";"0.834737572546051";"577"
"226";"jouer";"1.08026787119505";"-0.148780911583729";"0.834737572546051";"578"
"227";"lancer";"0.724318733799832";"0.333346250935072";"0.83439061317184";"579"
"228";"vieux";"-0.0876102579548773";"-0.62385153884518";"0.834182437547313";"580"
"229";"voyage";"-0.519214299154932";"0.541593790982217";"0.834057532172597";"581"
"230";"finir";"0.703599336687638";"0.605806119145866";"0.834057532172597";"582"
"231";"rester";"0.859091907813326";"-0.728236198528947";"0.83271826898814";"583"
"232";"gagner";"-0.686931047436785";"-0.030557640875259";"0.832662755488267";"585"
"233";"sécurité";"-0.0172591736452394";"0.407833563089946";"0.832662755488267";"586"
"234";"simplicité";"1.28926570273108";"-1.11069853440665";"0.832059046177139";"588"
"235";"réserver";"1.19794773271947";"-1.40062949564942";"0.832059046177139";"589"
"236";"récréation";"0.944708710625575";"-0.327002993286468";"0.832059046177139";"590"
"237";"danger";"0.835757733410541";"0.285610269900493";"0.832059046177139";"592"
"238";"commentaire";"1.02226656812171";"-0.969186667512837";"0.832059046177139";"593"
"239";"meilleur";"0.324169561581335";"0.403334116820782";"0.829012742871562";"595"
"240";"atteindre";"0.780472165520355";"-1.24952295694213";"0.827583270249811";"596"
"241";"technique";"0.0332807610617293";"1.26423148182336";"0.825307216754984";"597"
"242";"souhaiter";"0.347631933296684";"-0.549363381704208";"0.825307216754984";"598"
"243";"soldat";"-0.541762471245659";"0.192993907211788";"0.825307216754984";"599"
"244";"jardin";"0.751521747758176";"1.34216385478227";"0.825307216754984";"600"
"245";"sembler";"1.11015927034846";"-0.766677921218969";"0.823669568508706";"602"
