"";"";"";"";"dossier";""
"1";"dossier";"-2.51882496980377";"-0.672531864780116";"1.01714799394398";"78"
"2";"entier";"-2.09087593519019";"-0.699598230828365";"1.01016717133485";"86"
"3";"discothèque";"0.781771443165854";"1.43395246227211";"0.955541887458996";"137"
"4";"htag_securité";"0.594535877120377";"1.67967190373937";"0.953633610900833";"148"
"5";"cabanon";"0.594535877120377";"1.67967190373937";"0.953633610900833";"149"
"6";"neuchâtelois";"0.545451441228172";"1.5518713548265";"0.953383800151401";"151"
"7";"htag_liberté";"0.545451441228172";"1.5518713548265";"0.953383800151401";"152"
"8";"pari";"-0.0679974335767604";"0.948422962677677";"0.944321221296997";"160"
"9";"artiste";"0.493332946161518";"1.17176359354072";"0.944321221296997";"162"
"10";"mulet";"-2.51882496980377";"-0.672531864780116";"0.944071410547565";"165"
"11";"papa";"-2.51882496980377";"-0.672531864780116";"0.944071410547565";"167"
"12";"intégralité";"-2.51882496980377";"-0.672531864780116";"0.944071410547565";"168"
"13";"décéder";"-2.51882496980377";"-0.672531864780116";"0.944071410547565";"169"
"14";"culture";"-2.51882496980377";"-0.672531864780116";"0.944071410547565";"170"
"15";"retour";"0.528282423252319";"1.14018538127013";"0.943460762048953";"171"
"16";"animal";"-1.7030087865031";"-0.505479071420655";"0.942683573050719";"172"
"17";"imaginer";"0.440431667670965";"1.33060012041779";"0.926286273025486";"198"
"18";"repas";"0.727862750797821";"2.04710489577129";"0.925869921776432";"203"
"19";"vélomoteur";"0.0502544531391598";"1.20089006613252";"0.923128942720162";"204"
"20";"indispensable";"0.904767307104924";"-0.889062793166107";"0.918840524854908";"211"
"21";"entretenir";"0.904767307104924";"-0.889062793166107";"0.918840524854908";"213"
"22";"flamme";"0.904767307104924";"-0.889062793166107";"0.918840524854908";"215"
"23";"blanc";"0.759189204245228";"-0.675157329259251";"0.909757128438052";"235"
"24";"avion";"-2.51882496980377";"-0.672531864780117";"0.907668433005299";"236"
"25";"site";"-2.51882496980377";"-0.672531864780117";"0.907668433005299";"237"
"26";"interprète";"-2.51882496980377";"-0.672531864780117";"0.907668433005299";"238"
"27";"godard";"-2.51882496980377";"-0.672531864780117";"0.907668433005299";"239"
"28";"allemand";"-2.51882496980377";"-0.672531864780117";"0.907668433005299";"240"
"29";"visionner";"-2.51882496980377";"-0.672531864780117";"0.907668433005299";"242"
"30";"rappaz";"-2.51882496980377";"-0.672531864780117";"0.907668433005299";"243"
"31";"officiel";"-2.51882496980377";"-0.672531864780117";"0.907668433005299";"245"
"32";"téléphone";"0.764924976800844";"1.62556259774061";"0.906336109008327";"246"
"33";"vêtement";"0.53318033225512";"1.51992121759828";"0.904906636386576";"248"
"34";"sauter";"0.53318033225512";"1.51992121759828";"0.904906636386576";"249"
"35";"dénoncer";"0.641344768631746";"1.61824204337256";"0.904906636386576";"250"
"36";"andré";"-1.85870568720985";"-0.25123499936967";"0.904309866262932";"255"
"37";"préparer";"0.726140915841425";"1.59869685452627";"0.896107746656573";"273"
"38";"fabrication";"0.664737908608075";"1.87936560633858";"0.896107746656573";"274"
"39";"célèbre";"0.796513263854601";"1.53103565616615";"0.896107746656573";"275"
"40";"soigner";"0.291004565467324";"1.35200914180007";"0.896086929094121";"276"
"41";"liberté";"0.673097424428294";"1.46148726144051";"0.894643578097401";"278"
"42";"championnat";"0.655526586722712";"1.79334658364597";"0.894643578097401";"280"
"43";"tranché";"1.08101619863011";"-1.0092486046862";"0.892138531415594";"283"
"44";"bête";"1.08101619863011";"-1.0092486046862";"0.892138531415594";"285"
"45";"amener";"0.942102796268713";"-0.52681561660092";"0.892138531415594";"286"
"46";"commun";"-0.0235378940349126";"1.08983418413101";"0.890077592732778";"288"
"47";"nouveau";"0.676008165410834";"-0.729630029370866";"0.889862477920767";"290"
"48";"ménage";"0.983100147782782";"-0.94247870939726";"0.888106863487257";"294"
"49";"pierre";"0.28246335595605";"-0.424851855617529";"0.888106863487257";"296"
"50";"parole";"0.373335014625737";"-0.879682263217352";"0.888106863487257";"297"
"51";"monter";"0.731232044070823";"2.00878286867759";"0.885608755992935";"301"
"52";"leçon";"0.731232044070823";"2.00878286867759";"0.885608755992935";"302"
"53";"rencontre";"0.233796005897594";"0.623488868672997";"0.883499242997729";"305"
"54";"passant";"0.542119900124247";"-0.615199445621157";"0.881799142064093";"310"
"55";"penser";"0.522770175937281";"-0.508349117319772";"0.881743628564219";"311"
