"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;34;34;34;34;34;34;34;34
"2";3;5;6;8;10;12;14;16;19;21;23;24;24;29;30;30;30;30;30;30;30;30;47;49
"3";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"4";3;5;6;8;10;12;14;16;19;21;23;25;26;26;26;26;26;37;39;39;39;39;39;39
"5";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"6";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"7";3;5;6;8;10;12;14;16;19;21;23;25;26;26;26;26;26;37;39;39;39;39;39;39
"8";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"9";3;5;6;8;10;12;14;16;19;21;23;25;26;26;26;26;26;37;39;39;39;39;39;39
"10";3;5;6;8;10;12;14;16;19;21;23;24;24;28;28;28;28;28;28;28;28;28;28;28
"11";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;41;43;44;44;44
"12";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;41;43;45;45;45
"13";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"14";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"15";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"16";3;5;6;8;10;12;14;16;19;21;23;24;24;29;30;30;30;30;30;30;30;30;47;49
"17";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;34;34;34;34;34;34;34;34
"18";3;5;6;8;10;12;14;16;19;21;23;24;24;28;28;28;28;28;28;28;28;28;28;28
"19";3;5;6;8;10;12;14;16;19;21;23;24;24;29;30;30;30;30;30;30;30;30;47;49
"20";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"21";3;5;6;8;10;12;14;16;19;21;23;24;24;28;28;28;28;28;28;28;28;28;28;28
"22";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;41;43;44;44;44
"24";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"25";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"26";3;5;6;8;10;12;14;16;19;21;23;25;26;26;26;26;26;37;38;38;38;38;38;38
"27";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"28";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;40;40;40;40;40
"29";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;41;43;45;45;45
"30";3;5;6;8;10;12;14;16;19;21;23;25;26;26;26;26;26;37;38;38;38;38;38;38
"31";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"32";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;41;43;44;44;44
"33";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"34";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;40;40;40;40;40
"35";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"36";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;41;43;44;44;44
"37";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"38";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;41;43;44;44;44
"39";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"40";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;41;43;45;45;45
"41";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"42";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"43";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"44";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"45";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"46";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"47";3;5;6;8;10;12;14;16;19;21;23;25;26;26;26;26;26;37;39;39;39;39;39;39
"48";3;5;6;8;10;12;14;16;19;21;23;24;24;29;30;30;30;30;30;30;30;30;47;49
"49";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"50";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"51";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;35;35;35;41;43;44;44;44
"52";3;5;6;8;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"53";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"54";3;5;6;8;10;12;14;16;19;21;23;25;26;26;26;26;26;37;39;39;39;39;39;39
"55";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"56";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"57";3;5;6;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"58";3;5;6;8;10;12;14;16;19;21;23;24;24;29;31;31;31;31;31;31;31;31;31;31
"59";3;5;6;8;10;12;14;16;19;21;23;25;27;27;27;33;34;34;34;34;34;34;34;34
"60";3;5;6;8;10;12;14;16;19;21;23;25;26;26;26;26;26;37;39;39;39;39;39;39
