"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25"
"france";-0,599;-0,729;-0,676;0,04;0,107;-0,86;-0,547;-0,807;0,188;-0,496;-0,702;0,261;-0,834;0,626;0,13;-0,807;-0,86;-0,65;-0,914;-0,624;36,87;1,579;-0,599;-0,676;11,65
"fois";-0,707;6,436;2,24;4,596;-0,923;4,854;3,366;-0,954;-0,83;-0,586;-0,83;-0,768;0,009;-0,586;0,037;-0,954;-1,017;-0,768;-1,079;-0,738;-0,707;-1,111;0,18;-0,799;8,959
"européen";-0,491;-0,597;4,411;0,163;-0,64;0,188;-0,449;-0,662;-0,576;-0,407;-0,576;-0,533;0,217;1,014;-0,619;-0,662;-0,706;4,695;2,606;0,578;0,648;0,12;-0,491;0,459;-0,793
"droit";-0,349;-0,424;1,104;-0,517;-0,455;-0,501;-0,319;-0,47;-0,409;-0,289;-0,409;-0,379;15,034;-0,289;-0,44;0,742;-0,501;-0,379;-0,532;8,296;-0,349;0,496;1,406;1,104;-0,563
"créer";-0,671;0,079;-0,758;-0,994;-0,875;1,472;0,324;0,032;0,1;-0,556;-0,787;-0,729;0,021;-0,556;-0,846;0,032;0,013;-0,729;0,003;2,913;-0,671;28,087;-0,671;-0,758;0
"centre";-0,707;-0,861;0,091;0,001;0,025;-1,017;-0,646;-0,954;14,342;3,992;-0,83;0,116;-0,985;-0,586;-0,892;-0,954;0,004;0,116;1,091;2,63;0,18;-1,111;-0,707;0,091;0,926
"équipe";-0,854;-1,039;-0,964;-1,265;-1,114;0,727;-0,78;-1,151;10,892;-0,707;-1,002;-0,927;-0,009;-0,707;-1,076;64,089;-0,016;-0,927;-0,035;-0,89;-0,854;2,777;0,055;-0,964;0,469
"sécurité";-0,635;-0,773;2,787;1,57;0,072;-0,912;-0,58;-0,856;0,139;4,769;-0,745;-0,69;-0,884;0,532;-0,8;-0,856;5,882;0,203;1,462;3,231;-0,635;-0,997;0,286;-0,717;-1,026
"réduire";-0,635;-0,773;-0,717;12,081;-0,828;5,882;-0,58;0,055;-0,745;-0,526;0,139;2,999;0,041;0,532;2,243;-0,856;-0,912;2,999;0,013;-0,662;-0,635;-0,997;-0,635;-0,717;-1,026
"nombre";-0,671;-0,817;-0,758;-0,994;0,045;-0,964;0,324;0,032;15,44;-0,556;-0,787;0,155;0,021;4,359;-0,846;-0,905;-0,964;44;-1,024;-0,7;-0,671;-1,054;-0,671;2,497;-1,084
"mesure";-0,635;-0,773;-0,717;-0,94;2,088;-0,912;-0,58;1,944;0,139;0,532;-0,745;-0,69;-0,884;4,769;2,243;-0,856;-0,912;0,203;0,013;32,651;0,286;-0,997;-0,635;-0,717;-1,026
"israélien";-0,707;-0,861;-0,799;-1,048;-0,923;-1,017;-0,646;-0,954;-0,83;-0,586;-0,83;-0,768;-0,985;-0,586;0,037;-0,954;373,701;-0,768;-1,079;-0,738;-0,707;-1,111;-0,707;-0,799;-1,143
"décision";-0,817;0,007;1,621;-0,013;0;-1,174;-0,747;0;-0,958;-0,677;-0,958;-0,887;8,953;9,309;10,451;-1,102;0,841;-0,887;-1,247;1,946;-0,817;-1,283;0,077;0,024;-1,32
"chiffre";-0,527;-0,641;0,365;-0,78;-0,687;-0,757;-0,481;0,181;-0,618;-0,436;0,32;-0,572;-0,734;0,864;-0,664;-0,71;-0,757;39,008;0,091;0,47;-0,527;0,075;4,775;-0,595;0,061
"également";-0,635;-0,773;-0,717;0,02;-0,828;5,882;-0,58;-0,856;-0,745;0,532;-0,745;0,203;1,81;0,532;-0,8;-0,856;-0,912;-0,69;1,462;3,231;-0,635;1,361;-0,635;-0,717;4,814
"soir";-0,707;1,91;-0,799;0,001;-0,923;-1,017;-0,646;-0,954;-0,83;-0,586;2,068;-0,768;1,39;3,992;12,967;5,424;-1,017;-0,768;-1,079;0,145;-0,707;-0,001;-0,707;2,24;-1,143
"remporter";-0,707;6,436;55,84;-1,048;0,025;-1,017;71,089;-0,954;-0,83;-0,586;-0,83;-0,768;-0,985;-0,586;-0,892;-0,954;-1,017;-0,768;-1,079;-0,738;-0,707;-0,001;-0,707;-0,799;-0,003
"présenter";-0,599;0,157;0,222;6,183;0,107;6,494;-0,547;0,086;2,905;-0,496;-0,702;-0,65;0,069;-0,496;-0,755;-0,807;-0,86;-0,65;-0,914;0,305;-0,599;1,579;-0,599;-0,676;0,013
"poste";-0,744;0,031;2,01;-1,102;-0,97;0;-0,68;10,908;23,05;-0,616;-0,873;-0,808;-1,036;-0,616;32,378;-1,003;-1,069;0,084;-1,135;-0,776;-0,744;-1,168;-0,744;-0,84;-0,011
"emji_gyrophare";-0,563;-0,685;0,286;-0,834;-0,734;-0,809;-0,514;-0,759;-0,66;49,276;-0,66;0,331;-0,784;-0,466;0,18;-0,759;0,087;-0,611;0,055;-0,587;-0,563;-0,884;-0,563;51,808;-0,909
"début";-0,817;-0,994;-0,923;-0,013;0;3,677;0,136;-1,102;0,014;-0,677;5,354;6,102;-0,003;0,22;-1,03;-1,102;0,841;-0,887;-1,247;0,056;0,077;0,623;-0,817;0,024;-0,04
"causer";-0,599;-0,729;-0,676;-0,887;-0,781;0,053;-0,547;-0,807;-0,702;247,964;-0,702;3,342;-0,834;-0,496;0,13;-0,807;0,053;-0,65;0,03;-0,624;-0,599;-0,94;-0,599;-0,676;-0,967
"saison";-0,78;-0,95;-0,882;0,886;4,82;-0,001;203,705;-1,052;0,027;-0,646;0,027;0,058;-1,087;-0,646;-0,984;-1,052;-1,121;0,058;-1,191;-0,814;-0,78;-1,226;-0,78;-0,882;-1,261
"revenir";-0,563;0,212;-0,636;-0,834;0,152;-0,809;4,949;2,514;0,247;0,736;0,247;-0,611;-0,784;0,736;-0,709;0,128;-0,809;0,331;0,055;0,38;-0,563;-0,884;-0,563;-0,636;1,719
"retour";-0,635;0,113;0,169;5,59;0,072;-0,912;0,393;-0,856;-0,745;0,532;2,591;-0,69;0,041;4,769;-0,8;0,055;0,029;-0,69;0,013;0,242;-0,635;-0,997;-0,635;-0,717;0,003
"plan";-0,635;-0,773;0,169;-0,94;-0,828;-0,912;-0,58;23,753;-0,745;-0,526;0,139;-0,69;6,192;-0,526;2,243;-0,856;12,617;-0,69;0,013;-0,662;-0,635;-0,997;-0,635;-0,717;0,003
"famille";-0,635;7,662;-0,717;-0,94;-0,828;-0,912;-0,58;0,055;0,139;-0,526;-0,745;-0,69;1,81;0,532;0,091;-0,856;-0,912;2,999;0,013;-0,662;3,483;0,007;0,286;0,169;0,003
"attendre";-0,563;-0,685;3,488;-0,834;-0,734;0,087;0,568;-0,759;-0,66;0,736;19,583;10,817;0,106;-0,466;0,18;-0,759;-0,809;-0,611;-0,859;0,38;-0,563;-0,884;-0,563;-0,636;0,032
"affaire";-0,527;-0,641;0,365;-0,78;-0,687;-0,757;-0,481;-0,71;-0,618;-0,436;-0,618;-0,572;2,697;-0,436;3,24;-0,71;0,131;0,415;0,091;-0,549;25,973;0,075;4,775;-0,595;-0,851
"vie";-0,635;27,034;-0,717;-0,94;-0,828;1,686;0,393;-0,856;-0,745;4,769;-0,745;-0,69;-0,884;-0,526;-0,8;-0,856;-0,912;-0,69;1,462;-0,662;-0,635;1,361;20,515;-0,717;-1,026
"sexuel";-0,349;-0,424;1,104;-0,517;-0,455;0,633;-0,319;-0,47;-0,409;-0,289;-0,409;-0,379;5,535;-0,289;-0,44;-0,47;0,633;-0,379;0,538;1,296;1,406;-0,548;1,406;1,104;-0,563
"rencard";722;-1,039;-0,964;-1,265;-1,114;-1,227;-0,78;-1,151;-1,002;-0,707;-1,002;-0,927;-1,189;-0,707;-1,076;-1,151;-1,227;-0,927;-1,303;-0,89;-0,854;-1,341;-0,854;-0,964;-1,379
"record";-0,527;-0,641;-0,595;-0,78;-0,687;-0,757;0,679;0,181;3,674;-0,436;21,34;0,415;-0,734;-0,436;-0,664;2,865;-0,757;0,415;-0,804;-0,549;-0,527;0,075;-0,527;0,365;0,061
"proposer";-0,527;-0,641;-0,595;2,391;-0,687;-0,757;0,679;2,865;-0,618;-0,436;-0,618;-0,572;-0,734;-0,436;-0,664;0,181;-0,757;-0,572;15,198;0,47;-0,527;2,123;-0,527;-0,595;2,001
