"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25"
"gaza";-0,927;-1,129;-1,048;-0,059;-1,21;-1,333;-0,848;-1,251;-1,088;-0,768;-1,088;-1,008;-1,292;-0,768;-0,006;-1,251;461,214;-1,008;-1,415;-0,967;-0,927;-1,457;-0,927;-1,048;-1,498
"devenir";-1,189;2,31;12,51;-0,248;0,263;-1,709;0;-0,16;-1,395;-0,985;0,442;-0,032;-1,656;-0,985;2,115;-1,604;-1,709;-1,292;1,23;-0,019;-1,189;1,119;-0,009;-1,343;11,574
"étude";-1,076;-1,31;-0,014;-1,595;-0,07;86,873;-0,984;-0,089;-1,263;-0,892;-0,025;-1,169;-1,499;-0,892;-1,357;-1,452;-1,547;8,54;22,24;-1,123;-1,076;-1,691;4,341;-1,216;-1,739
"octobre";49,068;0;-1,006;-1,319;3,743;-0,029;-0,814;-0,011;-1,045;-0,738;-1,045;0,012;-1,24;-0,738;-1,123;0,778;7,357;-0,967;-1,359;-0,929;-0,89;0,44;0,037;-1,006;0,389
"mort";-1,039;-1,264;0,836;-1,539;-1,355;-1,493;-0,95;-1,401;-1,219;23,492;-1,219;-0,002;17,998;-0,861;2,907;-1,401;-0,107;-0,002;-1,586;0;1,2;1,693;-1,039;8,483;-1,679
"europe";-0,491;0,362;-0,555;2,757;-0,64;2,918;-0,449;-0,662;0,408;1,014;-0,576;0,516;-0,684;-0,407;0,32;0,248;0,188;-0,533;0,14;0,578;-0,491;-0,771;-0,491;0,459;-0,793
"atteindre";-1,189;-1,447;-1,343;-1,762;-1,551;-0,217;-1,087;-1,604;-0,067;5,13;27,873;30,895;-1,656;-0,985;-1,499;-1,604;-1,709;21,178;-1,815;-0,019;-1,189;-0,312;8,328;-0,048;-0,346
"aller";-1,002;-0,015;0,937;-1,484;0,575;-1,44;-0,916;-0,051;-1,175;-0,83;8,464;0;0,442;6,826;-1,263;0,505;-1,44;0;-0,123;-1,045;-1,002;-0,145;0,006;-1,132;15,267
"souligner";-0,854;0,001;-0,964;-1,265;-0,001;-1,227;-0,78;8,773;0,006;-0,707;0,006;-0,927;-0,009;2,853;0;-1,151;-1,227;-0,927;-0,035;0,037;0,055;-0,047;13,752;-0,964;6,474
"semaine";-1,076;-1,31;3,408;0,225;0,429;-0,132;-0,984;-1,452;0,653;-0,892;7,507;0,847;-0,11;-0,892;0,496;-1,452;0,267;-0,006;-1,643;-1,123;4,341;4,338;0;-1,216;-1,739
"police";-0,78;-0,95;0,041;-1,156;-1,018;-1,121;-0,713;0,001;-0,916;-0,646;-0,916;-0,848;-1,087;-0,646;1,388;-1,052;-0,001;0,058;-1,191;-0,814;-0,78;-0,016;-0,78;261,775;-1,261
"mois";-0,854;0,001;0,013;-1,265;16,527;-1,227;-0,78;-1,151;-1,002;2,853;19,145;0,023;-1,189;-0,707;-1,076;-0,004;0,727;-0,927;-1,303;-0,89;1,938;-0,047;1,938;-0,964;-0,06
"homme";-0,78;0,016;-0,882;-1,156;0,004;-0,001;-0,713;0,001;-0,916;-0,646;-0,916;-0,848;0;-0,646;-0,984;0,001;-1,121;1,97;-1,191;-0,814;7,509;-0,016;0,105;87,088;-1,261
"emji_drapeau_france";-1,002;3,389;-1,132;-0,103;-0,037;-1,44;-0,916;-1,351;-1,175;-0,83;-1,175;0;-1,395;-0,83;3,147;-1,351;-1,44;-1,088;-1,529;1,18;141,665;0,244;0,006;-1,132;0,206
"victime";-0,635;-0,773;0,169;-0,94;-0,828;-0,912;4,063;0,055;-0,745;64,024;-0,745;-0,69;1,81;-0,526;-0,8;-0,856;0,029;2,999;-0,969;0,242;-0,635;-0,997;0,286;0,169;-1,026
