"";"V1";"V2";"V3";"V4";"V5"
"1";"classe 11";"0.0312819105590223";"-0.631468373962169";"1";"11"
"2";"classe 15";"-0.0970729352484967";"0.691354864603078";"1";"15"
"3";"classe 18";"-0.106207704711934";"-0.1517811630944";"1";"18"
"4";"classe 19";"-0.107217794651422";"-0.0202830533208683";"1";"19"
"5";"classe 20";"-0.100249603322102";"0.458852744025781";"1";"20"
"6";"classe 23";"-0.102096655700331";"-0.0287788313942782";"1";"23"
