"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25"
"suisse";1;1;1;0,173;0,513;1;1;0,031;0,019;1;1;0;1;0,069;1;0,01;1;0;1;1;1;0,262;0;1;1
"emji_drapeau_suisse";1;1;1;0,002;0,812;1;0,003;0;1;1;0,527;0,002;1;0;1;0,367;1;0;1;0,285;1;1;0,437;0,44;1
"premier";1;0,171;0,332;1;1;0,142;0,139;0,995;1;0,728;1;0,287;1;1;0;1;1;0,287;1;1;0,996;0,478;1;0,706;0,254
"année";1;0,001;1;0,383;0,075;1;1;0,625;0,156;1;0,039;1;1;1;1;1;1;0;1;1;1;0,015;0,674;1;0,219
"genève";1;1;1;0,001;1;0,412;1;0,342;1;1;0,594;0,16;1;0,046;1;1;0,862;0,503;1;1;1;0;0,019;0,186;1
"annoncer";1;0,64;1;1;1;1;0,853;1;1;1;0,214;1;0;0,245;0;1;0;1;1;1;1;1;1;0,186;0,561
"unir";1;1;1;1;1;1;0,64;1;1;0,128;1;1;0;1;1;0,174;1;1;1;1;0,736;1;1;1;1
"jour";1;1;1;0,612;0,14;1;0,618;1;1;0;0,089;0,29;0,538;1;0,122;1;1;1;1;0,257;0,004;1;1;1;1
"conseil";1;1;0,267;1;1;1;1;0,121;1;1;1;1;0,461;0;0;1;1;1;1;0;1;1;1;1;1
"novembre";0;0,906;1;1;0,985;1;1;1;0,337;1;0;1;1;1;0,946;1;1;1;1;1;1;1;1;0,822;0,015
"dernier";1;1;1;1;0,241;1;0,77;1;0,507;1;1;1;1;1;0,213;0,269;0,101;0;1;1;1;0,881;1;1;0,463
"grand";1;0,827;1;0,161;0,905;0,143;0,528;1;1;1;0,007;1;0,436;1;0,011;0,403;1;1;1;1;1;0,007;1;0,745;1
"monde";1;0,004;1;1;1;1;0,007;0,828;1;1;1;1;1;1;1;0;1;1;0,967;1;1;0,025;0,518;1;1
"mettre";1;0,329;0,771;1;0,932;1;1;1;0,297;0,091;1;0,729;1;0,459;0,09;1;1;1;0,565;0;0,182;1;1;0,771;1
"nouveau";1;1;1;0,002;0,562;1;1;1;1;1;0,442;1;1;0,001;0,171;0,22;1;1;0,101;1;1;0,116;1;1;0,392
"fédéral";1;1;0,086;1;1;1;1;0,002;1;1;1;1;0,642;0,001;1;1;1;1;0,737;0;1;1;0,345;1;0,798
"jeudi";1;0,211;1;1;1;1;0;1;1;0,048;0,65;0,001;0,834;0,048;1;1;0,082;1;1;1;1;1;1;1;1
"franc";1;1;1;0,6;1;1;1;0;1;0,167;1;1;1;0;0,008;1;0,57;0,331;1;1;0,97;1;0,97;1;1
"pays";1;1;0;1;1;0,868;1;1;1;0,048;1;1;0,071;1;0,725;1;0,868;1;1;0,533;1;1;1;1;1
"femme";1;0,51;1;1;1;0,033;1;1;1;0,22;1;1;1;1;0,544;1;1;0;1;0,378;0,345;0,265;1;1;1
"décembre";0;1;1;0;0,059;1;1;1;1;1;0,003;1;1;1;1;1;1;1;0,967;0,559;1;0,999;1;1;1
"canton";1;1;1;0,011;1;1;1;0;0,039;1;1;0,254;1;1;1;1;1;0,254;1;0,913;1;1;0,206;1;1
"viser";1;1;1;1;0,732;1;1;0;0,171;1;1;1;1;1;1;1;0,072;1;1;0;1;0,018;0,468;1;1
"notamment";1;0,744;0,666;0,963;1;0,391;1;0,858;0,705;1;0,705;0,173;1;1;0,275;0,858;1;1;0,134;0,584;1;1;0,13;1;1
"face";1;0,688;0,165;1;1;1;0,414;0,798;1;1;0,188;1;1;1;0,235;0;1;1;0,936;0,125;1;1;0,106;0,611;1
"dimanche";1;0,48;0,006;0,201;1;1;0,26;1;1;0,202;1;1;1;1;0,513;0,577;0,182;1;1;0,352;1;1;1;0,416;1
"révéler";1;0,8;1;1;0,877;0,129;1;1;1;1;1;1;1;1;1;1;1;0,034;0;1;1;1;0;1;1
"public";1;1;1;0,028;1;1;1;1;1;1;1;1;0,113;0,418;0;1;0,987;1;0,508;0,635;0,592;0,006;1;0,719;0,574
"projet";1;1;1;0,839;1;0,806;1;0;0,155;1;1;1;1;1;0,666;1;1;1;1;0;1;0,014;1;1;0,397
"enfant";1;1;0,416;0,671;1;1;1;1;0,448;1;1;1;1;1;1;1;0,002;0,004;0,004;1;1;1;0,321;0,075;0,052
"lausanne";1;1;1;0;1;1;1;0,088;0;1;1;1;1;1;0,001;1;1;1;1;1;1;0,512;1;0,003;0,185
"mondial";1;0,066;1;1;0,448;1;1;0,477;0,056;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0,65
"jeune";1;1;1;1;1;1;1;1;1;0,9;1;1;0,642;0,9;1;1;1;0,411;0;0,378;1;0,768;0,003;0,444;0,287
"national";1;1;0,444;1;1;1;1;0,609;1;0,22;1;1;0,642;0,001;0,544;0,609;1;0,411;0,737;0;1;1;1;1;0,798
"fin";1;1;0,122;1;0,033;1;0,003;1;1;1;1;1;0,74;0,032;0,18;1;1;0,492;1;1;1;1;0,419;1;1
"près_de";1;1;0,165;1;1;0,341;1;0,061;0,188;0,003;1;1;1;1;1;1;0,868;1;1;1;1;1;0,001;0,611;0,135
"mardi";1;1;1;1;1;1;1;1;0,506;0,926;1;0,438;0,003;0,238;0;1;0,224;1;1;1;0,369;1;1;0,097;1
"lundi";1;1;0,333;1;0,448;1;1;1;1;0,792;1;1;1;1;0,006;0,477;0,535;1;1;0,277;0;1;1;0,003;0,65
"état";1;1;1;1;1;1;0,84;1;1;0,007;1;1;0,097;0,763;0,388;0,008;1;1;1;0,944;0,021;1;0,911;1;1
"service";1;1;1;0,419;1;1;1;1;0,941;0,091;0,25;0,88;1;0,672;0,002;1;1;1;1;0,184;1;0,468;0,815;0,021;1
"prendre";1;1;1;0,223;1;1;0,033;1;1;1;1;1;1;0,02;0;1;1;1;0,737;0,061;1;0,768;1;1;0,798
"permettre";1;1;1;0,223;1;0;1;1;0;1;0,477;1;1;1;1;1;1;1;0,046;0,378;1;1;1;1;1
"prix";1;0;1;1;0,001;1;1;0,979;0;1;1;1;1;1;0,239;0,979;1;1;1;1;1;0,392;0,746;1;1
"initiative";1;1;1;0,015;1;1;1;0,009;0,004;1;1;1;1;1;1;1;1;1;1;0,207;1;0,019;1;1;1
"ville";1;1;1;0;1;1;1;0,243;0,021;1;0,593;1;1;1;1;1;1;1;1;1;1;0,001;0,007;1;1
"social";1;1;1;1;1;1;1;0;1;1;1;1;0,54;1;1;1;1;1;0;0,039;0,273;1;0,273;1;0,688
"noël";0,998;1;1;0,18;0;1;0,926;1;1;1;0,076;1;1;1;1;1;1;1;1;1;1;1;0,998;1;0
"américain";1;0,36;1;1;1;1;0,179;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0,911;1;1
"vendredi";1;1;0,977;0,492;1;1;0,16;1;1;1;1;0,254;0,438;0,119;1;0,411;0,009;1;1;0,913;1;1;1;0,279;0,144
"président";1;0,6;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0,006;1;1;1;1
"emji_drapeau_états";1;1;1;1;1;1;1;1;1;0,848;1;1;0;1;1;1;1;1;1;1;0,998;1;1;1;1
"santé";1;1;1;1;1;1;1;1;1;1;1;1;0,369;0,672;0,297;1;1;0,206;0;0,184;0,011;1;0,815;1;1
"rester";1;1;1;0,636;1;0,605;0,926;1;1;1;1;1;1;1;1;0,544;0,605;0,003;1;1;0,297;0,037;0,002;0,065;1
"prévoir";1;1;1;1;1;1;0,778;0;0,277;1;0,032;0,23;1;0,004;1;1;0,429;1;1;0,881;0,848;1;1;1;1
"nouvelle";1;1;1;0;0,671;0,006;1;1;0,564;0,974;1;1;1;1;1;1;1;1;1;0;1;0,012;1;1;1
"gaza";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"devenir";1;0,129;0;1;0,608;1;1;1;1;1;0,506;1;1;1;0,146;1;1;1;0,267;1;1;0,29;1;1;0,001
"étude";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0,003;0;1;1;1;0,037;1;1
"octobre";0;1;1;1;0,053;1;1;1;1;1;1;0,913;1;1;1;0,378;0,007;1;1;1;1;0,507;0,848;1;0,533
"mort";1;1;0,36;1;1;1;1;1;1;0;1;1;0;1;0,088;1;1;1;1;1;0,273;0,193;1;0,004;1
"europe";1;0,547;1;0,097;1;0,088;1;1;0,523;0,314;1;0,473;1;1;0,572;0,619;0,664;1;0,708;0,447;1;1;1;0,498;1
"atteindre";1;1;1;1;1;1;1;1;1;0,024;0;0;1;1;1;1;1;0;1;1;1;1;0,004;1;1
"aller";1;1;0,333;1;0,448;1;1;1;1;1;0,004;1;0,506;0,009;1;0,477;1;1;1;1;1;1;0,941;1;0
"souligner";1;0,97;1;1;1;1;1;0,003;0,941;1;0,941;1;1;0,091;0,998;1;1;1;1;0,848;0,815;1;0;1;0,011
"semaine";1;1;0,065;0,636;0,513;1;1;1;0,419;1;0,006;0,357;1;1;0,481;1;0,605;1;1;1;0,037;0,037;0,998;1;1
"police";1;1;0,84;1;1;1;1;0,979;1;1;1;1;1;1;0,239;1;1;0,809;1;1;1;1;1;0;1
"mois";1;0,97;0,911;1;0;1;1;1;1;0,091;0;0,88;1;1;1;1;0,394;1;1;1;0,164;1;0,164;1;1
"homme";1;0,898;1;1;0,953;1;1;0,979;1;1;1;1;1;1;1;0,979;1;0,16;1;1;0,006;1;0,746;0;1
"emji_drapeau_france";1;0,066;1;1;1;1;1;1;1;1;1;1;1;1;0,076;1;1;1;1;0,277;0;0,621;0,941;1;0,65
"victime";1;1;0,681;1;1;1;0,044;0,815;1;0;1;1;0,178;1;1;1;0,864;0,083;1;0,623;1;1;0,593;0,681;1
"travail";1;1;1;1;0,99;1;1;0,313;0;1;1;1;1;1;1;1;1;0,845;1;0;1;0,43;0,144;1;1
"mercredi";1;0,008;0,388;1;1;1;0,926;1;1;1;1;0,357;0,574;0,014;0,481;1;1;1;1;0,327;0,002;1;1;1;1
"enquête";1;1;0,911;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,88;0,085;1;0,164;1;0;0;1
"samedi";1;1;0,977;0,011;0,063;1;0,809;1;1;0,733;0,305;0,946;0,083;1;1;1;1;1;1;0,913;0,206;1;1;0,001;1
"offrir";1;1;1;0,054;0,028;0,246;1;0,674;0,015;1;0,126;0,094;1;0,95;1;1;1;1;0,806;1;1;0,001;1;1;1
"ligne";1;0,934;1;0;0,99;0,359;1;0,313;0,906;1;1;1;1;0,639;1;1;1;1;0;1;1;1;0,781;0,876;1
"heure";1;1;1;0;1;1;0,84;1;1;1;1;0;1;1;1;1;1;1;0,556;0,944;0,911;1;0,911;0;1
"rts";1;0,1;1;1;1;1;1;1;1;1;0,665;1;0,793;1;0,112;1;0,165;1;1;1;1;0;0;0,637;1
"publier";1;1;1;1;0,99;0;1;1;0,224;1;0,906;1;1;1;1;1;1;0,845;0,071;1;0,781;1;0,781;0,203;0,454
"lancer";1;0,218;1;0,051;1;1;0,094;0;1;1;1;1;1;0,606;0,239;1;1;1;0,369;1;1;0,392;1;1;1
"emji_ballon_de_football";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,768;1;1;1
"place";1;1;0,033;1;1;1;0,809;0,411;0;0,006;1;0,946;1;0,733;1;1;1;1;1;0,23;1;1;1;0,977;1
"passer";1;1;0,977;0,001;1;0,465;1;1;1;0,733;1;1;1;0,733;0,357;1;1;0,001;1;0,913;1;1;0,88;1;0,572
"connaître";1;0,42;1;1;0,48;0,144;1;0,012;1;1;0,39;1;0,54;1;1;1;1;1;1;1;1;0;1;1;0,688
"trump";1;0,97;1;1;1;1;1;1;1;1;1;1;0;1;0,998;1;0,394;1;1;1;1;1;1;1;1
