2026;0;2;2;5;4;0;1;3;2;0;0;1;0;7;7;8;1;0;1;4;1;6;0;0;3
qu;0;1;5;2;4;4;2;0;1;1;4;3;0;2;2;0;7;0;2;3;1;1;2;1;1
2025;0;4;0;2;2;1;0;2;3;1;2;0;0;0;1;2;3;6;1;0;1;1;2;1;1
lors;0;6;3;0;2;1;4;1;0;0;0;1;2;1;3;2;1;1;2;1;1;0;0;4;3
000;0;0;0;0;4;2;0;2;1;3;1;3;1;0;1;1;1;4;1;2;0;2;1;0;3
moins;0;0;0;0;3;3;2;2;1;3;1;1;0;2;1;0;3;0;4;1;0;1;2;1;1
bien;0;0;1;1;2;1;0;3;2;2;2;3;0;1;2;0;0;3;3;2;0;3;1;2;1
dont;0;2;1;1;0;5;1;1;2;1;0;2;3;1;2;0;2;2;3;2;2;1;3;2;2
sans;0;0;2;3;1;0;0;3;0;1;0;3;0;2;1;0;5;2;3;0;1;4;1;0;3
trois;0;1;1;2;1;3;0;1;3;4;1;1;1;0;3;2;1;0;1;0;4;3;0;0;0
leurs;0;0;1;0;1;5;0;3;1;0;1;0;1;1;0;2;0;0;8;3;0;3;1;1;1
dès;0;0;0;11;5;0;0;2;0;0;4;2;0;1;1;0;0;1;2;2;1;2;1;0;1
ainsi;0;0;2;2;4;1;1;0;1;1;0;2;1;0;4;2;1;1;1;3;0;1;3;1;0
3;1;0;1;0;1;0;1;1;2;1;4;3;0;0;2;2;0;2;2;1;1;2;0;1;1
y;0;0;1;1;4;0;0;1;1;0;2;1;0;1;0;3;4;0;0;1;1;5;1;0;0
sous;0;1;1;1;1;2;0;3;1;1;0;0;1;2;1;0;2;0;3;1;3;2;0;2;4
plusieurs;0;0;0;2;1;1;2;0;0;4;0;2;2;0;1;0;1;0;1;0;0;1;0;5;3
20;1;0;0;1;2;0;1;3;3;1;2;2;1;2;2;0;2;1;1;1;0;2;1;1;4
1;0;0;0;1;0;0;1;1;3;0;3;0;0;0;2;7;1;4;0;0;0;0;1;0;0
c;0;0;0;2;2;3;0;1;1;0;3;2;0;0;0;0;1;2;2;1;0;1;0;1;4
avant;0;0;1;2;2;1;1;1;0;2;2;1;1;0;0;1;0;1;1;0;1;3;2;3;0
5;1;1;1;0;1;1;0;0;1;0;6;4;0;0;2;2;0;2;0;2;0;2;1;1;0
souvent;0;1;1;2;3;1;0;0;3;0;2;0;0;0;0;0;1;0;6;1;0;3;5;0;1
grâce;0;3;1;2;0;5;0;1;1;1;1;1;0;0;3;1;0;2;1;0;0;4;2;0;0
cinq;0;3;0;2;2;1;0;2;0;1;0;0;1;1;0;0;3;4;1;0;3;2;2;1;1
où;0;1;1;0;1;1;0;1;1;2;2;0;0;1;2;0;1;0;3;2;0;3;3;1;0
cet;0;3;0;1;2;0;0;0;2;1;1;1;0;1;0;2;0;0;0;1;1;4;1;1;2
jusqu_à;0;1;0;0;2;2;0;1;1;1;4;3;0;2;0;0;1;0;1;1;0;1;1;0;0
environ;0;0;1;1;0;0;0;3;1;0;1;1;0;1;1;0;1;2;1;2;0;1;2;2;1
déjà;0;0;0;1;1;2;0;1;0;3;1;0;1;1;2;1;2;0;0;3;0;4;1;0;1
chaque;0;2;0;4;1;1;0;1;0;1;3;1;3;0;0;1;0;0;1;1;0;4;1;0;3
2024;0;3;0;2;2;0;0;1;1;0;1;0;1;2;1;0;1;6;0;0;0;1;2;0;0
même;0;1;0;1;0;1;1;2;1;0;1;0;0;1;0;0;1;1;4;1;0;3;2;0;3
2;1;0;0;2;1;0;1;3;2;0;1;1;0;0;0;3;0;2;0;1;0;0;0;0;0
non;0;0;0;1;0;1;0;0;1;0;1;0;1;1;2;0;1;0;3;0;0;0;2;2;0
chez;0;0;0;2;0;2;0;1;1;1;0;0;0;0;1;0;0;2;1;0;0;1;3;2;3
alors;0;0;3;0;1;1;2;2;0;0;1;0;0;0;1;0;4;1;2;1;0;0;2;0;0
autres;0;1;1;0;0;1;0;1;2;0;3;0;1;2;2;0;0;0;2;2;0;1;0;1;1
on;0;0;1;3;0;0;2;0;1;1;1;2;0;0;0;2;0;1;1;0;1;0;1;0;4
4;2;0;0;1;1;0;0;1;0;0;3;0;0;0;2;3;0;1;1;1;2;0;2;0;1
10;0;0;0;0;1;3;0;0;1;0;4;1;0;1;0;1;1;1;2;0;1;0;0;0;1
tout;0;1;0;2;1;1;1;0;3;0;0;0;1;0;2;2;0;0;1;0;0;1;1;1;5
6;1;0;0;0;0;0;1;0;0;1;0;1;0;2;0;0;1;1;2;1;0;0;1;0;1
30;0;0;1;0;0;0;0;2;1;1;1;0;1;0;0;0;0;0;0;2;1;1;1;0;0
quatre;0;0;2;0;2;0;0;3;0;1;1;0;1;0;2;0;0;1;0;0;2;1;1;1;3
encore;0;0;0;0;3;1;1;0;0;0;2;0;0;1;1;0;3;0;1;0;0;1;0;1;0
50;0;0;1;0;0;1;0;3;0;0;2;1;0;1;1;0;0;0;1;0;1;1;1;0;2
ton;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
11;1;0;1;1;0;1;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;1;1;0;3
très;0;0;2;1;2;0;0;0;1;0;0;2;1;0;0;2;0;0;0;0;2;2;1;1;0
15;1;0;1;0;1;0;0;0;1;1;0;1;2;0;0;1;0;2;1;0;2;0;1;0;0
malgré;0;2;1;0;0;0;0;0;0;2;1;0;1;0;2;0;0;0;2;0;0;1;3;0;0
ils;0;0;0;1;1;1;0;1;2;0;0;0;2;1;0;0;2;0;2;1;0;1;2;1;0
