"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Coord. facteur 18";"Coord. facteur 19";"Coord. facteur 20";"Coord. facteur 21";"Coord. facteur 22";"Coord. facteur 23";"Coord. facteur 24";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"Corr. facteur 18";"Corr. facteur 19";"Corr. facteur 20";"Corr. facteur 21";"Corr. facteur 22";"Corr. facteur 23";"Corr. facteur 24";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"COR -facteur 18";"COR -facteur 19";"COR -facteur 20";"COR -facteur 21";"COR -facteur 22";"COR -facteur 23";"COR -facteur 24";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"CTR -facteur 18";"CTR -facteur 19";"CTR -facteur 20";"CTR -facteur 21";"CTR -facteur 22";"CTR -facteur 23";"CTR -facteur 24";"mass";"chi.distance";"inertie"
"classe 1";13,7354107386888;0,108554595418056;-0,0235156315474579;0,333264749258935;-0,179473650466322;0,0953701486251244;-0,115940457413161;-0,196017619390503;0,110466520334669;-0,146164049386764;0,0131282884296739;0,0727643146512627;-0,0574781059376667;-0,125828503051379;0,0941169724912162;-0,177439340438598;0,0376727195481772;-0,0514187285275368;0,0606417114825125;-0,0252296893452815;0,0268886219086108;-0,00637950899627527;-0,0208478094705966;0,0114424222053599;0,999140326904525;0,00789647110060423;-0,0017105724931482;0,0242423220430112;-0,0130552602473384;0,00693740895609623;-0,00843373297858174;-0,0142587005254399;0,0080355482146814;-0,010632255479236;0,000954977076613686;0,00529301689703868;-0,00418106852783461;-0,00915300853133889;0,00684625050179714;-0,0129072806037156;0,00274038643917113;-0,00374029770258785;0,00441119531023733;-0,00183525637053869;0,00195593033181811;-0,00046405781561923;-0,00151650995852808;0,000832343908773001;0,999261737384581;3,62978839234992e-05;1,60725242725249e-06;0,000301324362239221;8,25715179579617e-05;2,1674617942438e-05;2,96831130569626e-05;8,24616363156599e-05;2,49793576623745e-05;4,26577980360588e-05;3,33314189820958e-07;9,44930107400173e-06;5,62442809102831e-06;2,55863269467288e-05;1,36412793274149e-05;4,73588242249888e-05;2,08824948438049e-06;3,62869772288481e-06;4,90165718575902e-06;8,1134695285452e-07;8,96760122547209e-07;4,87407918821446e-08;4,97101248901127e-07;1,39048448230412e-07;0,993026901414345;6,20260518859025e-05;2,9106568373014e-06;0,000584596848813854;0,00016954270376052;4,78743213757889e-05;7,07534678461044e-05;0,000202240408042467;6,423016831668e-05;0,000112449840746914;9,07180969627784e-07;2,78685644622367e-05;1,73893203792097e-05;8,33365988283959e-05;4,66244379044345e-05;0,00016572099834709;7,47019015540844e-06;1,39161909270576e-05;1,93562227645515e-05;3,35043747822748e-06;3,80552694026451e-06;2,14216155270724e-07;2,28769735811721e-06;6,89149822811815e-07;0,00526353738553609;11,5057350429812;0,696797284460872
"classe 2";-0,0453695949130318;-0,661373374128552;0,0147846339002945;0,688129344076959;2,28059133048338;-3,37949147773243;-0,0893844827316366;0,970053446141895;-0,409720632772019;-1,21823607875559;0,174851163019454;2,40154610196011;-0,560818616280642;-0,0446300495384071;-0,291475793578047;-0,276981462119788;0,387905588429212;0,404316772665191;0,295785981049985;0,0098669626012671;-0,163183944667635;0,056419956980636;-0,0710339580683288;-0,0243025853799355;-0,00875583620444138;-0,127637836417732;0,00285327283661567;0,13280144633773;0,440129213788634;-0,652204937911652;-0,0172502287383687;0,187209718320246;-0,07907160637005;-0,235106255287747;0,0337443644028364;0,463472163383533;-0,108231866605102;-0,00861311202587249;-0,056251644102643;-0,0534543964660998;0,0748615411176626;0,0780287204007616;0,0570834632005888;0,00190421599614565;-0,031492718712682;0,0108884353702303;-0,0137087779379929;-0,00469013349885666;0,00018086495938055;0,0223515152816153;1,05395148950898e-05;0,0213120054952604;0,221183379492115;0,451500170635678;0,000292679541052449;0,033502848138907;0,00570064849982763;0,0491596623155219;0,000980851611134853;0,170754961736555;0,00888274081560823;5,33990214478951e-05;0,00217046540054311;0,00191439329780642;0,00367290069256104;0,0037220338379535;0,00193456747991356;2,05863069065916e-06;0,000547927034348566;6,32429688835249e-05;9,57380770654562e-05;1,04055212475133e-05;7,39118372630439e-05;0,0157064345319115;7,84883762230426e-06;0,0170029528517942;0,186757964864418;0,410097296036983;0,00028688540666917;0,0337890141184757;0,00602781429560267;0,0532901704163054;0,00109779499215584;0,20709330107147;0,0112935125202057;7,15218817691784e-05;0,00305062750338829;0,00275477162868928;0,00540301617104602;0,00586985955900793;0,00314151666303841;3,49583687255405e-06;0,000956178664579297;0,000114300912088616;0,000181182489943676;2,12074840840889e-05;0,0359074194246161;2,82488017645707;0,286539340229821
"classe 3";-0,124369275934858;0,608306010986764;-0,742649883118442;1,60374667625993;-0,927725264860804;0,462711061159204;1,24245125358021;-0,358566019229308;-2,21125358690107;-1,61460072930062;2,29413248753008;-0,871085506850684;-1,30728034639336;-0,191373998949938;-0,82789877061125;0,428647389440623;0,405898467320418;0,082334610404594;0,650833373253662;-0,330115697376652;-0,0264492229617786;0,103161377499402;0,0917590752741228;-0,511123439020567;-0,0257242912866172;0,125820793764369;-0,153608210498205;0,331715742010618;-0,191888830805234;0,0957062267133694;0,256986122306129;-0,0741650753757605;-0,457371251464182;-0,333960772545372;0,474513756839963;-0,180173576997541;-0,270395241679359;-0,0395834136418991;-0,171240919197689;0,0886605652588518;0,0839552238899496;0,0170299254787596;0,134617067975841;-0,0682804679352616;-0,00547070416434562;0,0213376921621162;0,0189792628669682;-0,105719745732615;0,00168894214742385;0,0234975024049805;0,0330469692303611;0,143853234738757;0,0454841673881061;0,0105181388695949;0,0702733650019917;0,0056884322826071;0,206342944929495;0,107310000043923;0,20982980598823;0,0279175293741088;0,0599795966940889;0,00122013631874536;0,0217603705030632;0,00569762752437071;0,00499753524968008;0,000191807507012213;0,0116394449018862;0,00286356971574161;1,78878292067015e-05;0,000262751342078356;0,000198524749822336;0,00571971526472726;0,000634590154823211;0,0151813829049316;0,0226274363704471;0,105520941345361;0,0353106641472158;0,00878388985231485;0,0633323838683836;0,00527479247191916;0,200606138882157;0,106954092441276;0,215925586720311;0,0311306862340171;0,0701139738563527;0,00150256400986067;0,0281204064476172;0,00753819702688401;0,00675930340506697;0,000278119850897757;0,0173782782733061;0,00447094647122325;2,87007306882535e-05;0,000436617746089093;0,000345434074002974;0,0107181224084162;0,0410267503064388;2,53406684082186;0,263453061856326
"classe 4";-0,0129566803478405;-0,283367203701233;0,400353282195778;-0,784188113992868;-0,32266175915634;0,375430229589779;0,957180790587703;0,798015958305662;-0,760016841619975;0,810192877054588;-2,11758031629773;0,237995387250959;-2,67734976093862;0,727448667223682;-0,913162234994902;0,805744351552508;0,104215401849248;-0,525048790108804;-0,27631511544574;-0,0557662714536131;0,546041416298891;-0,128018330446909;0,193022280464318;0,484220057830956;-0,00300738422572766;-0,0657725617690089;0,0929262830655963;-0,18201845694359;-0,0748932487860629;0,0871413757242066;0,222171909277886;0,185228047652452;-0,176408045843025;0,188054440862777;-0,49151306268095;0,0552412774105191;-0,621441543793623;0,168848623883797;-0,211954731252716;0,187021890466877;0,0241895105216156;-0,121869445469015;-0,0641356965837421;-0,0129439486500255;0,126742058759285;-0,0297144250883825;0,0448025378336296;0,112392659586177;2,60434034609573e-05;0,00724433197910342;0,0136449477471347;0,0488663940146707;0,00781696493800609;0,0098378297783916;0,0592572741065009;0,0400312520530878;0,0346322449303651;0,0383891446827627;0,253998797168191;0,0029608347797817;0,357435747860189;0,0250477594580605;0,0376122559888101;0,0286028899896541;0,000468065408354127;0,0110820918011615;0,00298073669622307;0,000116102163829198;0,0108319004857615;0,000574879317379618;0,00124811089386757;0,00729340035523875;8,58200130045473e-06;0,00410487801879158;0,0081938474403733;0,0314370363885308;0,00532225993746496;0,00720542438665314;0,0468369963012403;0,0325554902317938;0,0295289170147895;0,0335565982481263;0,229234969698165;0,00289559732396628;0,366447114814351;0,0270523994868316;0,04262819775048;0,0331891115207779;0,000555219744586027;0,0140929013255646;0,00390310624442056;0,00015898066303073;0,0152423614445463;0,000837809740259828;0,00190465346713915;0,0119863412404443;0,051121205566371;2,12597044104519;0,231055085023023
"classe 5";-0,0164525399173461;-0,655389642641993;0,241109542829117;-0,691030071969173;-0,464578158430262;-0,0178303118663387;0,065895499214908;0,531483469756101;0,150233508087333;0,495272987386043;0,189250847218222;0,43063119017484;1,11147363163024;-1,99807819503521;-1,18677346150812;2,66768352544835;-1,71088534135773;0,340042089710566;1,49040377953651;0,115042967935401;-0,673573168646718;0,456645277450863;0,0273995513730763;-0,106212278739805;-0,00353497247154587;-0,140816211753003;0,0518044995368365;-0,1484738705205;-0,0998186911676168;-0,00383099885630013;0,0141582258358713;0,11419388399044;0,0322789865917647;0,106413744327956;0,0406622040422963;0,0925248873611395;0,238809856131672;-0,429304621105875;-0,254988684875905;0,57317519803213;-0,367598718134368;0,0730610247616822;0,320226321201314;0,0247179904585928;-0,144723101764227;0,0981142421267328;0,00588703387580994;-0,0228206394496888;4,14461757527774e-05;0,0382478150418674;0,00488452343206918;0,0374517386497142;0,0159944405359522;2,190115468003e-05;0,000277187431348007;0,0175252350861016;0,00133559915914999;0,0141588892997545;0,00200233090209427;0,00956745363412268;0,0607987151326399;0,186507992523758;0,0627014318703886;0,309451290254691;0,124506736586866;0,0045877112973434;0,08559147733821;0,000487669460657513;0,01626789491929;0,00721935861004873;2,48218130938005e-05;0,000346339690397752;1,19446156662991e-05;0,0189541983714492;0,00256528175972879;0,0210717288156191;0,00952409788432891;1,4028917225867e-05;0,000191609827087068;0,0124648138523238;0,000995955400876975;0,0108241937562181;0,00158045428666542;0,00818308831453288;0,0545135672284444;0,176169708109222;0,062150113515845;0,314032710352043;0,129165962548051;0,0051023662223761;0,0980198786319645;0,000584018263500473;0,0200205420632141;0,00920161832604538;3,31278444194143e-05;0,000497800956876661;0,0441271901362751;2,13994724944208;0,202074917369786
"classe 6";-0,106156984453241;-0,300468738595442;1,0398822724292;-0,325638211885971;-0,304723077865085;-0,224253985973947;-0,654457748386037;-1,43762063572659;1,22528538690734;-0,308154141628122;1,16899746030405;-0,0376343877203031;-1,64444887682996;-0,0564725050539926;-0,753112941391895;-1,25796368908483;-2,5780318089361;0,196780967851764;-1,26132987479655;0,919340641074791;-0,476870941866353;-0,207743928181086;-0,221098996971403;-0,0370529027504578;-0,0230610456710228;-0,0652724202665737;0,225899150211257;-0,0707401186573859;-0,0661966129864647;-0,0487158846786194;-0,142171333360857;-0,312301967777717;0,266175253687175;-0,0669419611945651;0,253947528372527;-0,00817551796981539;-0,357232365327233;-0,0122678222720316;-0,163602725023963;-0,273274134866289;-0,560039545145629;0,0427477750068948;-0,274005389270648;0,199713251278266;-0,103593207985363;-0,0451293171178189;-0,0480305096573338;-0,00804919890079057;0,00162640062150868;0,00757735959127141;0,0856393918199889;0,00783899954719581;0,00648595598415269;0,00326543695215987;0,0257713449377338;0,120860601792026;0,0837392091631445;0,00516639667146277;0,0720110506780473;6,88758447960077e-05;0,125443641738964;0,000140429522732386;0,0237998299802915;0,0648592201180853;0,266464531769475;0,0014481339622651;0,0577819012278653;0,029354193359885;0,00768555697766876;0,00140834540065482;0,00152346320343201;3,97291351895835e-05;0,000507845976107044;0,00406849190970583;0,048730763776792;0,00477865405942626;0,00418451916971172;0,00226628858538842;0,0193018126947924;0,0931372617107821;0,0676564766461475;0,00427928180666254;0,0615831648910037;6,38270215535591e-05;0,121864054208455;0,000143717275356606;0,0255596610467568;0,0713133897115834;0,299510058759028;0,00174502259124112;0,0716955554228076;0,0380879666131213;0,0102479403344015;0,00194487434638889;0,00220296914259141;6,18698897827385e-05;0,0450645324104117;2,20418049210203;0,218942048893356
"classe 7";-0,0993641379678143;-2,99022591713574;-4,32211697377565;-0,296950966497657;-2,93129466407538;-1,4645061376516;-1,14638523698356;-0,515756343167179;0,469376618187019;0,0200351739858744;-0,528283596887672;-0,136705426403259;-0,0529674894756183;0,349079583879241;0,32715465585588;-0,30184773648179;0,357090559205198;0,0487271874004493;-0,326153053445983;0,0964377005834837;-0,00985993915563025;-0,129636078885969;-0,00807134389704841;0,116282209235103;-0,0154888183323785;-0,466114505197918;-0,673728832023734;-0,0462885269049107;-0,456928339128154;-0,228286280912401;-0,178697798196674;-0,0803957692027268;0,0731661273096319;0,0031230701183693;-0,0823485095077168;-0,0213095545124769;-0,0082565384130416;0,0544143024719765;0,0509966587018034;-0,0470518322809836;0,0556630481867444;0,00759556283513265;-0,0508405295581762;0,0150326471429132;-0,00153696101504278;-0,0202075891388205;-0,0012581559290539;0,0181259964708146;0,000456133865695605;0,24023147451519;0,473588177693742;0,00208670951911374;0,19212543049799;0,0445806039013582;0,0253126503169133;0,00497952487755139;0,00393368739768001;6,99102025429981e-06;0,00470770085940698;0,000290918494216292;4,16609599346539e-05;0,00171765448351282;0,00143768068571983;0,00119540192979788;0,00163652331752416;2,84241729272314e-05;0,0012367444067036;0,000103398328868729;1,0517794756602e-06;0,000175552439232481;6,49909255732741e-07;0,000125254627934219;0,000234212509895059;0,212108831976558;0,443142886972015;0,002091800372758;0,203830751035584;0,0508783644642816;0,0311753917158984;0,00631015323492338;0,00522629178682851;9,52219314268955e-06;0,00662041176910013;0,000443325035479404;6,65532897616313e-05;0,00289067754596215;0,0025389664396172;0,00216135744684622;0,00302487537665118;5,63239932622647e-05;0,00252344386008605;0,000220619777984711;2,30621195834223e-06;0,000398659871670465;1,54540549918195e-06;0,000320757853394779;0,0237219698608407;3,89579285971942;0,360033128554447
"classe 8";-0,0965380788777228;-0,247424808095716;0,618860129045015;-0,198373287217581;-0,387832080481526;0,301828998734343;0,191428468742702;-0,717334506474896;-0,796467370857227;-0,0829425797742553;-1,04100539180674;0,433388610979988;0,549249320132532;-0,525830084867874;0,139002278217842;-0,89750319881215;0,44256331019697;-0,385880208564858;-0,0906267185897603;-0,243629352703067;-0,253429652990139;1,30417589498347;-3,14714122998942;-1,73686398082891;-0,0217503143957689;-0,0557455402879006;0,139431015514452;-0,0446940877098831;-0,0873797135938751;0,0680029651775783;0,0431293995888207;-0,161617583694874;-0,179446451840609;-0,0186872082794522;-0,234541590455371;0,0976437345132995;0,12374749459927;-0,118471071701317;0,0313176239688345;-0,202210122392204;0,0997108213538066;-0,0869399510841864;-0,0204184674576016;-0,0548904129741512;-0,0570984495841064;0,293834682366148;-0,709060217438744;-0,391320586496912;0,00186846303957297;0,00713777109972107;0,0421353935497329;0,00404122581905078;0,0145951171973073;0,00821749993036604;0,00306297695358056;0,0418019386535057;0,0491526736860434;0,00051995245160829;0,0793295137564598;0,0126884636524901;0,0194403365290153;0,0169134419282619;0,00112630054012964;0,045863199002482;0,010908637303982;0,00773578490781644;0,000414384780346871;0,00286373796449418;0,00301540261884203;0,0771048437071257;0,42879302448612;0,121269916441958;0,000450222254753692;0,00295744133628995;0,0185018289527349;0,00190106092181203;0,00726636341307386;0,00440100214864618;0,00177028302633699;0,0248583958540861;0,0306454238087065;0,000332341620270952;0,0523522814381983;0,00907370474044268;0,0145736625925627;0,0133573564324713;0,000933412239118373;0,0389136227960407;0,00946194606437198;0,00719340750541345;0,000396773049388773;0,00286740393712635;0,0031027337688262;0,0821678630461805;0,478478160458904;0,145734129850283;0,0483091787439614;1,87011684992423;0,168953479824663
"classe 9";-0,0675067936688863;-0,255630799390601;0,610143323196244;-0,338688976142568;-0,193166818669001;0,269957332765984;0,106476787279825;-0,565025019882908;-0,749847531049386;-0,0124277933268999;-0,875279490777907;-0,0889474937707777;0,894491015768041;-1,36837303431181;-0,993251216031071;-0,991336048815128;0,878469576050614;2,87804431159802;-1,25536091684885;-0,841555051479955;0,580882214751406;-1,0492204643803;1,37431253447404;-0,410929161975476;-0,0144547682511503;-0,0547364755786126;0,130645818849686;-0,0725211551799209;-0,0413614903911412;0,057804118233947;0,0227991465837648;-0,120984944990408;-0,16055972585781;-0,0026610784285601;-0,187417613940251;-0,0190457187951116;0,191531246456197;-0,293000363624394;-0,212678093012727;-0,212268011348881;0,188100685092239;0,616255954100586;-0,268801851464101;-0,180196430294011;0,124380337727645;-0,224662405555364;0,294272148191645;-0,0879894523376333;0,000749271849642887;0,00624826924464293;0,0335879130900584;0,00966064466391717;0,00296922034957251;0,00539094979196733;0,000777137386849295;0,0212689271605771;0,0357284641653345;9,5731275109005e-06;0,0459917130645754;0,0004383073259846;0,0422837927333291;0,0939306651119783;0,0471613158171228;0,0458871810400123;0,0352476677516064;0,352899933063824;0,0652057267377318;0,0280218215890485;0,012991636357992;0,0409260730951934;0,0670569055756964;0,00556688990583448;0,000199780636845034;0,00286473719828562;0,0163200752688227;0,00502875588123042;0,0016357746960487;0,00319483687364536;0,000497013641033623;0,0139956730868093;0,0246492870755702;6,7709011869271e-06;0,0335855090981088;0,00034683735251614;0,035076027095837;0,0820856885649496;0,0432490569409113;0,0430824337949151;0,0338307699182566;0,363122687157633;0,0690868892626261;0,0310472753652195;0,0147922619963959;0,0482605132588971;0,0827998301958884;0,00740273760951871;0,0438387771288485;2,06509540239751;0,186955682801214
"classe 10";-0,111732286139226;0,676505427085666;-0,156971289543538;-0,936319419988687;-0,507358935986604;0,562718561806816;0,571318566061431;2,04520849237463;1,98676731271049;-1,57294151074153;0,585126917030902;0,00090492352532098;-0,954806749093924;-2,83952047683508;1,82168068505206;-0,0532572111552096;1,26073199123009;-0,48110658615884;-0,748749845098355;1,25631755194052;1,36224867026216;-0,546406628814335;-0,380157148541249;-0,118682073833085;-0,019817657349852;0,119989961832458;-0,0278415786289557;-0,166072476242242;-0,0899889002023931;0,0998078892648197;0,101333249063803;0,362753171096699;0,352387615054446;-0,278988437168392;0,103782399417161;0,000160503870208876;-0,169351524458127;-0,503638167554243;0,32310664056601;-0,00944608938518918;0,223612668061422;-0,0853325909878229;-0,132803761416143;0,222829690747923;0,241618410446803;-0,0969146852507542;-0,0674274586980134;-0,0210503226423127;0,00116676317880202;0,0248746420639334;0,00126369025847599;0,0419694172496248;0,0116436432995751;0,0133149151414359;0,0127181953447142;0,158404053635036;0,142574980043365;0,0871709617489458;0,0116833429863889;2,57878981728275e-08;0,0273863289827856;0,229916046956873;0,0901764430575215;7,52813351283785e-05;0,0412670451523578;0,00560557437289591;0,0131856916184756;0,0354985853879943;0,0406145244986591;0,00630927387928618;0,00291661904506274;0,000263954974765507;0,000380761114209733;0,0139584690883769;0,000751511570295375;0,026738884259347;0,00785101572128266;0,00965778874152548;0,00995524366291044;0,127576415011176;0,120389672081881;0,0754606196119732;0,0104422809374446;2,49757751939841e-08;0,0278052100074104;0,245915118301875;0,101213799065355;8,65071611819841e-05;0,0484775614694457;0,00705956308925012;0,0170989211778949;0,0481386685215765;0,0565989017927701;0,00910598935014639;0,00440779656495108;0,000429601186578924;0,0304996755353666;2,73904819724865;0,22882030906035
