"";"";"";"";"ménager";""
"1";"ménager";"-0.453717166808662";"-0.0175815861702517";"1.15967374943116";"49"
"2";"souhaiter";"-0.735282354268474";"-0.0929353963264109";"1.12583400427066";"57"
"3";"meilleur";"-0.415914346004149";"-0.500042716570421";"1.12108726852662";"62"
"4";"amour";"-0.343084734770481";"-0.507128890999353";"1.11956453250254";"65"
"5";"étudiant";"-0.453717166808662";"-0.0175815861702518";"1.08657541918997";"71"
"6";"secret";"-0.550497175394535";"-0.570800705491798";"1.0761788077152";"74"
"7";"varié";"-0.503234372295043";"-0.330816527444573";"1.06070991003606";"80"
"8";"envie";"-0.620122101852679";"-0.340608166717315";"1.05978576679385";"81"
"9";"micro_trottoir";"-0.354999802462875";"-0.103502455921095";"1.05934469842826";"82"
"10";"jeunesse";"-0.478420883065334";"-0.260575187049578";"1.05354779990899";"85"
"11";"haut";"-0.559316593693855";"-0.579530615531971";"1.05229810620646";"89"
"12";"union";"-0.405326763432911";"-0.142706623669157";"1.04766338782511";"92"
"13";"conjugal";"-0.405326763432911";"-0.142706623669157";"1.04766338782511";"93"
"14";"élève";"-0.504154532499349";"-0.120254575037968";"1.04608464311968";"94"
"15";"bas";"-0.628093958743367";"-0.30862555072444";"1.04363426331081";"96"
"16";"milieu";"-0.401103786281776";"0.0555945194205882";"1.02756327230721";"104"
"17";"camp";"-0.513534881524507";"-0.37698518463353";"1.02756327230721";"107"
"18";"tomber";"-0.487340826206489";"-0.155525394447407";"1.02724822347464";"108"
"19";"manteau";"-0.776085491161742";"-0.849736314658702";"1.02624006721042";"111"
"20";"chien";"-0.637797554900958";"-0.602891469645813";"1.02392270801974";"114"
"21";"tourner";"-0.393712125163477";"-0.00340242592196984";"1.02295305772395";"116"
"22";"verre";"-0.516110008831873";"-0.388527348930769";"1.01791577694543";"126"
"23";"anzère";"-0.516110008831873";"-0.388527348930769";"1.01791577694543";"127"
"24";"diligence";"-0.516110008831873";"-0.388527348930769";"1.01791577694543";"128"
"25";"cours";"-0.474297744283505";"-0.197857466616639";"1.01476528861974";"131"
"26";"mariage";"-0.321448495149518";"-0.0773663440890527";"1.01092869394756";"132"
"27";"apprendre";"-0.611224957077033";"-0.378868764161177";"1.00733013617111";"133"
"28";"tranché";"-0.630247946726065";"-0.376937047207259";"1.00408863373823";"140"
"29";"célébrer";"-0.630247946726065";"-0.376937047207259";"1.00408863373823";"141"
"30";"notamment";"-0.433325889552581";"-0.253990378941427";"1.00224734833899";"142"
