"";"";"";"";"ménager";""
"31";"vaudois";"-0.476059422148944";"0.0232864674003162";"0.999621941400917";"143"
"32";"réponse";"-0.493458287665786";"0.00633274765758642";"0.997861168481115";"146"
"33";"horizon";"-0.503234372295043";"-0.330816527444573";"0.994217103651066";"148"
"34";"cadeau";"-0.542501129632974";"-0.314000587902714";"0.985910316098995";"164"
"35";"soigner";"-0.524318757007464";"-0.30074099016568";"0.985910316098995";"165"
"36";"existence";"-0.607697093142702";"-0.29511628126614";"0.984776140301747";"167"
"37";"indispensable";"-0.629941416768252";"-0.397899619568622";"0.984776140301747";"169"
"38";"fabuleux";"-0.627663161146828";"-0.294963251427876";"0.977866069240732";"177"
"39";"automobiliste";"-0.630510980673608";"-0.423633711603809";"0.977866069240732";"178"
"40";"adepte";"-0.540242516287322";"-0.681896307457612";"0.977547519865579";"179"
"41";"corps";"-0.540071590327519";"-0.344549002704485";"0.977547519865579";"180"
"42";"htag_été";"-0.61573516556775";"-0.62880332047935";"0.976087793608009";"182"
"43";"cochon";"-0.405417745388986";"-0.0986311996723094";"0.976087793608009";"183"
"44";"mode";"-0.612224847192204";"-0.602236910121827";"0.975821752371618";"184"
"45";"folie";"-0.153691958582733";"0.053314215071157";"0.968656141701964";"190"
"46";"génération";"-0.0851193938172517";"-0.497151576304458";"0.968568628137361";"191"
"47";"profiter";"-0.552007554254994";"-0.34021216767129";"0.968568628137361";"192"
"48";"froid";"-0.538038345831533";"-0.242187438650929";"0.968449609689502";"193"
"49";"installer";"-0.46043104734496";"-0.123055461267458";"0.966538313438583";"196"
"50";"abri";"-0.592991993176718";"-0.343110046013171";"0.966538313438583";"197"
"51";"passage";"-0.403332929419091";"0.0409392835590045";"0.965096089893934";"198"
"52";"enfant";"-0.367990375079219";"-0.322504626835463";"0.963468337592327";"205"
"53";"succès";"-0.509480053189708";"-0.33458697655471";"0.963324815346379";"206"
"54";"marathon";"-0.488414197482132";"-0.327072167615366";"0.957209367451955";"211"
"55";"humeur";"-0.548108995980639";"-0.48960819555297";"0.957209367451955";"212"
"56";"discothèque";"-0.50051179832607";"-0.295790908240639";"0.957209367451955";"213"
"57";"ados";"-0.594941790742585";"-0.305065954999857";"0.956918822417475";"214"
"58";"grand";"-0.379219008108698";"0.00376057949230426";"0.95625721986908";"215"
"59";"particulier";"-0.453922529994574";"-0.11580093413369";"0.953663317814261";"217"
"60";"habitant";"-0.524428224013346";"-0.329685898101879";"0.953663317814261";"218"
"61";"ville";"-0.609109718088349";"-0.739226526369428";"0.952298106206462";"221"
"62";"champion";"-0.419911610452275";"0.776384507274923";"0.952298106206462";"222"
"63";"épineux";"-0.630247946726066";"-0.376937047207258";"0.951787026989183";"223"
"64";"servette";"0.0589211039186115";"1.83208199282602";"0.951279448314489";"225"
"65";"avance";"0.0589211039186115";"1.83208199282602";"0.951279448314489";"227"
"66";"ménage";"-0.497241617731384";"-0.138129580394954";"0.950369307242623";"229"
"67";"président";"-0.482426994133205";"0.159995388598589";"0.948762558196521";"230"
"68";"sauter";"-0.527832821126201";"-0.295728400619198";"0.947845416039486";"232"
"69";"bonheur";"-0.547169501952135";"-0.467793937629119";"0.947631882941856";"233"
"70";"solution";"-0.586148130990157";"-0.292935264997575";"0.946053138236427";"234"
"71";"penser";"-0.481069379651079";"0.733812766599052";"0.946053138236427";"235"
"72";"travail";"-0.431216203244845";"0.169438252163246";"0.94317919277488";"239"
"73";"veille";"-0.690621636059828";"-0.699706642448071";"0.942685616270522";"240"
"74";"plage";"-0.49586342489821";"-0.145156732156013";"0.942685616270522";"241"
"75";"valaisans";"-0.570084708171854";"-0.195417130170734";"0.942132530542234";"243"
"76";"fleur";"-0.570796663053549";"-0.227584745214717";"0.942132530542234";"244"
"77";"cueillette";"-0.574195407241881";"-0.319889001168658";"0.942132530542234";"245"
"78";"connaître";"-0.384103813662505";"0.129101802463761";"0.941989008296286";"246"
"79";"épinard";"-0.790635248601544";"-4.51673786206488";"0.941225890012952";"250"
"80";"artiste";"-0.257719214724663";"-0.0361532279315183";"0.940595792347814";"253"
"81";"auprès_de";"-0.50645328142925";"-0.345244232816122";"0.939426611124724";"254"
"82";"évoquer";"-0.167334039354267";"0.0941336883400977";"0.934084783141387";"261"
"83";"petit";"-0.509373685129457";"-0.226418662185266";"0.932043966814856";"263"
"84";"coeur";"-0.0910939714659572";"-0.411916663316751";"0.931228340392761";"265"
"85";"soir";"-0.518206571079961";"-0.482552002353009";"0.931228340392761";"266"
"86";"chanteur";"-0.206437756042676";"1.67866458862193";"0.930780270941996";"267"
"87";"piste";"-0.474296714235287";"-0.108127903340484";"0.930622746525712";"269"
"88";"fondue";"-0.548468761043639";"-0.924020604120463";"0.930622746525712";"270"
"89";"rouge";"-0.743377623516164";"-0.817845059958204";"0.930549235131445";"271"
"90";"onde";"-0.618664002668342";"-0.701497521394753";"0.930549235131445";"272"
"91";"htag_securité";"-0.782135335616409";"-0.983552504891662";"0.930549235131445";"275"
"92";"frais";"-0.54779298183456";"-0.1085749288098";"0.930549235131445";"276"
"93";"gentil";"-0.713120646521673";"-0.888201620155618";"0.930549235131445";"278"
"94";"actif";"-0.597148762382972";"-0.63883933276124";"0.930549235131445";"280"
"95";"etre";"-0.480634624478869";"-0.510795751922663";"0.930549235131445";"281"
"96";"convivialité";"-0.605348245326692";"-0.627143290486115";"0.930549235131445";"282"
"97";"cas";"-0.459596293732316";"-0.118718013029864";"0.930398711800329";"283"
"98";"oeuvre";"-0.228520131091427";"-0.0164943080669137";"0.928560926943676";"286"
"99";"chose";"-0.545059078271404";"-0.488236493927447";"0.928004340672804";"287"
"100";"nuit";"-0.341011706602334";"0.370911589113407";"0.927741799978997";"288"
"101";"année";"-0.335597527800322";"-0.205822200870646";"0.925711485280219";"291"
"102";"télévision";"-0.14104060665239";"1.17027861618215";"0.921538838519971";"293"
"103";"partager";"-0.237972240955243";"-0.630957886020041";"0.920751216438548";"294"
"104";"perrot";"-0.161665978228073";"1.42311184044173";"0.91998459761263";"298"
"105";"fasciner";"-0.269438379423054";"1.16205351077223";"0.91998459761263";"300"
"106";"plateau";"-0.121838544139677";"1.4007524705023";"0.919918087303532";"302"
"107";"vestiaire";"-0.189128478393688";"3.34622293086558";"0.916662582700319";"308"
"108";"siècle";"-0.49898440530368";"-0.325246845885707";"0.914796793502993";"313"
"109";"mini";"-0.0789653129998325";"1.38093885194005";"0.914653271257045";"314"
"110";"international";"-0.477674871484772";"-0.402073867749751";"0.914345223509644";"316"
"111";"donner";"-0.335497945756204";"-0.0384307679828264";"0.912990513529597";"317"
"112";"trouver";"-0.541037839401984";"-0.297757704921076";"0.912853992368817";"318"
"113";"babibouchettes";"0.0589211039186113";"1.83208199282602";"0.912216893618511";"321"
"114";"paysan";"-0.453004648617507";"-0.225919877481127";"0.911905345328526";"323"
"115";"démonstration";"-0.487978599821305";"-0.194049736701568";"0.911530787272027";"324"
"116";"aimer";"-0.476397181883121";"0.0219346260722516";"0.911331256344734";"325"
"117";"retour";"-0.532318739497251";"-0.11137222439767";"0.91120873735429";"326"
"118";"fois";"-0.200331912707338";"0.355273699898856";"0.910274092484335";"327"
"119";"cher";"-0.496481650606149";"0.143384660417886";"0.908782861343508";"328"
"120";"premier";"0.0821276608376773";"1.59852934111181";"0.908107256624777";"331"
"121";"heure";"-0.493752857139019";"-0.079853457109556";"0.907403647565373";"332"
"122";"jeu";"-0.59505841656084";"-0.916529876935614";"0.906286974481045";"334"
"123";"facile";"-0.624940014178046";"-0.872811652549027";"0.903882101725768";"338"
"124";"pull";"-0.442254511899231";"-0.224646865423028";"0.902898449259635";"340"
"125";"familial";"-0.321448495149518";"-0.0773663440890526";"0.902898449259635";"341"
"126";"spa";"-0.484919828097586";"-0.359421327585963";"0.902898449259635";"342"
"127";"musclé";"-0.321448495149518";"-0.0773663440890526";"0.902898449259635";"343"
"128";"gêner";"-0.442254511899231";"-0.224646865423028";"0.902898449259635";"344"
"129";"finlandais";"-0.250577474315737";"0.5155562484959";"0.902898449259635";"345"
"130";"roi";"-0.380406286686317";"0.588517593728267";"0.902061819582035";"347"
"131";"parler";"-0.53851609725653";"0.00470076974284177";"0.902058319039451";"348"
"132";"vaud";"-0.253700361324709";"0.0296822813240211";"0.901918297336087";"349"
"133";"alcool";"-0.270206096486836";"-0.0747293657674194";"0.901918297336087";"350"
"134";"occuper";"-0.270906361113451";"-0.0199033757579931";"0.901071166030735";"351"
"135";"train";"-0.591879825360854";"-0.333662784001683";"0.901008156264221";"352"
"136";"société";"-0.646001966366661";"-0.593805037350561";"0.901008156264221";"353"
"137";"passion";"-0.346976561992733";"0.71911267701405";"0.899800469072706";"354"
"138";"temps";"-0.393482639765872";"-0.306449753160019";"0.899054853502293";"363"
"139";"travers";"0.000888306391044766";"-0.0595535090401556";"0.89867679490321";"364"
"140";"pied";"-0.582883862573727";"-0.509152959668307";"0.896649980747016";"365"
"141";"quotidien";"-0.415467235560919";"-0.517125048749237";"0.89449364651521";"368"
"142";"mois";"-0.437063236989835";"1.14806372588467";"0.893587005985928";"370"
"143";"htag_liberté";"-0.701020957612338";"-0.620569239689697";"0.893429481569643";"371"
"144";"fumeur";"-0.715160962805525";"-0.719292222869606";"0.893429481569643";"372"
"145";"skateboard";"-0.743517291999014";"-0.811405191525716";"0.893429481569643";"374"
"146";"roller";"-0.652433595759904";"-0.54824248789898";"0.893429481569643";"375"
"147";"inaugurer";"-0.396114460396267";"0.376589301599154";"0.893429481569643";"376"
"148";"grain";"-0.720859971665472";"-0.67424472905359";"0.893429481569643";"378"
"149";"dénoncer";"-0.71444900792383";"-0.687124607825622";"0.893429481569643";"379"
"150";"exercice";"-0.617403696510253";"-0.542892568048661";"0.893429481569643";"380"
"151";"joyeux";"-0.0913759149390588";"1.16745085652799";"0.890335001925298";"382"
"152";"vraiment";"-0.369021843098682";"0.995104090596133";"0.890324500297546";"384"
"153";"secours";"-0.527703969392425";"-0.313096595871074";"0.889683901004656";"386"
"154";"main";"-0.435117303057754";"-0.60925933416575";"0.888980291945252";"388"
"155";"affronter";"-0.139518561931228";"3.04339474325767";"0.888409703504043";"389"
"156";"terrain";"-0.351952444935528";"1.41787721672852";"0.888409703504043";"390"
"157";"retraite";"-0.463522208653235";"-0.253021122722734";"0.888045647075297";"393"
"158";"plante";"-0.543111935704464";"-0.38443014422349";"0.888045647075297";"394"
"159";"chant";"-0.38737030884733";"0.750017494537999";"0.888045647075297";"395"
"160";"accompagner";"-0.447153526876634";"0.0375891131242361";"0.888045647075297";"396"
"161";"pollution";"-0.58619478610949";"-0.37135552065607";"0.887769104211153";"398"
"162";"oreille";"-0.58619478610949";"-0.37135552065607";"0.887769104211153";"399"
"163";"planète";"-0.58619478610949";"-0.37135552065607";"0.887769104211153";"400"
"164";"patiner";"-0.511699164921384";"-0.110042141256126";"0.887769104211153";"401"
"165";"ouvrier";"-0.437587032350079";"-0.0592899320032201";"0.887769104211153";"402"
"166";"août";"-0.282837743232904";"0.598972940161838";"0.887769104211153";"404"
"167";"enseignant";"-0.512560760114463";"-0.137366739849254";"0.887769104211153";"405"
"168";"cycle";"-0.512560760114463";"-0.137366739849254";"0.887769104211153";"406"
"169";"cliché";"-0.478422384914509";"-0.110297190986567";"0.887769104211153";"407"
"170";"boucle";"-0.478422384914509";"-0.110297190986567";"0.887769104211153";"408"
"171";"neige";"-0.579067916196167";"-0.712081686958535";"0.887737599327896";"409"
"172";"comprendre";"-0.272896714105452";"-0.0659227665975845";"0.887671089018798";"410"
"173";"groupe";"-0.183221887061497";"1.00271980552306";"0.887671089018798";"411"
"174";"magnifique";"-0.216600659795277";"0.00430900538607833";"0.887671089018798";"412"
"175";"florilège";"-0.556343048505514";"-0.445114939799661";"0.887149508173767";"413"
"176";"montagne";"-0.0882528897668055";"-0.378906111990869";"0.886795953372773";"414"
"177";"véritable";"-0.563393854020165";"-0.250109356442553";"0.886491406167956";"417"
"178";"répondre";"-0.344512077221407";"-0.082152746831935";"0.885507753701824";"418"
"179";"sortie";"-0.0129839920555347";"1.61261503246039";"0.885507753701824";"419"
"180";"julien";"-0.247058076744815";"0.984629748470156";"0.885507753701824";"420"
"181";"vie";"-0.437204805542646";"-0.13601678110262";"0.885084188049148";"422"
"182";"lancer";"-0.402676596043973";"0.365233479707686";"0.884860153323765";"423"
"183";"témoignage";"-0.300206915246758";"0.167328923649335";"0.884769139216579";"424"
"184";"question";"-0.263955135058248";"-0.133059593992677";"0.881832183988518";"427"
"185";"doux";"-0.564780684947461";"-0.313849233182026";"0.881156579269787";"430"
"186";"genève";"-0.398854173698208";"-0.0895439821563826";"0.88085203206497";"431"
"187";"nouvelle";"-0.294883429432305";"0.844389205584981";"0.879220779220779";"434"
"188";"kilomètre";"-0.507526251140653";"-0.350053467939971";"0.87916126999685";"435"
"189";"vot";"-0.507526251140653";"-0.350053467939971";"0.87916126999685";"436"
"190";"lever";"-0.511433855238763";"-0.319120485169448";"0.87916126999685";"438"
"191";"interdiction";"-0.511433855238763";"-0.319120485169448";"0.87916126999685";"439"
"192";"geste";"-0.511433855238763";"-0.319120485169448";"0.87916126999685";"440"
"193";"presser";"-0.545572230438717";"-0.346190034032134";"0.87916126999685";"443"
"194";"subir";"-0.38672023439094";"-0.202772946605996";"0.87916126999685";"444"
"195";"déferler";"-0.545572230438717";"-0.346190034032134";"0.87916126999685";"445"
"196";"croiser";"-0.545572230438717";"-0.346190034032134";"0.87916126999685";"446"
"197";"compétition";"0.0495451887442065";"1.94469448486256";"0.877904575209157";"448"
"198";"provoquer";"0.00576783829327543";"1.3873900483873";"0.877904575209157";"449"
"199";"sortir";"-0.0856546537565669";"-0.459429608462351";"0.877099450414814";"451"
"200";"mort";"-0.38841395957118";"0.488999299815898";"0.876626877165961";"452"
"201";"boîte";"-0.554466682794059";"-0.266965451295188";"0.876626877165961";"453"
"202";"problème";"-0.540197818773002";"-0.979505234245717";"0.876626877165961";"454"
"203";"animal";"-0.380594212259262";"-0.529237067101514";"0.876108796863514";"457"
"204";"soin";"-0.509303907546816";"-0.226191697006962";"0.875975776245318";"459"
"205";"récréation";"-0.521683208918411";"-0.304500432325542";"0.875975776245318";"460"
"206";"cff";"-0.521683208918411";"-0.304500432325542";"0.875975776245318";"461"
"207";"val";"-0.454280440427282";"-0.660083806646247";"0.875317674239507";"462"
"208";"arrêter";"-0.365217750053314";"0.587617034959541";"0.874341022858543";"465"
"209";"école";"-0.534290246108038";"-0.214860222148175";"0.873679420310148";"466"
"210";"universel";"-0.438745183512524";"-1.18720922358301";"0.872695767844016";"468"
"211";"contractuel";"-0.370113873570107";"-0.155156595299482";"0.872695767844016";"470"
"212";"amener";"-0.441901266492382";"-0.158452840238285";"0.872695767844016";"471"
"213";"compagnon";"-0.594386381139952";"-0.295218301158317";"0.871897644134841";"472"
"214";"noeud";"-0.590478777041842";"-0.32615128392884";"0.871897644134841";"473"
"215";"hockey";"-0.398801739458348";"0.414051829990088";"0.871897644134841";"474"
"216";"astuce";"-0.629561707498015";"-0.380743558211831";"0.871897644134841";"475"
"217";"record";"-0.635042639591384";"-0.54670605287573";"0.871897644134841";"476"
"218";"gadget";"-0.596284927491139";"-0.380998607942271";"0.871897644134841";"477"
"219";"voie";"-0.583687785820871";"-0.554058769874073";"0.871201036160605";"479"
"220";"arrivée";"-0.615179100589428";"0.273731923623997";"0.871201036160605";"480"
"221";"signe";"-0.569422385880264";"-0.501594959904424";"0.871201036160605";"481"
"222";"inspirer";"-0.357661906590181";"0.0313976226777737";"0.871201036160605";"482"
"223";"tromper";"-0.504867312281564";"-0.121909815840327";"0.871089018797914";"484"
"224";"parcourir";"-0.541874386922887";"-0.281561210157275";"0.871089018797914";"485"
"225";"marquer";"-0.213117723616345";"2.04025440623818";"0.869657296881017";"487"
"226";"emji_ballon_de_football";"-0.20423760513039";"2.48687421927819";"0.86964329471068";"489"
"227";"journaliste";"-0.080551421346676";"1.26007788301138";"0.869058704099135";"491"
"228";"beau";"-0.215291810369845";"0.0566514275716571";"0.868820667203417";"492"
"229";"tell";"-0.221574549653132";"0.788945278224387";"0.868810165575664";"493"
"230";"vivant";"-0.379941873583674";"-0.657509663512159";"0.868810165575664";"494"
"231";"réussir";"-0.220579612156543";"1.23783734044831";"0.868810165575664";"495"
"232";"couple";"0.293054798772776";"-0.15736609302435";"0.868810165575664";"496"
"233";"parole";"-0.296983922974545";"0.440871022514592";"0.868810165575664";"497"
"234";"saison";"-0.487724804586345";"-0.236491452437631";"0.867049392655862";"499"
"235";"choisir";"-0.326786776779351";"0.0915360595569849";"0.866811355760143";"500"
"236";"pari";"-0.440748782347468";"-0.389330112375389";"0.866520810725663";"501"
"237";"extérieur";"-0.364838411836368";"2.51321268800195";"0.865687681590647";"503"
"238";"youtube";"-0.357152055373925";"2.46871491771278";"0.865687681590647";"506"
"239";"marquant";"-0.232438434526102";"2.58506245627623";"0.865687681590647";"508"
"240";"fuser";"-0.39129043057388";"2.4416453688501";"0.865687681590647";"509"
"241";"couleur";"-0.0686467335821951";"0.764821326173101";"0.865236111597298";"512"
"242";"banque";"0.0439196396395635";"2.01226198008449";"0.864868554625967";"516"
"243";"terre";"-0.566969633415497";"-0.673938206888791";"0.864339972695768";"517"
"244";"simple";"-0.200056608940835";"-0.54747794012522";"0.86398291735219";"518"
"245";"changement";"-0.471439789669545";"-0.241302737180545";"0.863608359295691";"520"
"246";"principalement";"-0.364430912186066";"0.781799023522098";"0.862792732873595";"522"
"247";"occasion";"-0.112293805754087";"0.436923329983706";"0.862561697063045";"523"
"248";"chaussette";"-0.364724136704703";"0.89166906561663";"0.862271152028565";"524"
"249";"repos";"-0.458252253882237";"0.00176647132063036";"0.862271152028565";"525"
"250";"essayer";"-0.426769706810328";"0.880011250979768";"0.861357510414114";"526"
"251";"orientation";"-0.513448072293816";"-0.200156892119633";"0.861357510414114";"527"
"252";"différence";"-0.422843559731531";"-0.0896965011191512";"0.861357510414114";"528"
"253";"ski";"-0.13160055388533";"-0.476877153589029";"0.860720411663808";"529"
"254";"rencontre";"-0.291810807821042";"0.373189454689325";"0.860583890503028";"530"
"255";"barbe";"-0.55527421896168";"-0.298860239361225";"0.860317849266636";"531"
"256";"soie";"-0.55527421896168";"-0.298860239361225";"0.860317849266636";"532"
"257";"piquer";"-0.55527421896168";"-0.298860239361225";"0.860317849266636";"533"
"258";"routier";"-0.603795927988554";"-0.305369728055401";"0.860317849266636";"534"
"259";"bidet";"-0.571404353420264";"-0.257151893528256";"0.860317849266636";"535"
"260";"tecktonik";"-0.571404353420264";"-0.257151893528256";"0.860317849266636";"536"
"261";"lunette";"-0.571404353420264";"-0.257151893528256";"0.860317849266636";"537"
"262";"emploi";"-0.471395950678288";"-0.233519959781119";"0.860317849266636";"538"
"263";"armaillis";"-0.55527421896168";"-0.298860239361225";"0.860317849266636";"540"
"264";"réaliser";"-0.122532579652372";"0.870179156291581";"0.860156824307768";"542"
"265";"phénomène";"-0.191403356960362";"1.07015717965532";"0.860156824307768";"543"
"266";"idée";"-0.541284428723703";"-0.857852712061737";"0.858448559526727";"545"
"267";"lieu";"-0.310682482907812";"0.518887160781196";"0.858448559526727";"546"
"268";"fête";"-0.361397633079616";"-0.175756398965305";"0.857541918997445";"549"
"269";"famille";"-0.445251999941551";"-0.249633702946549";"0.857478909230931";"550"
"270";"bel";"-0.171245322564781";"1.0117152206762";"0.857436902719922";"551"
"271";"franc";"0.172472135220745";"-0.622592057849502";"0.856418244827948";"553"
"272";"vert";"-0.279871449374865";"0.565292235715632";"0.856418244827948";"554"
"273";"orage";"-0.358866649802214";"0.507245991299126";"0.856418244827948";"555"
"274";"fumer";"-0.487908029021134";"0.883608698159015";"0.856418244827948";"556"
"275";"dieu";"-0.577650016296767";"-0.50406790990625";"0.856418244827948";"557"
"276";"devenir";"-0.404044741085037";"0.406885704392478";"0.856376238316939";"558"
"277";"rapidement";"-0.363179691796263";"1.773894717744";"0.856295725837505";"559"
"278";"bruit";"-0.56138923775144";"-0.251990194965504";"0.856106696537963";"561"
"279";"prêt";"-0.460963732680563";"-0.454503722509708";"0.855903665068086";"562"
"280";"danse";"-0.457526930096276";"-0.199064154707093";"0.855903665068086";"563"
"281";"technique";"-0.517993441593738";"-0.309763651349348";"0.855896663982917";"564"
"282";"région";"-0.471708901634287";"0.526586969515321";"0.855896663982917";"565"
"283";"fer";"-0.542879199364095";"-0.302592996146009";"0.855896663982917";"566"
"284";"venir";"-0.258349584420393";"-0.0834934620043198";"0.855742640109217";"567"
"285";"armailli";"-0.703034439443096";"-3.10973470824965";"0.855630622746526";"586"
"286";"fameux";"-0.541671177712224";"-0.460752784809872";"0.854906010431617";"588"
"287";"voter";"-0.569559465790963";"-0.437361760434149";"0.854906010431617";"589"
"288";"supplémentaire";"-0.480596593628703";"0.599113196642513";"0.854906010431617";"590"
"289";"période";"-0.540491181715779";"-0.313081176734055";"0.854906010431617";"592"
"290";"prédiction";"-0.368845115449419";"0.218680134329418";"0.854906010431617";"593"
"291";"demander";"-0.441739580171752";"-0.953283696100457";"0.854629467567473";"594"
"292";"passer";"-0.290390691954307";"0.285435461932092";"0.853173241852487";"598"
"293";"tour";"-0.398289762323937";"0.109250939667105";"0.852970210382609";"599"
"294";"fond";"-0.562440649609084";"0.221369678800821";"0.851552490636049";"603"
"295";"look";"-0.590066852847642";"-0.308959727348987";"0.851135926068541";"604"
"296";"début";"-0.124540933379004";"0.0134964400197122";"0.850638849021598";"605"
"297";"spécialiste";"-0.217369065175573";"0.911004027951834";"0.850369307242623";"606"
"298";"inviter";"0.383028992444012";"1.36929641070253";"0.850197780656002";"607"
"299";"difficile";"-0.220607787820738";"0.938920280253244";"0.850197780656002";"608"
"300";"fermer";"-0.572725258113158";"-0.277392543433042";"0.849466167255925";"612"
"301";"henriette";"-0.455010170840715";"-0.234164957951404";"0.849466167255925";"613"
"302";"pleuvoir";"-0.576241197826322";"-0.382880793189396";"0.849466167255925";"614"
"303";"commentaire";"-0.540770395142767";"0.656683026615974";"0.849466167255925";"615"
"304";"rappeler";"-0.520386813609918";"-0.315684941110735";"0.84868554625967";"617"
"305";"également";"-0.351700487506999";"0.493023896007749";"0.84866804354675";"618"
"306";"aller";"-0.506311674088078";"0.0703440234761371";"0.848545524556306";"619"
"307";"chasser";"-0.311682359437431";"-0.0627782737618538";"0.848535022928554";"622"
"308";"travailleur";"-0.270206096486836";"-0.0747293657674191";"0.848535022928554";"623"
"309";"traverser";"-0.0953221579814915";"0.796386797038171";"0.848535022928554";"624"
"310";"accident";"-0.312631632613025";"-0.105668427153831";"0.848535022928554";"625"
"311";"politique";"-0.31254395463051";"-0.0901028723549809";"0.848535022928554";"626"
"312";"droit";"-0.434782694506509";"-0.207939107583198";"0.847866419294991";"628"
"313";"blanc";"-0.564739717479373";"-0.0158605083512224";"0.847775405187804";"629"
"314";"moment";"-0.286375853642142";"1.55439100156668";"0.846903770084363";"630"
"315";"berger";"-0.56307583221672";"-0.332541920267298";"0.846718241327406";"631"
"316";"armée";"-0.564700765594026";"-1.46237920661311";"0.846630727762803";"633"
"317";"moyen";"-0.564489836240585";"-0.458280532066771";"0.845888612734974";"635"
"318";"incontournable";"-0.640113765820195";"-0.571439686612039";"0.845888612734974";"636"
"319";"physique";"-0.43326259018836";"-0.120468978703018";"0.845888612734974";"637"
"320";"interviewer";"-0.493457477519884";"-1.35722138709961";"0.845573563902405";"638"
"321";"quitter";"-0.106445284289588";"2.84150928485239";"0.844820947246823";"640"
"322";"imposer";"-0.278737546950757";"2.28925452484408";"0.844820947246823";"641"
"323";"conseiller";"-0.425959827813596";"1.6301237673518";"0.844820947246823";"643"
"324";"face";"-0.358330744577611";"0.640904801279887";"0.844054328420905";"644"
"325";"écran";"-0.287111494660793";"0.68557812336712";"0.843889802919453";"645"
"326";"emji_drapeau_suisse";"-0.136762866674734";"2.19675625767756";"0.843889802919453";"646"
"327";"terminer";"-0.206325101362353";"0.783715461723598";"0.843889802919453";"647"
"328";"côté";"-0.539447571474054";"0.263492014215176";"0.84325620471173";"649"
"329";"septembre";"-0.244435938957974";"0.861753532008109";"0.842759127664788";"651"
"330";"garantir";"-0.169940317769868";"1.12306691140805";"0.842759127664788";"652"
"331";"nicolas";"-0.169940317769868";"1.12306691140805";"0.842759127664788";"653"
"332";"magnin";"-0.0958281851985626";"1.17381912066096";"0.842759127664788";"654"
"333";"débarquer";"-0.175421249863238";"0.957104416744153";"0.842759127664788";"655"
"334";"leçon";"-0.128464054819273";"1.11111581940249";"0.842759127664788";"656"
"335";"univers";"0.0464198836860714";"1.98223198220808";"0.842759127664788";"657"
"336";"chute";"0.0464198836860714";"1.98223198220808";"0.842759127664788";"658"
"337";"aéroport";"-0.0513231548868548";"2.5050335208436";"0.842759127664788";"659"
"338";"risque";"-0.170889590945462";"1.08017675801608";"0.842759127664788";"660"
"339";"papa";"-0.170801912962947";"1.09574231281493";"0.842759127664788";"661"
"340";"marionnette";"-0.170801912962947";"1.09574231281493";"0.842759127664788";"663"
"341";"cornu";"-0.170889590945462";"1.08017675801608";"0.842759127664788";"665"
"342";"bibliothèque";"-0.22426434692144";"-0.284191292137615";"0.842759127664788";"666"
"343";"mouvement";"-0.318338906475356";"0.23669438077282";"0.842629607589176";"667"
