.;77;73;37;62;46;52;57;65;38;52;59;98;41;92;68;64;72;87
,;32;56;33;47;36;47;40;62;35;45;45;76;36;82;3;36;54;78
?;1;9;13;19;11;12;18;12;11;18;18;24;4;9;0;44;48;12
!;4;31;10;27;10;11;23;12;18;12;13;30;5;31;0;41;19;14
suisse;44;9;3;12;10;7;6;21;4;13;14;9;5;28;0;3;10;19
:;8;6;5;6;6;2;1;10;3;7;3;6;9;9;0;7;6;27
émission;51;2;0;1;4;2;1;5;2;4;2;4;7;12;0;1;1;12
petit;0;3;9;9;3;16;5;2;8;1;2;12;1;9;0;6;2;3
année;3;4;7;1;2;11;3;4;3;6;16;3;4;3;0;4;10;0
retrouver;54;3;0;1;1;3;1;0;0;2;2;3;2;5;0;6;3;7
archive;59;1;1;1;2;1;1;2;1;0;1;1;0;11;0;0;0;5
rts;62;1;1;0;0;0;0;3;1;0;0;1;0;8;0;1;0;4
miracle;44;1;0;4;3;1;0;1;1;4;1;1;4;2;0;0;1;13
jeune;0;2;3;1;3;3;1;0;1;16;5;2;5;1;0;0;7;15
vie;0;0;1;1;3;6;3;0;0;6;2;15;1;1;0;5;1;11
monde;0;1;1;2;1;3;8;11;2;0;1;0;2;2;0;1;0;8
grand;0;2;2;1;0;12;2;2;1;2;1;3;1;5;0;0;3;13
genève;0;4;1;1;1;1;7;0;5;9;1;1;4;7;0;0;1;3
temps;0;2;1;2;2;1;1;0;0;2;1;4;1;1;0;0;2;10
bio;38;1;0;0;0;1;1;0;0;0;1;2;1;2;0;0;1;1
lien;35;1;0;0;0;1;1;0;0;0;1;2;1;2;0;0;1;2
diffuser;45;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
aller;0;2;3;0;0;0;7;4;0;6;0;1;0;3;0;7;4;1
samedi;47;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
fête;0;5;0;1;1;0;0;1;0;2;3;3;1;8;0;1;0;0
aimer;0;1;0;0;0;0;9;3;5;1;0;6;1;0;0;2;2;5
heure;0;0;0;3;0;8;1;1;2;0;1;1;0;2;0;2;8;3
clip;44;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
passer;1;1;0;6;0;0;3;4;0;2;1;9;1;1;0;0;0;3
femme;0;0;0;1;3;1;0;7;0;8;1;1;0;0;0;0;1;11
jour;0;1;0;2;0;5;2;18;0;0;3;4;0;0;0;0;0;2
18h45;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
romand;0;1;2;0;2;2;1;0;1;1;1;0;1;14;0;1;1;2
premier;2;0;0;1;1;1;1;9;0;2;1;1;1;12;0;0;0;3
enfant;1;2;1;0;2;0;2;1;1;3;0;4;1;1;0;0;11;0
homme;0;0;1;0;0;1;0;0;1;17;0;2;2;1;0;0;0;7
