htag_geneve;0;1;1;1;1;1;3;3;8
chez;1;3;0;0;2;1;4;8;2
tu;0;2;1;2;1;2;0;2;4
monsieur;1;2;4;0;2;1;1;4;4
htag_fashion;1;0;1;2;2;2;2;5;1
htag_amour;1;0;1;4;2;1;2;1;7
devoir;0;1;1;3;2;1;4;4;1
40;0;6;4;1;1;0;3;1;0
moins;0;2;1;1;0;1;1;10;1
madame;1;1;4;0;0;0;4;2;4
htag_vacances;2;0;7;0;1;1;0;1;2
htag_love;0;0;1;4;2;0;4;1;6
htag_lausanne;0;1;4;0;1;1;1;4;4
certains;0;1;1;1;3;1;2;4;2
jamais;1;1;3;0;3;0;1;3;3
htag_valais;1;1;1;1;1;0;2;2;5
htag_ski;1;0;1;7;1;0;0;3;5
htag_microtrottoir;0;0;0;1;2;0;1;9;4
24;2;4;1;0;3;0;2;0;4
1990;0;5;0;0;4;0;2;4;1
1970;0;3;0;1;0;0;1;12;1
quel;0;0;1;1;0;1;5;6;2
htag_hiver;1;0;2;4;2;0;1;4;3
grâce;0;4;2;1;5;0;0;3;2
devant;0;6;0;2;0;3;1;1;1
attention;0;4;0;2;2;0;0;3;2
60;0;5;0;2;0;1;1;4;2
htag_jeunesse;2;0;1;3;0;1;1;6;2
htag_femme;0;1;1;0;1;1;7;2;2
elles;0;2;0;1;0;0;6;1;2
3;0;5;1;0;0;1;0;1;3
personne;1;1;0;0;2;2;2;4;0
htag_switzerland;0;1;0;2;1;2;2;1;2
htag_neige;1;0;0;5;2;0;1;2;4
htag_enfants;0;1;1;1;0;1;2;2;5
toutes;4;3;2;0;1;0;1;3;0
quelque;0;2;0;1;0;0;2;5;3
non;0;1;0;2;1;2;1;4;2
htag_voiture;1;0;1;2;1;4;2;2;1
htag_football;1;4;0;0;1;1;1;2;1
htag_enfant;1;1;1;1;0;0;1;3;6
htag_culte;1;5;2;1;0;0;1;0;2
htag_christmas;2;0;0;0;1;1;4;2;0
durant;0;2;1;1;2;0;0;0;3
chaque;0;2;1;0;3;0;1;1;2
50;1;2;1;0;4;2;1;1;0
2000;0;2;2;0;2;0;2;2;2
20;0;1;1;0;0;0;4;5;2
1972;0;2;0;0;0;2;2;5;0
1968;0;4;3;0;1;1;2;2;1
ni;0;0;1;0;2;1;1;2;0
htag_vaud;0;2;1;1;1;0;2;1;3
