"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,499954634360267;13,1279935856939;13,1279935856939
"facteur 2";0,326574885841542;8,57532406327706;21,703317648971
"facteur 3";0,302055973608187;7,93149740300507;29,634815051976
"facteur 4";0,273671497445618;7,1861673362635;36,8209823882395
"facteur 5";0,26681953729691;7,00624603401021;43,8272284222497
"facteur 6";0,244192997739518;6,41210999493543;50,2393384171852
"facteur 7";0,224862515736742;5,90452305344114;56,1438614706263
"facteur 8";0,219230304616312;5,7566303720244;61,9004918426507
"facteur 9";0,207042798933059;5,43660634296407;67,3370981856148
"facteur 10";0,192401315306673;5,05214485401678;72,3892430396316
"facteur 11";0,187972167662944;4,93584265805581;77,3250856976874
"facteur 12";0,183259680833098;4,81210043701601;82,1371861347034
"facteur 13";0,170014559901501;4,46430515584167;86,601491290545
"facteur 14";0,165892382677438;4,35606350262478;90,9575547931698
"facteur 15";0,151395281288684;3,97539325584081;94,9329480490106
"facteur 16";0,132385485099734;3,47622700098007;98,4091750499907
"facteur 17";0,0605835386056101;1,5908249500093;100
