"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"76";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"77";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"78";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"79";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"80";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"81";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"82";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"83";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"84";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"85";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"86";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"87";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"88";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"89";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;35;35;35
"90";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"91";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"92";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;35;35;35
"93";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"94";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"95";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"96";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"97";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"98";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"99";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"100";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"101";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"102";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"103";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;35;35;35
"104";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"105";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"106";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"107";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"108";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
"109";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"110";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"111";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"112";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"113";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"114";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"115";3;4;7;9;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"116";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"117";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"118";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"119";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"120";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"121";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"122";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"123";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"124";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"125";3;4;7;9;10;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"126";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"127";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"128";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"129";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"130";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"131";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;39
"132";3;4;7;9;10;12;15;17;19;21;22;25;27;27;27;27;27;27;27
