"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"mass";"chi.distance";"inertie"
"classe 1";3,21431624339595;-0,424948908579163;-0,054175384058239;0,271161488589199;-0,138892041401484;-0,0813196580262859;-0,0857629283922136;0,0045389225003865;0,166783494710931;0,0736200044637326;-0,0420292343854505;-0,0615981928970539;-0,0957398558165013;-0,0523846984820247;-0,029013190646231;-0,0220851770908042;0,0516656206754722;0,983709401149501;-0,130051371652185;-0,0165798355150862;0,0829862668624888;-0,0425065228576064;-0,0248870696102399;-0,0262468881532325;0,00138909192394894;0,0510424237318895;0,0225306674949721;-0,0128626276499797;-0,0188515120661038;-0,0293002272022519;-0,0160318140690185;-0,00887919738908045;-0,00675894799552226;0,0158117474841213;0,981269185071201;0,0112030577951101;0,000168411515104485;0,00382266239029155;0,00097780601691348;0,000306764182231388;0,000314193086768071;8,57998401364561e-07;0,00109407381949073;0,000198097991362164;6,30778473541319e-05;0,000132094040693404;0,000296041100658113;8,64800034660467e-05;2,42093806610299e-05;1,22665518698033e-05;3,07212084344522e-05;0,884812235986069;0,0154649083351787;0,000251349433901213;0,00629694547262559;0,00165207072724074;0,000566324044754549;0,000629902188438779;1,76432849696107e-06;0,00238221005324657;0,000464157735587294;0,000151278382253131;0,000324944998532273;0,000784981554947266;0,000235008088955621;7,20883188194264e-05;4,17710782397793e-05;0,000228600521077776;0,0856394587516368;2,29435080368187;0,450810016914785
"classe 2";-0,559038182880541;-2,58116803380782;2,61070192010636;-0,719762519638026;0,132287581866427;-0,454455666018562;0,0664473132102208;0,187000938324307;-0,0391218625912343;0,142543373705802;-0,0221351252320447;-0,0301222023205185;-0,0760617018553199;-0,167336674451275;0,21626062405867;0,00370306948746018;0,125601752204465;-0,145849267159767;-0,673409219039929;0,681114409499062;-0,187781155622255;0,0345129321402344;-0,118564398417084;0,0173356529718778;0,0487872754455789;-0,0102066283906691;0,037188598614765;-0,00577490391970818;-0,00785867811577485;-0,0198439817068696;-0,0436570024822189;0,0564209288387924;0,000966105692825584;0,0327686445648712;0,0338604238854435;0,471513561749365;0,446149956457957;0,0307246449472609;0,00101189309253409;0,0109293692787964;0,000215154663531601;0,00166137246196339;6,86717358817106e-05;0,000847190256507021;1,99588891091855e-05;3,60345594682139e-05;0,000213155744429987;0,00100667100837962;0,00153442650535048;3,93407778995175e-07;0,000207121356247587;0,0199163940323365;0,424580772212;0,434352518238527;0,0330146138640984;0,00111523379753197;0,0131616643592103;0,000281373126668332;0,00222851385263596;9,75364204978973e-05;0,00129485707314058;3,12242297161029e-05;5,78230783959774e-05;0,000368688713842264;0,00178447321780714;0,0029804556951828;8,73879375743324e-07;0,00100535435307615;0,0637276298559581;2,14813007543347;0,294068778639609
"classe 3";-0,601826650171337;-0,616558017294547;-1,11503876668973;2,63461155587283;2,10607020040896;-3,18415888939738;1,14709520724076;0,171983276043111;-0,157444855597896;0,412909395014115;-0,554192698371479;0,457377682603318;0,0657616425819612;-0,40787189336665;-0,383060790207845;-0,117382079708924;0,0152457050256511;-0,118279136832695;-0,121174344924931;-0,219142543490734;0,517789600426248;0,413913483795566;-0,625794096803216;0,225442710020789;0,0338004862932657;-0,0309431986994359;0,0811505552611801;-0,108917466489228;0,0898900663329839;0,0129243700309386;-0,0801605171056982;-0,0752843025601062;-0,0230695185459891;0,00299629275361356;0,0269127250115069;0,0184507883594601;0,0558150871777316;0,282323479653357;0,175892595654361;0,367965340080586;0,0439744321876226;0,000963734190793909;0,000762783560825918;0,00487530522670648;0,0085802391657264;0,00569772009138945;0,000109273704191133;0,00410164668414452;0,00330165723453475;0,000271099187271785;2,09282978076709e-06;0,0134696817966695;0,0141371675235284;0,04623751010215;0,258135473543804;0,164952989920172;0,377054360264294;0,0489343062912471;0,00109998544946398;0,000921873764129836;0,00634050770642801;0,0114218408547743;0,00777972857054261;0,000160827314582546;0,006186742826343;0,00545694913939106;0,000512410600023869;8,64389596304001e-06;0,0371890004364906;2,59392776380474;0,250224748133967
"classe 4";-0,443804742691678;-0,168561855698578;-0,161139136696695;0,496015366286426;0,247991923665607;0,252083575018265;-1,42244702298242;-1,86075671979345;2,0342754060887;-2,34249743810676;-0,940439326295698;-0,136919155532972;0,802284036390309;-0,494165538531794;-0,13721412324205;0,892704202116971;0,0955023683162414;-0,103604329057151;-0,0393500480827714;-0,0376172459110196;0,115792677010312;0,057892659522156;0,0588478381229004;-0,332064205852387;-0,43438573982684;0,47489293892405;-0,546846060997934;-0,219541559715855;-0,0319631943499086;0,18728979505572;-0,115360842590906;-0,0320320533066813;0,208397998060786;0,0222946215778659;0,0261200766961102;0,00246128192669115;0,00208041255269126;0,0178599320293752;0,00435263923948279;0,00411606549246506;0,120683872671502;0,201344490743892;0,227268684806034;0,280043990321312;0,0440976132721798;0,000911287306768512;0,0290270157539677;0,0107456162776698;0,000756083813278308;0,0279843678380416;0,000146569258539361;0,0101791260221991;0,00146840285677491;0,00134192634257625;0,0127150149460163;0,00317834976590083;0,0032840950018369;0,104568003112125;0,178939329340186;0,213868148866685;0,283586049283435;0,0457075745835492;0,000968846639013745;0,0332646466719914;0,0126203536488583;0,000973025547386646;0,0411852561454876;0,000471362356488392;0,0516804888694893;1,94164582956807;0,194834850132485
"classe 5";-0,286596300510482;-0,0815521702778406;-1,31621730895951;-2,15553773815504;-1,55438989166124;-1,02261970449105;2,73120944989425;-1,11155401005758;1,39035743461876;0,333207687098311;-0,228210783626554;0,0758462280120298;-0,646449654047931;-0,641431995795746;0,549040816851209;0,217152423108308;0,0749490665380319;-0,0612279038157681;-0,0174226548941658;-0,281194232619464;-0,46050509747661;-0,332076982882603;-0,218470583169295;0,583490537738907;-0,237470343799318;0,297033392003824;0,0711858742767818;-0,0487545299249132;0,0162036479369682;-0,138106309011256;-0,137034345778311;0,117296065110468;0,0463920422271822;0,0160119800182291;0,00773304068228834;0,000409008530643481;0,0985419519657315;0,239452494812933;0,121399274054413;0,0480883699623646;0,315867988227345;0,0510082311229841;0,0753687987586871;0,00402269028872233;0,00184350538486254;0,00019852419187219;0,0133793207879353;0,012853050689058;0,0085940947921006;0,0011755693844933;6,40863635541744e-05;0,00358522215042751;0,000290299278787687;0,0756188565868453;0,202808508974707;0,105461716948871;0,0456460523794573;0,325600395425215;0,0539306991390256;0,0843777300741886;0,00484624018949829;0,00227325018609541;0,000251097787152022;0,0182408186476949;0,0179587518651469;0,0131578270872389;0,0020582791297167;0,000245192604754358;0,0436490615451768;2,30441520339264;0,231790896098959
"classe 6";-0,364928330749441;-0,222030678765527;-0,423615374165284;0,535398140597582;-0,500873288452744;1,23829751359302;-0,757054891750894;-1,56077368487902;-1,72541714814594;1,42890549341172;-0,993450524878173;1,98745835372135;-0,608699496508392;-1,88839652704659;0,377979294904532;0,105310093488867;0,0607624779639432;-0,0826570568183393;-0,0502904293356641;-0,0959497991827416;0,121268837738423;-0,11344888399704;0,280477067178823;-0,171474571660538;-0,353518617989108;-0,390810718797157;0,323650187187202;-0,225018694252721;0,450163619059824;-0,137871753516264;-0,427725900894265;0,0856131284488595;0,0238529641236061;0,0137628327819172;0,0170015138017388;0,0041110294663637;0,0138411663624533;0,0200320372180021;0,0170928783692274;0,0956147823716692;0,0329089206098242;0,136371082614383;0,157394728505755;0,100312922013958;0,0473726707157254;0,184843776353627;0,016085472901066;0,151061802926923;0,00552319266619904;0,000374905835627724;5,71172674572905e-05;0,00649878060237602;0,00240570675451873;0,00875709661659704;0,0139884769485849;0,0122425660896355;0,0748284442848885;0,0279686467918195;0,118876656738076;0,145279699985149;0,0996377073931139;0,0481625199011629;0,192758167232407;0,0180810063789358;0,174021577201148;0,00697192546342023;0,000541198657962837;0,000180172152695778;0,0487996508075076;1,97892385444413;0,19110624605182
"classe 7";-0,389521719378233;-0,0927120502489387;-0,445281763806162;0,826861658728879;-0,215984168087238;-0,00286699132618299;-0,698241229501946;-0,79939244391886;0,0971251060021723;1,12843742545122;0,876904928672255;-0,704029250696163;0,105763410573797;2,17815712884688;3,33493783570589;0,577686881847094;0,111930565006428;-0,0850278123517356;-0,0202379030979189;-0,0971995459380177;0,180493755448269;-0,0471466940133188;-0,000625829031782516;-0,152417493774429;-0,174497562871269;0,0212012190256743;0,24632404533205;0,191417587302895;-0,153680947788688;0,0230868549314864;0,475464977716303;0,727976013639844;0,126101958746126;0,0244330690801581;0,0211426615588868;0,000782385614332549;0,016692560150284;0,0521508005454246;0,00346918264405131;5,59437618845346e-07;0,0305558061485941;0,0390468826625936;0,000544363307331952;0,0682855327162048;0,0402869392895795;0,0253171045434841;0,000530057168390683;0,219366627705164;0,469303212875549;0,0123137713425922;0,000211552289921297;0,00690090401579242;0,000390944403332123;0,00901804604294265;0,0310962728585011;0,00212171216152939;3,73848280816832e-07;0,0221744883801221;0,0290644900536508;0,000429047762418263;0,0579158710664186;0,0349741889390982;0,0225436397922699;0,000508760662369363;0,215784895417732;0,505845761828008;0,0151784575758823;0,000569823061577035;0,0454823221300742;1,89416212707016;0,163183756896521
"classe 8";-0,192191157360685;2,20068436469248;1,88222217776758;0,867307508323036;-1,42561669830346;-0,83271965427196;-0,0957614140859285;0,409996241710589;0,634211045552292;0,381375486956743;-0,155439208048179;0,397849771997121;-0,121111333432023;-0,125440658335626;-0,152873200310596;-0,145121208624468;0,0435221256855465;-0,0535418957455605;0,613081342770213;0,524362020583935;0,241620316083664;-0,397157817674438;-0,23198460078283;-0,0266778540690815;0,114219490278331;0,176682747260411;0,106246129337933;-0,0433032923386234;0,110835645651939;-0,0337400038444729;-0,0349460960800399;-0,0425884367716206;-0,0404288351729884;0,0121246843407448;0,00488168448411042;0,418090792528498;0,282879519330039;0,0544186901998119;0,143349267396935;0,0447613463142745;0,000545092830833878;0,00974165270177959;0,0220140544808185;0,00739751561954456;0,00120056866290359;0,00766791794276298;0,000659216381220263;0,000690041797640883;0,000935292297495113;0,000737011812112051;3,03352192174156e-05;0,00266026964629442;0,348798309055139;0,255152969825065;0,0541757668306109;0,146374155447173;0,0499409138938385;0,000660450017711283;0,01210650000252;0,0289685300303744;0,0104752502132241;0,00174012323036947;0,0113997960619365;0,00105640008255681;0,00113327551113331;0,00168314514909585;0,00151677313696349;0,000136420316451813;0,0720209515495417;1,94497421474747;0,272449836248524
"classe 9";-0,45543102797325;-0,453088276615297;-0,188147288577678;0,471787918815214;-0,35199721889992;0,669649673300632;0,0895267067951593;-1,55763663439309;0,0406329179246575;1,04237566899492;0,453200964041145;-0,075743369422062;-1,63403370214374;2,95677982919223;-3,38672684264817;0,766353416025846;0,0295951642244467;-0,0853890305659682;-0,0849497867397341;-0,0352758454924749;0,0884557936239975;-0,0659961650341191;0,125553010027496;0,0167854147685593;-0,292042206207952;0,00761828961477093;0,195435625581172;0,0849709145713026;-0,0142011687599154;-0,306365937250918;0,554368384462736;-0,634979402199306;0,143684051472243;0,00554881469936774;0,0212227264467323;0,0137206214188477;0,0021883092908837;0,0124666149826516;0,00676583556001103;0,022410620233472;0,000368848168482501;0,108857470967169;6,99586627168585e-05;0,0427840521608847;0,00790133630227802;0,000215169898235779;0,0929038008680347;0,296817679724887;0,355384126903694;0,015911968619395;1,08597916204168e-05;0,00704368196094806;0,00697140250650542;0,00120212723312635;0,00755871793035849;0,0042075857164614;0,0152282441245036;0,000272182204129997;0,0823923355031461;5,60674145280654e-05;0,0368980180477172;0,0069748706478606;0,000194824580221502;0,0906726956228257;0,296887888850783;0,38950662391197;0,0199440200926228;2,97437701430465e-05;0,0339589698821475;2,2104837488101;0,165931622790059
"classe 10";-0,320811930562245;-0,0100473017456828;-0,877222867406599;-0,765210441932499;-0,289623995223739;-0,647409743672394;-1,25537178626583;1,85244450791889;-0,659758017077486;-1,66377042175654;-0,819821463623672;0,563348284380268;-2,69241381965987;0,547804460475514;0,494071361612764;0,264926830611241;0,0353457753653805;-0,0735485661660808;-0,00230342006276962;-0,201109989870951;-0,175430292510673;-0,0663984956502884;-0,148423589751179;-0,287803495098786;0,424686941102494;-0,15125452500343;-0,381431977094088;-0,187950283070909;0,12915186319809;-0,617256271032922;0,12558832377819;0,113269603679192;0,0607364835099248;0,00810328684970063;0,0135005952672016;8,64973838795996e-06;0,0609857845956249;0,0420448339657233;0,00587229689567315;0,0268542462434126;0,0929786188963964;0,197384160690376;0,0236456240606735;0,139738517978664;0,0331477012620479;0,0152595657852127;0,323363528776412;0,0130616749275264;0,00969645529197528;0,00243788691805124;1,98587066377604e-05;0,00513927617813137;5,04080417240978e-06;0,0384256147189702;0,0292390131552272;0,00418861087075986;0,0209295262494559;0,0786947324349444;0,171352856797346;0,0217355326676617;0,138225361268478;0,0335613563359869;0,0158472856920225;0,361979984708948;0,0149848383934045;0,0121893429881527;0,00350471593456606;6,23843940894739e-05;0,0499345264076822;1,95226761939667;0,190317900185944
