"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"porter";-0,317;-0,942;-0,473;-0,428;-0,565;-0,317;12,768;2,363;-1,234
"pire";-0,444;-1,322;-0,664;-0,601;-0,793;-0,444;58,75;-1,272;-1,731
"pied";-0,508;-1,512;0,155;19,75;0,05;-0,508;-0,965;-0,049;-0,266
"physique";-0,444;-0,012;-0,664;-0,601;-0,793;-0,444;2,353;9,512;-1,731
"penser";-0,508;-1,512;-0,759;0,239;-0,907;0,621;1,723;7,482;-1,98
"pain";-0,253;-0,753;-0,378;-0,342;-0,452;-0,253;-0,481;-0,725;16,326
"olympique";-0,19;-0,564;-0,283;2,695;-0,339;-0,19;-0,36;0,755;0,351
"obligatoire";-0,444;-1,322;-0,664;0,402;0,135;0,879;-0,844;9,512;-1,731
"naître";-0,508;2,85;0,155;-0,687;-0,907;-0,508;13,014;-1,455;-1,98
"ménager";-0,381;-1,132;-0,568;-0,514;-0,679;-0,381;3,232;12,277;-1,482
"musical";0,879;0,863;-0,664;-0,601;-0,793;-0,444;0,095;0,957;-0,132
"minute";-0,253;0,255;-0,378;-0,342;-0,452;-0,253;0,858;-0,725;2,321
"michel";-0,508;13,2;-0,759;-0,687;0,05;-0,508;-0,965;-0,049;-0,266
"mariage";-0,381;-1,132;-0,568;-0,514;-0,679;1,243;19,762;0,009;-1,482
"manière";-0,19;0,695;-0,283;-0,257;-0,339;4,043;1,612;-0,543;-0,739
"légendaire";1,243;-1,132;0,497;0,646;-0,679;-0,381;-0,723;1,513;-0,036
"look";-0,444;-1,322;-0,664;-0,601;-0,793;0,879;-0,844;26,938;-1,731
"lieu";-0,444;9,044;-0,664;-0,601;2,637;-0,444;-0,844;-1,272;-0,132
"jouet";-0,381;-1,132;-0,568;-0,514;-0,679;1,243;-0,723;21,536;-1,482
"jacques";-0,444;25,865;-0,664;-0,601;-0,793;-0,444;-0,844;-1,272;-0,132
"incontournable";-0,508;-1,512;-0,759;33,204;0,05;-0,508;-0,965;-1,455;0,141
"important";-0,444;-1,322;-0,664;23,616;-0,793;-0,444;2,353;-0,006;-1,731
"hésiter";-0,444;-1,322;0,288;0,402;2,637;0,879;0,095;-1,272;-0,132
"franc";-0,444;-1,322;0,288;0,402;-0,793;-0,444;-0,844;17,116;-1,731
"fond";-0,508;-0,066;-0,759;-0,687;0,05;0,621;-0,965;13,844;-1,98
"facile";-0,508;-1,512;8,54;-0,687;-0,907;-0,508;1,723;-0,049;0,141
"entier";46,146;-1,512;-0,759;-0,687;0,05;-0,508;-0,965;-0,049;-0,266
"dieu";-0,317;-0,942;-0,473;-0,428;-0,565;-0,317;-0,602;0,086;11,514
"coup";-0,444;-0,012;-0,664;-0,601;0,135;-0,444;-0,844;4,126;0,347
"comprendre";-0,508;-1,512;0,155;-0,687;-0,907;28,004;0,027;-0,049;-0,266
"cheveu";-0,317;-0,942;-0,473;1,022;-0,565;1,778;0,454;2,363;-1,234
"championnat";-0,381;11,725;-0,568;0,646;-0,679;-0,381;-0,723;-1,089;-0,036
"café";-0,317;-0,942;-0,473;-0,428;-0,565;-0,317;-0,602;-0,907;20,424
"bois";-0,381;-1,132;-0,568;-0,514;-0,679;1,243;-0,723;5,602;0,704
"bernard";1,243;0,003;-0,568;-0,514;-0,679;-0,381;-0,723;-1,089;8,387
"bain";-0,381;5,3;-0,568;-0,514;3,574;-0,381;-0,723;0,009;-1,482
"aventure";-0,444;0,863;0,288;0,402;0,135;0,879;-0,844;-0,006;-1,731
"artiste";-0,508;-1,512;-0,759;-0,687;-0,907;5,242;22,61;-1,455;-0,266
"arriver";-0,381;1,393;-0,568;-0,514;21,206;-0,381;-0,723;-1,089;-1,482
"annonce";-0,444;3,873;-0,664;0,402;-0,793;6,46;-0,844;-1,272;-0,132
"étape";-0,19;5,848;2,335;-0,257;-0,339;-0,19;-0,36;-0,543;-0,739
"élève";-0,444;-1,322;-0,664;-0,601;-0,793;-0,444;-0,844;38,977;-1,731
"également";-0,444;0,863;-0,664;-0,601;-0,793;-0,444;2,353;4,126;-1,731
"édition";-0,381;20,668;-0,568;-0,514;-0,679;-0,381;0,224;-1,089;-1,482
"vendredi";-0,381;0,003;42,779;-0,514;-0,679;-0,381;-0,723;-1,089;-1,482
"vaud";-0,444;-1,322;-0,664;-0,601;-0,793;-0,444;-0,844;9,512;2,377
"vache";-0,381;-1,132;-0,568;0,646;35,548;-0,381;-0,723;-1,089;-1,482
