"";"X.rts_a";"X.rts_i"
"mort";1,26;-1,26
"chaud";1,1138;-1,1138
"ville";3,1533;-3,1533
"emji_visage_avec_bouche_ouverte";7,8646;-7,8646
"mon";8,3868;-8,3868
"partie";-0,7299;0,7299
"monter";0,4395;-0,4395
"jusqu_au";1,9565;-1,9565
"bord";0,9129;-0,9129
"lac";0,8606;-0,8606
"temps";2,6257;-2,6257
"eux";-3,3463;3,3463
"penser";-1,8332;1,8332
"réchauffement";0,7538;-0,7538
"climatique";-0,5684;0,5684
"tête";0,5895;-0,5895
"nourrir";1,1604;-1,1604
"soigner";0,6658;-0,6658
"intéressant";0,3281;-0,3281
"voir";0,678;-0,678
"vidéo";8,4969;-8,4969
"celui";1,9053;-1,9053
"choisir";-1,2768;1,2768
"essence";1,1601;-1,1601
"assez";0,3278;-0,3278
"électrique";1,4766;-1,4766
"non";-1,1667;1,1667
"battre";0,9852;-0,9852
"déjà";-1,4979;1,4979
"écologie";0,4298;-0,4298
"multinationale";-0,3077;0,3077
"gouvernement";-1,4926;1,4926
"vélo";1,056;-1,056
"toujours";4,4343;-4,4343
"exister";2,7837;-2,7837
"aujourd_hui";58,7606;-58,7606
"respecter";-0,7361;0,7361
"nature";1,7236;-1,7236
"surtout";0,7166;-0,7166
"où";0,5017;-0,5017
"employer";-0,593;0,593
"difficulté";-0,5076;0,5076
"étranger";-2,2984;2,2984
"travailler";-1,4623;1,4623
"responsable";0,435;-0,435
"donner";-0,7484;0,7484
"billet";-2,4459;2,4459
"par";-2,1386;2,1386
"au";1,6893;-1,6893
"remarquer";1,0213;-1,0213
"style";1,2601;-1,2601
"planter";3,8657;-3,8657
"bâton";3,2239;-3,2239
"inclure";0,5423;-0,5423
"mtn";3,4314;-3,4314
"niveau";-0,5106;0,5106
"bien";2,0605;-2,0605
"élevé";-0,2959;0,2959
"emji_visage_faisant_un_clin_d_oeil";11,2325;-11,2325
"logique";-1,7457;1,7457
"inventer";5,81;-5,81
"autres";-2,3812;2,3812
"pouvoir";-3,4836;3,4836
"richesse";-0,894;0,894
"sa";1,6677;-1,6677
"perte";-0,6457;0,6457
"autre";-1,1198;1,1198
"enrichir";-1,4311;1,4311
"immigration";-0,7153;0,7153
"malgré";0,4197;-0,4197
"cela";-1,5066;1,5066
"arriver";-0,9353;0,9353
"vraiment";-1,1041;1,1041
"européen";-1,1731;1,1731
"situer";-0,2844;0,2844
"coeur";3,1072;-3,1072
"te";0,5363;-0,5363
"prêt";5,3166;-5,3166
"fin";-1,0115;1,0115
"80";3,7412;-3,7412
"grimper";0,6378;-0,6378
"pilier";0,2468;-0,2468
"pont";0,3366;-0,3366
"mur";1,4171;-1,4171
"fribourg";0,8283;-0,8283
"encore";1,9927;-1,9927
"artificiel";1,2601;-1,2601
"falloir";-2,2751;2,2751
"donc";-7,9252;7,9252
"son";0,8744;-0,8744
"point";-0,9679;0,9679
"faible";-3,3579;3,3579
"quantité";0,2672;-0,2672
"sucre";0,321;-0,321
"juste";0,2876;-0,2876
"chiffre";-5,4654;5,4654
"entre";-1,0383;1,0383
"1";-0,5495;0,5495
"4000";-0,6115;0,6115
"finalement";0,4741;-0,4741
"simple";-1,0547;1,0547
"efficace";0,9531;-0,9531
"ton";-0,3754;0,3754
"lui";3,706;-3,706
"époque";54,0271;-54,0271
"aller";-4,4829;4,4829
"souvent";-3,7004;3,7004
"vivre";1,0261;-1,0261
"quel";2,3507;-2,3507
"état";-7,142;7,142
"devenir";0,5651;-0,5651
"catastrophique";0,2875;-0,2875
"empêcher";0,4265;-0,4265
"normalement";-0,2243;0,2243
"scandaleux";-0,593;0,593
"tiers";0,9756;-0,9756
"quelle";1,7046;-1,7046
"horreur";0,2219;-0,2219
"emji_visage_qui_pleure";5,4341;-5,4341
"technique";7,1436;-7,1436
"père";3,0088;-3,0088
"m";3,4104;-3,4104
"jeter";1,304;-1,304
"bateau";0,2592;-0,2592
"mer";1,5043;-1,5043
"3";-0,5764;0,5764
"an";8,8991;-8,8991
"adorer";5,3514;-5,3514
"eau";1,537;-1,537
"mal";0,6821;-0,6821
"premier";2,1554;-2,1554
"faciliter";-0,5357;0,5357
"musée";0,5216;-0,5216
"site";0,5016;-0,5016
"parc";0,5216;-0,5216
"enfin";-0,8225;0,8225
"quels";-0,6495;0,6495
"rire";1,1604;-1,1604
"souffrir";0,7655;-0,7655
"co";0,5785;-0,5785
"si";-2,2538;2,2538
"fermer";0,841;-0,841
"er";0,3871;-0,3871
"limiter";-0,5304;0,5304
"emji_feu";2,5469;-2,5469
"beaucoup";-0,8742;0,8742
"boulot";6,0567;-6,0567
"mieux";-0,8933;0,8933
"tu";1,8199;-1,8199
"recherche";0,4922;-0,4922
"fumée";0,8411;-0,8411
"cigarette";0,5242;-0,5242
"alcool";0,7605;-0,7605
"mortel";-0,363;0,363
"monsieur";6,911;-6,911
"doux";2,5046;-2,5046
"voilà";1,7574;-1,7574
"drogue";-0,5387;0,5387
"franc";14,5774;-14,5774
"parler";-3,2871;3,2871
"rarement";0,321;-0,321
"chapeau";0,6378;-0,6378
"bas";-0,6597;0,6597
"tellement";6,7985;-6,7985
"offrir";0,3945;-0,3945
"sembler";0,3427;-0,3427
"concurrence";1,6057;-1,6057
"ma";7,1715;-7,1715
"beauté";3,668;-3,668
"naturel";1,0215;-1,0215
"forêt";0,5301;-0,5301
"montagne";3,4179;-3,4179
"couvrir";-1,2111;1,2111
"neige";1,6804;-1,6804
"paysan";4,8371;-4,8371
"humanité";2,0073;-2,0073
"réjouir";-0,5883;0,5883
"retrouver";-0,2635;0,2635
"préféré";1,0782;-1,0782
"passage";3,3781;-3,3781
"secret";0,47;-0,47
"mdr";0,4331;-0,4331
"perdre";-0,8865;0,8865
"maintenant";24,2011;-24,2011
"savoir";6,1839;-6,1839
"hors";0,5155;-0,5155
"commun";-0,4097;0,4097
"seulement";-2,1082;2,1082
"entier";-0,8904;0,8904
"sans";-2,7108;2,7108
"aider";-7,1639;7,1639
"million";-10,8508;10,8508
"dépenser";-1,0113;1,0113
"armée";-2,3544;2,3544
"inutile";0,8061;-0,8061
"couleur";0,5423;-0,5423
"ta";0,2959;-0,2959
"peau";3,0607;-3,0607
"aucun";-1,8595;1,8595
"fléau";2,5668;-2,5668
"pauvre";0,5936;-0,5936
"piéton";4,7859;-4,7859
"elles";1,5055;-1,5055
"presque";0,2984;-0,2984
"rouler";5,6622;-5,6622
"autoroute";-0,3309;0,3309
"excellent";-0,3974;0,3974
"gens";-1,6555;1,6555
"victime";-0,3034;0,3034
"10";0,9839;-0,9839
"12";-0,4274;0,4274
"pari";4,9895;-4,9895
"25";0,812;-0,812
"privé";-3,5926;3,5926
"majeur";-0,9812;0,9812
"vie";0,5025;-0,5025
"compenser";-1,2793;1,2793
"0";0,5694;-0,5694
"émission";0,6666;-0,6666
"co2";0,819;-0,819
"heure";1,3269;-1,3269
"grand";0,7604;-0,7604
"homme";1,5311;-1,5311
"revenir";-1,3577;1,3577
"travail";-2,2995;2,2995
"transport";0,4116;-0,4116
"public";-5,9248;5,9248
"lieu";0,2891;-0,2891
"franchement";-1,8191;1,8191
"dès";0,6687;-0,6687
"direct";-0,7153;0,7153
"racheter";2,0655;-2,0655
"affaire";-0,3263;0,3263
"moins";-2,9283;2,9283
"cher";2,27;-2,27
"écologique";0,6666;-0,6666
"lorsque";-0,5711;0,5711
"village";7,0619;-7,0619
"seul";-1,1805;1,1805
"moyen";-2,2148;2,2148
"déplacement";-0,2483;0,2483
"respect";1,3502;-1,3502
"tant";-2,108;2,108
"égalité";-2,0999;2,0999
"salarial";0,3712;-0,3712
