"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,262069508150724;8,74259118777188;8,74259118777188
"facteur 2";0,247906491778832;8,27011553427477;17,0127067220466
"facteur 3";0,20585510478677;6,86728890272729;23,8799956247739
"facteur 4";0,199647052669352;6,66018941176419;30,5401850365381
"facteur 5";0,18904495562338;6,30650538014952;36,8466904166877
"facteur 6";0,164856730928605;5,49959059804995;42,3462810147376
"facteur 7";0,149521268593493;4,98800236019114;47,3342833749287
"facteur 8";0,142586814479171;4,75667023056004;52,0909536054888
"facteur 9";0,137711640803687;4,59403532230649;56,6849889277953
"facteur 10";0,133505995478328;4,45373575819533;61,1387246859906
"facteur 11";0,130056271766167;4,33865360178955;65,4773782877802
"facteur 12";0,12401562189995;4,1371386195184;69,6145169072986
"facteur 13";0,121469694188326;4,0522069335187;73,6667238408173
"facteur 14";0,115056669645774;3,83826959968574;77,504993440503
"facteur 15";0,10977234956888;3,66198564180139;81,1669790823044
"facteur 16";0,105449631682425;3,51778055831793;84,6847596406223
"facteur 17";0,0990050822238688;3,30279155901347;87,9875511996358
"facteur 18";0,0953512040007468;3,18089884520609;91,1684500448419
"facteur 19";0,0942756019069625;3,14501695473732;94,3134669995792
"facteur 20";0,0869493013118795;2,90061289768578;97,214079897265
"facteur 21";0,0835112491697164;2,78592010273503;100
