"";"V1"
"639";8
"640";1
"641";0
"642";9
"643";9
"644";7
"645";7
"646";11
"647";9
"648";7
"649";9
"650";9
"651";7
"652";9
"653";9
"654";9
"655";11
"656";8
"657";8
"658";8
"659";8
"660";0
"661";7
"662";4
"663";5
"664";5
"665";7
"666";5
"667";11
"668";4
"669";5
"670";5
"671";5
"672";11
"673";5
"674";5
"675";5
"676";11
"677";6
"678";9
"679";4
"680";7
"681";7
"682";7
"683";11
"684";5
"685";5
"686";6
"687";6
"688";11
"689";6
"690";5
"691";5
"692";11
"693";9
"694";9
"695";5
"696";8
"697";5
"698";10
"699";5
"700";4
"701";2
"702";5
"703";4
"704";5
"705";11
"706";3
"707";3
"708";3
"709";3
"710";11
"711";6
"712";6
"713";7
"714";11
"715";7
"716";0
"717";0
"718";10
"719";10
"720";5
"721";10
"722";10
"723";10
"724";10
"725";7
"726";10
"727";10
"728";10
"729";9
"730";3
"731";3
"732";3
"733";3
"734";8
"735";3
"736";0
"737";1
"738";4
"739";1
"740";10
"741";0
"742";2
"743";4
"744";11
"745";9
"746";8
"747";7
"748";9
"749";11
"750";1
"751";0
"752";1
"753";10
"754";4
"755";8
"756";8
"757";9
"758";8
"759";8
"760";7
"761";11
"762";9
"763";9
"764";9
"765";9
"766";9
"767";0
"768";3
"769";3
"770";3
"771";3
"772";11
"773";7
"774";4
"775";5
"776";7
"777";4
"778";4
"779";5
"780";10
"781";11
"782";10
"783";10
"784";10
"785";7
"786";7
"787";7
"788";11
"789";8
"790";0
"791";3
"792";5
"793";5
"794";1
"795";1
"796";1
"797";1
"798";1
"799";0
"800";5
"801";5
"802";5
"803";5
"804";10
"805";7
"806";7
"807";11
"808";3
"809";3
"810";3
"811";11
"812";10
"813";10
"814";10
"815";10
"816";10
"817";11
"818";2
"819";2
"820";2
"821";2
"822";6
"823";7
"824";4
"825";4
"826";11
"827";6
"828";6
"829";6
"830";5
"831";1
"832";1
"833";1
"834";1
"835";0
"836";10
"837";5
"838";5
"839";10
"840";4
"841";10
"842";4
"843";4
"844";4
"845";5
"846";11
"847";5
"848";5
"849";5
"850";5
"851";11
"852";1
"853";11
"854";10
"855";3
"856";4
"857";5
"858";7
"859";1
"860";1
"861";1
"862";10
"863";11
"864";6
"865";6
"866";7
"867";6
"868";11
"869";5
"870";4
"871";4
"872";2
"873";2
"874";2
"875";2
"876";11
"877";10
"878";10
"879";10
"880";11
"881";5
"882";11
"883";1
"884";1
"885";1
"886";1
"887";0
"888";1
"889";6
"890";6
"891";7
"892";7
"893";11
"894";4
"895";4
"896";4
"897";9
"898";11
"899";1
"900";1
"901";1
"902";1
"903";1
"904";1
"905";1
"906";1
"907";1
"908";0
"909";10
"910";5
"911";10
"912";4
"913";1
"914";5
"915";4
"916";11
"917";8
"918";8
"919";8
"920";8
"921";11
"922";0
"923";0
"924";10
"925";0
"926";0
"927";1
"928";9
"929";9
"930";1
"931";9
"932";6
"933";9
"934";9
"935";9
"936";4
"937";11
"938";7
"939";6
"940";8
"941";8
"942";11
"943";1
"944";5
"945";5
"946";5
"947";11
"948";1
"949";9
"950";7
"951";7
"952";6
"953";6
"954";6
"955";11
"956";7
"957";7
"958";6
"959";11
"960";2
"961";2
"962";2
"963";11
"964";7
"965";6
"966";2
"967";6
"968";11
"969";6
"970";6
"971";6
"972";6
"973";6
"974";6
"975";11
"976";0
"977";0
"978";0
"979";0
"980";11
"981";9
"982";9
"983";9
"984";10
"985";10
"986";4
"987";4
"988";0
"989";0
"990";5
"991";5
"992";5
"993";0
"994";0
"995";0
"996";8
"997";11
"998";3
"999";3
"1000";3
"1001";3
"1002";8
"1003";6
"1004";8
"1005";8
"1006";8
"1007";7
"1008";11
"1009";9
"1010";5
"1011";8
"1012";11
"1013";6
"1014";0
"1015";4
"1016";4
"1017";10
"1018";10
"1019";5
"1020";9
"1021";9
"1022";9
"1023";7
"1024";11
"1025";2
"1026";11
"1027";8
"1028";3
"1029";7
"1030";4
"1031";11
"1032";1
"1033";7
"1034";9
"1035";7
"1036";9
"1037";8
"1038";11
"1039";9
"1040";7
"1041";7
"1042";8
"1043";2
"1044";11
"1045";7
"1046";8
"1047";7
"1048";11
"1049";2
"1050";2
"1051";9
"1052";9
"1053";7
"1054";2
"1055";2
"1056";7
"1057";3
"1058";3
"1059";8
"1060";3
"1061";3
"1062";11
"1063";5
"1064";8
"1065";5
"1066";9
"1067";1
"1068";6
"1069";6
"1070";6
"1071";6
"1072";9
"1073";3
"1074";2
"1075";3
"1076";3
"1077";11
"1078";2
"1079";2
"1080";2
"1081";2
"1082";2
"1083";11
"1084";1
"1085";1
"1086";1
"1087";1
"1088";6
"1089";1
"1090";2
"1091";1
"1092";7
"1093";0
"1094";9
"1095";9
"1096";6
"1097";6
"1098";9
"1099";11
"1100";8
"1101";9
"1102";7
"1103";8
"1104";6
"1105";11
"1106";3
"1107";5
"1108";3
"1109";4
"1110";11
"1111";0
"1112";0
"1113";0
"1114";0
"1115";0
"1116";0
"1117";0
"1118";0
"1119";2
"1120";2
"1121";2
"1122";11
"1123";7
"1124";7
"1125";11
"1126";0
"1127";0
"1128";0
"1129";6
"1130";7
"1131";4
"1132";7
"1133";7
"1134";11
"1135";3
"1136";2
"1137";5
"1138";6
"1139";6
"1140";7
"1141";11
"1142";11
"1143";1
"1144";1
"1145";1
"1146";1
"1147";0
"1148";5
"1149";4
"1150";5
"1151";5
"1152";4
"1153";11
"1154";7
"1155";9
"1156";10
"1157";11
"1158";2
"1159";0
"1160";7
"1161";7
"1162";11
"1163";6
"1164";5
"1165";0
"1166";10
"1167";6
"1168";6
"1169";11
"1170";4
"1171";4
"1172";4
"1173";10
"1174";1
"1175";1
"1176";1
"1177";1
"1178";11
"1179";5
"1180";5
"1181";10
"1182";5
"1183";5
"1184";4
"1185";5
"1186";5
"1187";0
"1188";10
"1189";4
"1190";11
"1191";7
"1192";9
"1193";5
"1194";11
"1195";10
"1196";10
"1197";7
"1198";0
"1199";6
"1200";5
"1201";7
"1202";6
"1203";0
"1204";0
"1205";0
"1206";0
"1207";11
"1208";0
"1209";6
"1210";11
"1211";7
"1212";8
"1213";4
"1214";11
"1215";6
"1216";6
"1217";6
"1218";6
"1219";5
"1220";10
"1221";4
"1222";4
"1223";4
"1224";6
"1225";11
"1226";7
"1227";6
"1228";6
"1229";7
"1230";10
"1231";10
"1232";1
"1233";7
"1234";9
"1235";11
"1236";0
"1237";0
"1238";0
"1239";10
"1240";11
"1241";6
"1242";10
"1243";11
"1244";1
"1245";1
"1246";1
"1247";1
"1248";1
"1249";1
"1250";1
"1251";1
"1252";0
"1253";6
"1254";7
"1255";7
"1256";11
"1257";9
"1258";5
"1259";5
"1260";2
"1261";2
"1262";11
"1263";7
"1264";5
"1265";5
"1266";6
"1267";6
"1268";6
"1269";10
"1270";4
"1271";11
"1272";7
"1273";6
"1274";2
"1275";11
"1276";8
