"";"";"";"";"*postComments_337";""
"1";"*postComments_337";"-0.103237670710015";"1.79124331782515";"2.25495690592359";"10"
"2";"*postReposts_195";"-0.103237670710015";"1.79124331782515";"2.25495690592359";"11"
"3";"*postComments_223";"-0.295216430593057";"1.66954596234278";"2.08725093711135";"16"
"4";"*i_0229";"-0.451194104993699";"1.18367611131018";"2.07387655351754";"18"
"5";"*i_0270";"-0.427460099615499";"1.17027056591032";"2.0695906280168";"19"
"6";"*i_0196";"-0.427460099615499";"1.17027056591032";"2.0695906280168";"20"
"7";"*i_0230";"-0.66160162901092";"0.360071753196898";"2.04410467816422";"25"
"8";"*postLikes_14900";"0.238534071643819";"0.295551251481048";"2.03683391168976";"28"
"9";"*i_0944";"-0.673550136868865";"1.92466094928092";"2.01672450230908";"30"
"10";"*i_0776";"0.2636564291358";"0.40007790731955";"1.98986093354554";"31"
"11";"*postComments_188";"0.2636564291358";"0.40007790731955";"1.98986093354554";"32"
"12";"*i_0597";"-0.422410248721095";"0.750294343230087";"1.92721754028927";"34"
"13";"*i_0586";"0.346020505734214";"0.453454427570037";"1.92721754028927";"35"
"14";"*i_0681";"-0.421400278542215";"0.66629909869404";"1.91202546507684";"36"
"15";"*i_0319";"-0.421400278542215";"0.66629909869404";"1.91202546507684";"37"
"16";"*i_0052";"-1.14353332427176";"-4.11728094878873";"1.86599003313591";"43"
"17";"*postReposts_39";"-0.414590293492291";"0.529802476989453";"1.86488028456875";"44"
"18";"*postComments_135";"-0.383656588180943";"0.770784086424718";"1.85033875161983";"45"
"19";"*i_0873";"-0.593598137262896";"1.26410938370936";"1.83736617354172";"46"
"20";"*postComments_379";"-0.593598137262896";"1.26410938370936";"1.83736617354172";"47"
"21";"*i_0501";"-0.593598137262896";"1.26410938370936";"1.83736617354172";"48"
"22";"*i_0398";"-0.593598137262896";"1.26410938370936";"1.83736617354172";"49"
"23";"*i_0352";"-0.593598137262896";"1.26410938370936";"1.83736617354172";"50"
"24";"*postLikes_708";"0.0887908005055686";"0.996269624886597";"1.83491707325558";"53"
"25";"*i_0138";"-0.569864131884696";"1.2507038383095";"1.83491707325558";"54"
"26";"*i_0827";"-0.427460099615499";"1.17027056591032";"1.81541993894643";"56"
"27";"*i_0145";"-0.427460099615499";"1.17027056591032";"1.81541993894643";"57"
"28";"*postLikes_1600";"-0.14215466803334";"0.6946767362426";"1.80480079317452";"58"
"29";"*postComments_248";"-0.206765427470365";"1.63041791437556";"1.78775275915151";"59"
"30";"*i_0834";"-0.695245617257683";"1.98934150093384";"1.78027152312121";"61"
"31";"*i_0390";"-0.71557511325664";"2.13438792437873";"1.77101086266427";"64"
"32";"*i_0249";"-0.71557511325664";"2.13438792437873";"1.77101086266427";"65"
"33";"*postComments_492";"-0.71557511325664";"2.13438792437873";"1.77101086266427";"66"
"34";"*postReposts_94";"-0.71557511325664";"2.13438792437873";"1.77101086266427";"67"
"35";"*postLikes_18000";"0.307343582214535";"0.165903616947523";"1.76511771510076";"69"
"36";"*postReposts_201";"0.307343582214535";"0.165903616947523";"1.76511771510076";"73"
"37";"*i_0512";"-0.648000930661315";"0.540879279299391";"1.76511771510076";"74"
"38";"*i_0441";"0.307343582214535";"0.165903616947523";"1.76511771510076";"75"
"39";"*i_0946";"-0.434923802497064";"0.533805608767097";"1.75851662448578";"79"
"40";"*i_0896";"-0.340520942053776";"0.890195500974064";"1.75046138057592";"80"
"41";"*postReposts_130";"-0.340520942053776";"0.890195500974064";"1.75046138057592";"81"
"42";"*i_0723";"-0.389588237194292";"0.568552379881137";"1.75011697584818";"82"
"43";"*i_0028";"-0.389588237194292";"0.568552379881137";"1.75011697584818";"83"
"44";"*postLikes_5800";"-0.0967483127476639";"0.648681829932222";"1.74426209547664";"84"
"45";"*i_0853";"0.095346243749544";"0.84764873777981";"1.7414303232708";"85"
"46";"*postLikes_980";"0.095346243749544";"0.84764873777981";"1.7414303232708";"86"
"47";"*i_0192";"-0.40394945037194";"0.690097582963919";"1.73961263165219";"87"
